"","x_C2","kcat","protein","phi","rel_phi","mu","mu_norm","opt_phi_nonzero","convergence","shape"
"1",1e-04,34,"tC2",0.001,0.1,0.620856899473399,1.00000000042653,FALSE,-1,21
"2",1e-04,34,"tC2",0.01,1,0.620856899510964,1.00000000048704,FALSE,-1,21
"3",1e-04,34,"tC2",0.03,3,0.620856899491928,1.00000000045638,FALSE,-1,21
"4",1e-04,34,"tC2",0.05,5,0.620856899422278,1.00000000034419,FALSE,-1,21
"5",1e-04,34,"tC2",0.07,7,0.620856899208583,1,FALSE,-1,21
"6",1e-04,34,"tC2",0.09,9,0.620856899208583,1,FALSE,-1,21
"7",1e-04,34,"tC2",0.11,11,0.620856899716342,1.00000000081784,FALSE,-1,21
"8",1e-04,34,"tC2",0.13,13,0.620856899208583,1,FALSE,-1,21
"9",1e-04,34,"tC2",0.15,15,0.620856899642744,1.00000000069929,FALSE,-1,21
"10",1e-04,34,"tC2",0.17,17,0.620856899283401,1.00000000012051,FALSE,-1,21
"11",1e-04,34,"tC2",0.19,19,0.620856899399012,1.00000000030672,FALSE,-1,21
"12",1e-04,34,"tC2",0.21,21,0.620856899208583,1,FALSE,-1,21
"13",1e-04,34,"tC2",0.23,23,0.620856899532724,1.00000000052209,FALSE,-1,21
"14",1e-04,34,"tC2",0.25,25,0.620856899208583,1,FALSE,-1,21
"15",1e-04,34,"tC2",0.27,27,0.620856899330375,1.00000000019617,FALSE,-1,21
"16",1e-04,34,"tC2",0.29,29,0.620856899208583,1,FALSE,-1,21
"17",1e-04,34,"tC2",0.31,31,0.62085689991583,1.00000000113915,FALSE,-1,21
"18",1e-04,34,"tC2",0.33,33,0.620856899208583,1,FALSE,-1,21
"19",1e-04,34,"tC2",0.35,35,0.620856899208583,1,FALSE,-1,21
"20",1e-04,34,"tC2",0.37,37,0.620856899208583,1,FALSE,-1,21
"21",1e-04,34,"tC2",0.39,39,0.620856899208583,1,FALSE,-1,21
"22",1e-04,34,"tC2",0.41,41,0.620856899208583,1,FALSE,-1,21
"23",1e-04,34,"tC2",0.43,43,0.620856899348536,1.00000000022542,FALSE,-1,21
"24",1e-04,34,"tC2",0.45,45,0.620856899208583,1,FALSE,-1,21
"25",1e-04,34,"tC2",0.47,47,0.620856899208583,1,FALSE,-1,21
"26",1e-04,34,"tC2",0.49,49,0.620856899208583,1,FALSE,-1,21
"27",0.001,34,"tC2",0.001,0.1,0.620856899507305,0.999999999983857,FALSE,-1,21
"28",0.001,34,"tC2",0.01,1,0.620856899517328,1,FALSE,-1,21
"29",0.001,34,"tC2",0.03,3,0.620856899517328,1,FALSE,-1,21
"30",0.001,34,"tC2",0.05,5,0.620856899517328,1,FALSE,-1,21
"31",0.001,34,"tC2",0.07,7,0.620856899517328,1,FALSE,-1,21
"32",0.001,34,"tC2",0.09,9,0.620856899517328,1,FALSE,-1,21
"33",0.001,34,"tC2",0.11,11,0.620856899517328,1,FALSE,-1,21
"34",0.001,34,"tC2",0.13,13,0.620856899517328,1,FALSE,-1,21
"35",0.001,34,"tC2",0.15,15,0.620856899517328,1,FALSE,-1,21
"36",0.001,34,"tC2",0.17,17,0.620856899517328,1,FALSE,-1,21
"37",0.001,34,"tC2",0.19,19,0.620856899517328,1,FALSE,-1,21
"38",0.001,34,"tC2",0.21,21,0.620856899517328,1,FALSE,-1,21
"39",0.001,34,"tC2",0.23,23,0.620856899517328,1,FALSE,-1,21
"40",0.001,34,"tC2",0.25,25,0.620856899517328,1,FALSE,-1,21
"41",0.001,34,"tC2",0.27,27,0.620856899517328,1,FALSE,-1,21
"42",0.001,34,"tC2",0.29,29,0.620856899517328,1,FALSE,-1,21
"43",0.001,34,"tC2",0.31,31,0.620856899517328,1,FALSE,-1,21
"44",0.001,34,"tC2",0.33,33,0.620856899517328,1,FALSE,-1,21
"45",0.001,34,"tC2",0.35,35,0.620856899517328,1,FALSE,-1,21
"46",0.001,34,"tC2",0.37,37,0.620856899517328,1,FALSE,-1,21
"47",0.001,34,"tC2",0.39,39,0.620856899517328,1,FALSE,-1,21
"48",0.001,34,"tC2",0.41,41,0.620856899517328,1,FALSE,-1,21
"49",0.001,34,"tC2",0.43,43,0.620856899517328,1,FALSE,-1,21
"50",0.001,34,"tC2",0.45,45,0.620856899517328,1,FALSE,-1,21
"51",0.001,34,"tC2",0.47,47,0.620856899517328,1,FALSE,-1,21
"52",0.001,34,"tC2",0.49,49,0.620856899517328,1,FALSE,-1,21
"53",0.01,34,"tC2",0.001,0.1,0.620663810041033,0.999688995158757,FALSE,4,19
"54",0.01,34,"tC2",0.01,1,0.618926004175299,0.996889951019898,FALSE,4,19
"55",0.01,34,"tC2",0.03,3,0.615064215522442,0.990669856412425,FALSE,4,19
"56",0.01,34,"tC2",0.05,5,0.611202426188784,0.984449760708401,FALSE,4,19
"57",0.01,34,"tC2",0.07,7,0.607340636891977,0.978229665063733,FALSE,4,19
"58",0.01,34,"tC2",0.09,9,0.603478847538734,0.972009569328164,FALSE,4,19
"59",0.01,34,"tC2",0.11,11,0.59961705820917,0.965789473630733,FALSE,4,19
"60",0.01,34,"tC2",0.13,13,0.595755268881588,0.959569377936496,FALSE,4,19
"61",0.01,34,"tC2",0.15,15,0.591893479555051,0.953349282243941,FALSE,4,19
"62",0.01,34,"tC2",0.17,17,0.588031690224913,0.947129186545587,FALSE,4,19
"63",0.01,34,"tC2",0.19,19,0.58416990090123,0.94090909085763,FALSE,4,19
"64",0.01,34,"tC2",0.21,21,0.580308111577852,0.934688995170163,FALSE,4,19
"65",0.01,34,"tC2",0.23,23,0.576446322260026,0.92846889949164,FALSE,4,19
"66",0.01,34,"tC2",0.25,25,0.572584532918524,0.922248803774982,FALSE,4,19
"67",0.01,34,"tC2",0.27,27,0.568722743591121,0.916028708081032,FALSE,4,19
"68",0.01,34,"tC2",0.29,29,0.564860954265409,0.909808612389806,FALSE,4,19
"69",0.01,34,"tC2",0.31,31,0.560999164938981,0.903588516697429,FALSE,4,19
"70",0.01,34,"tC2",0.33,33,0.55713737560723,0.897368420996475,FALSE,4,19
"71",0.01,34,"tC2",0.35,35,0.553275586283946,0.891148325309161,FALSE,4,19
"72",0.01,34,"tC2",0.37,37,0.549413796957726,0.884928229617117,FALSE,4,19
"73",0.01,34,"tC2",0.39,39,0.545552007628697,0.878708133920549,FALSE,4,19
"74",0.01,34,"tC2",0.41,41,0.541690218301384,0.872488038226745,FALSE,4,19
"75",0.01,34,"tC2",0.43,43,0.537828428974138,0.866267942533048,FALSE,4,19
"76",0.01,34,"tC2",0.45,45,0.533966639637892,0.860047846824857,FALSE,4,19
"77",0.01,34,"tC2",0.47,47,0.529165935526467,0.85231546257502,FALSE,4,19
"78",0.01,34,"tC2",0.49,49,0.520043275300115,0.837621802517325,FALSE,4,19
"79",0.1,34,"tC2",0.001,0.00830077790111765,0.623497175423164,0.686478511658783,TRUE,4,19
"80",0.1,34,"tC2",0.01,0.0830077790111765,0.647024382902875,0.712382273553451,TRUE,4,19
"81",0.1,34,"tC2",0.03,0.249023337033529,0.699307070265731,0.769946193361132,TRUE,4,19
"82",0.1,34,"tC2",0.05,0.415038895055883,0.751589761756422,0.827510117713613,TRUE,4,19
"83",0.1,34,"tC2",0.07,0.581054453078235,0.803872448289117,0.885074036607277,TRUE,4,19
"84",0.1,34,"tC2",0.09,0.747070011100588,0.856155129049221,0.942637949145242,TRUE,4,19
"85",0.1,34,"tC2",0.11,0.913085569122941,0.901769290384881,0.992859734934433,TRUE,4,19
"86",0.1,34,"tC2",0.13,1.07910112714529,0.903479039492667,0.994742190972869,TRUE,4,19
