"","x_Glc","reaction","phi","rel_phi","mu","mu_norm","opt_phi_nonzero","convergence","f.tC","f.ATPS","f.EAA","f.ENT","f.RNAp","f.DNAp","f.r","v.tC","v.ATPS","v.EAA","v.ENT","v.RNAp","v.DNAp","v.r","p.tC","p.ATPS","p.EAA","p.ENT","p.RNAp","p.DNAp","p.r","c.x_C","c.x_W","c.C","c.AA","c.NT","c.ATP","c.RNA","c.DNA","c.p","shape"
"112",1,"EAA",0.06,0.261479067225868,0.382311043039571,0.391741277845669,TRUE,4,1.13888172558714,0.277763450217453,0.37881348930649,0.0376772093822466,0.031842694334151,0.00324813917849635,0.43965577009816,110.593393343613,26.9727767302097,36.7854433744128,3.65872095730774,3.09214867575619,0.315417067226233,42.6936550353267,3.57802154935218,2.45691306265071,6.70147068994704,0.212627737233746,7.6018944851707,0.58157793705281,90.5400601435253,1,1e-05,118.198910627661,2.57406876751156,0.656939470878216,11.9844439383209,8.08804436087434,0.825027351338072,111.672565604933,19
"113",1,"EAA",0.07,0.305058911763513,0.440419213572751,0.451282767406005,TRUE,4,1.14365292044874,0.287305839529376,0.393171409530579,0.0437165531242462,0.0367660132966218,0.00391279743964182,0.452480471808268,127.936426835351,32.1398930226983,43.9827017181259,4.89041692656134,4.11288450022508,0.437710877494077,50.6173977619095,4.13911969173194,2.9398567405242,8.046252177702,0.269168960611184,7.90837842683836,0.631232762659128,90.9960310792333,1,1e-05,112.649818510651,2.9247041272256,0.771586566547581,12.3914332030149,9.33856737734193,0.993850549669021,114.9300398393,19
"114",1,"EAA",0.08,0.348638756301158,0.4967854834054,0.509039389856877,TRUE,4,1.14802425707572,0.296048512811006,0.40651952982326,0.0500937204531916,0.0419216695791261,0.00464672725726935,0.463761442554771,144.861733520172,37.3564413012593,51.296062288794,6.3210016152521,5.28982352930501,0.586340368275923,58.5190479157868,4.68670314329968,3.4318168117688,9.42481043740578,0.332146828368205,8.1909989638928,0.68093670645582,91.0479935177207,1,1e-05,107.42016622033,3.29392320017883,0.895432198666244,12.7666993457043,10.648104073098,1.18026872334641,117.795406408912,19
"115",1,"EAA",0.09,0.392218600838803,0.551268772567576,0.564866585294224,TRUE,4,1.15208025122448,0.304160499809595,0.419131960033176,0.0568635313268005,0.047347326309242,0.00545985598705154,0.473783639393568,161.316889961934,42.5892430899682,58.6878077324383,7.96216063606934,6.6296800245485,0.76450141952792,66.3402598391773,5.21907585170962,3.93030805686102,10.8318977673799,0.401895387831885,8.45768348617078,0.731473201627377,90.7687106543857,1,1e-05,102.412597380301,3.68718069300047,1.03031265374875,13.1158408989245,12.0262208825475,1.38680342071109,120.341044405966,19
"116",1,"EAA",0.1,0.435798445376447,0.603698328708353,0.618589389522359,TRUE,4,1.1558778412648,0.311755682989758,0.43120557571827,0.0640783969807779,0.0530767170490095,0.00636295744414255,0.482735477119214,177.241586324495,47.8044217357069,66.120793689274,9.82574137555593,8.13875064545655,0.975691920766492,74.0223565892551,5.73428661638071,4.43288410065405,12.2627072737448,0.478773857233766,8.71421693080563,0.783510094999048,90.2084323144623,1,1e-05,97.5566511945166,4.11020650691338,1.17823551185697,13.4424182187314,13.4814861304484,1.61619119081221,122.61481118828,19
"117",1,"EAA",0.11,0.479378289914092,0.653872508783754,0.670001185690543,TRUE,4,1.15945607311631,0.31891214575352,0.442889269024203,0.0717885229306501,0.0591397059600737,0.00736762151185589,0.490743737838832,192.566658643693,52.966082745668,73.5566518323657,11.9228975639982,9.82213628783111,1.2236412310785,81.5044951137709,6.23009777964889,4.93703895245648,13.7126265143091,0.56314389551015,8.96494453864819,0.83763924545209,89.4034184850385,1,1e-05,92.7988550470281,4.56931863232364,1.34142364651502,13.7486321460459,15.0214853138587,1.8713758640114,124.648909411063,19
"118",1,"EAA",0.12,0.522958134451737,0.701556891979632,0.718861770668473,TRUE,4,1.16284152986081,0.325683060308598,0.454300742843936,0.0800405941855694,0.0655610650719292,0.00848607783808583,0.497894033744025,207.213070346714,58.0352396723708,80.9543255621019,14.2628697442139,11.6826835298712,1.51218046386892,88.7224516755597,6.70395227592309,5.44013656563046,15.1770747953337,0.655339201536839,9.21305712621276,0.894388153403198,88.3811364529423,1,1e-05,88.097222668492,5.07168111016319,1.5223366239908,14.035700652682,16.65251052827,2.1554637708738,126.465084570982,19
"119",1,"EAA",0.13,0.566537978989381,0.746483064091969,0.764896109441627,TRUE,4,1.16605156230836,0.332103123643583,0.465536582173926,0.0888747041887061,0.0723579947935836,0.00973065203835175,0.504243892943439,221.091186752777,62.9689767623219,88.2688542742562,16.8512392217754,13.7195604869265,1.8449968050972,95.6080196685366,7.15295015964868,5.93936851599313,16.651414108193,0.755621926250406,9.46074663673434,0.954205894673631,87.1636415661402,1,1e-05,83.4182328599066,5.6255541373013,1.72365856861979,14.3040894548152,18.3789306775702,2.47158561774135,128.077948807633,19
"120",1,"EAA",0.14,0.610117823527026,0.788348714898972,0.807794434885179,TRUE,4,1.16909619583488,0.338192392491394,0.476678411335701,0.0983192412867143,0.0795361990915206,0.011112873780063,0.509832284847358,234.100492829244,67.7198386543366,95.4503585011321,19.6875012696287,15.9263741268042,2.22524821989018,102.089109149649,7.57383947388731,6.43173971012574,18.1309310038693,0.864123275392132,9.70915886905341,1.01742971993999,85.770178298961,1,1e-05,78.735360290905,6.24050691921344,1.94822277744321,14.5536450474787,20.2021945692462,2.82266994013601,129.497400351229,19
"121",1,"EAA",0.15,0.653697668064671,0.826820547007497,0.847215228361181,TRUE,4,1.17197929467334,0.343958589819054,0.487796272022569,0.108383050891105,0.087084255712802,0.0126419162132284,0.514687473789621,246.13020662183,72.2355754630578,102.443275037327,22.7617866897276,18.2887751938267,2.65495940397569,108.090761368627,7.96303609658862,6.91409294949474,19.6109000618669,0.98076268986116,9.95826083137412,1.08422152227109,84.2193441911071,1,1e-05,74.0288232224017,6.92757570282838,2.19884725712887,14.7836877458731,22.1194009510517,3.21104671816001,130.730618342564,19
