"","x_C2","kcat","phi","rel_phi","mu","mu_norm","opt_phi_nonzero","convergence","shape"
"1",1e-05,1,0.001,0.743561411771842,0.750946677894608,1,TRUE,-1,21
"2",1e-05,1,0.01,7.43561411771842,0.751655332349264,1.00094368145638,TRUE,-1,21
"3",1e-05,1,0.02,14.8712282354368,0.750946677894608,1,TRUE,-1,21
"4",1e-05,1,0.03,22.3068423531553,0.511801225503255,0.681541367142294,TRUE,-1,21
"5",1e-05,1,0.04,29.7424564708737,0.750946677894608,1,TRUE,-1,21
"6",1e-05,1,0.05,37.1780705885921,0.0102321421174394,0.0136256573451083,TRUE,-1,21
"7",1e-05,1,0.06,44.6136847063105,0.750946677894608,1,TRUE,-1,21
"8",1e-05,1,0.07,52.0492988240289,0.750946677894608,1,TRUE,-1,21
"9",1e-05,1,0.08,59.4849129417474,0.750946677894608,1,TRUE,-1,21
"10",1e-05,1,0.09,66.9205270594658,0.750946677894608,1,TRUE,-1,21
"11",1e-05,1,0.1,74.3561411771842,0.750946677894608,1,TRUE,-1,21
"12",1e-05,1,0.11,81.7917552949026,0.750946677894608,1,TRUE,-1,21
"13",1e-05,1,0.12,89.2273694126211,0.750946677894608,1,TRUE,-1,21
"14",1e-05,1,0.13,96.6629835303395,0.00178309952432708,0.00237446888949062,TRUE,-1,21
"15",1e-05,1,0.14,104.098597648058,0.750946677894608,1,TRUE,-1,21
"16",1e-05,1,0.15,111.534211765776,0.750946677894608,1,TRUE,-1,21
"17",1e-05,1,0.16,118.969825883495,0.750946677894608,1,TRUE,-1,21
"18",1e-05,1,0.17,126.405440001213,0.750946677894608,1,TRUE,-1,21
"19",1e-05,1,0.18,133.841054118932,0.00134264715437824,0.00178793940222567,TRUE,-1,21
"20",1e-05,1,0.19,141.27666823665,0.750946677894608,1,TRUE,-1,21
"21",1e-05,1,0.2,148.712282354368,0.750946677894608,1,TRUE,-1,21
"22",0.05,1,0.001,0.1,0.754367549612288,0.999058823502784,FALSE,4,19
"23",0.05,1,0.01,1,0.747971592808933,0.990588235017875,FALSE,4,19
"24",0.05,1,0.02,2,0.740864974588373,0.98117647063039,FALSE,4,19
"25",0.05,1,0.03,3,0.733758356048147,0.971764705819548,FALSE,4,19
"26",0.05,1,0.04,4,0.726651737694789,0.96235294125619,FALSE,4,19
"27",0.05,1,0.05,5,0.719545119373952,0.9529411767359,FALSE,4,19
"28",0.05,1,0.06,6,0.712438501499818,0.943529412807208,FALSE,4,19
"29",0.05,1,0.07,7,0.705331883071623,0.934117648144737,FALSE,4,19
"30",0.05,1,0.08,8,0.698225263713488,0.924705882250685,FALSE,4,19
"31",0.05,1,0.09,9,0.691118645337378,0.915294117657195,FALSE,4,19
"32",0.05,1,0.1,10,0.68401202688177,0.905882352958418,FALSE,4,19
"33",0.05,1,0.11,11,0.676905408417419,0.896470588248064,FALSE,4,19
"34",0.05,1,0.12,12,0.669798789961438,0.887058823548793,FALSE,4,19
"35",0.05,1,0.13,13,0.662692171478263,0.877647058813509,FALSE,4,19
"36",0.05,1,0.14,14,0.655585553008075,0.868235294095424,FALSE,4,19
"37",0.05,1,0.15,15,0.648478934566541,0.858823529415288,FALSE,4,19
"38",0.05,1,0.16,16,0.641372316105763,0.849411764709665,FALSE,4,19
"39",0.05,1,0.17,17,0.634265697603263,0.839999999948787,FALSE,4,19
"40",0.05,1,0.18,18,0.627159079200825,0.830588235320427,FALSE,4,19
"41",0.05,1,0.19,19,0.620052460680995,0.821176470536599,FALSE,4,19
"42",0.05,1,0.2,20,0.612945842266438,0.811764705892189,FALSE,4,19
