"","x_C2","kcat","phi","rel_phi","mu","mu_norm","opt_phi_nonzero","convergence","shape"
"1",1e-07,3,0.001,0.1,0.474178102742595,1.00000000009413,FALSE,-1,21
"2",1e-07,3,0.01,1,0.474178102749051,1.00000000010775,FALSE,-1,21
"3",1e-07,3,0.03,3,0.474178102697959,1,FALSE,-1,21
"4",1e-07,3,0.05,5,0.474178102697959,1,FALSE,-1,21
"5",1e-07,3,0.07,7,0.474178102779117,1.00000000017116,FALSE,-1,21
"6",1e-07,3,0.09,9,0.474178102697959,1,FALSE,-1,21
"7",1e-07,3,0.11,11,0.474178102697959,1,FALSE,-1,21
"8",1e-07,3,0.13,13,0.474178102785533,1.00000000018469,FALSE,-1,21
"9",1e-07,3,0.15,15,0.474178102697959,1,FALSE,-1,21
"10",1e-07,3,0.17,17,0.474178102697959,1,FALSE,-1,21
"11",1e-07,3,0.19,19,0.474178102697959,1,FALSE,-1,21
"12",1e-07,3,0.21,21,0.474178102697959,1,FALSE,-1,21
"13",1e-07,3,0.23,23,0.474178102697959,1,FALSE,-1,21
"14",1e-07,3,0.25,25,0.474178102697959,1,FALSE,-1,21
"15",1e-07,3,0.27,27,0.474178102697959,1,FALSE,-1,21
"16",1e-07,3,0.29,29,0.474178102697959,1,FALSE,-1,21
"17",1e-07,3,0.31,31,0.474178102697959,1,FALSE,-1,21
"18",1e-07,3,0.33,33,0.474178102697959,1,FALSE,-1,21
"19",1e-07,3,0.35,35,0.474178102697959,1,FALSE,-1,21
"20",1e-07,3,0.37,37,0.474178102697959,1,FALSE,-1,21
"21",1e-07,3,0.39,39,0.474178102697959,1,FALSE,-1,21
"22",1e-07,3,0.41,41,0.474178102697959,1,FALSE,-1,21
"23",1e-07,3,0.43,43,0.474178102697959,1,FALSE,-1,21
"24",1e-07,3,0.45,45,0.474178102697959,1,FALSE,-1,21
"25",1e-07,3,0.47,47,0.474178102697959,1,FALSE,-1,21
"26",1e-07,3,0.49,49,0.474178102697959,1,FALSE,-1,21
"27",0.05,3,0.001,0.1,0.474178102737129,1.00000000000398,FALSE,-1,21
"28",0.05,3,0.01,1,0.474178102735241,1,FALSE,-1,21
"29",0.05,3,0.03,3,0.474178102735241,1,FALSE,-1,21
"30",0.05,3,0.05,5,0.474178102735241,1,FALSE,-1,21
"31",0.05,3,0.07,7,0.474178102744662,1.00000000001987,FALSE,-1,21
"32",0.05,3,0.09,9,0.474178102735241,1,FALSE,-1,21
"33",0.05,3,0.11,11,0.474178102735241,1,FALSE,-1,21
"34",0.05,3,0.13,13,0.474178102735241,1,FALSE,-1,21
"35",0.05,3,0.15,15,0.474178102735241,1,FALSE,-1,21
"36",0.05,3,0.17,17,0.474178102735241,1,FALSE,-1,21
"37",0.05,3,0.19,19,0.474178102735241,1,FALSE,-1,21
"38",0.05,3,0.21,21,0.474178102735241,1,FALSE,-1,21
"39",0.05,3,0.23,23,0.474178102735241,1,FALSE,-1,21
"40",0.05,3,0.25,25,0.474178102735241,1,FALSE,-1,21
"41",0.05,3,0.27,27,0.474178102735241,1,FALSE,-1,21
"42",0.05,3,0.29,29,0.474178102735241,1,FALSE,-1,21
"43",0.05,3,0.31,31,0.474178102735241,1,FALSE,-1,21
"44",0.05,3,0.33,33,0.474178102735241,1,FALSE,-1,21
"45",0.05,3,0.35,35,0.474178102735241,1,FALSE,-1,21
"46",0.05,3,0.37,37,0.474178102735241,1,FALSE,-1,21
"47",0.05,3,0.39,39,0.474178102735241,1,FALSE,-1,21
"48",0.05,3,0.41,41,0.474178102735241,1,FALSE,-1,21
"49",0.05,3,0.43,43,0.474178102735241,1,FALSE,-1,21
"50",0.05,3,0.45,45,0.474178102735241,1,FALSE,-1,21
"51",0.05,3,0.47,47,0.474178102735241,1,FALSE,-1,21
"52",0.05,3,0.49,49,0.474178102735241,1,FALSE,-1,21
"53",0.2,3,0.001,0.1,0.474178102740408,0.999999999881555,FALSE,-1,21
"54",0.2,3,0.01,1,0.474178102701057,0.999999999798567,FALSE,-1,21
"55",0.2,3,0.03,3,0.474178102796572,1,FALSE,-1,21
"56",0.2,3,0.05,5,0.474178102796572,1,FALSE,-1,21
"57",0.2,3,0.07,7,0.474178102796572,1,FALSE,-1,21
"58",0.2,3,0.09,9,0.474178102796572,1,FALSE,-1,21
"59",0.2,3,0.11,11,0.474178102796572,1,FALSE,-1,21
"60",0.2,3,0.13,13,0.474178102796572,1,FALSE,-1,21
"61",0.2,3,0.15,15,0.474178102796572,1,FALSE,-1,21
"62",0.2,3,0.17,17,0.474178102796572,1,FALSE,-1,21
"63",0.2,3,0.19,19,0.474178102796572,1,FALSE,-1,21
"64",0.2,3,0.21,21,0.474178102796572,1,FALSE,-1,21
"65",0.2,3,0.23,23,0.474178102796572,1,FALSE,-1,21
"66",0.2,3,0.25,25,0.474178102796572,1,FALSE,-1,21
"67",0.2,3,0.27,27,0.474178102796572,1,FALSE,-1,21
"68",0.2,3,0.29,29,0.474178102796572,1,FALSE,-1,21
"69",0.2,3,0.31,31,0.474178102796572,1,FALSE,-1,21
"70",0.2,3,0.33,33,0.474178102796572,1,FALSE,-1,21
"71",0.2,3,0.35,35,0.474178102796572,1,FALSE,-1,21
"72",0.2,3,0.37,37,0.474178102796572,1,FALSE,-1,21
"73",0.2,3,0.39,39,0.474178102796572,1,FALSE,-1,21
"74",0.2,3,0.41,41,0.474178102796572,1,FALSE,-1,21
"75",0.2,3,0.43,43,0.474178102796572,1,FALSE,-1,21
"76",0.2,3,0.45,45,0.474178102796572,1,FALSE,-1,21
"77",0.2,3,0.47,47,0.474178102796572,1,FALSE,-1,21
"78",0.2,3,0.49,49,0.474178102796572,1,FALSE,-1,21
"79",1e-07,34,0.001,0.1,0.474178102743772,0.999999999776081,FALSE,-1,21
"80",1e-07,34,0.01,1,0.474178102750827,0.99999999979096,FALSE,-1,21
"81",1e-07,34,0.03,3,0.474178102700737,0.999999999685325,FALSE,-1,21
"82",1e-07,34,0.05,5,0.474178102751133,0.999999999791604,FALSE,-1,21
"83",1e-07,34,0.07,7,0.474178102746193,0.999999999781186,FALSE,-1,21
"84",1e-07,34,0.09,9,0.474178102739959,0.999999999768039,FALSE,-1,21
"85",1e-07,34,0.11,11,0.474178102849949,1,FALSE,-1,21
"86",1e-07,34,0.13,13,0.474178102849949,1,FALSE,-1,21
"87",1e-07,34,0.15,15,0.474178102849949,1,FALSE,-1,21
"88",1e-07,34,0.17,17,0.474178102849949,1,FALSE,-1,21
"89",1e-07,34,0.19,19,0.474178102849949,1,FALSE,-1,21
"90",1e-07,34,0.21,21,0.474178102645354,0.999999999568527,FALSE,-1,21
"91",1e-07,34,0.23,23,0.474178102849949,1,FALSE,-1,21
"92",1e-07,34,0.25,25,0.474178102849949,1,FALSE,-1,21
"93",1e-07,34,0.27,27,0.474178102849949,1,FALSE,-1,21
"94",1e-07,34,0.29,29,0.474178102849949,1,FALSE,-1,21
"95",1e-07,34,0.31,31,0.474178102849949,1,FALSE,-1,21
"96",1e-07,34,0.33,33,0.474178102849949,1,FALSE,-1,21
"97",1e-07,34,0.35,35,0.474178102849949,1,FALSE,-1,21
"98",1e-07,34,0.37,37,0.474178102849949,1,FALSE,-1,21
"99",1e-07,34,0.39,39,0.474178102849949,1,FALSE,-1,21
"100",1e-07,34,0.41,41,0.474178102849949,1,FALSE,-1,21
"101",1e-07,34,0.43,43,0.474178102849949,1,FALSE,-1,21
"102",1e-07,34,0.45,45,0.474178102849949,1,FALSE,-1,21
"103",1e-07,34,0.47,47,0.474178102849949,1,FALSE,-1,21
"104",1e-07,34,0.49,49,0.474178102849949,1,FALSE,-1,21
"105",0.05,34,0.001,0.1,0.473904969356349,0.999423985683063,FALSE,4,19
"106",0.05,34,0.01,1,0.471449389063837,0.994245382372697,FALSE,4,19
"107",0.05,34,0.03,3,0.466009801666036,0.982773769983898,FALSE,4,19
"108",0.05,34,0.05,5,0.460594888390844,0.971354193154032,FALSE,4,19
"109",0.05,34,0.07,7,0.455205765200808,0.959989005350162,FALSE,4,19
"110",0.05,34,0.09,9,0.449843611401792,0.948680693624845,FALSE,4,19
"111",0.05,34,0.11,11,0.444509671381314,0.937431882282138,FALSE,4,19
"112",0.05,34,0.13,13,0.43920526054556,0.926245345398235,FALSE,4,19
"113",0.05,34,0.15,15,0.433931768264744,0.915124013032971,FALSE,4,19
"114",0.05,34,0.17,17,0.428690662554343,0.904070981102141,FALSE,4,19
"115",0.05,34,0.19,19,0.423483494068848,0.893089519799963,FALSE,4,19
"116",0.05,34,0.21,21,0.418311900963728,0.882183083852541,FALSE,4,19
