"","x_Glc","reaction","phi","rel_phi","mu","mu_norm","opt_phi_nonzero","convergence","f.tC","f.ATPS","f.EAA","f.ENT","f.RNAp","f.DNAp","f.r","v.tC","v.ATPS","v.EAA","v.ENT","v.RNAp","v.DNAp","v.r","p.tC","p.ATPS","p.EAA","p.ENT","p.RNAp","p.DNAp","p.r","c.x_C","c.x_W","c.C","c.AA","c.NT","c.ATP","c.rRNA","c.DNA","c.p","shape"
"1",1,"tC",0,0,-3.40772064160272e-22,-4.23377404676448e-07,FALSE,-1,0.00262537160707773,0.000866856668112958,0.00174852459335832,5.01620840564827e-06,3.94174806801868e-17,7.14646134219209e-17,0.00217316784068997,-2.27241938639839e-22,-7.50317361754831e-23,-1.51345477068084e-22,-4.34183457933321e-25,-3.41182356886777e-36,-6.18569853287179e-36,-1.88100942273015e-22,-7.35194507364186e-24,-3.50226770714444e-20,-1.4128751485058e-19,2.93138481531141e-16,-9.84723363398018e-20,-1.33899110137979e-19,0.551984631535252,1,1e-05,0.00196419516327386,0.00196418886404583,0.0012741169350065,-0.000433541150208152,1.00120400927675e-14,1.81520118091679e-14,0.551984631535252,21
"2",1,"tC",0.001,0.1,8.0488958644521e-16,1,FALSE,-1,0.00267368011631964,0.000900348442238636,0.00175766287020328,4.31675103239544e-06,8.23434044940868e-12,4.49743249619769e-11,0.00218086957464958,5.46612389910269e-16,1.84068995673831e-16,3.59340033339837e-16,8.82525020125932e-19,1.6834446592593e-24,9.19463891810171e-24,4.45861239347784e-16,1.76845184970969e-17,4.84109478442721e-14,1.89015988800193e-13,2.96929138679179e-11,8.97015130713022e-14,3.67448828163839e-13,0.553940871930607,1,1e-05,0.00348647154193752,0.00280026681983575,0.00109644124722743,0.00344643229588505,2.09152247414981e-09,1.14234785403421e-08,0.553940871960994,21
"3",1,"tC",0.01,1,8.0488958644521e-16,1,FALSE,-1,0.00267368011631964,0.000900348442238636,0.00175766287020328,4.31675103239544e-06,8.23434044940868e-12,4.49743249619769e-11,0.00218086957464958,5.46612389910269e-16,1.84068995673831e-16,3.59340033339837e-16,8.82525020125932e-19,1.6834446592593e-24,9.19463891810171e-24,4.45861239347784e-16,1.76845184970969e-17,4.84109478442721e-14,1.89015988800193e-13,2.96929138679179e-11,8.97015130713022e-14,3.67448828163839e-13,0.553940871930607,1,1e-05,0.00348647154193752,0.00280026681983575,0.00109644124722743,0.00344643229588505,2.09152247414981e-09,1.14234785403421e-08,0.553940871960994,21
"4",1,"tC",0.02,2,8.0488958644521e-16,1,FALSE,-1,0.00267368011631964,0.000900348442238636,0.00175766287020328,4.31675103239544e-06,8.23434044940868e-12,4.49743249619769e-11,0.00218086957464958,5.46612389910269e-16,1.84068995673831e-16,3.59340033339837e-16,8.82525020125932e-19,1.6834446592593e-24,9.19463891810171e-24,4.45861239347784e-16,1.76845184970969e-17,4.84109478442721e-14,1.89015988800193e-13,2.96929138679179e-11,8.97015130713022e-14,3.67448828163839e-13,0.553940871930607,1,1e-05,0.00348647154193752,0.00280026681983575,0.00109644124722743,0.00344643229588505,2.09152247414981e-09,1.14234785403421e-08,0.553940871960994,21
"5",1,"tC",0.03,3,1.55744371140124e-14,19.3497808597535,FALSE,-1,0.00264138699732625,0.000890271601389373,0.00174631978844209,5.36926375209506e-10,3.00827913365137e-10,1.68735562410472e-10,0.00217342984951948,1.04490813836415e-14,3.5218316838384e-15,6.90827872241591e-15,2.12403082065099e-21,1.19004725638661e-21,6.67502197037493e-22,8.59788641431691e-15,3.38058515353106e-16,2.65077372139834e-12,1.03992952198766e-11,3.86135538384753e-13,1.08187760774969e-06,4.55122061050309e-07,0.552049644764843,1,1e-05,0.00121802293299045,0.00192421947124831,1.71101764562098e-08,0.00265424338293073,7.64102899947447e-08,4.285883285226e-08,0.552051181777949,21
"6",1,"tC",0.04,4,1.3431586990769e-21,1.66874900818254e-06,FALSE,-1,0.00267245473469865,0.00090094126812666,0.00175254640483179,1.05980397998659e-05,1.84542260875509e-17,2.86524487944755e-06,0.0021750556151385,9.11740829499132e-22,3.0736720381699e-22,5.97902779093184e-22,3.61565173498967e-24,6.29588639327336e-36,9.77513560543139e-25,7.42046997094129e-22,2.94974974249719e-23,7.81541694789535e-20,3.0405713133278e-19,1.57950157780272e-16,2.94259936368953e-30,3.42655974263452e-19,0.552464126245179,1,1e-05,0.00360627773288605,0.0019641298820073,0.00196412990978157,0.00365752559213343,4.68737342623794e-15,0.000727772199379677,0.552464126245179,21
"7",1,"tC",0.05,5,4.00273037136665e-16,0.497301796268068,FALSE,-1,0.00264315427596559,0.000885295412536052,0.00174767246804978,1.24467324472894e-12,1.04692041293681e-11,1.47201689799173e-14,0.00217503183182913,2.68727780974023e-16,9.00074104188965e-17,1.7768472634343e-16,1.26545121537242e-25,1.06439719384953e-24,1.49659003316813e-27,2.21134075687574e-16,8.69413409033604e-18,3.18961029145243e-14,1.25932971327865e-13,1.46688500922026e-17,-8.08714935761908e-05,-8.52817011963986e-08,0.552539042059719,1,1e-05,0.00258734428419203,0.00194233851469752,-2.34676976761923e-09,0.00194090030354394,2.65917784885949e-09,3.738922920899e-12,0.5524580852846,21
"8",1,"tC",0.06,6,6.25852707800431e-15,7.77563430239551,FALSE,-1,0.00262821925922634,0.000873058238867025,0.00174754995700204,2.09830030033067e-14,8.32028132304143e-10,1.31145767128648e-13,0.00217502148517159,4.17799047580332e-15,1.3878708916705e-15,2.77802053641989e-15,3.33559638884064e-26,1.32264673130446e-21,2.08477951024034e-25,3.45755743848764e-15,1.35170280099519e-16,6.58199839506363e-13,2.63496076211541e-12,2.63037011484107e-17,-0.000125237760317723,-1.48051503723113e-08,0.552580709795758,1,1e-05,0.00193321009034772,0.0019133232892534,-2.1136312694734e-07,0.000387304888862477,2.11335145605252e-07,3.33110248506766e-11,0.552455457233584,21
"9",1,"tC",0.07,7,1.0874299996263e-18,0.00135103002689963,FALSE,-1,0.00266326469006807,0.000888772263549101,0.00176018626145129,1.46074101615655e-05,1.67487512290396e-14,8.0022663597006e-06,0.00217596286795368,7.35612935915067e-19,2.45485316043643e-19,4.86176153790578e-19,4.03467215073922e-21,4.62612601385482e-30,2.21028374415285e-21,6.01016654374172e-19,2.3799242044311e-20,1.14588831645146e-16,4.53879346711629e-16,3.62724159300698e-13,9.06383776563978e-25,3.2479097866714e-16,0.552694568459872,1,1e-05,0.00196413894572328,0.00326202865897273,0.0016777065214195,0.00196413556058498,4.25418281217605e-12,0.00203257565536395,0.552694568460235,21
"10",1,"tC",0.08,8,2.93355650538635e-19,0.000364466947366332,FALSE,-1,0.00264099999233134,0.000885488638451057,0.00174777779460002,3.82018712002305e-15,7.49876808539546e-15,2.28113832601082e-14,0.00217505611446147,1.96787076789014e-19,6.59798262766546e-20,1.30231004950695e-19,2.84651063354514e-31,5.58750721442104e-31,1.69972943669262e-30,1.62068510359634e-19,6.36664071964459e-21,3.07954829002957e-17,1.21568270556859e-16,4.24672842236642e-23,-9.55490583847599e-09,-2.17996426159871e-08,0.552464284427761,1,1e-05,0.00196432405674948,0.00196415736939904,-6.72845091327207e-12,0.00196420646854465,1.90468709369045e-12,5.79409134806748e-12,0.552464253073213,21
