"","x_C2","kcat","phi","rel_phi","mu","mu_norm","opt_phi_nonzero","convergence","shape"
"69",0.01,20,0.31,31,0.543835550515699,0.872350881819509,FALSE,4,19
"70",0.01,20,0.33,33,0.538701554785226,0.864115587715456,FALSE,4,19
"71",0.01,20,0.35,35,0.533567559061577,0.855880293622351,FALSE,4,19
"72",0.01,20,0.37,37,0.528433563322106,0.847644999503866,FALSE,4,19
"73",0.01,20,0.39,39,0.523299567539936,0.839409705316889,FALSE,4,19
"74",0.01,20,0.41,41,0.51816557182925,0.831174411244577,FALSE,4,19
"75",0.01,20,0.43,43,0.51303157586104,0.822939116759178,FALSE,4,19
"76",0.01,20,0.45,45,0.507897580371148,0.814703823041036,FALSE,4,19
"77",0.01,20,0.47,47,0.502763584432374,0.806468528602853,FALSE,4,19
"78",0.01,20,0.49,49,0.497629588703894,0.798233234501999,FALSE,4,19
"79",0.02,20,0.001,0.00279410809224781,0.623463152019427,0.972885080331674,TRUE,4,19
"80",0.02,20,0.01,0.0279410809224781,0.62390320891796,0.973571768534005,TRUE,4,19
"81",0.02,20,0.03,0.0838232427674343,0.624881112790776,0.975097741776819,TRUE,4,19
"82",0.02,20,0.05,0.139705404612391,0.625859016825848,0.976623715272823,TRUE,4,19
"83",0.02,20,0.07,0.195587566457347,0.626836920619725,0.978149688392456,TRUE,4,19
"84",0.02,20,0.09,0.251469728302303,0.627814824657067,0.979675661892004,TRUE,4,19
"85",0.02,20,0.11,0.307351890147259,0.628792728743132,0.981201635467581,TRUE,4,19
"86",0.02,20,0.13,0.363234051992215,0.629770632463417,0.982727608472375,TRUE,4,19
"87",0.02,20,0.15,0.419116213837172,0.630748536437099,0.984253581872585,TRUE,4,19
"88",0.02,20,0.17,0.474998375682128,0.6317264403954,0.985779555248793,TRUE,4,19
"89",0.02,20,0.19,0.530880537527084,0.632704344344638,0.987305528610858,TRUE,4,19
"90",0.02,20,0.21,0.58676269937204,0.633682248280313,0.98883150195176,TRUE,4,19
"91",0.02,20,0.23,0.642644861216996,0.634660152301172,0.990357475425586,TRUE,4,19
"92",0.02,20,0.25,0.698527023061953,0.63563805617957,0.99188344867711,TRUE,4,19
"93",0.02,20,0.27,0.754409184906909,0.636615960147214,0.993409422067898,TRUE,4,19
"94",0.02,20,0.29,0.810291346751865,0.637593864096136,0.99493539542947,TRUE,4,19
"95",0.02,20,0.31,0.866173508596821,0.638571767926365,0.996461368605826,TRUE,4,19
"96",0.02,20,0.33,0.922055670441777,0.639549672078392,0.997987342284335,TRUE,4,19
"97",0.02,20,0.35,0.977937832286734,0.640527576081943,0.999513315731154,TRUE,4,19
"98",0.02,20,0.37,1.03381999413169,0.639645772481066,0.998137302466701,TRUE,4,19
"99",0.02,20,0.39,1.08970215597665,0.632442145686512,0.986896379871679,TRUE,4,19
"100",0.02,20,0.41,1.1455843178216,0.618890905068316,0.965750302874626,TRUE,4,19
"101",0.02,20,0.43,1.20146647966656,0.599467746058013,0.935441371941296,TRUE,4,19
"102",0.02,20,0.45,1.25734864151151,0.574930166032125,0.897151626288634,TRUE,4,19
"103",0.02,20,0.47,1.31323080335647,0.546236222182408,0.852376069342175,TRUE,4,19
"104",0.02,20,0.49,1.36911296520143,0.514431237898342,0.802745879346301,TRUE,4,19
"105",1e-05,60,0.001,0.1,0.622791564140761,0.999001940726247,FALSE,4,19
"106",1e-05,60,0.01,1,0.61719173062396,0.990019409694785,FALSE,4,19
"107",1e-05,60,0.03,3,0.604747656389451,0.970058230021506,FALSE,4,19
"108",1e-05,60,0.05,5,0.592303583378831,0.950097052311432,FALSE,4,19
"109",1e-05,60,0.07,7,0.579856395538147,0.930130878192514,FALSE,4,19
"110",1e-05,60,0.09,9,0.567412320814999,0.910169697735425,FALSE,4,19
"111",1e-05,60,0.11,11,0.55496824712643,0.890208518937873,FALSE,4,19
"112",1e-05,60,0.13,13,0.542524171550229,0.870247337112424,FALSE,4,19
"113",1e-05,60,0.15,15,0.530080096861246,0.850286156710137,FALSE,4,19
"114",1e-05,60,0.17,17,0.517636022262599,0.830324976452755,FALSE,4,19
"115",1e-05,60,0.19,19,0.505191947600399,0.810363796093429,FALSE,4,19
"116",1e-05,60,0.21,21,0.492747872952712,0.790402615757384,FALSE,4,19
"117",1e-05,60,0.23,23,0.480303798350188,0.770441435493783,FALSE,4,19
"118",1e-05,60,0.25,25,0.467859723706434,0.750480255164047,FALSE,4,19
"119",1e-05,60,0.27,27,0.455415649076655,0.730519074856726,FALSE,4,19
"120",1e-05,60,0.29,29,0.442971574407368,0.710557894486033,FALSE,4,19
"121",1e-05,60,0.31,31,0.430527499737388,0.690596714114228,FALSE,4,19
