"","convergence","mu","x_G","x_CO2","G","CO2","AA","Protein","tau G transport","tau CO2 excretion","tau AA production","tau Ribosome","v G transport","v CO2 excretion","v AA production","v Ribosome","p G transport","p CO2 excretion","p AA production","p Ribosome"
"1",4,1.49131047048439,100,1,49.7050174906746,11.1076362299495,33.6127769804335,245.574568867404,0.11,0.0190028155342691,0.150148366565499,0.274050529705452,594.569378131487,87.5238188103513,520.443765112034,366.22792583665,65.4026315944635,1.6631989837079,78.1437812207699,100.364957068463
"2",4,1.47350537656305,66.6666666666667,1,48.959957404983,11.031776535629,33.3635281060766,246.644737848708,0.115,0.0190647231365712,0.150531067963568,0.274455966852772,587.884867180631,86.8930393033266,515.74210670809,363.432347321056,67.6067597257725,1.65659173681312,77.6352101165491,99.7461762695727
"3",4,1.44769315696511,44.4444444444444,1,47.9070166368454,10.9221799704102,33.0004904695682,248.170312827818,0.1225,0.0191556813997677,0.151092211282441,0.275057453488549,578.165969995787,85.9502967656982,508.811309840012,359.274463642724,70.825331324484,1.6464365010592,76.8774259292428,98.8211190730319
"4",4,1.41084949286479,29.6296296296296,1,46.4579800267008,10.7686458037696,32.4782413684273,250.295133033187,0.13375,0.0192862186965974,0.151906034211595,0.275946309670454,564.233557397921,84.5447294964568,498.688339837728,353.128761506397,75.466238301972,1.63054814271333,75.7537680123133,97.4445785761881
"5",4,1.35938893625281,19.7530864197531,1,44.5290007521514,10.5584131665415,31.7415916653666,253.17099447703,0.150625,0.0194711201790142,0.153071593318644,0.277249796082727,544.666002716304,82.4737643073047,484.133771751436,344.157848872195,82.0403166591432,1.60585657644322,74.1071278213572,95.4176934200863
"6",4,1.28960419679081,13.1687242798354,1,42.0669667607024,10.2799402979774,30.7301743666662,256.922918894572,0.1759375,0.0197276829535358,0.154714526533625,0.279141283027376,517.948032242799,79.4826049213571,463.698295361938,331.328874458185,91.1264819227175,1.56800763020968,71.7408622213711,92.4875671202742
"7",4,1.19857597912873,8.77914951989026,1,39.0777150326114,9.9254780562093,29.3900318618531,261.606775223353,0.21390625,0.0200750814654656,0.156987540698243,0.281848060766249,482.814839276682,75.2990061643295,435.977228719356,313.55559676004,103.277111714028,1.51163368301751,68.4429929370871,88.3750368892211
"8",4,1.08551922981228,5.85276634659351,1,35.6439701479381,9.49444449952721,27.6915788757601,267.170006785299,0.270859375,0.020532475070551,0.160069045193674,0.28565496936962,438.789616732467,69.7130782613828,400.097401710025,290.018179994519,118.850281344645,1.43138204149321,64.0432090761935,82.8451343229673
"9",4,0.953144370153104,3.90184423106234,1,31.9184533076866,8.99483976270885,25.6481183800029,273.438588609138,0.3562890625,0.0211174854292106,0.164162298622376,0.290903403054283,386.76390776713,62.6948218583275,356.341013692914,260.626451315411,137.799750107187,1.32395698708019,58.4977599012564,75.8171216136146
"10",4,0.808214744594543,2.60122948737489,1,28.0931882448153,8.44686027729389,23.3242626179177,280.135688876451,0.48443359375,0.0218387183778582,0.169494771796885,0.297989587169802,329.281337951747,54.4883247762846,306.576008989617,226.409794237097,159.514941898773,1.18995517967056,51.9630306820951,67.4677611159124
"11",4,0.660558697848076,1.73415299158326,1,24.3464534502909,7.85282018537242,20.8297829542609,286.970943140796,0.676650390625,0.0227342785953856,0.176342180188674,0.30735558377616,270.232820120897,45.6428630304261,254.150558532554,189.561152521319,182.8531432945,1.03765756402473,44.8174635877998,58.2626786944715
