"","convergence","mu","x_G","x_N","G","N","AA","Protein","tau rxn1","tau rxn2","tau rxn3","tau rxn4","tau Ribosome","v rxn1","v rxn2","v rxn3","v rxn4","v Ribosome","p rxn1","p rxn2","p rxn3","p rxn4","p Ribosome"
"1",4,1.70993957560691,100,10,29.3131165578189,60.5548703100851,38.9853808225568,211.146631633543,0.0651612903225806,0.11,0.156262007236377,0.140802882390922,0.31059297817272,334.524482495894,246.854972054542,3.00800811060116e-06,355.501027879619,361.047981686289,21.798046923926,27.1540469259997,4.70037385145838e-07,50.0555694183859,112.138967895194
"2",4,1.70906622010453,66.6666666666667,10,29.2828508403116,60.565774209502,38.9697872147665,211.181586502851,0.0654838709677419,0.11,0.156299101055156,0.140822154669732,0.310606867563306,334.318810858668,246.763701870331,-3.2868601949022e-09,355.34059957679,360.923315800106,21.8924898723579,27.1440072057364,-5.13733293757188e-10,50.0398288740379,112.105260551233
"3",4,1.70775789089114,44.4444444444444,10,29.2775746855564,60.5794872358632,38.8901355753055,211.252802158938,0.0659677419354839,0.11,0.156301257266185,0.140823424914632,0.310708602139498,334.022886509556,246.614795805387,9.21366929481052e-06,355.029838580718,360.768639859791,22.0347355778078,27.1276275385926,1.44010809481373e-06,49.9965178158257,112.093919786604
"4",4,1.70580118039057,29.6296296296296,10,29.1778167036489,60.6189379963404,38.9159891788065,211.287256137275,0.0666935483870968,0.11,0.156422886921129,0.140886665030156,0.310643650110147,333.54281305039,246.429588309816,0.000859348199358518,354.713321665433,360.414050920447,22.2451537413445,27.1072547140798,0.000134421726214133,49.974376931212,111.960336328912
"5",-1,1.70287451539398,19.7530864197531,10,29.1778167036489,60.6189379963404,38.9159891788065,211.287256137275,0.0677822580645161,0.11,0.156422886921129,0.140886665030156,0.310643650110147,332.970549361609,246.006785899711,0.000857873804614364,354.104735463082,359.795683903686,22.5694957047123,27.0607464489682,0.000134191097131791,49.8886352507794,111.768244541718
"6",4,1.69851577441727,13.1687242798354,10,28.8579266935592,60.5858576440203,38.7614061467697,211.794809565159,0.0694153225806452,0.11,0.156877599271211,0.141121007070544,0.310885463018267,331.916699520133,245.578663865829,7.99648084514238e-10,353.626319766983,359.736824986124,23.0401047670931,27.0136530252412,1.25446871760416e-10,49.9041023721669,111.836949400533
"7",4,1.69202795652096,8.77914951989026,10,28.6026598194668,60.5916130603963,38.6345625725514,212.1711646767,0.0718649193548387,0.11,0.157235787549506,0.141305973701961,0.311061290942715,330.452815016935,244.836690418656,5.41033857294771e-08,352.570393667083,358.999542200589,23.7479649017715,26.9320359460522,8.50698846426903e-09,49.8203027756107,111.670861044759
"8",4,1.6824165178533,5.85276634659351,10,28.2322631938446,60.6119386311343,38.443474320428,212.712325676123,0.075539314516129,0.11,0.157762679337375,0.141578207801351,0.311319929040253,328.27804226583,243.743576868865,2.54883192065303e-11,350.974520415133,357.870730268501,24.7978982834576,26.8117934555752,4.0211055298285e-12,49.6903435843131,111.412290352773
"9",4,1.66825625336367,3.90184423106234,10,27.5697302744519,60.4042701284176,38.1429270812725,213.883069119824,0.0810509072580645,0.11,0.158831603136094,0.142127330103365,0.311907292385956,325.258638069478,241.948482408714,9.3949341472131e-05,349.081496713793,356.811767547759,26.3625077090536,26.6143330649585,1.49221245195989e-05,49.6140211164182,111.292192307269
"10",-1,1.6475929704522,2.60122948737489,10,26.9696272204715,60.6542197441404,37.7598941188391,214.616258927273,0.0893182963709678,0.11,0.15967878235898,0.142567896950745,0.312289839992265,320.509470429279,239.67213954214,1.18968171398792e-08,345.093127745983,353.600239553326,28.6273598695043,26.3639353496354,1.89966927484335e-09,49.1992014748994,110.425762231335
"11",-1,1.61777792284193,1.73415299158326,10,25.9767653226082,60.6882107647818,37.176087587959,216.158935685626,0.101719380040323,0.11,0.161316836918515,0.14341401162258,0.313148741300348,313.944938997142,236.099553735314,-1.26406490221833e-10,339.900376939336,349.697153977214,31.9342845615861,25.9709509108845,-2.03914951685573e-11,48.7464766088972,109.507223604279
"12",4,1.57549199350952,1.15610199438884,10,24.6820143665901,60.7311353246874,36.3521011910081,218.234746199928,0.120321005544355,0.11,0.163652612307472,0.144620545161388,0.314412797025003,304.753601538151,230.913671658137,0.00010998927392786,332.334010659262,343.827095343569,36.668259780334,25.400503882395,1.80000320040964e-05,48.062325797213,108.103638739954
"13",4,1.51688682056227,0.770734662925894,10,23.0625362618761,60.7479556594431,35.2240636163575,220.965446222324,0.148223443800403,0.11,0.166959573643034,0.146328166215656,0.316272047844885,292.242918426892,223.498603234001,2.08143804308156e-08,321.574576384928,335.179573174303,43.3172517955142,24.5848463557401,3.4751600823729e-09,47.055418063983,106.007930003611
"14",-1,1.43810156783368,0.513823108617263,10,21.0999529241668,60.5783840308693,33.6575838382974,224.664078077674,0.190077101184476,0.11,0.171724504422602,0.14878486485565,0.319205352121168,275.843742921391,213.110788518455,-1.62688890145527e-08,306.874834439147,323.089762919412,52.4315790343737,23.44218673703,-2.79376690353036e-09,45.6583307696286,103.131981539436
"15",4,1.33625231046051,0.342548739078175,10,19.0388149500834,60.6351643902085,31.8429282278239,228.483094116081,0.252857587260585,0.11,0.177678703836885,0.151859739347238,0.32276100212145,254.879889302882,199.445898504202,2.40421250809406e-06,286.799033943068,305.311062413778,64.4483138503716,21.9390488354622,4.27177362186579e-07,43.553226539634,98.5425044634357
"16",4,1.21076260146415,0.228365826052117,10,16.8279192807042,60.5419196901987,29.5568728586291,233.07328739686,0.347028316374748,0.11,0.185758055959759,0.156027941698225,0.327994032996315,229.609408876345,182.04987468481,1.27426854413801e-06,261.543490823529,282.196419780423,79.6809665861591,20.0254862153291,2.36705647529749e-07,40.8080925377638,92.5587418209019
