"","convergence","mu","x_C","x_W","C","I","AA","NT","ADP","ATP","rRNA","DNA","p","tau tC","tau FERM","tau RESP","tau PREC","tau ADPS","tau EAA","tau ENT","tau RNAp","tau DNAp","tau r","v tC","v FERM","v RESP","v PREC","v ADPS","v EAA","v ENT","v RNAp","v DNAp","v r","p tC","p FERM","p RESP","p PREC","p ADPS","p EAA","p ENT","p RNAp","p DNAp","p r","f tC","f FERM","f RESP","f PREC","f ADPS","f EAA","f ENT","f RNAp","f DNAp","f r"
"1",-1,0.264813959881186,1,0.001,0.236424516187746,0.0121938515411346,0.200032534004102,-0.020562940189365,10.0849439996159,20.3713742415414,16.5738718798551,5.07300196047952,254.003478298344,5.14716204201956e-05,0.000408055518503414,0.00100208740252139,1.4810022466571,-0.0089151885336278,0.114722668419604,0.0713578849889249,-0.0690954488598845,-0.031888814441623,0.0071317509759094,273.494636505958,386.945338401698,187.709089738377,162.224149370517,8.06525823684246,74.2127419511799,40.5653154821518,4.38899264306788,1.3434017376396,336.318334558897,0.014077212117194,0.157895180693984,0.188100914165585,240.254329679772,-0.071903297753845,8.51388378737487,2.89465511671484,-0.303259416715506,-0.0428394887321432,2.39853861070664,4.06606410745164,5.75274371783375,2.79068431534309,2.41179790413537,0.119906764728965,1.10332608426378,0.603087414790441,0.0652514640939178,0.0199724486633052,5.00006847043984
"2",-1,0.264813492907446,0.740740740740741,0.001,0.236424516187746,0.0121938515411346,0.200032534004102,-0.020562940189365,10.0849439996159,20.3713742415414,16.5738718798551,5.07300196047952,254.003478298344,5.31093537972018e-05,0.000408055518503414,0.00100208740252139,1.4810022466571,-0.0089151885336278,0.114722668419604,0.0713578849889249,-0.0690954488598845,-0.031888814441623,0.0071317509759094,273.494154224686,386.944656061113,187.708758731599,162.22386330396,8.0652440145416,74.2126110842054,40.5652439491513,4.38898490350493,1.3433993686809,336.317741494125,0.0145250977981853,0.157894902261143,0.188100582467862,240.253906014558,-0.0719031709593515,8.51386877396635,2.89465001227122,-0.30325888194693,-0.0428394131888587,2.39853438111637,4.06606410745164,5.75274371783375,2.79068431534309,2.41179790413537,0.119906764728965,1.10332608426378,0.603087414790441,0.0652514640939178,0.0199724486633052,5.00006847043984
"3",-1,0.264812862495508,0.548696844993141,0.001,0.236424516187746,0.0121938515411346,0.200032534004102,-0.020562940189365,10.0849439996159,20.3713742415414,16.5738718798551,5.07300196047952,254.003478298344,5.53202938561602e-05,0.000408055518503414,0.00100208740252139,1.4810022466571,-0.0089151885336278,0.114722668419604,0.0713578849889249,-0.0690954488598845,-0.031888814441623,0.0071317509759094,273.493503147666,386.943734905142,187.708311874299,162.223477115707,8.065224814515,74.212434414522,40.5651473800008,4.38897445513824,1.34339617059991,336.31694086,0.0151297409618796,0.157894526378365,0.188100134677791,240.253334068889,-0.0719029997874945,8.51384850594884,2.89464312130088,-0.303258160012344,-0.0428393112058473,2.39852867119317,4.06606410745164,5.75274371783375,2.79068431534309,2.41179790413537,0.119906764728965,1.10332608426378,0.603087414790441,0.0652514640939178,0.0199724486633052,5.00006847043984
"4",-1,0.264812011444153,0.406442107402327,0.001,0.236424516187746,0.0121938515411346,0.200032534004102,-0.020562940189365,10.0849439996159,20.3713742415414,16.5738718798551,5.07300196047952,254.003478298344,5.83050629357541e-05,0.000408055518503414,0.00100208740252139,1.4810022466571,-0.0089151885336278,0.114722668419604,0.0713578849889249,-0.0690954488598845,-0.031888814441623,0.0071317509759094,273.492624198607,386.942491351537,187.70770862032,162.222955764483,8.0651988946241,74.2121959117837,40.565017012377,4.38896034992213,1.34339185321471,336.315860009979,0.0159460046663643,0.157894018939454,0.188099530164578,240.252561946555,-0.0719027687067804,8.51382114427827,2.89463381854298,-0.303257185406105,-0.042839173529552,2.39852096283997,4.06606410745164,5.75274371783375,2.79068431534309,2.41179790413537,0.119906764728965,1.10332608426378,0.603087414790441,0.0652514640939178,0.0199724486633052,5.00006847043984
"5",-1,0.264810862533501,0.301068227705427,0.001,0.236424516187746,0.0121938515411346,0.200032534004102,-0.020562940189365,10.0849439996159,20.3713742415414,16.5738718798551,5.07300196047952,254.003478298344,6.23345011932058e-05,0.000408055518503414,0.00100208740252139,1.4810022466571,-0.0089151885336278,0.114722668419604,0.0713578849889249,-0.0690954488598845,-0.031888814441623,0.0071317509759094,273.491437626338,386.940812566849,187.706894233598,162.222251945647,8.06516390303565,74.2118739355187,40.5648410174141,4.38894130802418,1.34338602478873,336.314400873469,0.0170479523450505,0.157893333902098,0.188098714077903,240.251519589276,-0.0719024567501723,8.51378420630198,2.89462125991466,-0.303255869697619,-0.0428389876679572,2.39851055664175,4.06606410745164,5.75274371783375,2.79068431534309,2.41179790413537,0.119906764728965,1.10332608426378,0.603087414790441,0.0652514640939178,0.0199724486633052,5.00006847043984
"6",-1,0.264809311519935,0.22301350200402,0.001,0.236424516187746,0.0121938515411346,0.200032534004102,-0.020562940189365,10.0849439996159,20.3713742415414,16.5738718798551,5.07300196047952,254.003478298344,6.77742428407655e-05,0.000408055518503414,0.00100208740252139,1.4810022466571,-0.0089151885336278,0.114722668419604,0.0713578849889249,-0.0690954488598845,-0.031888814441623,0.0071317509759094,273.489835770108,386.938546230627,187.705794822733,162.221301799904,8.06511666487288,74.2114392719926,40.5646034266365,4.38891560172405,1.34337815649386,336.312431059266,0.0185355665439644,0.157892409111096,0.188097612372125,240.250112421297,-0.0719020356130452,8.5137343405424,2.89460430593928,-0.303254093509273,-0.0428387367573623,2.39849650841738,4.06606410745164,5.75274371783375,2.79068431534309,2.41179790413537,0.119906764728965,1.10332608426378,0.603087414790441,0.0652514640939178,0.0199724486633052,5.00006847043984
"7",-1,0.26480721768044,0.165195186669645,0.001,0.236424516187746,0.0121938515411346,0.200032534004102,-0.020562940189365,10.0849439996159,20.3713742415414,16.5738718798551,5.07300196047952,254.003478298344,7.51178940649712e-05,0.000408055518503414,0.00100208740252139,1.4810022466571,-0.0089151885336278,0.114722668419604,0.0713578849889249,-0.0690954488598845,-0.031888814441623,0.0071317509759094,273.487673293961,386.935486718839,187.704310638494,162.220019120807,8.06505289423089,74.210852484309,40.5642826835016,4.38888089869653,1.343367534442,336.309771846693,0.0205438180705712,0.157891160660427,0.188096125089796,240.248212770673,-0.0719014670857489,8.51366702269355,2.89458141838754,-0.30325169568801,-0.0428383980327215,2.39847754357552,4.06606410745164,5.75274371783375,2.79068431534309,2.41179790413537,0.119906764728965,1.10332608426378,0.603087414790441,0.0652514640939178,0.0199724486633052,5.00006847043984
"8",-1,0.264804391049646,0.122366804940477,0.001,0.236424516187746,0.0121938515411346,0.200032534004102,-0.020562940189365,10.0849439996159,20.3713742415414,16.5738718798551,5.07300196047952,254.003478298344,8.50318232176491e-05,0.000408055518503414,0.00100208740252139,1.4810022466571,-0.0089151885336278,0.114722668419604,0.0713578849889249,-0.0690954488598845,-0.031888814441623,0.0071317509759094,273.484754005408,386.931356454673,187.702307027001,162.218287536202,8.06496680546386,74.2100603356555,40.5638496883151,4.38883405047989,1.34335319493844,336.306181976424,0.0232549072553101,0.157889475283341,0.18809411729596,240.245648289982,-0.0719006995881602,8.51357614528623,2.89455052076683,-0.303248458689453,-0.0428379407629533,2.39845194151473,4.06606410745164,5.75274371783375,2.79068431534309,2.41179790413537,0.119906764728965,1.10332608426378,0.603087414790441,0.0652514640939178,0.0199724486633052,5.00006847043984
"9",-1,0.264800575193793,0.090642077733687,0.001,0.236424516187746,0.0121938515411346,0.200032534004102,-0.020562940189365,10.0849439996159,20.3713742415414,16.5738718798551,5.07300196047952,254.003478298344,9.84156275737638e-05,0.000408055518503414,0.00100208740252139,1.4810022466571,-0.0089151885336278,0.114722668419604,0.0713578849889249,-0.0690954488598845,-0.031888814441623,0.0071317509759094,273.48081306472,386.925780737914,187.699602219335,162.215949955623,8.06485058854365,74.2089909617984,40.5632651594763,4.38877080697388,1.34333383709422,336.301335773128,0.0269147858471476,0.157887200081348,0.188091406842272,240.242186327892,-0.0718996634924058,8.5134534638638,2.89450881002517,-0.303244088851017,-0.0428373234642509,2.39841737959964,4.06606410745164,5.75274371783375,2.79068431534309,2.41179790413537,0.119906764728965,1.10332608426378,0.603087414790441,0.0652514640939178,0.0199724486633052,5.00006847043984
"10",-1,0.264795423962835,0.0671422798027311,0.001,0.236424516187746,0.0121938515411346,0.200032534004102,-0.020562940189365,10.0849439996159,20.3713742415414,16.5738718798551,5.07300196047952,254.003478298344,0.000116483763454519,0.000408055518503414,0.00100208740252139,1.4810022466571,-0.0089151885336278,0.114722668419604,0.0713578849889249,-0.0690954488598845,-0.031888814441623,0.0071317509759094,273.475492974952,386.918253775184,187.695950852637,162.212794328703,8.06469370101425,74.2075473559778,40.5624760722656,4.38868543113195,1.34330770488947,336.294793620223,0.0318554546343022,0.157884128662668,0.188087747853702,240.237512837335,-0.0718982648105026,8.51328784955192,2.89445250243074,-0.303238189768897,-0.0428364901392227,2.39837072259428,4.06606410745164,5.75274371783375,2.79068431534309,2.41179790413537,0.119906764728965,1.10332608426378,0.603087414790441,0.0652514640939178,0.0199724486633052,5.00006847043984
"11",4,171.593553657526,0.0497350220760971,0.001,17.8519621345696,14.1655892397846,16.560171188889,5.35870024247587,9.99999999799188,19.3125010825278,46.9555354747294,8.0691467266729,115.726393024599,0.000140875746893538,1.69750352638929e-05,6.84816522076294e-05,5.04018636376414e-05,0.000222099765326746,0.00079337264209712,5.06412538291463e-05,0.00143956072758774,0.000664383626953255,0.000472915336647374,81870.7868980968,3.8137852741608e-13,191430.122107095,81042.9617084947,5029.83622699646,30395.1393557384,45268.3394188324,8057.26719600087,1384.6135618138,99289.5151552922,11.5336082530311,6.47391395177949e-18,13.1094510442021,4.08471630482214,1.11712544564788,24.1146720175723,2.29244546693304,11.5989254270438,0.919914580126516,46.9555344852196,1.87842681615525,8.75027198524238e-18,4.39213409825185,1.8594333620289,0.115403547561101,0.697379944786167,1.03862764618339,0.184864312892636,0.0317682941994996,2.27807860284643
