"","convergence","mu","x_C","x_W","C","AA","NT","ADP","ATP","W","LIP","rRNA","mRNA","tRNA","DNA","TC","p","tau tC","tau tW","tau ATPS","tau ADPS","tau EAA","tau ENT","tau LIPS","tau Maint","tau rRNAp","tau mRNAp","tau tRNAp","tau DNAp","tau tRNAc","tau r","v tC","v tW","v ATPS","v ADPS","v EAA","v ENT","v LIPS","v Maint","v rRNAp","v mRNAp","v tRNAp","v DNAp","v tRNAc","v r","p tC","p tW","p ATPS","p ADPS","p EAA","p ENT","p LIPS","p Maint","p rRNAp","p mRNAp","p tRNAp","p DNAp","p tRNAc","p r","f tC","f tW","f ATPS","f ADPS","f EAA","f ENT","f LIPS","f Maint","f rRNAp","f mRNAp","f tRNAp","f DNAp","f tRNAc","f r"
"1",4,0.921092194260835,1,0.001,8.33063780312526,4.41355070453769,9.21104521414169,2.12422838396439,21.2070771699963,2.64110541114519,21.6878391156685,42.1486135143289,13.2837443588702,2.89605901763437,9.55615721979885,18.8105897401576,183.689350228806,0.0404297070174288,0.0447033968226135,0.00105726505609095,0.108375404553664,0.113375233470652,0.0124234504132558,0.0303138430291566,0.0179999810007913,0.166436800767068,0.230450954908248,0.166436800767068,0.0579883578048558,0.000319220563962632,0.00350134078577568,403.134659449532,89.9633153515567,4619.80084649913,21.4902834276679,228.265676742991,328.282520976394,110.980551776817,2505.37076838947,38.8227589069651,12.2355532395118,19.8114427619552,8.80210182228605,16937.720863701,16919.4826664598,16.2986161701155,4.02166578563856,4.88435400110292,2.32901816044641,25.879674394073,4.07840162088883,3.36424702585163,45.0966262309485,6.46153578942647,2.8196949278762,3.29735315187971,0.510419429905497,5.40686880635225,59.2408747343004,1.28726546836396,0.28726547459285,14.7516715842227,0.0686214869234145,0.728884298078491,1.04825209942854,0.354376456138375,8,0.123966510336261,0.0390698363496183,0.0632607133823647,0.0281063447641143,54.0845165989991,54.0262794790606
"2",4,0.918820987110014,0.91324200913242,0.001,8.1800322073616,4.40030485003569,9.19218670066553,2.1295956294191,21.1884049666205,2.6238625919632,21.8216553192902,42.1101184680718,13.2749259426184,2.89504260476619,9.53961770356469,18.7963629778118,183.84789033306,0.0409998665299972,0.0446576068924808,0.00106245733590693,0.108618639497153,0.113600468366656,0.0125028895648684,0.0303985705608588,0.0180436586692148,0.166696997557352,0.230811227387103,0.166696997557352,0.0580634222797877,0.000319767966234291,0.00350463755006106,402.193105854208,89.7939699655232,4610.24149911559,21.4250683250849,227.7851414522,327.167390847254,111.389971560249,2499.19308493924,38.6916606181533,12.197280558409,19.7487240282892,8.76520095504147,16910.5094734814,16892.3300073916,16.4898636593076,4.00998381203556,4.89818490103792,2.32716177260427,25.8764987559349,4.09053775698936,3.38609591024627,45.0945869731056,6.44978365555421,2.81526929647123,3.29205300110455,0.508937564419771,5.40743922232086,59.2014940519278,1.28743347851888,0.287433477650507,14.7575360284023,0.0685823546942337,0.729147796782539,1.04727367507168,0.356562995413239,8,0.123853289611976,0.0390438998312307,0.0632163209711164,0.0280576991281314,54.1311019957229,54.0729089214882
"3",4,0.916375189918375,0.834010967244219,0.001,8.02413879293818,4.38615875219831,9.17208896375313,2.13520988132558,21.1690397735009,2.60563214004354,21.9640959893596,42.0688823694906,13.2653624161011,2.8939478334749,9.52203264827412,18.7810981898659,184.0123125518,0.0416110680367665,0.0446111524606582,0.00106803171810375,0.108876879758283,0.113841807861574,0.0125884874989014,0.0304897817584276,0.0180913854984673,0.166975243513535,0.231196491018741,0.166975243513535,0.0581436629382004,0.000320355078126768,0.00350816756586543,401.177310576887,89.6097457277773,4599.87411874836,21.3554362033467,227.262101139336,325.971573165501,111.818625742416,2492.54051657798,38.5508800709957,12.1560490033907,19.6813109169655,8.72575447647117,16880.5481361139,16862.4317861975,16.6934163652218,3.99759402862269,4.91281145810776,2.32511325969748,25.871928452122,4.10348907379113,3.40932549541355,45.093511355961,6.4370425875156,2.8104358742358,3.28629168302592,0.507347327161433,5.40776931696746,59.1562362739563,1.28760935409841,0.287609353209802,14.7636488575553,0.0685419107494893,0.72941514772677,1.04623077056506,0.358890457342478,8,0.12373200696909,0.039015771812062,0.0631686772144786,0.0280059783772768,54.1794142124175,54.1212683975882
"4",4,0.913743737545326,0.761653851364584,0.001,7.86330649418083,4.37114716661261,9.15040503874592,2.14104698753241,21.1484584119203,2.58643081769067,22.1149695755588,42.0239974611328,13.2549381306073,2.89270377662973,9.50309053368194,18.7644816263015,184.185024280816,0.0422667015028828,0.0445647597005105,0.00107400561457849,0.109152253583667,0.114100136599636,0.0126805430933802,0.0305878961641513,0.0181435961303166,0.167276701007354,0.23161389370249,0.167276701007354,0.058230567045973,0.000320985870204954,0.00351200742959178,400.082690200803,89.409819159981,4588.657706112,21.2806397092781,226.694789170598,324.684340639735,112.263416420401,2485.38296612329,38.3991645067308,12.1116167083931,19.6086340866341,8.68338946247814,16847.8395934381,16829.791248623,16.9101756431877,3.98452710573065,4.92824413974316,2.32282978196979,25.8659064107908,4.11717377322791,3.43390172450012,45.0937847665092,6.42328556012461,2.80521870486307,3.2800676212725,0.505638692281129,5.4079184529732,59.1063519036426,1.28779410064069,0.287794099754189,14.7700624608993,0.0684985452925084,0.729689684883283,1.04510039721139,0.361355712018934,8,0.123599992532744,0.0389851121488449,0.0631166604226622,0.0279502662755351,54.2301603353061,54.172065964946
"5",4,0.91091511019965,0.695574293483638,0.001,7.69785063881353,4.35524019902904,9.12703915180912,2.14709045066582,21.1266287050307,2.56625564699668,22.2745518883446,41.9751796842101,13.2435814569338,2.89129403124022,9.48270172843517,18.7464080858278,184.36617808305,0.0429696318579973,0.044518673425779,0.00108040525753079,0.109445379531523,0.114376377922521,0.0127794712280476,0.0306933584489701,0.0182007098194411,0.16760311839877,0.232065856244451,0.16760311839877,0.0583246355305989,0.000321663004938298,0.00351618166238503,398.90416813953,89.1930308990284,4576.53359722564,21.2003824494671,226.080062405577,323.300116398001,112.723477155662,2477.68909974305,38.2358254276923,12.0637784622809,19.5303583727773,8.63793628994793,16812.1688861266,16794.193742561,17.1407652515763,3.97075541444926,4.94451095970889,2.32028390339537,25.8582186584475,4.1316045355327,3.45986208995305,45.0957003272154,6.40844357623223,2.79959107839259,3.273348966723,0.503804485847747,5.40785276344164,59.0514360721345,1.28798780502654,0.287987805760709,14.7767808243585,0.0684521151638137,0.729970721279027,1.04387630048186,0.363963266149422,8,0.123456410835912,0.0389517101674525,0.0630599161930452,0.0278902992012799,54.2833849101412,54.2253464950148
"6",4,0.907877351864402,0.635227665281861,0.001,7.52823933866934,4.33846219936447,9.10186350289138,2.15334694525989,21.1034565639351,2.5451496174386,22.4432045518169,41.9219905499316,13.2311881763387,2.88968744701052,9.46072465097826,18.726762470699,184.555924882145,0.0437229182645082,0.0444726306059875,0.00108724541099097,0.109757645073162,0.114671357992663,0.0128855937998583,0.0308065883595858,0.0182631922193349,0.167956967667694,0.232555801386037,0.167956967667694,0.0584265849606148,0.000322388141481266,0.00352072602214687,397.636424088526,88.9581236407365,4563.44036677577,21.1143251827587,225.414560907681,321.812339727439,113.198206199192,2469.42639707117,38.0600257653564,12.012296083554,19.4461210604109,8.58917764284842,16773.3108600476,16755.4144352887,17.3858248694139,3.95620177207624,4.96157959710789,2.31745860936855,25.8485938106036,4.14674308950978,3.48725054142202,45.0996089612104,6.39244651690355,2.79352914219726,3.26611152620549,0.501836317291696,5.40751651465826,58.9912236141763,1.28819040586959,0.288190403232893,14.7838068700915,0.0684023632623382,0.730257232772859,1.04254928224342,0.366719028624459,8,0.123299972205681,0.0389152593421727,0.0629980179477296,0.0278256607381714,54.33913196989,54.2811543771014
"7",4,0.904618058926081,0.580116589298504,0.001,7.35465499200119,4.32070778769165,9.07479911988063,2.15978214751215,21.0790030772745,2.52296957364688,22.6210368873027,41.8644036000597,13.217746938622,2.88788633797736,9.43716793451372,18.7054385008913,184.754404147705,0.0445298368801583,0.0444285466383783,0.0010945601000834,0.110089260460289,0.11498630804903,0.0129995629564237,0.0309281817431406,0.0183315358588855,0.168339180210755,0.233085018753353,0.168339180210755,0.0585366508148281,0.000323165754120071,0.0035256489427059,396.274110027554,88.7039690472915,4549.31464428667,21.0222247818465,224.695072199709,320.216722989757,113.685547110484,2460.56112027894,37.871295522784,11.9570125789924,19.3555928913063,8.53703253867926,16731.0289168331,16713.2170458141,17.6460214793569,3.94098842582686,4.97949829236131,2.31432117946343,25.8368567890547,4.16267745020504,3.5160872626014,45.1058644093729,6.37522284182469,2.78700050120852,3.25830463981561,0.499729292711493,5.40689557711309,58.9249360067888,1.2884024111789,0.288402408105142,14.7911453425581,0.0683493683081956,0.730549045412004,1.04111772018394,0.36962478574024,8,0.123130598823705,0.0388757262900648,0.0629306631947823,0.0277563762779815,54.397442205984,54.3395306316778
"8",4,0.901124410299977,0.529786839542012,0.001,7.17761951770341,4.30199188280152,9.04571702168929,2.16638286970328,21.0531893665059,2.4997791563562,22.8083940059852,41.8019539893931,13.2031479527997,2.88585953557146,9.41188376461866,18.6823112954713,184.961770759767,0.0453938909253425,0.0443861105781101,0.00110237262562169,0.110441297184401,0.115322118072988,0.0131217660733541,0.0310586122723444,0.0184062959872941,0.168752447859992,0.233657235498451,0.168752447859992,0.0586556123134188,0.000323998041140304,0.00353098887500531,394.81148849129,88.4291879815098,4534.08999998307,20.9237233387716,223.917983839876,318.506442502822,114.184447769627,2451.05839601594,37.6687611380786,11.89767891307,19.2583937819082,8.48127820720392,16685.07780434,16667.3566603935,17.9220296446457,3.92502771607978,4.9982566980864,2.31084314746147,25.8226961710477,4.17936703137824,3.54641049080861,45.1149063192116,6.35669564990412,2.77997876367615,3.24990109254866,0.497474566444001,5.40593252487971,58.8522509435951,1.28862368724641,0.288623683957091,14.7987987796716,0.068292859518262,0.730845039690094,1.03957194335488,0.372686176568385,8,0.122946923498215,0.0388327880964698,0.0628573968313824,0.0276820110724078,54.4583607847472,54.4005208116963
"9",4,0.897383166294031,0.483823597755262,0.001,6.99757858809731,4.28228420363501,9.01448801402785,2.17312602317938,21.0259845157449,2.47557826779439,23.0055364828083,41.7343096286226,13.1873146510643,2.88359355145928,9.38477629507277,18.6572524153324,185.178177027878,0.0463188562023108,0.0443457874512951,0.00111071104334042,0.1108146774885,0.115679813256318,0.0132527209667791,0.031198430990579,0.0184880749794673,0.169199116401497,0.234275699632841,0.169199116401497,0.058784129895478,0.000324888017032406,0.00353677622322674,393.242689259005,88.1324130199117,4517.69776421369,20.8184912706252,223.079655576626,316.675377228094,114.693228729085,2440.88221231977,37.4516669176288,11.8340741764878,19.1541535662602,8.42174026663357,16635.2017821906,16617.5778829834,18.2145515763979,3.90830125535075,5.01785679718645,2.30699439595149,25.8058128983878,4.19681041145344,3.57824878159106,45.127213357416,6.33678895022595,2.77243600720361,3.2408658588298,0.495064673779765,5.40457771994984,58.7726543441541,1.28885429136796,0.288854292354083,14.806770245321,0.0682326780556601,0.731144352482673,1.03790465801177,0.375907458869417,8,0.122747969495949,0.0387862195619539,0.0627778054003073,0.0276022832208023,54.5219321054605,54.4641697140817
"10",4,0.893380702097159,0.441848034479692,0.001,6.814989656147,4.26159689323396,8.98102393548774,2.17999686436755,20.9973660792308,2.4503612842319,23.2127083653009,41.6610991700514,13.1701445892613,2.88104245131393,9.35572947841444,18.6301359787846,185.4038052013,0.0473088069932214,0.0443081793247688,0.00111960117070912,0.111210275002159,0.116060552962964,0.013392928000106,0.0313482300281757,0.018577531540627,0.169681546280197,0.234943679464888,0.169681546280197,0.0589228857278043,0.000325838760575324,0.00354304498313152,391.561675557805,87.8122368920077,4500.06711882533,20.7062087793126,222.17638763186,314.717243165721,115.209920538717,2429.99550970427,37.2192220266798,11.7659530198754,19.0424737523885,8.35822817005698,16581.1379598653,16563.6181662222,18.5243157349066,3.89080033912015,5.03828041450644,2.30274317259948,25.7859144038675,4.21498537811035,3.61162709057556,45.1433182251131,6.315415144833,2.76433629490053,3.23115639130535,0.492490923351182,5.40277744177096,58.6856442463398,1.28909431805644,0.289094318211952,14.8150631582788,0.0681687145399953,0.73144624916249,1.03610806492073,0.379292620348054,8,0.122532644617798,0.0387357193801803,0.0626913874576039,0.0275168514071013,54.5882093811216,54.5305309415588
