"","convergence","mu","x_C","x_W","C","I","AA","NT","ADP","ATP","LIP","rRNA","mRNA","tRNA","DNA","TC","p","tau tC","tau FERM","tau RESP","tau ADPS","tau EAA","tau ENT","tau LIPS","tau Maint","tau rRNAp","tau mRNAp","tau tRNAp","tau rRNase","tau mRNase","tau tRNAse","tau DNAp","tau tRNAc","tau r","v tC","v FERM","v RESP","v ADPS","v EAA","v ENT","v LIPS","v Maint","v rRNAp","v mRNAp","v tRNAp","v rRNase","v mRNase","v tRNAse","v DNAp","v tRNAc","v r","p tC","p FERM","p RESP","p ADPS","p EAA","p ENT","p LIPS","p Maint","p rRNAp","p mRNAp","p tRNAp","p rRNase","p mRNase","p tRNAse","p DNAp","p tRNAc","p r","f tC","f FERM","f RESP","f ADPS","f EAA","f ENT","f LIPS","f Maint","f rRNAp","f mRNAp","f tRNAp","f rRNase","f mRNase","f tRNAse","f DNAp","f tRNAc","f r"
"1",-1,1.09632379477692,0.6,0.001,35.660557429378,2.24950150636532,3.16444930064956,8.14609881727237,1.57509549255776,13.3327784889456,43.0650861786035,50.2394233531701,9.55121047546731,1.81106230383193,10.3696976629593,13.4292136232077,147.405827314756,0.00916525662718556,0.000701743308603803,0.00196244830182412,0.0446421611097005,0.0878644589900987,0.011701327771152,0.0174214959157473,0.0131839535151159,0.0894280253160578,0.821886137428531,0.0894280253160578,0.0641018164730403,0.0562510484812472,0.0978755459881661,0.0536012698322955,0.000106960668481372,0.00186527293726344,706.404664024274,4448.72760188107,6.09727699576582e-05,16.343856975458,224.569792841955,349.443065544395,262.295992787342,1920.12085485493,59.6776321929928,26.1940478241669,17.2206476980085,4.59895693504123,15.7228285109896,0.603065220025746,11.3685462925449,26949.20177229,26934.0859956573,6.47438002842326,3.12186482642109,1.19655908860919e-07,0.7296250962523,19.7317033535769,4.08894784729114,4.56958856706156,25.3147840938121,5.33685280255734,21.5285247898228,1.54000851829642,0.294801493417429,0.884425588834009,0.0590253376764934,0.609368517427641,2.88250463660353,50.2394216976259,1.89511601083579,11.9348800135926,1.63575466664522e-07,0.0438466881808928,0.602467440603195,0.937472785946904,0.703677878735352,5.15122841070347,0.160100919511799,0.0702724117609609,0.0461989095365556,0.012337909649534,0.0421806162448806,0.00161788081570442,0.0304991107734097,72.2983105277969,72.2577584876254
"2",-1,1.09528050908836,0.521739130434783,0.001,35.6036494442546,2.24480222104936,3.16325169387708,8.14161367516734,1.57517274405935,13.3284449438389,43.082691401738,50.2249523721752,9.55353632583573,1.81220831652837,10.3672844446503,13.4249881891955,147.477404226085,0.00927100958826847,0.000701994365866474,0.00196261973052845,0.0446470088777825,0.087951027307815,0.0117150706184302,0.0174393999983329,0.0132040936120216,0.0894435316081941,0.822028647637213,0.0894435316081941,0.0641068846169093,0.0562486773765422,0.0978430642355315,0.05361056397634,0.000106945384203865,0.00186560607321414,705.79476288798,4445.32519732849,6.83747021765732e-21,16.3236419684596,224.418711828754,349.025633411862,262.153512063291,1918.29362587627,59.6113418361497,26.1950524523805,17.2013201604789,4.60093043301486,15.7312503218249,0.602895657934211,11.3550845844004,26936.6177038488,26921.5210632961,6.54343001408414,3.12059324296887,1.34193539560749e-23,0.728801787883559,19.7378562524354,4.08885994306229,4.57179995783954,25.3293286114146,5.33184893772852,21.5330835422162,1.53854682347646,0.29495131639971,0.884862024081958,0.05898915858658,0.608752488568751,2.88074692949075,50.2249531958477,1.89528338397836,11.937111786439,1.83607818779318e-23,0.0438341696702892,0.602635607329339,0.93724481729119,0.703965545780033,5.15122841070434,0.160075409480815,0.0703420459685642,0.0461910147211194,0.0123549613273588,0.0422434097161062,0.00161896656484084,0.0304920130725008,72.3333844895428,72.2928452088652
"3",4,1.09407320313623,0.453686200378072,0.001,35.5339408115115,2.23870266456021,3.16259775483071,8.13983193673793,1.57332350103303,13.3249848158585,43.0999061330323,50.2132728715809,9.55116636366292,1.81027915197433,10.3630713139471,13.4222868113159,147.566635528603,0.00939262549351382,0.000702639978825535,0.00196310372869199,0.0446489361533265,0.0880639328586608,0.0117314466019774,0.0174623791390428,0.0132270598472984,0.0894575170165374,0.822157180199606,0.0894575170165374,0.0641109772362398,0.0562510934624986,0.097897766731202,0.0536189465347569,0.000107017371876496,0.0018661013394564,705.093013594562,4441.44145637305,0.000626949003253767,16.2998399015724,224.251838076731,348.544477761769,261.969179765763,1916.17912891047,59.5408128102509,26.19058490263,17.1784113379586,4.60381651968703,15.7409097254503,0.603330895069825,11.3379586267793,26923.1939002286,26908.1169348024,6.62267461478677,3.12073433086082,1.2307659259872e-06,0.727770511074749,19.7484988118205,4.08893092927628,4.57460513981383,25.345416016243,5.32637327515149,21.5327774313246,1.53673802458251,0.29515517609348,0.885443384151057,0.059064747227273,0.607929397422563,2.88124945372378,50.2132730542841,1.89548832309922,11.9398437595707,1.68541524583811e-06,0.0438185538732098,0.602852010036224,0.936985581959031,0.704246832239091,5.15122841070261,0.160062450277748,0.0704076581400078,0.0461804009863854,0.0123763535966276,0.0423159923645286,0.0016219231286093,0.0304796215116092,72.377117166791,72.3365860434327
"4",4,1.09270932813301,0.394509739459193,0.001,35.4562844350886,2.23234455602688,3.16099728353479,8.13425521007938,1.5737652157372,13.3186009807876,43.1215446028283,50.1962149176362,9.5535453638834,1.81084419928396,10.3592992320461,13.4169729797443,147.665330344825,0.00953248378454597,0.000702927087317231,0.0019632922631592,0.0446549738587242,0.0881822811055654,0.0117502515532092,0.0174869404617467,0.0132537855649129,0.0894786867661047,0.822351740278962,0.0894786867661047,0.0641169579439646,0.0562486681648921,0.0978817324420529,0.0536316352355845,0.000107027526354274,0.00186654742768197,704.298928904492,4437.03677440889,4.01326759381479e-20,16.2730274609155,224.059394355505,347.998505730414,261.773966838968,1913.79041414494,59.4560089236911,26.1906076077807,17.1527216922741,4.60613664622055,15.7513594719235,0.603457067422924,11.319702903778,26907.5995272354,26892.5473182721,6.71371811925516,3.11891333615468,7.87921721692411e-23,0.726671615869484,19.7580684973998,4.08906998247327,4.57762577254828,25.3649677652629,5.32004559884568,21.5378917452219,1.53480301148917,0.295331469629877,0.885992992082153,0.0590674232137565,0.607094177110606,2.87985381753144,50.1962150207365,1.89571680649388,11.9428907798594,1.08022581240978e-22,0.0438010770486027,0.603086476637493,0.936685530636898,0.704600402006998,5.15122841070434,0.160033972419935,0.0704955992075481,0.0461688942786476,0.0123980461915934,0.0423969363725969,0.0016242871567199,0.0304685271530769,72.4254809325491,72.3849658553062
"5",-1,1.0911065955863,0.34305194735582,0.001,35.3499511087175,2.22809748619219,3.1541830897776,8.1179105639228,1.56426604668231,13.3443347728427,43.1906432509034,50.1898598992165,9.53116935771062,1.81587004233393,10.3209584526728,13.4127354299298,147.780026612041,0.00969332081923294,0.000705087446993611,0.00196498184381018,0.0446727173574202,0.0882617112809901,0.011767718043866,0.0174982850280883,0.0132802241183081,0.0896068725435265,0.823529828614315,0.0896068725435265,0.0641191871232628,0.0562715274872626,0.0977395537195482,0.0537084670835423,0.000106934604496274,0.00186760183441089,703.38147654697,4432.06665181621,0.00913966162733224,16.2668726851466,223.81223039455,347.275096381291,261.808865103753,1910.98336005871,59.3739557593107,26.1572134249599,17.1408674486633,4.61146859172335,15.7576916751118,0.614987880765781,11.2612658404835,26888.9856727978,26873.9602887194,6.81810231047555,3.12499456043462,1.79592691562764e-05,0.726685405752695,19.7540504602382,4.08663541787143,4.58120614446577,25.3782873079372,5.32031448612953,21.5412454888853,1.53593952475786,0.295683617545759,0.886709380231866,0.0601086410089782,0.604825325712625,2.87536304822663,50.1898575330977,1.89602835968187,11.9470363437737,2.46367841933934e-05,0.0438488259397785,0.603306100915471,0.936111417921615,0.705729464884042,5.1512284107037,0.160047865489435,0.0705091335464868,0.0462047578388899,0.0124306304917398,0.0424762824943968,0.00165775543097446,0.0303557601549201,72.4816917968692,72.4411895157063
"6",-1,1.0893224708626,0.298306041178974,0.001,35.2641544295741,2.21601141365747,3.15841800191309,8.12589450132469,1.57136747785666,13.3066254613379,43.17246308173,50.1586167016758,9.55171256696633,1.80842344964248,10.3488501165254,13.4072694481796,147.910193744939,0.00987828340912296,0.000704251199696275,0.00196425510928159,0.0446640411989923,0.088489415223704,0.0117962944376243,0.0175499083994356,0.0133193839932467,0.0895220279550394,0.822750066443934,0.0895220279550394,0.0641301546595902,0.0562505365227642,0.0979504962938826,0.0536576130289522,0.000107149198090947,0.00186785110579473,702.325228644907,4426.07439783434,0.000331336524923077,16.2069320299997,223.582660566255,346.648581973886,261.270745318969,1907.8586125104,59.2517698477901,26.182556652928,17.0889495781924,4.61286156727057,15.7776615185109,0.604121607679373,11.2732349795201,26868.6443214722,26853.6496193338,6.93776765393148,3.1170682046198,6.5082946197176e-07,0.723867079897174,19.7846988876678,4.08916873934889,4.58527764780018,25.4115014648489,5.30433859669942,21.5417002258686,1.5298374218612,0.295823525732341,0.88750192549081,0.0591740112940528,0.604894880115538,2.87895369283662,50.1586191360968,1.89628185633146,11.9504244373798,8.94610381238657e-07,0.0437588027623368,0.603674373822708,0.935953016793107,0.705432403296242,5.15122841070308,0.159980094029485,0.07069304235178,0.046140254838081,0.0124547507892622,0.0425997700959967,0.00163113155691491,0.0304377944603687,72.5454827093951,72.5049969337937
"7",-1,1.08725464410845,0.259396557546934,0.001,35.1464747102779,2.20619032802938,3.15677656965487,8.12102573506645,1.56974034096242,13.2994719408339,43.2036015642317,50.1357655073677,9.55030349729237,1.80651473413661,10.3424215534415,13.4015149940333,148.060198281341,0.0100909903874965,0.00070509598713045,0.00196487126618823,0.0446693300660586,0.0886762837084751,0.011824419526828,0.0175882056335468,0.0133597155867829,0.0895481423734605,0.822990070384661,0.0895481423734605,0.0641381849424466,0.0562519734195907,0.0980048452365393,0.0536732654598692,0.000107237800620037,0.00186865574757711,701.119957960503,4419.3781787006,0.000633026228655036,16.1666201076174,223.291260409499,345.82437263032,260.962869127344,1904.23698421598,59.127225840707,26.1774386912901,17.0500263337321,4.61688195688942,15.7938268612138,0.604784271616201,11.2448458653065,26844.8161794291,26829.8563648343,7.07499475626137,3.11608581941367,1.24381504742778e-06,0.722152089639744,19.8006391576957,4.08917246458301,4.58986860493209,25.4400645189586,5.29473323773139,21.543772111035,1.5267981856043,0.296118428808418,0.888433928790619,0.0592717889412389,0.603547597183911,2.87877904513115,50.1357653028159,1.89662792850537,11.9550384854726,1.71242482989081e-06,0.0437329772994011,0.604034211086712,0.935503484163352,0.70594120202993,5.15122841070275,0.159947447781606,0.0708136471582724,0.0461227151775503,0.0124893139364067,0.0427245192250595,0.00163602637072939,0.0304188869218867,72.6189969682281,72.5785285692849
"8",-1,1.08488554020942,0.225562223953856,0.001,35.0113731410159,2.19485716291816,3.15417297898894,8.11845233954543,1.56554064959619,13.2920507870147,43.2395513512897,50.1042516848248,9.55579231951787,1.8083419417664,10.3338133121268,13.3897841458935,148.232023867796,0.010335603412626,0.000706481302368703,0.00196591373464035,0.0446721280692206,0.0888940012958104,0.0118581109393571,0.0176326749368708,0.013405998773671,0.08957455685554,0.823232832053296,0.08957455685554,0.0641492714305544,0.0562463785904917,0.0979528148116435,0.0536890977426063,0.000107223006340158,0.00186938956607148,699.738700014801,4411.70048776411,0.00294386619023489,16.1187861119187,222.956402700215,344.883657923681,260.610911256426,1900.08769380978,58.9822532043904,26.1803226524659,17.0040615254374,4.62487504851065,15.8133817397767,0.605319201475408,11.2110046375499,26817.3773661609,26802.4632150249,7.23222169581947,3.11678390625624,5.78738697632613e-06,0.720060477512005,19.8194867505422,4.08966867683028,4.59526748318623,25.4725732930812,5.28330919312453,21.5525011612585,1.52313127588539,0.296682364819309,0.88944545613145,0.0592927196440526,0.60190872377823,2.87543982335827,50.1042450791821,1.89702500749182,11.9603305500687,7.98096172395085e-06,0.0436987983429739,0.604445447270214,0.934996054588145,0.706528616851138,5.15122841070297,0.159903703088848,0.0709761040440978,0.0460988222346455,0.0125382569570099,0.042870832516104,0.00164104924122324,0.0303935685650788,72.703189773377,72.6627567979394
"9",-1,1.08218321183605,0.196141064307701,0.001,34.857282460267,2.18218107268422,3.15262723905914,8.10749774514474,1.56674178741989,13.2809146823007,43.2798676184588,50.0778619363417,9.54915318783071,1.80350539577802,10.3270459229895,13.386246928213,148.429069848907,0.010616908391525,0.000707016614286783,0.00196625677077818,0.0446840586617308,0.0891401966258545,0.011894519010831,0.0176834483528159,0.0134595790106296,0.0896148644520641,0.823603278059447,0.0896148644520641,0.0641585660161942,0.0562531467604496,0.0980907670832274,0.0537132572647465,0.000107406220162828,0.00187058426599481,698.162570077939,4402.93684064166,0.000780929612054787,16.0678845666406,222.575230994083,343.804851497261,260.204145262127,1895.35478817409,58.8203235833229,26.1671731756111,16.9547014790187,4.6269021111701,15.83323990849,0.605844951377756,11.1757557257192,26786.1143280436,26771.241256488,7.41232804890913,3.11294949798901,1.5355081372039e-06,0.717978296545686,19.8403998548576,4.08939334215009,4.60130656393144,25.5106775246043,5.27117532494603,21.5513696049826,1.51939327486747,0.296855404549975,0.890669568265697,0.0594277960141447,0.600286242423518,2.87699529282455,50.0778626755375,1.89747845032152,11.9663787938555,2.12242416537238e-06,0.0436695778521193,0.60491885770883,0.934398841747157,0.707187379386581,5.15122841070179,0.15986290474987,0.0711176011641683,0.0460797843752652,0.0125750755253355,0.043031856494078,0.00164657601072348,0.0303736644793808,72.7997702592928,72.7593479651503
"10",-1,1.07909731314831,0.170557447224087,0.001,34.6796066087542,2.16726462204466,3.1508573367505,8.10245775914717,1.56314528943785,13.2716211128525,43.324014242691,50.0464245902103,9.54389622195439,1.7998863355254,10.3161715349349,13.3780178051498,148.656640846868,0.0109404091172588,0.000708520072077725,0.00196736713457464,0.0446895585201544,0.0894335927043316,0.0119373645427664,0.0177432777093728,0.0135207446648952,0.089652271400523,0.823947065728616,0.089652271400523,0.0641696511817388,0.0562585125807609,0.0981944780836238,0.0537356781996924,0.000107553079684905,0.0018718858944028,696.363386955774,4392.93644473608,0.00249932815973733,16.0081565658941,222.142448337531,342.579151015709,259.726818689371,1889.95009071596,58.6399498810165,26.1535173130859,16.8963650255503,4.63498757304125,15.8547245430086,0.606858707274476,11.1321529853253,26750.6518297765,26735.8302865847,7.6185003475762,3.11248364645727,4.91709607998413e-06,0.715397449651318,19.8669972469617,4.08949221042595,4.60840507257744,25.5535326059661,5.25720470164596,21.5491138485997,1.51479750295294,0.297425535793751,0.891963220167349,0.0595901740313197,0.598193790489185,2.8771149878711,50.0464235886052,1.89800084175724,11.9733421171734,6.81214296998973e-06,0.0436316658890888,0.60546915853493,0.933730189116892,0.707908729455736,5.15122841070029,0.159828440609615,0.0712837561609223,0.0460525576758514,0.01263307416782,0.0432134731551741,0.00165404781298161,0.0303416809851027,72.9112998206712,72.8709023759159
