"","convergence","mu","x_C","C","AA","NT","rRNA","p","tau Cin","tau EAA","tau ENT","tau RNAp","tau Deg","tau r","v Cin","v EAA","v ENT","v RNAp","v Deg","v r","p Cin","p EAA","p ENT","p RNAp","p Deg","p r","f Cin","f EAA","f ENT","f RNAp","f Deg","f r"
"1",4,2.29941008373662,1,15.1777826130618,3.90007082036679,0.267563889166025,94.2703252403331,226.384257767821,0.00699228796830993,0.141617805743078,0.118924574744438,0.00456017492643274,0.212062391027363,0.207333170012492,781.799429230979,603.427774972442,217.381375559545,219.968766755089,3.20263030033548,520.550245110558,5.46656674264334,85.4561174160248,25.8519876457799,1.00309605475489,0.679157439065824,107.927332469552,1.00000000097279,0.771844737918286,0.278052615086762,0.281362148326772,0.00409648585520362,0.665836052258296
"2",4,2.292811624714,0.714285714285714,14.0517018740233,3.84323451202798,0.266577217481268,94.2577409859712,227.580745411906,0.00763829186282951,0.14208734570856,0.119430146691441,0.00456283240658259,0.212081633356597,0.207351344798115,779.555952405994,604.29858630949,216.726455595041,219.33448891197,3.21924466005378,521.799778641496,5.95447588788301,85.8631821441508,25.8836723836318,1.00078651388877,0.682742665678709,108.195885816673,1.00000000000415,0.775183082685611,0.27801270059839,0.281358237642768,0.0041295876840288,0.669355133564429
"3",4,2.2840606025682,0.510204081632654,12.758144408621,3.76951465504587,0.265222543205682,94.2094435769665,228.997675351416,0.00844310854499546,0.142724538357587,0.120117793645306,0.00456651326669532,0.212155531674462,0.207411336511221,776.580606095745,605.021561625064,215.78586282587,218.41823782695,3.23815936292893,523.044568349874,6.55675435120474,86.3514230793237,25.9197217424922,0.997409780724983,0.686993421288823,108.485372976382,1.00000000157428,0.77908404849212,0.27786666505933,0.28125636470488,0.00416976594909643,0.673522574562989
"4",4,2.272617288172,0.364431486880466,11.345351874402,3.67639861745344,0.263396568091075,94.1022253469662,230.612627771815,0.00942388927675054,0.14357895288906,0.121042270201805,0.004571534636444,0.212319853967448,0.207539982810557,772.68987838466,605.364652684147,214.456943773262,217.116814977234,3.25847079826179,524.094244745002,7.28174385916288,86.9176229484394,25.9583553348564,0.992557039822831,0.691838044044138,108.77051054549,1.00000000052567,0.783450993648201,0.277545946808992,0.280988299659442,0.00421704863895285,0.678272434622986
"5",4,2.25787383592755,0.26030820491462,9.88164839440621,3.56231833020637,0.260977455486782,93.9078344378234,232.387221382489,0.0105973765199243,0.144709769645903,0.122269356259655,0.00457829532413724,0.212618733666422,0.207770351900354,767.677104216298,605.035533138102,212.621296534288,215.310973304904,3.27893093912566,524.701026963426,8.13536331910526,87.5545526280007,25.9970690543408,0.985757222317278,0.69716214405655,109.017317014668,1.00000000000121,0.788138046342414,0.276967093803853,0.280470750166465,0.0042712371140429,0.683491827595555
"6",4,2.23915200003604,0.185934432081871,8.44013839203966,3.42699182209118,0.257820667823988,93.5948639072524,234.280185213034,0.0119842250025124,0.146188349557765,0.12387876950682,0.00458730838998115,0.213102540266884,0.208140165391855,761.311680017271,603.713645848632,210.150426375033,212.871262231498,3.29813552047319,524.588945288578,9.12373047036771,88.2559014921127,26.0331762306727,0.976506127220427,0.702841057557279,109.188029835103,1.00000000000659,0.792991440560739,0.276037307573754,0.279611186614229,0.00433217512231011,0.68905936827363
"7",4,2.21569022153838,0.132810308629908,7.083345367291,3.2715813439131,0.25377246203899,93.1309407110629,236.260359950866,0.0136143559973793,0.148103024064427,0.125969230592423,0.0045991947328516,0.213825680069856,0.208690174525735,753.334674957841,601.078522651342,206.911595818808,209.664078955802,3.31476429962961,523.479769280272,10.2561664500461,89.0215469048419,26.0644945259456,0.964285927601708,0.708781730639583,109.245084411792,0.999999999515213,0.79789042286363,0.274660921097359,0.278314653266018,0.00440012176289132,0.694883411620196
"8",4,2.18662116767251,0.0948645061642198,5.85401126763476,3.0985543959106,0.248659435184814,92.4831364789775,238.315638213072,0.0155318062922243,0.150566956093968,0.128667066236278,0.00461476071515435,0.214847582487921,0.209464909625845,743.451196551168,596.822948408516,202.769307862195,205.553278817831,3.32769494015251,521.106019104087,11.5471399725551,89.8618146688973,26.0897319653892,0.948579195959694,0.714947213149054,109.153425197121,0.999999999384645,0.802773538881757,0.272740576218124,0.276485234867996,0.004476009929827,0.700928347685505
"9",4,2.15094543409245,0.0677603615458714,4.77399827092217,2.91142091850215,0.242303209309091,91.6175644230776,240.454713487929,0.0177995042819615,0.153728907923584,0.13213816970621,0.00463502741834979,0.216235565403973,0.210514824801971,731.321448257666,590.646366986717,197.585562860219,200.400392210507,3.33601033201779,517.204968082869,13.0171592497526,90.7994209659006,26.1085946367205,0.928861312543752,0.721364080337361,108.879313242674,1.000000000911,0.807642615886596,0.270176081271725,0.274025044486956,0.00456161971319829,0.707219745552733
"10",4,2.10750997525084,0.048400258247051,3.84797373895791,2.71436057093003,0.234502702359961,90.4977116221875,242.705454407487,0.0205038541038805,0.157788981848325,0.136605743317966,0.00466140067156167,0.218070695199086,0.211900669388698,716.553397996165,582.239184091525,191.219046765581,194.063728843303,3.33889886216941,511.504166211565,14.6921063301532,91.8709280500011,26.121620019965,0.904608795955936,0.728115996072722,108.388075215339,1.00000000894683,0.812555199555184,0.266859453895728,0.270829405208678,0.00465966514342011,0.713839571786725
"11",4,2.05500146715594,0.0345716130336078,3.06916306181194,2.51192039093528,0.225072094957165,89.0835718215587,245.110271181838,0.0237620678693163,0.163019361049859,0.142374070343826,0.00469572626505584,0.220453998485612,0.213698113638012,698.700495855531,571.263961036989,183.529394278148,186.402418705504,3.33554791270944,503.701966893668,16.6025686028441,93.1270859190613,26.1298268911168,0.875294733385373,0.735334874497134,107.640160160933,0.999999995738532,0.817609207365848,0.2626724821074,0.266784436273963,0.00477393091643775,0.720912562299523
"12",4,1.99196839782139,0.0246940093097198,2.4243040335687,2.30861740395613,0.213849331348208,87.3307738544966,247.722454281907,0.0277326255713417,0.169793730524106,0.149864177886909,0.00474052009117796,0.22351518024008,0.216004252285128,677.26925307862,557.345275018686,174.386122785385,177.285046926574,3.32490525113022,493.455300360314,18.7824546066116,94.6337334354068,26.1342329261173,0.840423326820854,0.743166796487561,106.588443190463,0.999999996780226,0.822930128144266,0.25748418584072,0.26176449846185,0.00490928124274203,0.728595453770315
"13",4,1.9168891484707,0.0176385780783713,1.897316975345,2.10873237999452,0.200736111242412,85.1921552433031,250.601059789781,0.0326315520320157,0.178628695000214,0.159664050979208,0.0047992046497757,0.227420787897982,0.218943682863633,651.742311437844,540.070818632513,163.688706794066,166.609698994669,3.30578107394963,480.37445210629,21.2673631471502,96.4721455400229,26.1352020262884,0.799594042112945,0.751803336455861,105.174951697751,1.00000000146961,0.828656985971534,0.251155562807487,0.255637383541899,0.00507222106159529,0.737061940558181
"14",4,1.82831078945894,0.0125989843416938,1.47159214159332,1.91603377026571,0.185773805814093,82.6191139730838,253.80748635831,0.0387559998330725,0.190243041191762,0.172604447493293,0.00487628371261136,0.232387726586836,0.222678580064767,621.625668505749,519.015714683168,151.393069746096,154.329934645934,3.27651715340652,464.03896575435,24.0917243048424,98.7391279876418,26.1311171578385,0.752556546682341,0.761422372402912,103.331537988902,1.00000000014431,0.834932888157061,0.243543787584994,0.248268278623662,0.00527088458518033,0.746492606936205
"15",4,1.72508010451199,0.0089992745297813,1.13133240821355,1.73361910038138,0.169143328780221,79.5675639949588,257.398340654423,0.0465203792771818,0.205640823097004,0.189869356838705,0.00497795849459393,0.23869477373523,0.227417298983769,586.527234648691,493.791138733397,137.552207403477,140.495494631778,3.23507301959009,444.032756397344,27.2854694122537,101.543616207142,26.1169491514424,0.699380740954435,0.772195022428004,100.980730120202,0.999999998490462,0.841889530131987,0.234519727422762,0.239537886938612,0.00551563989461516,0.757053943101244
"16",4,1.60667757571024,0.00642805323555806,0.862163130815746,1.56381756778885,0.151216726624917,76.0060430022596,261.416758204001,0.0565068601093531,0.226231368665356,0.213161282848781,0.0051126037854706,0.246696312416729,0.233424650590504,546.270373542729,464.127448827443,122.36016143394,125.29621446299,3.17900955279119,420.012443321235,30.868023579663,105.000187983393,26.0824489808425,0.64058990036862,0.784249933811141,98.041257825923,0.99999999597497,0.849629541410619,0.223991940379072,0.229366665349405,0.005819480048641,0.768872818247061
"17",-1,1.36974961042911,0.0045914665968272,0.862163130815746,1.56381756778885,0.151216726624917,76.0060430022596,261.416758204001,0.139282189244729,0.226231368665356,0.213161282848781,0.0051126037854706,0.246696312416729,0.233424650590504,465.714865671382,395.685109341129,104.316376844988,106.819466172642,2.71021838003884,358.075502709572,64.8657860545249,89.5163838467448,22.2362127104146,0.5461256071162,0.668600880199625,83.5836491050007,0.99999999597497,0.849629541410619,0.223991940379072,0.229366665349405,0.005819480048641,0.768872818247061
"18",4,1.3278903371426,0.00327961899773372,0.488055778948202,1.26698217723498,0.11376843988421,67.3211137959066,270.810080037659,0.0867892348099184,0.291724937981516,0.288826142976003,0.00553077892725825,0.269757892115319,0.2507210972129,451.482714933412,391.734185565771,89.546128507256,92.4067656492474,3.01170915398542,359.606088482822,39.1838393589754,114.278630989414,25.8632629151842,0.511081392188949,0.812432313043519,90.1608330688522,1.00000000067539,0.867661535809007,0.198337888928797,0.204673983422127,0.00667070755181333,0.796500235404878
"19",4,1.17308914237477,0.00234258499838122,0.362777151333713,1.14110750542114,0.0956885108132141,62.3437478310296,276.05667678784,0.109919500829878,0.343353801881858,0.349994108684231,0.00584983206392858,0.285870934900404,0.262798184615662,398.850305810716,350.081699486498,73.2470248286165,76.0320286706287,2.8972549950972,323.839090219876,43.8414265205583,120.201882487951,25.6360271686634,0.444774599202981,0.828240994093302,85.104325017371,0.999999993489523,0.877727037204376,0.18364540100542,0.19062798014177,0.0072640159328589,0.811931402317177
"20",4,1.0143648959798,0.00167327499884373,0.267659973708963,1.02665086282864,0.0784362422861716,56.7816068496974,281.845643431243,0.141266865801436,0.414352083253485,0.436520789230563,0.00629142033399763,0.307219249455578,0.278790715880178,344.88406195497,306.545848153952,57.676831696407,60.3494984654224,2.75222973976304,285.894326781493,48.7206904972468,127.017910795297,25.1771360924339,0.379684061791917,0.845537954979322,79.7046840294939,0.999999992234599,0.888837379251017,0.167235420858775,0.17498488522402,0.00798015919549862,0.828957774797773
