"","convergence","mu","x_C","x_W","C","AA","NT","ADP","ATP","CI1","LIP","rRNA","mRNA","tRNA","DNA","TC","p","tau tC","tau CCM","tau FERM","tau ATPS","tau ADPS","tau EAA","tau ENT","tau LIPS","tau Maint","tau rRNAp","tau mRNAp","tau tRNAp","tau DNAp","tau tRNAc","tau r","v tC","v CCM","v FERM","v ATPS","v ADPS","v EAA","v ENT","v LIPS","v Maint","v rRNAp","v mRNAp","v tRNAp","v DNAp","v tRNAc","v r","p tC","p CCM","p FERM","p ATPS","p ADPS","p EAA","p ENT","p LIPS","p Maint","p rRNAp","p mRNAp","p tRNAp","p DNAp","p tRNAc","p r","f tC","f CCM","f FERM","f ATPS","f ADPS","f EAA","f ENT","f LIPS","f Maint","f rRNAp","f mRNAp","f tRNAp","f DNAp","f tRNAc","f r"
"1",4,0.901562771477871,0.1,0.001,0.674343434825142,4.4733148897665,8.58356734537974,2.68765869007058,20.8427029734312,8.85179568690933,24.6142927826733,44.5183062383624,13.6685441193087,1.97927160925985,8.89958823271581,12.0248625763588,188.181750196904,0.0149490813023795,0.00639778892425917,0.00169057303638743,0.0169057303638743,0.102115601837866,0.10117023186564,0.0250301629717281,0.0193872235175476,0.014828790487275,0.185588435026624,0.278382652539936,0.185588435026624,0.201642549449234,0.000268763063950524,0.00383822243864741,1424.67284219763,254.949954857642,5590.7075049935,8.84649939426875e-16,21.2140980752227,224.778175386481,305.230080271029,123.285166772859,2452.25073841981,40.1360475537586,12.3230505182715,12.5114884661044,8.02353743209911,16977.1777811509,16965.7660249077,21.2975501473045,1.6311159974286,9.45149936227084,1.49556533423684e-17,2.16629039239889,22.7408601221857,7.63995865305752,2.39015708462355,36.3639124222928,7.44878625365623,3.43052349066005,2.32198756427797,1.61788654340983,4.56283831769487,65.1183838456426,4.64772323605267,0.831725568232644,18.2386161982639,2.88600158398787e-18,0.0692069460691209,0.733295896263283,0.995754880979959,0.402194326514269,8,0.130936194818713,0.0402016003509079,0.0408163431906367,0.0261752595079877,55.3848022640317,55.3475735873247
"2",4,0.896887110675594,0.0930232558139535,0.001,0.652965911342195,4.48429688739273,8.53780525040096,2.68644013239467,20.8028506894284,8.82638062968164,24.894868187936,44.3834718050439,13.6377797808627,1.97115454729484,8.86086196318142,11.9960675777536,188.26505844761,0.0152735754615314,0.00644160516672175,0.00170102177849322,0.0170102177849322,0.102269887737764,0.101242329265178,0.0255319425994959,0.0194205840705495,0.0148853376083487,0.18628926030257,0.279433890453855,0.18628926030257,0.202505312864173,0.000268821735440145,0.003848195379614,1417.60181448576,253.793901116473,5563.30097616202,4.51659151214206e-15,21.0672421770035,223.549747696067,302.76695465444,124.04381333182,2439.53294103761,39.8069637889775,12.231548903688,12.4137676181178,7.94719288425305,16896.5758190031,16885.2504312249,21.6518482879521,1.63484010471434,9.46329612076419,7.68282052671126e-17,2.15454449238645,22.6326971633927,7.73022850726135,2.40900330524217,36.3132714340328,7.41560983913981,3.41790929643413,2.31255158714715,1.60934878141759,4.54216683466039,64.9777426930649,4.6487646570013,0.83227046242229,18.2438232583841,1.48113319108403e-17,0.0690861494759498,0.733090318841062,0.992868592381172,0.406778891959739,8,0.130539622956012,0.0401111170025374,0.0407086697926293,0.0260613587152395,55.4092155421075,55.3720760140029
"3",4,0.892027228977457,0.0865332612222823,0.001,0.632309235163667,4.49531341774063,8.49232696806287,2.68534534423126,20.7645328769659,8.80029637649704,25.1908510406254,44.2477178183129,13.6067439380486,1.96299497481135,8.82227439855499,11.9670665516912,188.332227064795,0.0156140177356427,0.00648663781350835,0.0017117626228039,0.017117626228039,0.102425841570117,0.101316275822823,0.0260485297837735,0.0194550951376142,0.0149457585588392,0.18699479929035,0.280492198935525,0.18699479929035,0.203374072608573,0.000268882798934193,0.00385826761344223,1410.21651632802,252.583017168126,5534.63629235388,5.74812757174652e-18,20.9179298895133,222.261988127866,300.252716372553,124.838472496406,2426.31406281868,39.4701691140461,12.1375860904633,12.3136262964967,7.86970898502177,16810.9842522237,16799.7474635762,22.019145697042,1.63841455021279,9.47398353606534,9.83942992842423e-20,2.1425365728381,22.5187568940919,7.82114182508934,2.428744359252,36.2631041708043,7.38071635143722,3.4044982122833,2.30258407784977,1.60049476652816,4.52018449857655,64.8179215527244,4.64974106341287,0.832812276164106,18.2487053169835,1.89526250037683e-20,0.0689702300623446,0.732838313172569,0.989987968907028,0.411615213082115,8,0.13014034652445,0.0400198351119078,0.040600271779134,0.0259478658781029,55.4288812312917,55.3918314896456
"4",4,0.886977581599741,0.0804960569509603,0.001,0.612296023457002,4.50622572771237,8.44561448812741,2.68414154848369,20.7251541344971,8.77303935674067,25.4977343485429,44.1070932912877,13.5746052828682,1.95463649333533,8.78241832852521,11.9369969570813,188.400043871785,0.0159730791066996,0.00653300353403806,0.00172286643104519,0.0172286643104519,0.102587105614422,0.101392877924358,0.0265822743516389,0.0194911309950072,0.0150105889713264,0.187730248155561,0.281595372233341,0.187730248155561,0.204279697921108,0.000268962574891307,0.00386876893374679,1402.53530741699,251.320840135623,5504.81464901979,9.33779552762118e-16,20.7635204718434,220.923432154958,297.655357073646,125.643993048574,2412.5790219513,39.1220029389005,12.0403705649695,12.210116403449,7.78980816963253,16721.806632555,16710.6615286681,22.4028074153108,1.64187993678344,9.48406036792198,1.60877744545024e-17,2.13006946757221,22.4000625871179,7.91235636396671,2.44894352724552,36.2142320593555,7.34438332006236,3.39051263106995,2.29220818242776,1.59129965975592,4.49754016872655,64.6496881844688,4.65074194761958,0.833368234901932,18.2537097402679,3.09636963354469e-18,0.0688508696558252,0.732571841651098,0.987011341358353,0.416629646218022,8,0.129726744974376,0.0399253096554947,0.0404881789731336,0.0258306421427212,55.4487342562746,55.4117776093487
"5",4,0.881732597500636,0.0748800529776375,0.001,0.59289261208916,4.51723532987068,8.39817940394032,2.68294163771039,20.6851771477365,8.74508322504958,25.8131767853072,43.9628368588589,13.5418302476657,1.94611186018776,8.74186755996385,11.9062797057521,188.466389801703,0.0163528573216762,0.00658081605697514,0.00173433246532473,0.0173433246532473,0.10275289152026,0.101471592827174,0.0271338973169077,0.0195283598703788,0.0150801122792864,0.188486907417748,0.282730361126622,0.188486907417748,0.205211705374872,0.000269052134748773,0.00387959479741468,1394.54381910033,250.003958323113,5473.77367015807,3.81537216067593e-16,20.6044320753956,219.532813959079,294.984155704859,126.4462189814,2398.31266520173,38.7634663370584,11.940273159187,12.1035983030158,7.70798959065347,16628.7466315439,16617.6959421423,22.8047761025732,1.64523006324009,9.49334338399484,6.61712380555642e-18,2.11716497387969,22.2763443102593,8.00406979101036,2.46928726851751,36.1668242720767,7.30640589066411,3.37587774224744,2.28136981276216,1.58176968890976,4.47399977941334,64.4699267221542,4.65174983840744,0.833932829361377,18.2587491600397,1.27268548960609e-18,0.0687297611336675,0.732290888154445,0.983972306813621,0.421783934400444,8,0.129302461349585,0.0398289124931344,0.0403737126643503,0.0257113751763643,55.4681526652245,55.4312911181478
"6",4,0.876286688213719,0.0696558632350116,0.001,0.574099832984827,4.52766333861497,8.34831514777385,2.6813864970708,20.6426039005517,8.71493693841511,26.1433985179847,43.8106898794388,13.506747731543,1.9372543514389,8.69880065221527,11.8736872012275,188.540417066649,0.016752015854289,0.00662993750068812,0.00174622456129656,0.0174622456129656,0.102926684964968,0.101554278602249,0.0277044777792865,0.0195680094180358,0.0151548642653444,0.189296904568654,0.283945356852981,0.189296904568654,0.206209177938344,0.000269185920223202,0.00389114644368851,1386.25300844592,248.636403357555,5441.57766763988,3.72561143400587e-18,20.4385023014611,218.090508023823,292.203565982252,127.272845033202,2383.49979194132,38.3907243428118,11.835783238212,11.9928205076191,7.62264321496106,16532.4981392445,16521.5457665767,23.2225323755418,1.64844381465647,9.50221657543564,6.50575419190837e-20,2.10366728753826,22.1480242123574,8.09534720078358,2.4904762302699,36.1216158233474,7.26724528224274,3.36071569520862,2.27020379913977,1.57185899107442,4.45031572520091,64.2877540538518,4.65283198474069,0.834525445978897,18.2641599081754,1.25046755081826e-20,0.0685999717577128,0.732000929930662,0.980754659917155,0.427179714346156,8,0.128854970233644,0.0397257286221852,0.0402528099164671,0.0255847078006331,55.4898244846218,55.453063843132
"7",4,0.870634313278308,0.0647961518465225,0.001,0.555878241223089,4.53811034399116,8.29728674827199,2.67975061721429,20.5986461017868,8.68398014751059,26.4826209128666,43.6539312435871,13.4706360417003,1.92817220641629,8.65439806070732,11.8400592505202,188.616529695768,0.0171742352894981,0.006680582073729,0.00175851875533824,0.0175851875533824,0.10310631594617,0.101639283258698,0.0282944841467717,0.0196091118384881,0.0152351121889379,0.190140230287023,0.285210345430535,0.190140230287023,0.207247652249746,0.000269336764055872,0.00390314689060937,1377.63993226346,247.212257764924,5408.12133043509,1.15089423417668e-15,20.2669709416676,216.595008200391,289.337974495215,128.092658179352,2368.125332117,38.0066104501589,11.7279979595878,11.8785856674115,7.53481591242104,16432.4531876768,16421.6022804612,23.6599123409008,1.65152177763043,9.51028279071491,2.02386909621033e-17,2.08965270918344,22.0145613908994,8.1866687324139,2.51178325992814,36.0786551122682,7.22658566342239,3.34494634926264,2.25859701428576,1.56157290798329,4.42586376706847,64.095925879806,4.65394263919945,0.83513234510752,18.2697132017095,3.88795041738042e-18,0.0684658727029446,0.731701165518176,0.977441423631273,0.432722563935729,8,0.128393915422315,0.0396195177697069,0.040128233100881,0.0254541119432568,55.5121064407073,55.4754499105199
"8",4,0.864769978472824,0.0602754900897883,0.001,0.538227003888253,4.54821804781521,8.24510428207852,2.67800355434387,20.5540720168806,8.65142799724826,26.8336547572063,43.4918028299804,13.4334589690328,1.91890451938917,8.60891212112371,11.8053390036808,188.692875617153,0.017619812808512,0.00673267300437426,0.00177122892404295,0.0177122892404295,0.103291666255283,0.101727633963727,0.028904354289336,0.0196520354416786,0.0153211899452899,0.191015226913391,0.286522840370086,0.191015226913391,0.208325489020274,0.000269513926021647,0.0039156285255504,1368.69450997609,245.729671770672,5373.36358336423,6.75638225427222e-18,20.090401491607,215.043237520996,286.387299269472,128.916328037425,2352.17434144608,37.6104053970265,11.616852023466,11.7608516417264,7.44472874965859,16328.3396119695,16317.5933985421,24.1161410578167,1.65441752750415,9.51745699825381,1.19670996706575e-19,2.0751710458057,21.8758397529106,8.27783996205092,2.53346824760253,36.0381098697325,7.18416012121764,3.32849343792247,2.2465017450391,1.55092675739592,4.40071491423669,63.8936341796642,4.65507844672647,0.83575326009075,18.2753922230468,2.29791886943839e-20,0.0683296340330137,0.731385369636472,0.974034260040115,0.438458411065462,8,0.127917067147001,0.0395101734383317,0.0399999317550451,0.0253203297680109,55.5344536304434,55.4979045932803
"9",4,0.858688239154163,0.056070223339338,0.001,0.521125222312563,4.55803069514176,8.19151728023147,2.67609964165956,20.508121719643,8.61732135064065,27.1962934123127,43.3241852268256,13.3949337041405,1.90941881852424,8.56182559581928,11.7694516048124,188.771676898214,0.0180902731766067,0.00678626178061616,0.00178437597739921,0.0178437597739921,0.103483505435304,0.101819415620824,0.0295349586866684,0.0196969293814937,0.0154136057971934,0.19193049250795,0.287895738761925,0.19193049250795,0.209452874980222,0.000269718977820446,0.00392864557842212,1359.41123613014,244.187788101218,5337.28616906409,3.73073057452844e-16,19.9080182168964,213.435058302672,283.345689320792,129.739651676327,2335.63201049932,37.2019683252117,11.5020720359952,11.6395031608594,7.3519389448191,16220.2400834478,16209.6018837906,24.5921206209428,1.65712225368449,9.52372522458305,6.65702601533731e-18,2.06015151135433,21.7318329093746,8.36860322813519,2.55547275704819,36.0005110971428,7.14019210292304,3.31139752609571,2.2339755742116,1.53988474867142,4.37490657530976,63.6817807687367,4.65625143008556,0.836391304806665,18.2812571332179,1.27784875622795e-18,0.0681888863567696,0.731057143739155,0.970514834689964,0.444383879286156,8,0.127424074196546,0.0393968638357073,0.0398675925266878,0.0251818399877038,55.5575193713161,55.5210814406511
"10",4,0.852383755311897,0.0521583472924074,0.001,0.504557814167712,4.56737144076232,8.13652898025001,2.67402360363819,20.4611739620253,8.5812357988482,27.5710047729526,43.1508392177254,13.3549927030346,1.89971943244856,8.5132186020818,11.7323693680429,188.852966007096,0.0185869724335277,0.00684133862137273,0.00179797897414069,0.0179797897414069,0.103681914105741,0.101915294535329,0.0301871054472038,0.0197439799574437,0.0155127936023942,0.192886577572665,0.289329866358997,0.192886577572665,0.210630653093429,0.000269957307420662,0.00394221818220814,1349.78181804898,242.584802882012,5299.85669895634,5.07082158468633e-16,19.720066580903,211.769220300481,280.213164618508,130.561536589398,2318.48381444836,36.7810743772647,11.3835788323757,11.5145028228152,7.25652924183358,16108.0468588609,16097.5200366918,25.0883574433533,1.6596047809148,9.52903091068216,9.11723059088478e-18,2.04461424940068,21.5825224604405,8.45882434803357,2.57780436163412,35.9661608840291,7.09457555607621,3.29360934225836,2.2209930419436,1.52844749339897,4.34848495782394,63.4599361771063,4.65746384645825,0.837046353725718,18.2873192072461,1.74970264725107e-18,0.0680446987225399,0.730716234396892,0.966884177917556,0.450506613937134,8,0.12691423299331,0.0392793903030431,0.0397311475751831,0.0250388782414171,55.5813131270654,55.5449900020869
