"","convergence","mu","x_C","x_W","C","I","AA","NT","ADP","ATP","rRNA","DNA","p","tau tC","tau FERM","tau RESP","tau ADPS","tau EAA","tau ENT","tau RNAp","tau DNAp","tau r","v tC","v FERM","v RESP","v ADPS","v EAA","v ENT","v RNAp","v DNAp","v r","p tC","p FERM","p RESP","p ADPS","p EAA","p ENT","p RNAp","p DNAp","p r","f tC","f FERM","f RESP","f ADPS","f EAA","f ENT","f RNAp","f DNAp","f r"
"1",4,0.799333774189137,1,0.001,1.63173725285201,6.67288313557851,11.9944023362427,5.59160151089151,0.475626799959271,21.7941418431624,64.9120744038533,6.67543594365021,134.25209735227,0.0196428571428571,0.00501748658653613,0.0744637393747111,0.0522184338292151,0.207082968465622,0.0138361738104124,0.361869454502228,0.16701667130872,0.120977955508343,404.75725551604,1008.63238204808,2.07343514356149e-14,17.8009782198254,156.646191053051,238.002541886712,51.8864134236781,5.33590140719574,536.561178346988,7.9505889476365,5.06079944767224,1.54395734140529e-15,0.92953920326725,32.4387582420987,3.2930445368645,18.7761081217035,0.89118449146135,64.9120743615663,1.993575842142,4.967879199323,1.0212417828514e-16,0.0876762545004792,0.771539133619179,1.17224857963031,0.255559348046667,0.0262812438726386,2.64275782189509
"2",4,0.798281347790123,0.757575757575758,0.001,1.6318087804061,6.68642582390698,12.0101315890471,5.59486990278422,0.476113808964233,21.7729479307794,64.8572745661147,6.67870405969388,134.291723859463,0.0202142857142857,0.00501696916192308,0.0744096629843489,0.0522103973733064,0.206952885464366,0.0138254872883009,0.361747424164375,0.166960349614327,0.120999467574848,404.224282677576,1007.30410041254,1.00049809080722e-14,17.7610109926683,156.456606707767,237.524337461884,51.7743525546321,5.3314848782638,536.012891597957,8.17110514269672,5.05361360844841,7.44467257534499e-16,0.927309441678872,32.3791462081358,3.28388970824136,18.7292386744164,0.890146579238421,64.8572744966073,1.99357555851147,4.96787778623531,4.93431153358397e-17,0.0875947312588334,0.771621301506609,1.17143559654317,0.255343600653995,0.0262941104712357,2.64353787124928
"3",4,0.796894652395245,0.573921028466483,0.001,1.63189046097689,6.70428204973489,12.0308978178657,5.59913182118579,0.476752116637465,21.7450318859054,64.7850656607717,6.68295737130664,134.34399111675,0.0209685714285714,0.0050162974404281,0.0743393663783811,0.0521999320874963,0.206782172471369,0.0138114640870832,0.361588691842293,0.166887088542597,0.121027967172687,403.522039115082,1005.55398583359,1.35717649839377e-17,17.7084208383086,156.206778445039,236.894683880811,51.6268723801438,5.32561299137964,535.290040511862,8.46128070018739,5.04415788534929,1.00891640954223e-18,0.924378365136515,32.3007770016189,3.27186241884074,18.6676932478452,0.888776046835977,64.785065450936,1.99357523677674,4.96787617795586,6.70504507031784e-20,0.0874873385926885,0.771729757332753,1.17036327568258,0.255059313625085,0.0263108557925458,2.64456675426673
"4",4,0.795068604879576,0.434788657929154,0.001,1.63197617293171,6.72781583634348,12.0583158864443,5.60466716088552,0.477586967605886,21.7082878247587,64.6899708045503,6.68846670433118,134.41291303006,0.0219642285714286,0.00501543010195615,0.0742484292860786,0.0521863636322313,0.206558563793236,0.0137930974355788,0.36138321142404,0.16679225142648,0.121065764779425,402.597318876648,1003.2494646441,3.23042794675423e-17,17.6392925191983,155.877746703787,236.066293857151,51.4329648372743,5.31778989139609,534.337436203049,8.842739534051,5.03172756474739,2.39854200968354e-18,0.920530533622177,32.1978834864599,3.25608539242765,18.5870100059539,0.886966148598931,64.6899703641993,1.99357490001138,4.96787449242086,1.59963809220442e-19,0.0873459637494669,0.771872908061301,1.16894926048059,0.254684924427363,0.026332546080044,2.64592348484371
"5",4,0.79266592047566,0.329385346916026,0.001,1.63205098107216,6.75881645323532,12.094517382561,5.61181715882109,0.478675449786457,21.6599698872742,64.5648326785873,6.69555717985884,134.503763329858,0.023278496,0.00501431872274331,0.0741316020891363,0.0521688768772534,0.20626638492441,0.0137691018036889,0.361118946917313,0.166670283192606,0.121115966248486,401.380617202798,1000.21736502406,5.37114828289424e-18,17.5485496841854,155.44472533032,234.977629995578,51.1783425255294,5.30733999507022,533.08274683651,9.34353709203285,5.01540866025311,3.98171827269264e-19,0.915488127848633,32.0630215494531,3.23543090899866,18.4814691577927,0.884575859977798,64.564831973501,1.99357460638203,4.96787302204689,2.66773839218058e-20,0.08716002101205,0.772061838147964,1.16708534530539,0.254192254640107,0.0263604613380269,2.647711876572
"6",4,0.789507900532489,0.249534353724262,0.001,1.63209022946046,6.79962932726923,12.1423042734173,5.62099455411248,0.480086698590788,21.5964878933198,64.4003452955127,6.70460144026107,134.623460622164,0.0250133290057143,0.00501290866483514,0.0739828889322062,0.0521464969119603,0.205885788676509,0.0137378562582887,0.360781925765789,0.166514734968826,0.121182794777045,399.781465867525,996.232294342461,1.23575566771122e-14,17.4296300570082,154.875414353338,233.549002638219,50.8445814078276,5.29333580700762,531.431428791115,9.99986533613114,4.99402150049791,9.14247743116238e-16,0.908894149944388,31.8866468307382,3.20846262751055,18.3438059950715,0.881418409004869,64.4003457732656,1.99357445054628,4.96787224615448,6.16229399459755e-17,0.0869156479996478,0.772311113529448,1.16462958981796,0.253544666517767,0.0263960686624452,2.65006812248355
"7",4,0.785363091161001,0.189041177063835,0.001,1.63201323141639,6.85329613122795,12.2054175397688,5.63262758710632,0.481910956592537,21.5132223663361,64.1844242865467,6.71599666102407,134.78108961718,0.0273033085732571,0.0050111501544607,0.0737962952255453,0.0521182334468703,0.205392223840815,0.0136973456982856,0.360357763173241,0.166318967618419,0.12127190316735,397.682724804571,991.002504620826,9.18313454480276e-16,17.2741658969936,154.127976354821,231.677836737013,50.4080778620715,5.27449589792883,529.260465858981,10.8580541495929,4.96606235410159,6.77681307964168e-17,0.900299010819477,31.6566878196013,3.17337142041784,18.1649421842387,0.877248712451108,64.184423965957,1.99357473827945,4.96787372334217,4.60348511636675e-18,0.0865950130823962,0.772640149943904,1.1613958915744,0.252694583805302,0.0264409317363152,2.6531710554563
"8",4,0.779933885185192,0.143213012927147,0.001,1.63173291190322,6.92376668622757,12.2887455687595,5.64715654116139,0.484251212527685,21.4045051736034,63.9014111284304,6.73012277950367,134.98830744955,0.0303260816024138,0.00500898799276391,0.0735651613246879,0.0520830976236397,0.204755737652938,0.0136451076650424,0.359832683450523,0.16607662313101,0.121391006131475,394.933769029185,984.15281309905,2.63525824029757e-15,17.0717828101075,153.14842326365,229.233886853021,49.838875850213,5.24905080719166,526.409775418503,11.9767937071279,4.92960962385797,1.93863197579704e-16,0.889151330708402,31.3580183757331,3.12792106658564,17.9336564373396,0.871744632701496,63.9014122754958,1.99357585035996,4.96787926259377,1.33024511938636e-17,0.086176206244611,0.773073922976074,1.15714374599494,0.251580358773348,0.0264965463759987,2.65725014664468
"9",4,0.772841363121641,0.108494706762991,0.001,1.63105429538177,7.01616027729569,12.3986544981114,5.66500646641568,0.48721783925607,21.2626549623899,63.531599505817,6.74719583966439,135.260456040928,0.0343161420009003,0.00500641031685895,0.0732863534600473,0.0520401773173114,0.203940614675523,0.0135782732007323,0.359197009437021,0.165783235124779,0.121551012361738,391.342865816165,975.205798977992,2.52034228721733e-15,16.8092013437463,151.867924594667,226.053031906265,49.0998479633738,5.21451202997489,522.67437611563,13.4293773543868,4.88228037306409,1.84706695701313e-16,0.874753818490948,30.9720378913323,3.06940982507713,17.6365185522563,0.864478673926317,63.5315995523945,1.99357852423283,4.96789262657241,1.28391257293869e-17,0.0856294204789209,0.773645463959887,1.1515591802247,0.250124407503216,0.026563763148285,2.66260740238048
"10",4,0.7636101326756,0.0821929596689322,0.001,1.62964932192172,7.13696745634826,12.5436379996098,5.68618418388302,0.490925577315772,21.0784904525839,63.0499466329958,6.76702612024319,135.61717177433,0.0395830217269028,0.00500346438999106,0.0729615824490366,0.0519896048124506,0.202906657051049,0.0134935735147342,0.358456555836701,0.165441487309247,0.121766650276151,386.669529930038,963.562782987777,5.70350388863696e-15,16.4706246363269,150.199895770057,221.932935097333,48.1455781136114,5.16736971349815,517.793232658429,15.305548404352,4.82115207220003,4.16136669219186e-16,0.856301265856852,30.4765587401183,2.9946683750766,17.258098109372,0.85489733087789,63.0499474764765,1.99358405400213,4.9679202794746,2.94060263977435e-17,0.0849189607476368,0.774398016761617,1.14423797641357,0.248228136350377,0.0266418351190677,2.66962936563642
