"","convergence","mu","x_C","x_W","x_CO2","C","AA","NT","ADP","ATP","CI1","CI2","LIP","rRNA","mRNA","tRNA","DNA","TC","p","tau tC","tau tW","tau tCO2","tau FERM","tau ATPS","tau ADPS","tau EAA","tau ENT","tau LIPS","tau Maint","tau rRNAp","tau mRNAp","tau tRNAp","tau DNAp","tau tRNAc","tau r","v tC","v tW","v tCO2","v FERM","v ATPS","v ADPS","v EAA","v ENT","v LIPS","v Maint","v rRNAp","v mRNAp","v tRNAp","v DNAp","v tRNAc","v r","p tC","p tW","p tCO2","p FERM","p ATPS","p ADPS","p EAA","p ENT","p LIPS","p Maint","p rRNAp","p mRNAp","p tRNAp","p DNAp","p tRNAc","p r","f tC","f tW","f tCO2","f FERM","f ATPS","f ADPS","f EAA","f ENT","f LIPS","f Maint","f rRNAp","f mRNAp","f tRNAp","f DNAp","f tRNAc","f r"
"1",4,0.654480152156893,0.1,0.001,0.001,3.32183109320458,5.47149559533466,13.8588792472238,3.61764696446887,18.9563943949,7.94624949298434,0.00219750353682003,26.7494554880859,43.5332049446309,10.0773812799974,2.28729225669639,11.4140541561706,16.1762380607797,176.58767933694,0.0180263760792392,0.0121710310063765,5.00768362727989,0.00219132897912942,0.0414173131994429,0.2412090314136,0.121740079268127,0.0207500562358105,0.0303857059930587,0.0160957103975787,0.24372660121561,1.21863300607805,0.24372660121561,0.152329125759756,0.000317272259242226,0.00526427888155787,916.791771877297,694.267927056481,0.000593208580534228,3981.0201056802,0.101571551483876,14.7742620236759,158.452824746656,234.654286518614,97.2610427664249,1780.18670653803,28.4916185960393,6.59544603347575,11.9725717447214,7.47027190085758,11568.4573628288,11557.3131241473,16.5264332662122,8.44995646693719,0.0029706008963032,8.72372472407388,0.00420682075996102,3.56368543258159,19.2900594449166,4.86908964123523,2.9553454500789,28.6533696820555,6.94416536354412,8.0374282262001,2.918034219151,1.13793998784531,3.67035060345204,60.8409194070005,4.11998191081585,3.1199792455327,2.66582739517526e-06,17.890355613043,0.000456453654585238,0.0663942392922622,0.712073113764018,1.05451580763257,0.437082606014475,8.00000311280404,0.128038838072444,0.0296393567058748,0.0538036886098919,0.033570747518149,51.9876339785453,51.937552746159
"2",4,0.649336807621335,0.0930232558139535,0.001,0.001,3.18652990596613,5.46263742312081,13.8321255649908,3.67497305822728,18.8854224479091,7.95404707600649,0.00221819177180926,26.9699498906819,43.4613873681173,10.0733336101497,2.28653600028025,11.3810828722962,16.1535590053822,176.676196563061,0.0186049607442115,0.0121008820880862,4.93231976276705,0.0022362411901738,0.0408705993396779,0.244067503187766,0.123927235403401,0.0212081082941643,0.0306206062583212,0.0161637723762336,0.244160155918799,1.220800779594,0.244160155918799,0.152600097449249,0.000317798309185272,0.00527433287764079,909.679903116468,688.904779760404,0.000609428458221819,3950.929289093,0.102489101101018,14.6492951966294,157.203183152892,232.47498541852,97.2921175762375,1766.19736146225,28.2210785284075,6.5409862885193,11.8634208396704,7.39015601957066,11483.2769042477,11472.2357458937,16.92455888728,8.33635550979961,0.00300589602848014,8.83523081573384,0.00418879098778344,3.57541690210186,19.4817558847524,4.93035466644025,2.97914362434026,28.5484121221802,6.89046293369264,7.985241160338,2.89657468194426,1.12773852875164,3.64936598407621,60.5083901746133,4.12040268688017,3.1203999294749,2.76041127006949e-06,17.895767074419,0.000464225235828365,0.0663541044298132,0.712053125533719,1.05299737992372,0.440685455730096,8.00000563802493,0.127827609906227,0.0296274517945579,0.0537354633601374,0.0334737731538123,52.0135982430221,51.9635872244296
"3",-1,0.643849222243706,0.0865332612222823,0.001,0.001,3.18652990596613,5.46263742312081,13.8321255649908,3.67497305822728,18.8854224479091,7.95404707600649,0.00221819177180926,26.9699498906819,43.4613873681173,10.0733336101497,2.28653600028025,11.3810828722962,16.1535590053822,176.676196563061,0.0201402390368328,0.0121008820880862,4.93231976276705,0.0022362411901738,0.0408705993396779,0.244067503187766,0.123927235403401,0.0212081082941643,0.0306206062583212,0.016225608871979,0.244160155918799,1.220800779594,0.244160155918799,0.152600097449249,0.000317798309185272,0.00527433287764079,901.99214219475,683.082803011789,0.000604278140764382,3917.53974218852,0.101622959391558,14.5254931001364,155.874649364169,230.510324990105,96.4698958948182,1751.27111871579,27.9825804545947,6.48570801029627,11.7631623390521,7.32770135561906,11386.2310234546,11375.2831746103,18.1663373531471,8.26590445564504,0.00298049301590029,8.76056373562483,0.00415339125700472,3.5452008335214,19.317114365176,4.88868793531316,2.95396669797646,28.4154402010755,6.83223120680419,7.91775739518871,2.8720955508011,1.11820794094647,3.61852496724676,59.9970300403211,4.12040268688017,3.1203999294749,2.76041127006949e-06,17.895767074419,0.000464225235828365,0.0663541044298132,0.712053125533719,1.05299737992372,0.440685455730096,8.00000563802493,0.127827609906227,0.0296274517945579,0.0537354633601374,0.0334737731538123,52.0135982430221,51.9635872244296
"4",-1,0.637811069473449,0.0804960569509603,0.001,0.001,3.18652990596613,5.46263742312081,13.8321255649908,3.67497305822728,18.8854224479091,7.95404707600649,0.00221819177180926,26.9699498906819,43.4613873681173,10.0733336101497,2.28653600028025,11.3810828722962,16.1535590053822,176.676196563061,0.0218655066914079,0.0121008820880862,4.93231976276705,0.0022362411901738,0.0408705993396779,0.244067503187766,0.123927235403401,0.0212081082941643,0.0306206062583212,0.0162920831049053,0.244160155918799,1.220800779594,0.244160155918799,0.152600097449249,0.000317798309185272,0.00527433287764079,893.533071089307,676.676709509109,0.000598611093878859,3880.80023450619,0.100669918007686,14.3892699855129,154.412824276315,228.348550914241,95.5651810190064,1734.84733160598,27.7201539580587,6.42488368305242,11.6528449404894,7.25898063854518,11279.448565665,11268.6033880387,19.5375533448975,8.18838507352385,0.0029525413285503,8.67840533523888,0.00411443988445037,3.51195319805879,19.1359544233949,4.84284079660471,2.92626377998818,28.2642769008478,6.76815711249273,7.84350300907113,2.84516043756748,1.10772115282421,3.5845896827106,59.434365334627,4.12040268688017,3.1203999294749,2.76041127006949e-06,17.895767074419,0.000464225235828365,0.0663541044298132,0.712053125533719,1.05299737992372,0.440685455730096,8.00000563802493,0.127827609906227,0.0296274517945579,0.0537354633601374,0.0334737731538123,52.0135982430221,51.9635872244296
"5",-1,0.629759296452563,0.0748800529776375,0.001,0.001,2.88449479036163,5.45760107950246,13.0233839936726,3.77540729267037,20.111887993509,7.69214113904406,0.000907288648436769,28.2577204350829,44.3003613249428,9.00620323904311,2.0673297976802,11.2646025117142,15.4271569913868,176.730802221518,0.0207627600574096,0.011765012389107,11.9273389340256,0.00242544782656051,0.0422492886940182,0.261004198887877,0.130898954641811,0.021793401780479,0.0308275528479216,0.0161891290797493,0.249809016459472,1.24904508229736,0.249809016459472,0.15613063528717,0.000330125179327077,0.00535527497629609,886.453863180012,672.326662550862,0.00903977307337945,3855.50316683242,0.480557326714919,15.0432462735788,152.249200273198,224.024504593592,98.8642341141723,1728.44884588783,27.8985643805903,5.67174021552858,10.9150483706802,7.09398815259491,11140.0132989922,11129.786566852,18.4052288631704,7.90993151443785,0.107820437332875,9.35132177629086,0.0203032052304043,3.92635044230847,19.9292611608134,4.8822560372809,3.04774240192394,27.9820814738219,6.96931292854652,7.08425922427415,2.72667749808717,1.1075888769843,3.67759888803582,59.6030674929789,4.14002184538372,3.1399796264741,4.22186191020103e-05,18.0064276310689,0.00224435575634122,0.0702567508417034,0.711052251283654,1.04626578036628,0.46172745808959,8.07240656037478,0.130295180367479,0.0264888330560092,0.0509767519495365,0.033131183857983,52.0274098081597,51.9796477122111
"6",-1,0.626981081774437,0.0696558632350116,0.001,0.001,2.70806750242433,5.39442898906407,13.7516734769343,3.94332939640637,18.4213938402638,7.94190781324894,0.000407862205620348,28.3760164052453,43.0044602723282,10.1428303993108,2.22492910581209,11.2562002920363,16.0852540068795,176.749102133905,0.0210887252349008,0.0116892083303046,27.7394735956757,0.00239382852764472,0.0385573087965079,0.257081383001676,0.133544370665577,0.0234028158675142,0.0320856025968467,0.0165127448787331,0.245712430565696,1.22856215282848,0.245712430565696,0.15357026910356,0.000325461180063968,0.00532377329038919,878.409696543258,665.236127435673,3.66269717583912e-07,3818.79950240054,0.0128044078306169,14.0222583685135,151.505731083931,222.748643287398,98.8401414567214,1705.38854242647,26.9629830226701,6.35936277601453,11.373978942245,7.05742463577065,11092.4502731816,11081.8343258576,18.5245407340733,7.77608368244063,1.01601291598145e-05,9.14155119020186,0.000493703506681518,3.60486157418427,20.2327375098316,5.21294548359357,3.17134549939648,28.1606459202028,6.62514009380188,7.81287242271772,2.79472801110205,1.08381060049339,3.61016195571058,58.9971735925187,4.12063139719907,3.1206313910807,1.71817604479868e-09,17.9140385074574,6.00656449228793e-05,0.0657785977549128,0.71071536985168,1.04491680456802,0.463660398778518,8,0.126483706683318,0.02983185411562,0.0533554842631312,0.0331064714471656,52.0348295873926,51.9850300393837
"7",-1,0.620729614448439,0.0647961518465225,0.001,0.001,2.70806750242433,5.39442898906407,13.7516734769343,3.94332939640637,18.4213938402638,7.94190781324894,0.000407862205620348,28.3760164052453,43.0044602723282,10.1428303993108,2.22492910581209,11.2562002920363,16.0852540068795,176.749102133905,0.0229541602700343,0.0116892083303046,27.7394735956757,0.00239382852764472,0.0385573087965079,0.257081383001676,0.133544370665577,0.0234028158675142,0.0320856025968467,0.0165956891922967,0.245712430565696,1.22856215282848,0.245712430565696,0.15357026910356,0.000325461180063968,0.00532377329038919,869.651299078954,658.603228875213,3.62617736306426e-07,3780.72323342249,0.0126767383689557,13.8824460319444,149.995106353608,220.527673778269,97.8546317933916,1688.38455129975,26.6941420444055,6.2959552031801,11.2605719196235,6.98705686743009,10981.8503006086,10971.3402021686,19.9621152981018,7.69855034933363,1.00588251215958e-05,9.05040313129593,0.000488780915824366,3.56891842533841,20.0310020809089,5.16096854312407,3.13972482798352,28.019905250446,6.55908252359681,7.73497227853062,2.76686249593051,1.07300420337312,3.57416595812193,58.4089279280785,4.12063139719907,3.1206313910807,1.71817604479868e-09,17.9140385074574,6.00656449228793e-05,0.0657785977549128,0.71071536985168,1.04491680456802,0.463660398778518,8,0.126483706683318,0.02983185411562,0.0533554842631312,0.0331064714471656,52.0348295873926,51.9850300393837
"8",-1,0.613823762929264,0.0602754900897883,0.001,0.001,2.70806750242433,5.39442898906407,13.7516734769343,3.94332939640637,18.4213938402638,7.94190781324894,0.000407862205620348,28.3760164052453,43.0044602723282,10.1428303993108,2.22492910581209,11.2562002920363,16.0852540068795,176.749102133905,0.0250676264249444,0.0116892083303046,27.7394735956757,0.00239382852764472,0.0385573087965079,0.257081383001676,0.133544370665577,0.0234028158675142,0.0320856025968467,0.0166848543293776,0.245712430565696,1.22856215282848,0.245712430565696,0.15357026910356,0.000325461180063968,0.00532377329038919,859.97609975689,651.276019084035,3.58583476965704e-07,3738.66125880846,0.0125357048643738,13.7279985740045,148.326354115968,218.074220075508,96.7659620378345,1669.6006351676,26.3971596271026,6.2259103224583,11.1352938019248,6.9093232195432,10859.6730662436,10849.2798966202,21.5575596030865,7.6129010676047,9.94691689113572e-06,8.94971397653579,0.000483343043437549,3.52921285925013,19.8081496135363,5.10355081787889,3.10479420284751,27.8570433860076,6.48611025200603,7.64891778907642,2.73608010513408,1.06106662614873,3.53440201124852,57.7591065335831,4.12063139719907,3.1206313910807,1.71817604479868e-09,17.9140385074574,6.00656449228793e-05,0.0657785977549128,0.71071536985168,1.04491680456802,0.463660398778518,8,0.126483706683318,0.02983185411562,0.0533554842631312,0.0331064714471656,52.0348295873926,51.9850300393837
"9",-1,0.60617364331946,0.056070223339338,0.001,0.001,2.70806750242433,5.39442898906407,13.7516734769343,3.94332939640637,18.4213938402638,7.94190781324894,0.000407862205620348,28.3760164052453,43.0044602723282,10.1428303993108,2.22492910581209,11.2562002920363,16.0852540068795,176.749102133905,0.0274753665396588,0.0116892083303046,27.7394735956757,0.00239382852764472,0.0385573087965079,0.257081383001676,0.133544370665577,0.0234028158675142,0.0320856025968467,0.0167807068517395,0.245712430565696,1.22856215282848,0.245712430565696,0.15357026910356,0.000325461180063968,0.00532377329038919,849.258169917684,643.159129928077,3.54114431199544e-07,3692.06611613439,0.0123794716792198,13.5569057662039,146.477754536084,215.356348972847,95.5599624847795,1648.79230982893,26.0681703622642,6.14831645672161,10.9965140175312,6.82321194095721,10724.328358369,10714.0647193952,23.3336795052883,7.51802105926671,9.82294791410747e-06,8.83817319475292,0.000477319112273303,3.48522808359909,19.5612795460282,5.03994498091167,3.06609898045621,27.6679004106417,6.40527350011257,7.55358890234067,2.70198018699733,1.04784249392342,3.49035256290825,57.0392515846175,4.12063139719907,3.1206313910807,1.71817604479868e-09,17.9140385074574,6.00656449228793e-05,0.0657785977549128,0.71071536985168,1.04491680456802,0.463660398778518,8,0.126483706683318,0.02983185411562,0.0533554842631312,0.0331064714471656,52.0348295873926,51.9850300393837
"10",4,0.601699639471516,0.0521583472924074,0.001,0.001,2.26995558690089,5.40515871445363,13.5429807491798,4.16400304818167,18.1883636445913,8.12884500925538,0.00209221034961739,29.4113392963391,42.6136783710682,9.99379092082986,2.24414796901925,11.019707394913,15.9104728284699,177.1054645549,0.0241207621499987,0.0113804955513213,4.93376276986028,0.00268493006147736,0.0364038255155508,0.270487291090081,0.145124515656762,0.0258781529241551,0.0328039738161651,0.0169223392059627,0.24906362888504,1.2453181444252,0.24906362888504,0.15566476805315,0.000324543038275512,0.00539227300143864,843.166650913456,638.588588350225,0.000184963336581564,3669.06501275085,0.072192277482246,13.4494109803766,145.270109984051,211.693185107813,98.3155125054535,1636.62564428685,25.6406349124269,6.01326039401704,10.8228569384371,6.63055396660077,10666.5066021273,10656.4294171119,20.3378222394945,7.26745458884428,0.000912565223815259,9.8511829502496,0.00262807507303391,3.63789474283926,21.08225435084,5.47822861722145,3.22513949795175,27.6955343057994,6.38614957820548,7.48842227582284,2.69558002399077,1.0321436452748,3.46174046044022,57.4623766376288,4.12149476544391,3.12149386044422,9.04121887048168e-07,17.9348082941176,0.000352884086943201,0.065742254978744,0.710096867832814,1.03478043558385,0.480577439482664,8.00001283092954,0.125334348150201,0.0293935027083231,0.0529033592239349,0.0324109041026854,52.1391009459566,52.0898425161471
