"","convergence","mu","x_C","x_W","C","I","AA","NT","ADP","ATP","RNA","DNA","p","tau tC","tau FERM","tau RESP","tau ADPS","tau EAA","tau ENT","tau RNAp","tau DNAp","tau r","v tC","v FERM","v RESP","v ADPS","v EAA","v ENT","v RNAp","v DNAp","v r","p tC","p FERM","p RESP","p ADPS","p EAA","p ENT","p RNAp","p DNAp","p r","f tC","f FERM","f RESP","f ADPS","f EAA","f ENT","f RNAp","f DNAp","f r"
"1",4,0.824625862226416,1,0.001,6.18049455099076,10.8234504290387,16.1629180717831,6.20626287511431,2.17319188346445,20.2250826741395,44.1878094869972,7.01825720110072,141.022534758249,0.0196428571428571,0.0069383140471505,0.0212161557726651,0.0508559662308682,0.182453705097738,0.0116700654840763,0.345977322722708,0.159681841256634,0.136521788815274,413.813345547425,1021.79187474832,1.31836160272361e-15,18.4701964694481,162.526133688384,197.047569574668,36.4384104981117,5.78743639578444,581.454146591877,8.12847643039585,7.08951291783053,2.79705651280845e-17,0.939319687927751,29.653495266656,2.29955804041445,12.6068637084077,0.924148499834519,79.3811602067818,1.97566735949119,4.87833675944658,6.29424839612628e-18,0.0881821832976529,0.775947853899369,0.940763403753313,0.173967753885816,0.0276309338626013,2.77603414878442
"2",4,0.823331701710831,0.769230769230769,0.001,6.17559201579021,10.8283774100051,16.1716726229825,6.20331011028401,2.17261871029202,20.2076624421166,44.1781663905024,7.0153249072848,141.047277298526,0.0201785714285714,0.00694024281877469,0.0212254524237969,0.0508618659569432,0.182435688408708,0.0116692234247576,0.346069964543923,0.159724599020272,0.136539578461663,413.167946927148,1020.20846560929,1.86229924667691e-15,18.4263949659794,162.284846151089,196.655692042052,36.3732849127566,5.77593939396917,580.643474199377,8.33713892906567,7.08049447709802,3.95281440592135e-17,0.937200830829337,29.6065476258751,2.29481920818902,12.5877014201037,0.922559603667121,79.2808152036985,1.97568666062905,4.87843326559043,8.90514331308438e-18,0.0881113431197189,0.776013744888775,0.94036827007968,0.173929788938986,0.0276193893987591,2.77652120666391
"3",4,0.821655671842232,0.591715976331361,0.001,6.16923661551228,10.8347753527877,16.1830437984537,6.19947311891394,2.17187311149841,20.1850912760807,44.1656163427742,7.01151286575857,141.079379399945,0.020875,0.00694274897155541,0.0212375331182335,0.0508695407945743,0.182412317248568,0.0116681319894813,0.346190519201311,0.159780239631374,0.136562737158745,412.33209613204,1018.15776968992,3.14855495386514e-15,18.3697265942292,161.972330652423,196.148315352132,36.2889291684484,5.76104931434531,579.593361319734,8.60743250675634,7.06881380839584,6.68675401072892e-17,0.934459556370317,29.5457481644598,2.28868443304308,12.5628832300848,0.920501839974259,79.1508558608604,1.97571168168479,4.87855837138212,1.50864724360091e-17,0.0880195448329887,0.7760992384091,0.939855329282684,0.17388037930226,0.0276043813612542,2.77715313779419
"4",4,0.819487541214385,0.455166135639508,0.001,6.16100494819817,10.8430806909139,16.1978100016157,6.19448772034447,2.17090299789812,20.155874579138,44.1492777501373,7.00655711432878,141.1210060445,0.0217803571428571,0.00694600480190548,0.0212532293994943,0.0508795269047861,0.182382019669187,0.0116667185876381,0.34634744406636,0.159852666492166,0.13659289782355,411.250807167808,1015.5048509285,1.0871160282012e-17,18.2965160598458,161.568005199751,195.492188331509,36.179783069851,5.74178626199944,578.234531285538,8.95718945540313,7.05370157090765,2.31047263312272e-19,0.930918081130773,29.4670991022524,2.28075234734527,12.5307753931182,0.917839844408698,78.9827302499338,1.97574408955099,4.8787204113952,5.22275708628153e-20,0.0879006991221894,0.776210102862358,0.93918973268243,0.173816054134399,0.0275848705288535,2.7779725599311
"5",4,0.816686911811116,0.350127796645776,0.001,6.15035466211026,10.8538574136847,16.2169785028972,6.18801131296085,2.16964052374282,20.1181038200931,44.1279984717813,7.00011458215436,141.174942512904,0.0229573214285714,0.0069502337124825,0.0212736199552588,0.0508925236412134,0.182342775682122,0.011664890359741,0.346551788696041,0.159946979398173,0.136632197780131,409.854039988382,1012.0778145821,7.81409746919565e-18,18.202109099403,161.045640771207,194.645023070616,36.0387587963247,5.7169019604236,576.478639129878,9.40915093481184,7.03417734656411,1.66234139853018e-19,0.926351267661313,29.3655091497277,2.27051285318798,12.4892963232515,0.914401200085248,78.7655434376145,1.97578601945885,4.87893006181532,3.76694701722672e-20,0.087747024975732,0.77635376130381,0.938326520707394,0.173732277447958,0.0275595062289542,2.77903430143512
"6",4,0.813076073793145,0.269329074342904,0.001,6.13659453770753,10.8678330407219,16.2418510740439,6.17959996459072,2.16799709001779,20.0693546556749,44.1002707472741,6.99173946054668,141.244761175098,0.024487375,0.0069557251300268,0.0213001031488084,0.0509094440482833,0.182291998634331,0.0116625291209838,0.346818009396635,0.160069850490755,0.136683439947903,408.053130132473,1007.65902984823,6.82713580407844e-17,18.0806586489449,160.372013656387,193.553396969284,35.8568749924083,5.68481606956589,574.213679300498,9.99215001747766,7.00899923641378,1.45418696837794e-18,0.920476279844572,29.2345348944349,2.25732212861961,12.435810008051,0.909967658322853,78.485500951934,1.97584019273088,4.87920092929072,3.30577768599668e-19,0.0875486289200499,0.776539737040136,0.937207811755672,0.173623113178244,0.0275265333092389,2.78040868454918
"7",4,0.808431918888572,0.207176211033003,0.001,6.11884873855588,10.8859438186048,16.2741069931613,6.16867909863381,2.16585704662177,20.0065692143535,44.0641185686523,6.98085265967851,141.335025536956,0.0264764446428572,0.00696285358965536,0.0213344899957299,0.0509314814903651,0.18222639146919,0.0116594854565622,0.34716505161791,0.160230023823651,0.136750308202953,405.736744876894,1001.97518062449,2.76276418735632e-15,17.9248971085756,159.505372560198,192.150413859352,35.6228399285892,5.64354411114229,571.298729505034,10.7424664653062,6.97660648315679,5.89421649157141e-17,0.912941565302117,29.0660884615936,2.24037495586551,12.3670050625852,0.904265207378154,78.1252773357686,1.97591005752709,4.8795502546587,1.34544716821971e-17,0.0872930167754932,0.776780200094832,0.935759307227355,0.173480781766348,0.0274836718884981,2.78218554206607
"8",4,0.802477334645943,0.159366316179233,0.001,6.09601631615834,10.9093909540678,16.3159076850832,6.15450619178303,2.16306922742358,19.9259252195387,44.0169478914283,6.96670239918799,141.451535704697,0.0290622351785715,0.00697210310001347,0.0213791233312456,0.0509601979032623,0.182141776653462,0.0116555721522726,0.347617796944182,0.160438983205007,0.136837657616272,402.766573625655,994.686646750764,4.34452612746948e-17,17.7259173888073,158.393793920029,190.35327218379,35.3226030231628,5.59062077257188,567.558256769405,11.7052968847762,6.93505785335301,9.28821598949888e-19,0.9033162581505,28.8501270354764,2.21867629835935,12.2787654452457,0.896953512236222,77.6633424171,1.97599994827787,4.87999971010256,2.1314537911854e-19,0.0869645450667806,0.777090625411266,0.933885979175841,0.173295070438694,0.0274279622015275,2.78447904930507
"9",4,0.794872981596493,0.122589473984026,0.001,6.06672705649983,10.9397091144019,16.3700261978581,6.13612407362984,2.15943614112173,19.8227031497328,43.9553482427717,6.94831396500665,141.601613542377,0.032423762875,0.00698409804426404,0.0214370295817903,0.050997640404727,0.182032903756235,0.0116505574662405,0.348208997592125,0.160711845042519,0.136951905457034,398.973199585315,985.377305403458,8.0753680017847e-16,17.4730085999909,156.973585083568,188.06105865605,34.9389187148441,5.52302703843338,562.776483776519,12.9362124168343,6.88197171153046,1.73111902738101e-17,0.891082209371039,28.5743575057884,2.19101617103434,12.1660458626486,0.887615865566349,77.0733117996038,1.97611525948937,4.88057626824606,3.99973179925499e-18,0.0865438554758051,0.777490561127428,0.93146689580205,0.173052552136897,0.0273555667913647,2.78743333744837
"10",4,0.7852110904509,0.0942995953723274,0.001,6.02929897618239,10.9788483674176,16.4400061875374,6.11230303904309,2.15469943375324,19.691166758482,43.8748295369325,6.92442601654311,141.794423037153,0.0367937488803571,0.00699964203633911,0.0215121109200123,0.051046496444106,0.181893243386896,0.0116441592980756,0.348981886353036,0.161068562932171,0.137101563334634,394.152963650166,973.546728066058,3.16059091241824e-17,17.1536164146495,155.168030416566,185.15330358186,34.4510027440421,5.4371361031964,556.692767664297,14.5023651649927,6.81447860211158,6.79909822807242e-19,0.875632019313961,28.2240163224257,2.15595456147214,12.0227759243694,0.875751698608465,76.3234487438594,1.97626261310987,4.88131303891461,1.5847039681505e-19,0.0860073472135245,0.778004494555385,0.928349106331674,0.172735549358002,0.0272615197501697,2.79122879994397
