"","convergence","mu","x_C","C","ATP","NT","AA","DNA","RNA","degact","p","tau Cin","tau Met","tau DNAp","tau RNAp","tau RNase","tau r","v Cin","v Met","v DNAp","v RNAp","v RNase","v r","p Cin","p Met","p DNAp","p RNAp","p RNase","p r","f Cin","f Met","f DNAp","f RNAp","f RNase","f r"
"1",4,0.98243461516448,100,110.020404774149,27.0910047092832,3.61052790074154,5.85173074081152,17.5402505912839,53.9287696898962,0.692792726525143,121.264518596148,0.103656581658345,0.165947076621224,0.232727535696193,0.214825417565717,0.109271489093393,0.246296052409783,334.027768889524,225.939914864993,17.2321493395365,66.5939612100366,13.6124711134496,119.134460660113,34.6241767020518,37.4940683638939,4.01039565053912,14.3060755243013,1.48745498880744,29.3423473665543,0.999999999202465,0.676410573396145,0.0515889723273055,0.199366541824703,0.0407525133250084,0.3566603488122
"2",4,0.978493110768749,71.4285714285714,108.917443484048,27.2109791507577,3.58756512144481,5.82549338593009,17.6083604610499,54.2487219554881,0.695008556106837,121.906427323647,0.105090676052655,0.166544992517825,0.233460561744429,0.215502056994858,0.1092168069952,0.246534934429506,332.687657111923,226.112689020238,17.2296594030702,66.683222382972,13.6012216815175,119.284599294619,34.9623708002658,37.6579361010607,4.02244596290595,14.370371590576,1.48548200328923,29.4078208655489,0.999999998348447,0.679654576336542,0.0517892954736763,0.200437920816544,0.0408828562415786,0.358548315657784
"3",4,0.973086442268008,51.0204081632653,107.415244643475,27.3742210140383,3.55635714409129,5.78952589041904,17.7001479285744,54.685515215666,0.698041987729437,122.780946749601,0.107072372065155,0.167373599835522,0.2344762407809,0.216439606874677,0.109143188978437,0.246877673445908,330.849390929279,226.325072673812,17.2237739754339,66.798837332672,13.5851038878665,119.476474650866,35.4248290831098,37.8808421464521,4.03856577381964,14.457914091969,1.48272156092511,29.4960740933249,1.00000000168704,0.684072811559174,0.0520592586134542,0.201901044030161,0.0410612933958492,0.361120431616472
"4",4,0.965724950733647,36.4431486880466,105.390346857732,27.5939632500308,3.51440271767102,5.74060847076077,17.8220616024102,55.2762140194322,0.702160895483516,123.960242517834,0.109797925602588,0.168517593322678,0.235877872576751,0.217733420840078,0.10904548201916,0.247372014508133,328.346483569438,226.568396042452,17.2112095629596,66.943504984617,13.5618859239582,119.711499098466,36.0517627748285,38.1807608240534,4.05974349618355,14.5758383433255,1.47886238766688,29.6132746917761,1.00000000097457,0.690028392569478,0.052417828242383,0.203880682144419,0.0413035820872656,0.364588948581864
"5",4,0.955799734981971,26.0308204914619,102.698136273375,27.8855654172657,3.4588012346615,5.6747696587909,17.9808520965068,56.0651122407583,0.707694719137477,125.529070061924,0.113523620184232,0.170089340119192,0.237801627269598,0.219509194402706,0.108918202069281,0.24808844543761,324.971911521042,226.813060087808,17.1860936685912,67.1153079214461,13.5282884999948,119.98065189772,36.8919878540586,38.5784837207498,4.08688104079871,14.7324271739261,1.47347686049396,29.7658134118963,1.00000000500711,0.697946663026601,0.0528848591073728,0.206526490069141,0.0416291011257339,0.369203147240952
"6",4,0.942586528961134,18.5934432081871,99.182769508646,28.2653150968777,3.38645810327991,5.58735933045549,18.1823451069926,57.1015503838147,0.715029336769276,127.579173371598,0.118576907982218,0.172235337489916,0.240422866870594,0.22192880018824,0.108756329672998,0.249129884460026,320.47942007153,226.991077627623,17.1384335627736,67.3026925875938,13.4795404130147,120.254410196066,38.0014587040164,39.0958848623933,4.12047133083322,14.9364058154027,1.46598534099832,29.9589673179544,1.00000000070128,0.708285972734671,0.0534774856088016,0.210006285644706,0.0420605492217221,0.375232862857642
"7",4,0.925274539629937,13.2810308629908,94.6986063512378,28.7479297997581,3.29449295338351,5.47334432175291,18.4293176901298,58.4346612100944,0.724588322810631,130.197057068029,0.125365885738194,0.175142297062652,0.243960267129214,0.225194092734659,0.108556565395362,0.250642866577532,314.593341361959,226.97113196672,17.0521784414287,67.4769667857981,13.4088625361967,120.468022039794,39.4392728871801,39.7522454195617,4.16005400770596,15.1954143158145,1.45562006278806,30.1944503749791,0.999999993285872,0.721474680488114,0.0542038755592052,0.214489493136197,0.0426228425182724,0.382932520788322
"8",4,0.903029048830758,9.48645061642197,89.1435904452419,29.3427356453354,3.18082336002635,5.32787163794076,18.7187166403221,60.1046471319592,0.736799950476559,133.444813862724,0.134386513936483,0.179042802360901,0.248676248117056,0.229547305954206,0.108318824314903,0.252828556464646,307.029875405065,226.530623715939,16.9035448830426,67.5832774990294,13.3070351691479,120.504543333853,41.2606746300394,40.5586776906645,4.20351012139329,15.5135592774577,1.44140240463917,30.4669897385294,0.999999996100076,0.737812965378776,0.0550550489421239,0.220119547474972,0.0433411735574447,0.392484746655069
"9",4,0.875088495298488,6.77603615458712,82.5019927575985,30.0488587324985,3.04484204497958,5.1471467754561,19.0387615102548,62.1309472488161,0.752054119497029,137.335396100737,0.146230760110299,0.184219245628924,0.254870751202109,0.235265308801947,0.10804751934648,0.255948893558414,297.530087780031,225.333543078658,16.6606011623557,67.5323552957099,13.1622781562737,120.180625125016,43.5080508917579,41.510775320843,4.24629993372832,15.888020422768,1.42215150373374,30.7600980279064,0.999999997911288,0.757347078035999,0.0559963573831024,0.226976557761049,0.0442384776174723,0.403927635590404
"10",4,0.840882119693593,4.84002582470509,74.88280192856,30.8510343038175,2.88792947002891,4.92946350590843,19.3674124925271,64.5005395673435,0.770668148268253,141.810150595096,0.161605342198142,0.191007176636957,0.26286897679577,0.242648286273018,0.107751873137092,0.260323545003783,285.899920705534,222.932311491251,16.2857108696964,67.1981717546912,12.9608213219229,119.245620026472,46.2029545200395,42.5816713990943,4.28100815270883,16.3055212169558,1.39655277483235,31.0424425314653,1.00000000003397,0.77975646494997,0.0569629779191974,0.235040889802084,0.0453334204863678,0.417088678220871
"11",4,0.800139840701664,3.45716130336078,66.5340630431279,31.7182680565998,2.71353214979906,4.67605715595522,19.6737533941639,67.1615369822147,0.792887744046611,146.729901463586,0.181378788050193,0.199800813669916,0.273006678998691,0.252006165229561,0.107444737307492,0.266316169935472,272.047545830159,218.810991225596,15.7417539068102,66.4270429665434,12.6884214643151,117.404439983245,49.3436541547037,43.7186140867949,4.29760395571292,16.7400243655379,1.36330411108008,31.2667007897567,0.999999999969098,0.804311579254016,0.0578639805710704,0.244174387832785,0.0466404555321536,0.43155853371643
"12",4,0.75296365347399,2.46940093097198,57.8166477188376,32.6071354733565,2.52666193891083,4.39135648111614,19.9228683800298,70.027137675807,0.818948431212152,151.88924427275,0.206678115896699,0.211066453366643,0.285621648021573,0.263650752019913,0.107140089065396,0.274315672616857,256.007642461274,212.47380816328,15.0011957631087,65.0606574821476,12.3327680554459,114.367080291013,52.9111771990519,44.846093122328,4.28466625615334,17.1532912720782,1.32133386788334,31.3726825552554,1.00000000109418,0.829951037215243,0.0585966717059701,0.254135606764853,0.0481734371301266,0.446733071390442
