"","convergence","mu","x_C","x_W","C","I","AA","NT","ADP","ATP","LIP","rRNA","mRNA","tRNA","DNA","TC","p","tau tC","tau FERM","tau ATPS","tau ADPS","tau EAA","tau ENT","tau LIPS","tau rRNAp","tau mRNAp","tau tRNAp","tau DNAp","tau tRNAc","tau r","v tC","v FERM","v ATPS","v ADPS","v EAA","v ENT","v LIPS","v rRNAp","v mRNAp","v tRNAp","v DNAp","v tRNAc","v r","p tC","p FERM","p ATPS","p ADPS","p EAA","p ENT","p LIPS","p rRNAp","p mRNAp","p tRNAp","p DNAp","p tRNAc","p r","f tC","f FERM","f ATPS","f ADPS","f EAA","f ENT","f LIPS","f rRNAp","f mRNAp","f tRNAp","f DNAp","f tRNAc","f r"
"13",4,0.608177312856484,0.0419854129411759,0.001,0.954083922598017,6.40172960982932,2.07208804847663,33.7341407319324,0.250041105630139,11.9102916225764,13.8076833094044,24.4075289603256,9.71227297774878,2.40245641511478,12.2711254415876,17.620122354716,164.456437072177,0.0415183223510631,0.000440782844921846,0.00385768294343823,0.129631958449615,0.180585697018125,0.0260079576599889,0.0438626856827545,1.32573832479458,1.25007552611028,0.463680090173748,0.5314309173095,0.000586748733066542,0.00747999136203852,330.230955639277,1477.77760826206,5.6059475211872e-17,7.39563848208146,135.486854382579,204.162765213051,46.6528873993718,14.8441053765576,5.9067840813359,12.0644764825254,7.46302009678956,10013.1475650675,10001.8673980508,13.7106352665311,0.651379018331551,2.16259681342937e-19,0.958711100417555,24.4669880354713,5.30985655340728,2.04632093619158,19.6793993949917,7.38392621809579,5.59405754331646,3.96607961593611,5.87520164781169,74.8138817416746,1.80994888967632,8.09948884435934,3.07254008695656e-19,0.0405344424273554,0.742584174705155,1.1189870722303,0.255697839063045,0.081358429867752,0.0323742432591626,0.066123679325585,0.0409037514719586,54.8806373481105,54.8188123573922
"14",4,0.606354782250313,0.0390561980848148,0.001,0.9294662669911,6.38834148269855,2.07407796921485,33.610355675563,0.249467734272946,11.9020828312957,14.0011646610969,24.3756013429922,9.70251149380529,2.3980315323378,12.2482002964047,17.5975253416766,164.523173677402,0.0424119450712409,0.000441776296029826,0.00388585842303596,0.129646885272258,0.180679598199141,0.0262584724968591,0.0439233511541033,1.3291298287355,1.25293661593608,0.464339756443767,0.532457288612258,0.000587295340136788,0.0074908457788228,329.324176238019,1474.17741377531,3.97977402803695e-17,7.36815079718919,135.054466819519,203.144354293569,47.1648508296123,14.7802624445505,5.88316424410747,12.0120821275088,7.42675482368468,9987.1732557099,9975.94131502917,13.9672788732385,0.651256637548485,1.54648384286271e-19,0.955257801071882,24.4015867999499,5.33426044010989,2.07163830511996,19.6448876915911,7.37123189900813,5.57768728946996,3.95442973660716,5.86542031421718,74.7282378894702,1.81040421591589,8.10404214896721,2.1878137709341e-19,0.0405051685518963,0.742439194417402,1.11675188761964,0.259280827057351,0.0812520044766408,0.032341704979351,0.0660343992171786,0.0408273343213489,54.9028035954207,54.8410578924674
"15",4,0.604441949627089,0.0363313470556417,0.001,0.905441253565262,6.37401958456365,2.07576163031116,33.4818760047289,0.248845148553967,11.8935565845716,14.2034295575578,24.3422353026189,9.69229243078436,2.39348887694462,12.2242922320594,17.5737733963892,164.590989567585,0.043360927412161,0.000442840882476489,0.00391524703411778,0.129662392380499,0.180777160448879,0.0265173070629087,0.0439873794913798,1.33267239891268,1.2559269337808,0.465032464464245,0.533529252008972,0.000587895640464798,0.00750224187805641,328.370267150695,1470.37681313454,1.09625590791322e-16,7.33937697672573,134.599807835637,202.081543995268,47.6952702953403,14.7134681645963,5.85842813321917,11.9572369808502,7.38887502955728,9959.75125816413,9948.56986252832,14.2384393182332,0.651142965501465,4.29211269209133e-19,0.951641177384608,24.3325710574913,5.35865835386921,2.09798995442507,19.6082329152379,7.35775768212912,5.56050338138776,3.94218096770747,5.85529434478848,74.6365774494299,1.81087291814256,8.10872912908447,6.04555385668582e-19,0.0404746724437517,0.742281415768043,1.11442487912441,0.263026473288107,0.0811407843420631,0.0323076414359479,0.0659409172831634,0.0407476407735314,54.9253255519895,54.8636631891952
"16",4,0.602435484334221,0.0337966019122248,0.001,0.881763935571395,6.35889798964676,2.07748803709072,33.3472571790395,0.248203419911341,11.8844530714639,14.4151036225522,24.3073402008069,9.68164217301401,2.38874533435762,12.1993664059095,17.5487228414319,164.661017520736,0.0443661845247847,0.000443945093276759,0.00394578466689374,0.129678808414474,0.180880263375357,0.0267858889759484,0.0440550521827367,1.33641074375556,1.25908298852378,0.465761856698282,0.534661661501036,0.000588529680660021,0.00751422711082716,327.368102576127,1466.37456232724,3.846421855523e-17,7.30914278964235,134.122460509919,200.969965431642,48.2453885143346,14.6436042667498,5.83256479165031,11.8997543669386,7.34933120931473,9930.89237710118,9919.76398410705,14.5240736464211,0.650989791851034,1.51771523799276e-19,0.947840927492065,24.2601059815851,5.38315918155214,2.12545310857541,19.5698700693891,7.34368310862965,5.54245168819882,3.92940563529363,5.84462491936439,74.539359462384,1.8113591197123,8.1135911394053,2.12826211577596e-19,0.040442188304584,0.742112441899867,1.11198610007589,0.266946363380597,0.081024467336023,0.0322721405767134,0.0658424825915291,0.0406645546863651,54.9485803063558,54.8870058402455
"17",4,0.600332021326059,0.0314386994532324,0.001,0.858617614141829,6.34285227916657,2.07902699172382,33.2077567878644,0.247528603895208,11.8746727348864,14.6364636064932,24.2704750060955,9.67036322551012,2.383805205546,12.1731742844529,17.5225054369285,164.732760429875,0.0454320843242715,0.000445103877263914,0.00397747017655212,0.129695923199001,0.180988005367014,0.027063533106169,0.044126683283599,1.34030433017286,1.26237863703563,0.466527480843242,0.535841483874329,0.000589221782115735,0.0075269278382623,326.315554925508,1462.1594720301,2.93855662434481e-16,7.27734563263222,133.621392091334,199.809610009839,48.8152098997299,14.5703433189529,5.80542870212768,11.8396660092708,7.30794632414,9900.50807433581,9889.43510474881,14.8251958076971,0.650812850178756,1.16880213354411e-18,0.94384206026245,24.1838692289743,5.407553995432,2.15405330666779,19.5286942424977,7.32864917239945,5.52352955733044,3.91590080240112,5.83359501141137,74.4370643946223,1.81186156623084,8.11861558875579,1.63162856550275e-18,0.0404073377959387,0.741930505923379,1.10943945967591,0.271045622342467,0.0809015833536516,0.0322345440850337,0.0657395440560731,0.040577247614843,54.9724026185089,54.9109201432916
"18",4,0.598128154337395,0.0292453018169604,0.001,0.835902270323322,6.32606330579206,2.08052492040944,33.0621816539432,0.246822912543454,11.8642640339469,14.8673657154583,24.2321433378012,9.65861777856468,2.37866584629742,12.1458312254113,17.4949257712157,164.806693444016,0.0465625642289061,0.000446317351572693,0.00401043334939164,0.12971393163643,0.181100477838193,0.0273509774126652,0.0442020275543864,1.3444085676623,1.26584888289517,0.46733305982852,0.53708254344995,0.000589956906170434,0.0075402331465786,325.210923119536,1457.72475493031,2.46708796192828e-20,7.24398208232399,133.09608890847,198.598775157601,49.4032778624787,14.4939271702783,5.77709122534325,11.7768051199036,7.26476361374877,9868.5672926453,9857.55233721182,15.1426544956952,0.650607851942448,9.89409183839985e-23,0.939645396602101,24.1037652997185,5.4318706135185,2.18372504935429,19.4857598667954,7.31292447398426,5.50369037168872,3.90177771923484,5.82202942830376,74.3282428771779,1.81238151479317,8.12381507407428,1.37489373809381e-22,0.0403702898216345,0.741736744003261,1.10677939567208,0.275321587323303,0.0807738111260041,0.0321953925952156,0.0656314483471071,0.0404861040847043,54.9969501857991,54.9355644813387
"19",4,0.595820447070696,0.0272049319227538,0.001,0.813658899855557,6.3083679502945,2.08189600214163,32.910816336415,0.246079842778935,11.8532085950088,15.1082839406258,24.1920398760911,9.64631931120714,2.37334155240845,12.1172652157793,17.4661257911403,164.882598977553,0.047761096431192,0.000447593901949216,0.00404473643479916,0.129732789936147,0.181218102399735,0.0276484173441042,0.0442814632290527,1.34871062327901,1.26948887298437,0.468179933088196,0.538382843436154,0.000590742259666543,0.00755421717295132,324.052247471991,1453.06111985578,3.24949432828768e-16,7.20900344623996,132.545632881173,197.336699948259,50.0101360665259,14.4141120145247,5.74747428459012,11.7112163561995,7.21971437813981,9834.99677830627,9824.0423836984,15.4770906402542,0.650381296406947,1.31433481042984e-18,0.935244129740008,24.019668072098,5.45604743747772,2.21452200130979,19.4404659991231,7.29635465205098,5.48295649002687,3.88697035569979,5.80994822062982,74.2129496827361,1.81291891466726,8.12918907029594,1.81793824200091e-18,0.0403309614592923,0.741530067393193,1.10400541482169,0.279783035937515,0.0806401329203035,0.0321543977040238,0.0655187112928444,0.0403908840525976,55.0221509777498,54.9608663258511
"20",4,0.593405433479162,0.0253069134165152,0.001,0.791865160807997,6.28979022516913,2.08316204144602,32.7534771836154,0.245294761498416,11.8413951106021,15.3594133613325,24.1501811144934,9.63345593889129,2.36781573496643,12.0874759950278,17.4360205729457,164.960653533637,0.0490316391057386,0.000448940992814166,0.00408050232349057,0.129752528847996,0.181340991545506,0.0279563748290455,0.0443651394570538,1.35322194820837,1.27330606257772,0.469069081553519,0.539745663427891,0.000591579431682975,0.00756890074632038,322.837684533809,1448.16054054243,3.11933429134198e-16,7.17230744288204,131.969299015517,196.02203195399,50.6353296870398,14.3308486928462,5.71654509732019,11.6427921809925,7.17277393249845,9799.74600049888,9788.85481171337,15.829260837794,0.65013863082542,1.27284508235647e-18,0.930625028389246,23.9314435370392,5.48006540005687,2.24644346301942,19.3928189876128,7.27891152941673,5.46127383505665,3.87147362481466,5.79732816961264,74.0908704899991,1.81347448877124,8.13474486323122,1.75222207019192e-18,0.0402889662403352,0.741310474368117,1.10111356640099,0.284433580765417,0.0805006037149781,0.0321115197963043,0.0654009974975025,0.0402915866500927,55.0480635307665,54.9868845112123
"21",4,0.590879635288172,0.0235413148060607,0.001,0.770559765902562,6.27029704953549,2.08427673052712,32.5901320070458,0.244471091697784,11.8289435853478,15.6211125863452,24.1064393635696,9.62001186541031,2.36208689352253,12.0563602949698,17.404490471295,165.040819044473,0.0503784239488049,0.000450355230367825,0.00411768753234755,0.129773189824104,0.181469095979415,0.0282747436322684,0.0444531713660046,1.35794851229429,1.27730903603575,0.470003133525431,0.541172101200647,0.000592473017947415,0.00758432820657978,321.565310497598,1443.01419468197,2.68063084028115e-17,7.13393486105555,131.366231326604,194.6536735794,51.2788739323063,14.2440040992425,5.68426910250153,11.5714158244089,7.12385777399457,9762.75111644704,9751.92589646593,16.1999535394771,0.649868990070039,1.1038000189852e-19,0.925793482916551,23.8389112410615,5.50378271753679,2.27950857036856,19.3426241756801,7.26056828788402,5.43860169679794,3.85523308020721,5.78416661743087,73.9618066450424,1.81404858842794,8.1404858592913,1.5122261118227e-19,0.0402447155901519,0.741077220476195,1.09810110189626,0.289279862710097,0.0803547978785655,0.0320667062180344,0.0652779073398795,0.0401878676498994,55.0746747357762,55.0136063481577
"22",4,0.588239553575978,0.0218988974940099,0.001,0.749716363919445,6.24996563709512,2.08526992184055,32.4205134981048,0.243617063226242,11.8156782967353,15.8935739982014,24.0607739736875,9.60596188177556,2.35614101822961,12.0238923219918,17.3715158211465,165.123381053126,0.0518058523114083,0.000451828207264921,0.00415626492076576,0.129794869548021,0.181602269570573,0.0286040807019692,0.0445457366410307,1.3629042264818,1.28150812465229,0.470984094816125,0.542666367598786,0.000593424210694947,0.00760053475900112,320.233299657547,1437.61433085291,3.20691915220592e-17,7.09375451898461,130.735727215632,193.230063878707,51.9401604079376,14.1534989409745,5.65060672900352,11.4970237079622,7.07292905173409,9723.96682999794,9713.21039556471,16.5899590272538,0.649554705847631,1.33288055760453e-19,0.920732942397294,23.7419047763182,5.52716834123319,2.31371270662488,19.2898635261598,7.2412984324329,5.41491530417413,3.83824071678847,5.77043734091537,73.8255932329806,1.8146422247581,8.14642221927832,1.81724102746388e-19,0.0401976511998716,0.74083042314351,1.09496243326968,0.294325444411137,0.0802025799122917,0.0320198729392519,0.0651493292603355,0.040079641073306,55.1020797048005,55.0411270177088
