"","convergence","mu","x_C","x_W","C","I","AA","NT","ADP","ATP","rRNA","DNA","INH","p","tau tC","tau FERM","tau RESP","tau ADPS","tau EAA","tau ENT","tau RNAp","tau DNAp","tau INH","tau r","v tC","v FERM","v RESP","v ADPS","v EAA","v ENT","v RNAp","v DNAp","v INH","v r","p tC","p FERM","p RESP","p ADPS","p EAA","p ENT","p RNAp","p DNAp","p INH","p r","f tC","f FERM","f RESP","f ADPS","f EAA","f ENT","f RNAp","f DNAp","f INH","f r"
"1",4,1.05808319346645,1,0.001,13.4896745058034,7.90822723772568,12.0358411667051,4.89411866015864,2.81646669053454,24.2109299084209,50.3623374068769,7.5465670185714,4.76041868266856e-14,130.73583732382,0.0219560878243513,0.00624258509494375,0.0173128173790491,0.0489563772675012,0.189833512118741,0.012236528126124,0.323275633714571,0.149810659526264,0.122754774215818,0.0728150924501667,523.233064228812,1272.39966587222,9.65590526092598e-17,28.5972341045071,198.588342178956,279.553109794921,53.2875427939031,7.98489573071861,5.03691900199529e-14,691.646961280488,11.4881511108122,7.94306318898533,1.67170924411811e-18,1.4000169816273,37.6987224616697,3.42075949075098,17.2265641657913,1.19622249566741,6.18305854833294e-15,50.3623374285156,1.94689104461193,4.73445522466167,3.59285312135724e-19,0.106407073224234,0.738924757215772,1.04018549889489,0.198276918924712,0.0297108937739031,1.87418058372778e-16,2.5735401047996
"2",4,1.05596783815134,0.740740740740741,0.001,13.4758334331095,7.93322549002184,12.0611128112523,4.89636007876621,2.8202551442104,24.1694021585353,50.284873728372,7.54841454091734,1.02246285639604e-13,130.810524610842,0.0226546906187625,0.00624277392307847,0.0173131607119027,0.0489525750231557,0.189712767782513,0.0122274097783946,0.323223118013117,0.149786322981688,0.122718124039574,0.0728071417688249,522.201619298713,1269.92893150266,1.28795128684378e-14,28.5002100744258,198.238204716009,278.649121260341,53.0992094026621,7.97088298424263,1.07968789205857e-13,690.658534403766,11.8303161258291,7.92787921774772,2.22985076182283e-16,1.39515867184403,37.6083184969104,3.40715699003974,17.1628920271598,1.19392925312701,1.3249727266167e-14,50.2848738281838,1.94694555338167,4.73472772761648,4.80192120863245e-17,0.106258493317896,0.739099567903523,1.03889886117185,0.197971943812488,0.0297181674839265,4.02544431651984e-16,2.57501032698507
"3",4,1.05312186845581,0.548696844993141,0.001,13.4570238289423,7.96694162897859,12.0952113893355,4.8992589272366,2.82531378414939,24.113600901378,50.1806552471103,7.55075411722169,1.28779948993727e-13,130.911240129313,0.0235978043912176,0.00624309700594954,0.0173136759604981,0.0489476627029722,0.189551115269182,0.0122152124488518,0.323155997908716,0.149755218543063,0.122668915348062,0.072796543005554,520.814022999369,1266.60534230195,8.74513282485703e-15,28.3699601677942,197.767064715378,277.434372298961,52.8463454141735,7.95186428417888,1.35620980503917e-13,689.327449034246,12.2900674389422,7.90754002024498,1.5141039596109e-16,1.38864324118995,37.4869676803123,3.38891979824565,17.0776134881459,1.19083317370199,1.66364785768562e-14,50.1806552885303,1.9470195908598,4.73509795521109,3.26929463930513e-17,0.10605871923436,0.739335602390539,1.0371651572151,0.197561634831143,0.0297273784142586,5.07007673203649e-16,2.57699291593136
"4",4,1.04929763058795,0.406442107402327,0.001,13.4314678416051,8.01238404659872,12.1412110678746,4.9029729343448,2.83203310418406,24.0387322546654,50.0406015325397,7.55363301349946,1.32129222676862e-13,131.046965506767,0.0248710079840319,0.00624365084257534,0.0173144602913887,0.0489413775227532,0.189335393439144,0.012198953799488,0.323071856898271,0.149716226367492,0.122602969764619,0.0727824809301372,518.9495916897,1262.13996077046,1.33475460085126e-14,28.1954304231255,197.133815483308,275.804712207811,52.5074846212896,7.9260092233959,1.38642880286259e-13,687.536352009956,12.9067994382246,7.88036122951252,2.31105555351874e-16,1.3799232047547,37.3244085146918,3.36452894190416,16.9636905576575,1.18665219108077,1.69980288598158e-14,50.0406014289407,1.9471202156006,4.73560105237153,5.00805416904035e-17,0.10579041479862,0.739654185016765,1.03483062574379,0.197010242254093,0.0297387126515727,5.20193790066386e-16,2.57966467533006
"5",4,1.0441674125158,0.301068227705427,0.001,13.3966135866161,8.07359706222982,12.2032271897808,4.90765624834287,2.84091945619928,23.9384613328157,49.8527278062497,7.5570168453122,1.87023980136927e-13,131.229780270308,0.0265898328343313,0.00624461302498822,0.017315681783714,0.0489334655544603,0.189048645036639,0.0121773805947176,0.322969552513048,0.149668817018242,0.122514849805035,0.0727639699739921,516.448737790667,1256.15107611364,3.16152982400843e-14,27.962156747241,196.284050268762,273.623399998836,52.0545938003061,7.89079072570793,1.95284345417981e-13,685.129300549321,13.7322856053553,7.8441773712522,5.47440443822514e-16,1.36828523401953,37.1072337456131,3.33201628140647,16.8120488659333,1.18100531325522,2.39252322481585e-14,49.852727853473,1.94725742523265,4.73628713014249,1.19204714319396e-16,0.105430633027618,0.7400842452935,1.03169038546688,0.196270581914369,0.0297520348240638,7.36314882428846e-16,2.5832633911478
"6",4,1.0373009067038,0.22301350200402,0.001,13.349044100681,8.15598427323391,12.2868190959353,4.91331691986638,2.85256488416729,23.8046480551468,49.6012118572326,7.56067608294406,6.08354853829416e-13,131.475733839917,0.0289102463822355,0.00624628695543455,0.0173176140242252,0.0489239225762118,0.188669502587747,0.0121489165833765,0.322852476650414,0.149614562350192,0.122397479979704,0.0727397695560158,513.101883208055,1248.13726914697,1.20999432103404e-14,27.6515511521468,195.14613522906,270.712404227334,51.4513820331147,7.84269615613162,6.31047041474912e-13,681.899489608468,14.8339018627339,7.79622354286444,2.09542146231719e-16,1.35282234767979,36.8181242655881,3.28886241704318,16.6112061164777,1.17338155304516,7.72385676251766e-14,49.6012117344847,1.94744470125027,4.73722352378827,4.59245445428464e-17,0.104949657241394,0.740664416675321,1.02747125751919,0.195280361642648,0.0297664412714333,2.39509784972211e-15,2.58810499684876
"7",4,1.02813920041415,0.165195186669645,0.001,13.2839782571504,8.26673049510611,12.3993547931442,4.91983301362921,2.86766528125664,23.6267049005132,49.2655464671557,7.56403743050475,3.69663611923957e-13,131.806149062772,0.0320428046719062,0.00624919829680766,0.0173207148126301,0.0489129646826562,0.1881717599784,0.012111671423663,0.322730534830223,0.149558052726201,0.122241970042759,0.0727085876545912,508.636934412415,1237.44788907197,3.23008908195154e-15,27.2399005741614,193.62677978143,266.843813833455,50.6518395527077,7.77688339570186,3.80065650385704e-13,677.575343535336,16.2981539382942,7.73305724077681,5.59474518078727e-17,1.33238429474302,36.4350919304217,3.23192459458791,16.34689526898,1.1630955369399,4.64599738487309e-14,49.2655462580288,1.94770087065085,4.73850435913548,1.23688369671081e-17,0.104308544022716,0.741446446466326,1.02181319005395,0.193958844358881,0.029779674923247,1.45536855088172e-15,2.59460923351914
"8",4,1.01596760395351,0.122366804940477,0.001,13.194834559059,8.41533235574536,12.5506449092487,4.9266330542865,2.88693506669489,23.3914376123709,48.8193673704027,7.56579175101404,3.81319292561376e-13,132.249021675897,0.0362717583629616,0.006254254933638,0.0173257510293555,0.0489015601938444,0.187524460502623,0.0120634541678859,0.322629408578782,0.149511189341387,0.12203730116082,0.0726691079510254,502.706015013749,1223.25122640555,1.14758759238144e-14,26.6979753265479,191.606155272474,261.731676227625,49.5988956938341,7.68659931728894,3.87408048004827e-13,671.803608386284,18.2340311041861,7.65052501782563,1.98828169099784e-16,1.30557264748495,35.9308408964526,3.1573880804559,16.0020623838624,1.14923260591856,4.72782326264905e-14,48.8193689397112,1.94805181948969,4.74025912983585,4.44705261245246e-17,0.103458160153803,0.742499011860358,1.01424461388107,0.192202233741743,0.0297865816969057,1.50125705732825e-15,2.60332719834444
"9",4,0.999892822280832,0.090642077733687,0.001,13.0727247117293,8.61419644620081,12.7535421373942,4.9323386093937,2.91097739694923,23.0827021586697,48.2295420644136,7.56339382641656,4.52294871961925e-13,132.840582592421,0.0419808458458864,0.00626296922045948,0.0173339725270378,0.0488920155506633,0.186693163175653,0.0120019343851866,0.322601806514904,0.149498398141053,0.121770439834254,0.0726204455683332,494.874229998939,1204.50726598007,7.5577681079909e-18,25.9908936123314,188.933350141672,255.028410929819,48.2243729320986,7.56258319911707,4.52246396029157e-13,664.131725208827,20.7752387626872,7.54379193265298,1.31006144749636e-19,1.27074717466974,35.2725647673219,3.06083425433809,15.5572698259434,1.13059407407644,5.50702425579265e-14,48.2295418007308,1.94853257943089,4.74266289826494,2.97581819652149e-20,0.102337321085114,0.743911817943845,1.00415648513019,0.18988008686777,0.0297771410488841,1.78068847229104e-15,2.614972098276
"10",4,0.978835739033417,0.0671422798027311,0.001,12.9059107971235,8.87928897080006,13.0246318762208,4.93414673727876,2.93997488666442,22.6816811506635,47.4555628539019,7.55210475422442,1.05779258941309e-13,133.626697089764,0.0496881139478348,0.00627782920407384,0.0173473974377598,0.048888995396637,0.185642918279679,0.0119249453620445,0.322748682174756,0.149566462471228,0.121426863540332,0.0725628089533998,484.615786966648,1179.95755058412,5.9619965894092e-15,25.079392622558,185.423853351826,246.331125783372,46.4512009373458,7.39227003835904,1.03540519100223e-13,653.992934002268,24.0796444437185,7.4075719706244,1.0342512435905e-16,1.22610631047469,34.4226252548961,2.93748521593763,14.9920638879632,1.10563567926941,1.2572600483678e-14,47.45556432688,1.9491893206148,4.74594662046295,2.39799453384668e-17,0.100872661564284,0.745799465186422,0.990776637132157,0.186832924621661,0.0297326958827733,4.16453775359484e-16,2.63044679310559
