"","convergence","mu","x_C","x_C2","C","AA","NT","ATP","RNA","DNA","p","tau tC","tau tC2","tau ATPS","tau EAA","tau ENT","tau RNAp","tau DNAp","tau r","v tC","v tC2","v ATPS","v EAA","v ENT","v RNAp","v DNAp","v r","p tC","p tC2","p ATPS","p EAA","p ENT","p RNAp","p DNAp","p r","f tC","f tC2","f ATPS","f EAA","f ENT","f RNAp","f DNAp","f r"
"12",4,0.882995675710697,0.055798577143389,1e-05,32.8957068249274,15.6182678484094,4.58834926002874,14.5510882082391,36.6452168856081,6.61087138685348,143.090498375024,0.0821223645305,1000.1,0.111199178306515,0.22239835661303,0.0439015282428805,0.325812816607623,0.244359612455718,0.539614385113845,266.6237499307,2.36241983417421e-10,84.685698739294,133.880390164185,42.2464314479995,32.3575680454726,5.83737084727121,126.348291300435,21.8957727842978,2.36265607615762e-07,9.41698011412258,29.774778755226,1.85468290337527,10.5425103834683,1.4264176779995,68.1793555202693,1.18879382057211,1.05333080837444e-12,0.377587650681047,0.596931745819093,0.188363927293269,0.144272507423654,0.0260270527041476,0.563348418799308
"13",4,0.857896768008162,0.0429219824179915,1e-05,31.8995096913734,15.429056678741,4.47427467789179,14.2529703031981,36.3313876145114,6.46411686988613,145.148683864075,0.0979355444778854,1000.1,0.112069407195765,0.22413881439153,0.0444186733201199,0.330100417806876,0.247575313355157,0.54362908407953,259.093132257682,1.46679224554866e-07,82.3747071758689,131.103273117714,40.5525907677876,31.1685800117411,5.54554497070235,124.522586767629,25.3744269781369,0.000146693892477322,9.23168460112437,29.3853321994534,1.80129228159887,10.2887612843228,1.37294003384675,67.6940997916997,1.18901450598797,6.73131411099497e-10,0.378029015686946,0.601651198397761,0.186101492764919,0.14303695911225,0.0254492790152997,0.571451511275887
"14",4,0.82777735166517,0.0330169095523012,1e-05,30.77720565031,15.2068919269409,4.33229310534372,13.8821021486179,35.916742382526,6.29011021306194,147.59465441804,0.118492678409486,1000.1,0.113117280488309,0.226234560976619,0.0450567969857482,0.335588216476869,0.251691162357651,0.548901554149672,250.034244412948,4.22235456694118e-08,79.5575945213123,127.664153299307,38.5240507770767,29.7310658898476,5.20681077385045,122.175512154101,29.6272273145823,4.22277680239787e-05,8.99933873444247,28.8820436741205,1.7357703349314,9.97739537593021,1.31050825584676,67.0623285004181,1.18919270628406,2.00820222291583e-10,0.378385414191488,0.607185948924378,0.183224983074534,0.141404497569,0.0247642134372517,0.581081316606456
"15",4,0.792255105737755,0.0253976227325394,1e-05,29.5043837287663,14.9333420061171,4.16912459246389,13.4652203809318,35.3952401023434,6.08563633264164,150.447052639943,0.145216952520567,1000.1,0.114402162802662,0.228804325605323,0.0458436501767693,0.342466569953373,0.25684992746503,0.55555386582648,239.355820040806,3.69456928171048e-11,76.2460467104174,123.459873803746,36.1664463909302,28.0420596898953,4.82137645619853,119.192445597192,34.7585227543872,3.69493873863865e-08,8.72271264882451,28.2481531649845,1.65800191648269,9.6034679964262,1.23837019305619,66.2178239288323,1.18944736533396,1.8359677644041e-13,0.378894732375318,0.613517655828439,0.179724413493894,0.139351338985604,0.0239591981600064,0.592311230865917
"16",4,0.751182722699337,0.0195366328711841,1e-05,28.1000609792895,14.6157331399683,3.99053327178895,12.9881658686244,34.7556451247889,5.84418945734937,153.705672146117,0.179958508864973,1000.1,0.115954852103071,0.231909704206142,0.0468063885338779,0.351091605478145,0.263318704108609,0.563888401692931,226.998657333436,4.75668448753821e-07,72.3964925050842,118.420903720775,33.495513930678,26.1078401340109,4.39005414854246,115.461045297052,40.8503398880761,0.000475716015598697,8.39472458120812,27.462956753709,1.56780403918124,9.16624350821663,1.15598336936082,65.1071442903497,1.18971785999189,2.49301584231751e-09,0.379435725064886,0.620653292878462,0.17555262934617,0.136833248522791,0.0230086199108243,0.605140441520146
"17",4,0.704741879985956,0.0150281791316801,1e-05,26.5414806419344,14.2378700027572,3.78251022741603,12.4684256994367,33.9980857168832,5.57487701233411,157.396750686138,0.2251225321127,1000.1,0.117870467076293,0.235740934152586,0.0479971374823749,0.361928230478292,0.271446172858719,0.574139145092851,213.031717368048,5.53990431595911e-08,68.054559832492,112.522776742135,30.554417519138,23.9598748440399,3.92884930636283,110.92408198223,47.9582396342119,5.54045830639071e-05,8.02162275412737,26.5262245026337,1.46652457835995,8.67175510478471,1.06647110795082,63.6858575994867,1.19009182299456,3.09484188929704e-10,0.380183646711242,0.628603281032098,0.170690838411942,0.133850731168831,0.0219483346942288,0.61967224679582
"18",4,0.653478973356638,0.0115601377936001,1e-05,24.9454084814309,13.8088130947308,3.56019262590787,11.8931963841841,33.0775478788898,5.27427924799917,161.440562380446,0.283835762334745,1000.1,0.120080242783584,0.240160485567169,0.0494122573115531,0.375383768334726,0.281537826251044,0.587031588397433,197.594078013241,3.31207065575191e-12,63.2208374390001,105.747060012124,27.3886236393608,21.6154820290519,3.44663058817872,105.498012962492,56.0842657657193,3.31240186281748e-09,7.59157350865665,25.3962652798124,1.35333371867738,8.11410109843705,0.970356883686194,61.9306661221448,1.19044295641392,1.99541971243738e-14,0.380885912090969,0.637093196408843,0.165007951782665,0.130226566452322,0.0207648789291306,0.635592765277347
"19",4,0.598339252740183,0.00889241368738467,1e-05,23.2238088677061,13.3356406808968,3.32798572611348,11.2977726943995,32.0497287061217,4.94550427862337,165.819559063411,0.360162961623404,1000.1,0.122804320710487,0.245608641420975,0.0511451430500567,0.392055328056842,0.294041496042632,0.602342276487314,180.994037739846,5.18602224649535e-09,58.031735077381,98.2094521757764,24.1269645515341,19.1766107245464,2.95908933449488,99.2163510597083,65.1873486685611,5.18654084872e-06,7.12654780582874,24.1210901235906,1.23397705335186,7.51829240863041,0.870095054838671,59.7622027620692,1.19092128498729,3.41234681257639e-11,0.381842569906832,0.646207623431151,0.158752829570309,0.12618003427607,0.0194704892859188,0.65283290969847
"20",4,0.540607786396714,0.00684031822106513,1e-05,21.5099771394143,12.8160479057166,3.08671687949939,10.6722409431316,30.8692627143083,4.59992701292096,170.445827413092,0.459388320698661,1000.1,0.125949216219931,0.251898432439861,0.0531971247667774,0.412544051148273,0.309408038361205,0.621101736738547,163.597104924771,5.10501421987568e-10,52.565454352293,90.0235589507739,20.843623323182,16.6881637836808,2.48675636004165,92.1443414583479,75.1545993025532,5.10552472129767e-07,6.62057777591585,22.6767933823574,1.10882083051502,6.88460269354558,0.769422407242737,57.2310105104096,1.19140550036835,3.71775651153202e-12,0.382811000680495,0.655601841768575,0.151794907900507,0.121532530371293,0.0181099488697676,0.671046564618472
"21",4,0.481803707591932,0.00526178324697318,1e-05,19.8010653020862,12.260343615226,2.84277527094801,10.0343481427064,29.5530264745919,4.24087226078274,175.267568875608,0.588381287496495,1000.1,0.129627138877729,0.259254277755459,0.0556382329983148,0.43779338891003,0.328345041682523,0.643750603973106,145.866809276295,4.97431746601653e-10,46.9773351528218,81.4059890306181,17.6516853700832,14.2387577260209,2.0432679786689,84.4445645048921,85.8253010449921,4.97481489776313e-07,6.08953754796047,21.1048508911017,0.982108583433633,6.23363399874356,0.670896909624605,54.3612394022702,1.19193515456448,4.064710736545e-12,0.383870309594175,0.665200401647864,0.14423887404064,0.116350497931464,0.0166963474833966,0.690029798722865
