"","convergence","mu","x_C","x_W","C","AA","NT","ATP","RNA","DNA","p","tau tC","tau FERM","tau RESP","tau EAA","tau ENT","tau RNAp","tau DNAp","tau r","v tC","v FERM","v RESP","v EAA","v ENT","v RNAp","v DNAp","v r","p tC","p FERM","p RESP","p EAA","p ENT","p RNAp","p DNAp","p r","f tC","f FERM","f RESP","f EAA","f ENT","f RNAp","f DNAp","f r"
"1",4,0.893640260654247,1,0.001,21.5402154792977,22.6815964123934,10.1846272557564,20.4563425444749,44.9769841565586,8.57154400020689,125.588689611423,0.0377358158374611,0.00799110375246918,0.149546482975162,0.182649820788645,0.0343973735020094,0.34044824471263,0.157129959098137,0.609958405343477,327.729749125829,135.944296979068,4.82630659579852e-15,146.906717244469,56.9545136151637,40.193243845109,7.65987681455424,112.231109319577,12.3671494574696,1.08634498171622,7.21757177161493e-16,26.8324855773505,1.95908567744606,13.6837193163741,1.20359613056767,68.4563084704989,1.44384117375482,0.598914117009778,2.12627025735858e-17,0.647209988182319,0.250917934694968,0.177074740773853,0.033746236221287,0.494443659887492
"2",4,0.891248651499703,0.769230769230769,0.001,21.4734639758232,22.6534656649831,10.1554617514927,20.4259412400741,44.936881724647,8.55152348596341,125.803263505106,0.0387701130015218,0.00799651607408219,0.14981707199691,0.182773518627159,0.0344316402028782,0.340977769631436,0.157374355214509,0.610409136146627,326.832751530218,135.544635389578,1.83930461640165e-16,146.62479055637,56.7225106062009,40.0499352396933,7.62153377513293,112.121988953187,12.6713427094248,1.08388485564837,2.75559232139694e-17,26.7991288879579,1.95304907659665,13.6561375919141,1.19943396360715,68.4402864199565,1.44375322654963,0.598755797174453,8.12495676184393e-19,0.647701350206789,0.250566405362611,0.17691685718365,0.0336674152990686,0.495288438996478
"3",4,0.888164376092846,0.591715976331361,0.001,21.3877742986884,22.6171273055034,10.117947220372,20.3871042194684,44.8848381325735,8.52572609387002,126.079483860557,0.0401150105583156,0.00800351345475438,0.150166906047114,0.182933442764395,0.034475932966872,0.341664163256326,0.157691152272151,0.610993496223985,325.676448646236,135.030102498973,4.49523129080916e-15,146.259794601283,56.4237607332682,39.8651142560455,7.57224619690056,111.97930612112,13.0645141760385,1.08071524214739,6.75034974906988e-16,26.755807764426,1.94526179277898,13.6204809054096,1.19407622807766,68.4186277516788,1.44364126417932,0.598554266617011,1.99262225144544e-17,0.648332649334928,0.250112249790612,0.176711961151864,0.0335658507632678,0.496375920710854
"4",4,0.884196070011832,0.455166135639508,0.001,21.2781719925593,22.5702768482802,10.0698418516001,20.3377354310506,44.8173404668637,8.49257022031415,126.434064836896,0.041863891381891,0.00801254567418265,0.150618471861947,0.183139872851176,0.0345330910554573,0.342553152243069,0.158101454881417,0.611750482888297,324.189515145752,134.369520782804,5.0971991786715e-15,145.787860659192,56.0401281131099,39.6273163091831,7.50909721310129,111.792503244405,13.5718346492097,1.07664192249025,7.6773235106747e-16,26.6995702643693,1.93523884688952,13.5744621166439,1.18719919423731,68.3891178430559,1.44349960047334,0.598299267879061,2.26959992047779e-17,0.649141038755656,0.249526584798338,0.176446222310487,0.0334353158280085,0.497771908806677
"5",4,0.879105496127481,0.350127796645776,0.001,21.1386196530798,22.5100186357554,10.00839551367,20.2753702288054,44.7298767952507,8.45009594985373,126.887624423546,0.0441382795922529,0.00802418159820742,0.151200209889382,0.183405810235146,0.0346067016443083,0.343703332727352,0.158632307412624,0.612730075444231,322.283339325408,133.524416643189,4.62912409240347e-15,145.178687142221,55.5492418276159,39.3222805318099,7.42852579232098,111.547608021299,14.2250321390698,1.07142416693966,6.99924534375401e-16,26.6266147441938,1.92237603849583,13.5151988692229,1.17840418711007,68.3485742785139,1.44332170618602,0.597979061686317,2.07311842342818e-17,0.650171835958249,0.248773103381002,0.176101877146656,0.0332680942907627,0.499557576470653
"6",4,0.872599909044795,0.269329074342904,0.001,20.9619529499515,22.4327551036351,9.9302939554025,20.1972018935219,44.616682065674,8.39591002867704,127.465205083548,0.0470963560581385,0.00803913434685898,0.151947772565692,0.183747553172888,0.0347012572411742,0.345189490870845,0.159318226555775,0.613996043355148,319.849328344777,132.448035340311,2.59134989257273e-16,144.394114278023,54.9239566420318,38.9325127123876,7.32627032737186,111.22612636228,15.0637378526821,1.06476755007829,3.93749844114772e-17,26.532065191153,1.90593034813824,13.4390942415118,1.16720839582508,68.2924015041599,1.44310045318535,0.597580807226456,1.16916869067253e-18,0.651479285044164,0.247806637991156,0.175656228605016,0.0330547638924293,0.501831516076962
"7",4,0.864325615163062,0.207176211033003,0.001,20.7398949330579,22.3340765317718,9.83163405817456,20.1001749175062,44.4704441613338,8.32714475382389,128.196630189439,0.050944064186207,0.00805829025995796,0.152905472450653,0.184185358834584,0.0348223338417451,0.34710663564147,0.160203062603756,0.615629308067545,316.756711501367,131.084668985976,3.92960186684673e-15,143.386601315834,54.1320416736099,38.4369440063194,7.1973645119007,110.803631250319,16.1368742421375,1.05631831131951,6.00857629993167e-16,26.4097126154283,1.88500402669371,13.3417183183731,1.15303983748208,68.2139628380051,1.44282854221895,0.597091379575942,1.78993578578645e-17,0.653126748190026,0.246571743989497,0.175080488824149,0.0327840344638736,0.504711142478107
"8",4,0.853864689598579,0.159366316179233,0.001,20.4632377901498,22.2086783582326,9.7079600953372,19.9811619461597,44.2819827310178,8.24044773549916,129.116532319657,0.0559495976496798,0.00808273782891057,0.154127728672661,0.184744104536074,0.0349767702078327,0.349574780207591,0.161342206249657,0.617731868705613,312.851598407024,129.369613149731,5.50156330894615e-15,142.097799169112,53.1363331206959,37.8108214394301,7.0362273478253,110.248047791169,17.5039210549322,1.04566066611686,8.47943456956722e-16,26.2517306640444,1.85853731324943,13.2177095941572,1.13524044397231,68.1037325831844,1.44249928745258,0.596498709729184,2.53666632788151e-17,0.655185957475426,0.245001537645095,0.174338514689047,0.0324427076200754,0.508332804408098
"9",4,0.840737574378497,0.122589473984026,0.001,20.122236105466,22.0503181622398,9.55438763756415,19.8372704416312,44.0399447872551,8.13202873135395,130.263815429891,0.0624622899234079,0.00811379633970264,0.155680498935239,0.185453942370395,0.035172843748214,0.352744555882021,0.162805179637856,0.620431174375502,307.958273939206,127.230203128109,1.38911383164576e-15,140.457498817572,51.8956711536521,37.0260363561997,6.83690211037476,109.517684213815,19.2357789911029,1.03231995644047,2.16257934388453e-16,26.0483968912038,1.8253183326961,13.0607327505392,1.113083076246,67.9481854316624,1.44210772340373,0.595793891926712,6.50494549043605e-18,0.657734703029211,0.243017169906194,0.173385609398642,0.0320158611470628,0.512849667046815
"10",4,0.824415298999346,0.0942995953723274,0.001,19.7072900538905,21.85188634266,9.36586223286828,19.6662393063659,43.7305739551066,7.99778798258704,131.68036110795,0.0709372428888163,0.00815303942842695,0.15764245717563,0.186350837566002,0.0354204172440286,0.356803627308896,0.164678597219491,0.623884822565876,301.884083811343,124.588377350541,9.16548593328283e-16,138.383559149539,50.3670130867069,36.0521542026122,6.59349877099787,108.559304275152,21.414824577593,1.0157739528627,1.44486972373138e-16,25.787892152881,1.78402061886661,12.8635393917917,1.08580812837636,67.7285022855783,1.44165206110061,0.594973702253328,4.37699183073308e-18,0.660852804002234,0.240528441616386,0.172167613996483,0.0314873542621537,0.518426618535235
