"","convergence","mu","x_C","C","AA","NT","rRNA","p","tau Cin","tau EAA","tau ENT","tau rRNAp","tau Deg","tau Maint","tau r","v Cin","v EAA","v ENT","v rRNAp","v Deg","v Maint","v r","p Cin","p EAA","p ENT","p rRNAp","p Deg","p Maint","p r","f Cin","f EAA","f ENT","f rRNAp","f Deg","f Maint","f r"
"1",4,0.608422746861475,1,12.6897735163005,126.536038509569,1.31206509636924,51.6353642341756,147.826757293115,0.0503304043877833,0.0738044662602363,0.123157392660416,0.379027054824897,0.198769517280261,0.3286471919954,0.701664190432172,210.405549587561,209.070236295521,123.946089519581,35.4181647631643,2.23112638245616,89.9607608888793,89.9411617319019,10.5897963961758,15.4303172006924,15.2648772156862,13.4244426774851,0.443479914032067,29.5653514558998,63.108492433144,1.0171214914636,1.01066645332495,0.599167805603783,0.171214954355665,0.0107854883020716,0.434879324560868,0.434784580273869
"2",4,0.591043780630245,0.714285714285714,11.1969635155772,124.521522184845,1.27298769188247,50.4956331677077,147.412893727584,0.0568077943307136,0.0753460280149737,0.126565943877937,0.397546391126043,0.200998832573536,0.335666064890515,0.714493512138743,201.31375509247,201.564986831974,120.11718108122,33.7319278941936,2.20020156672397,87.8330632956445,87.1274740223955,11.4361903952367,15.1871211446797,15.2027443995017,13.4100062000606,0.442237946337983,29.4825787237285,62.2520149180384,1.01704144377004,1.01831067195044,0.606834596137346,0.170414429112901,0.0111154658904366,0.443734534999437,0.440169882733901
"3",4,0.571524673006135,0.510204081632654,9.75019481999805,122.390212681204,1.22809997271471,49.2197330692007,147.288259737747,0.0648479126155443,0.0773023280221562,0.130784407729161,0.421144023351056,0.2036169780285,0.344279787204009,0.729290445559715,191.722071194552,193.564519487698,115.990055063716,31.8951223912325,2.17007442384667,85.5631176610057,84.1788744842585,12.4327761192955,14.9629879788891,15.1696906539809,13.432440169118,0.441863996280597,29.4576519408427,61.3908488793402,1.01691756808496,1.02669014161243,0.61522559182944,0.16917567233535,0.0115103430289054,0.453837354183921,0.446495157241413
"4",4,0.549640186880304,0.364431486880466,8.38646525988895,120.126769719932,1.17687740061466,47.7869849635659,147.451255670727,0.0748521473853449,0.07978330368388,0.136036439939385,0.45137494280419,0.206723619493642,0.35491185389686,0.746546835652377,181.583730630863,184.981395434358,111.499292804627,29.9004995713781,2.13982724698854,83.0917613658279,81.0451357225941,13.5919321679621,14.7584268478072,15.1679668489004,13.4963362838475,0.442352833588587,29.4902510699015,60.50398961872,1.01674219509621,1.03576674734274,0.624318243291908,0.167421935120817,0.0119815395612322,0.465255888024714,0.453796212414943
"5",4,0.525186315850486,0.26030820491462,7.13188015380745,117.719819434525,1.11885106649125,46.1772698229764,147.906605984091,0.0873735289908536,0.082934096040193,0.142618652461025,0.490409071961093,0.210443948279125,0.368132201849536,0.766872617828212,170.86295854076,175.741179172405,106.581810041963,27.7475343559883,2.10848742382605,80.3551578402046,77.6785254867345,14.9288996615241,14.574935831701,15.2005541250417,13.6076425727287,0.443718418366834,29.5813211856815,59.5695341890476,1.01650772005773,1.04552951023719,0.634082621831321,0.16507722402981,0.0125439344037375,0.478053517208294,0.462129542379018
"6",4,0.497992636713006,0.185934432081871,6.00132297496198,115.163479976189,1.05367868364159,44.3711496617031,148.663979425387,0.103181661779445,0.0869508960133524,0.150933776770574,0.541344760910218,0.214939550561202,0.384716778138832,0.791041367203431,159.538342223226,165.784756844622,101.178307940994,25.443653865399,2.07496535811011,77.2848952077897,74.0335670982964,16.4614312681303,14.4151331529957,15.2712241447903,13.7737887184468,0.445992121502251,29.7327958831381,58.5636141363834,1.01620677045128,1.05599437724756,0.644472545719316,0.162067707127479,0.0132168469095223,0.492279364755363,0.471569474005698
"7",4,0.467941159409564,0.132810308629908,5.00006155398213,112.45938812548,0.981241618808943,42.3501726641342,149.733942660075,0.123356463207446,0.0921048795161632,0.16154119507696,0.608707554277661,0.220424538536041,0.405735095464202,0.82005650334027,147.607894152225,155.071138686945,95.2355514402848,23.0055611587123,2.03789420312649,73.8087211439326,70.0666747313206,18.2083877641175,14.2828085451953,15.3844647934769,14.0036588677049,0.449201889309428,29.9467885194241,57.4586322808468,1.01583234637399,1.06719413329474,0.655407722150932,0.158323464376535,0.0140247163738345,0.50794902815416,0.482196396092058
"8",4,0.434993149203572,0.0948645061642198,4.12622147300627,109.620004142148,0.901767099460224,40.0973741035799,151.121567695035,0.149427958083595,0.0987788867920222,0.175234598332061,0.699256497499611,0.227190373784219,0.432680134570858,0.855248522015371,135.096085421809,143.582567975679,88.7110897468641,20.4606434065689,1.99552820013051,69.8537120299833,65.7368466442441,20.1871321896679,14.1829262273775,15.5452521793912,14.3072378450659,0.453364797684602,30.2243135214072,56.2213409344408,1.01537815861322,1.07916230899587,0.666749911179896,0.153781587092899,0.0149983305806592,0.525018421309877,0.494076183556809
"9",4,0.399225232830031,0.0677603615458714,3.37330331918732,106.673128519532,0.815948349535945,37.5988403631015,152.817709920995,0.183591016145835,0.107524445476077,0.193163315964386,0.823323350857426,0.235642481277295,0.467670331302979,0.898413820410047,122.062988208216,131.332939488651,81.5813208675642,17.8483704360872,1.94554611618444,65.3527493778408,61.0086858237614,22.4096680389435,14.1215014912604,15.7585184595333,14.6949801547839,0.458453314257105,30.5635419530953,54.8110465091218,1.01483924557544,1.09191019478004,0.67827215552891,0.148392457484425,0.0161753909335143,0.543346806828578,0.50722999333198
"10",4,0.360872310007651,0.048400258247051,2.73221052269696,103.669157154414,0.725049969786741,34.8456707447127,154.787658187263,0.229040693923754,0.119153131841214,0.217025064390264,0.997078163723101,0.246359645000487,0.513764585202643,0.952026304301055,108.614452834871,118.38019499973,73.8537853239955,15.2207756966804,1.88489921643586,60.256258386283,55.8585797707124,24.8771296474478,14.1053709821915,16.0281225154049,15.1763030820873,0.464363101822835,30.957531595692,53.178837262617,1.0142127538995,1.10540264618715,0.689626923897772,0.142127538581685,0.0176006855002143,0.56265684872107,0.521592500256841
"11",4,0.320371115739888,0.0345716130336078,2.19268554761342,100.691558316089,0.630959631783989,31.8372290482711,156.955917856746,0.290509443159837,0.134886907995871,0.249376882571625,1.24644887953208,0.260189820297095,0.575466234110372,1.01955883821869,94.9113040218738,104.841055823272,65.5830776888652,12.6415166397812,1.8097122155311,54.5491320233937,50.2841425257442,27.5726300809685,14.1416858510236,16.3549034635019,15.7570042512414,0.470868696148493,31.3911835794919,51.2676419343706,1.01349909359406,1.11953276949858,0.700321110090904,0.134990934832375,0.0193247970724769,0.582496431081708,0.536953247004711
"12",4,0.278392413077156,0.0246940093097198,1.74415717027071,97.8707452821773,0.536137391078623,28.5844112363516,159.188273812677,0.375149202234523,0.156616604864616,0.294147891311594,1.61407980285441,0.278418927639629,0.659558062899601,1.1060262589589,81.1739867808064,90.9049407932121,56.8872357769083,10.1820622580471,1.71527592466705,48.271192861485,44.3168076802983,30.4523563830152,14.2372231924518,16.7332604463231,16.43466104212,0.477565283551872,31.8376544575741,49.0155530076414,1.0127028413512,1.13410336839481,0.709708461941805,0.12702842115397,0.0213992791471757,0.602217238611671,0.552883489370075
"13",4,0.235844398536103,0.0176385780783713,1.37617176700211,95.4050163983259,0.443453399866604,25.1138845445597,161.266342401889,0.494039764623093,0.187369939134016,0.357487650695266,2.17196135500488,0.303074916226163,0.776508512710114,1.21891264172492,67.6781229956272,76.8407588551071,47.9595782865479,7.91503359588218,1.59631292077125,41.5362716110666,38.0337635278907,33.4356839548924,14.397648309693,17.1449569699937,17.1911470938214,0.483802404733489,32.2532684922327,46.359835176522,1.01183350558097,1.14882108076326,0.717027985941605,0.118335081347189,0.0238659529421721,0.620995226414663,0.568630372378233
"14",-1,0.193832053484888,0.0125989843416938,1.07853154700157,93.5849688437978,0.355906887549167,21.4720146835683,162.859373573862,0.664889193023648,0.232227997091865,0.449190225463143,3.0450238912767,0.33751846648572,0.942917095720875,1.36996512677121,54.7376163242776,62.9909065589524,39.0699207751637,5.90477982940578,1.44757613936179,34.5437309222567,31.5673668090842,36.394449545887,14.6282520651863,17.5498265218229,17.9801956532693,0.488583678678711,32.5718744365776,43.2461916724403,1.01090506112409,1.16332844799083,0.721550979044233,0.109050634923652,0.0267341207730717,0.637960414873413,0.582992337200296
"15",4,0.153567188870134,0.0089992745297813,0.841365552696223,92.8135890898693,0.276282387207109,17.731272667248,163.49802653833,0.917228348496559,0.30029707722042,0.585070761204525,4.45645327953298,0.387627408122845,1.18584554749453,1.57887274517361,42.6754549492078,49.7481256432451,30.5502098719418,4.19824911546319,1.26539496109091,27.5749278080318,25.1079323213059,39.1431370644012,14.9392167278607,17.874034544735,18.7093010389024,0.490501769019379,32.6996053636377,39.6422300297736,1.00993536762802,1.17731355459746,0.722985553987762,0.0993536042876575,0.0299461863205683,0.652574058935433,0.594191412592505
"16",4,0.116246144705706,0.00642805323555806,0.655338669099783,93.5968827583249,0.206890462701267,14.0012289985613,162.572785621485,1.3036871701448,0.409432110652838,0.790750258778651,6.81404791539292,0.46425373804857,1.5500426751579,1.88122187188732,31.7884647678426,37.5202471879677,22.7691495537518,2.81908723501172,1.05054398103665,20.9765560811113,18.8984595625649,41.4422136764365,15.3619939983858,18.0047109017991,19.2093954970424,0.487718970180691,32.5145571035654,35.5521954740751,1.00894762203535,1.19087110544495,0.72267973511148,0.0894762104067575,0.0333436628428411,0.665783847414307,0.599826256946824
"17",4,0.0829164387420559,0.0045914665968272,0.511993082526091,96.4042915786305,0.149541636171733,10.4506660610417,159.451135586872,1.92916754001415,0.599250812823449,1.10779398631163,10.8537635870531,0.588007172960193,2.1061302502768,2.34490280200699,22.3128526875236,26.6916740932192,16.1089801171421,1.7684771888996,0.813521317190576,15.141624785518,13.2211203162401,43.0452311298878,15.9950073959802,17.8454312993836,19.1946333174125,0.478356369864083,31.8902339991204,31.0022420752229,1.0079891381478,1.20580357615994,0.727727521537284,0.0798914339836837,0.036751044918533,0.68402698352622,0.597267676148238
