"","convergence","mu","x_C","C","AA","NT","RNA","p","tau Cin","tau EAA","tau ENT","tau RNAp","tau r","v Cin","v EAA","v ENT","v RNAp","v r","p Cin","p EAA","p ENT","p RNAp","p r","f Cin","f EAA","f ENT","f RNAp","f r"
"1",4,1.31814185086711,1,8.74534911792043,2.71058124035396,0.305914930363365,137.972312955501,190.26584176881,0.00613929606137193,0.141264041228611,0.104520913495382,0.00447016365831439,0.490286601940576,448.168229311886,316.342207940647,182.270319240098,181.86707996758,250.797368825928,2.75143744504649,44.6877787048775,19.0510602700698,0.812975611514835,122.962589737301,1.00000000003809,0.7058559426187,0.406700670252543,0.405800920457357,0.559605416967088
"2",4,1.31670452360974,0.714285714285714,8.2299336693472,2.65842255955423,0.305469692383831,138.027680010722,190.778496131571,0.00652281163335761,0.141528204605635,0.104595926509441,0.00447107897482612,0.490378158704786,447.679540744435,316.628186426684,182.143883979263,181.741670653476,251.198908863903,2.920129316384,44.811818752507,19.0515083028392,0.812581362508527,123.182458397332,1.00000000606935,0.707265263500533,0.406862205009134,0.405963764737417,0.561113223916385
"3",4,1.31478270330554,0.510204081632654,7.60859285442647,2.59081154767723,0.304861076101731,138.087164371123,191.40857015287,0.00700727791277135,0.141884206616799,0.104698839752858,0.00447233448823544,0.49052561606554,447.026119126775,316.931881565216,181.955441333432,181.554615263662,251.660677301439,3.13243625098895,44.96762856745,19.0505235943296,0.811972967341992,123.44600877276,1.00000000000647,0.70897844221354,0.407035368962425,0.406138718738597,0.562966382802559
"4",4,1.31224808540456,0.364431486880466,6.89248062870917,2.5055765598201,0.304030151100217,138.143055583171,192.154858861573,0.00760373330836017,0.142357023295173,0.10483864379236,0.0044740567179876,0.490758145666824,446.164351379091,317.212937568518,181.676923184638,181.277960200951,252.154845642283,3.3925147395841,45.1574895429719,19.0467622350462,0.811047875660156,123.747044468311,1.00000000524816,0.710977778150134,0.40719731098315,0.406303104656385,0.565161349592863
"5",4,1.30895691401185,0.26030820491462,6.10844089860589,2.40170759623114,0.302906640763133,138.183072947067,193.003872115278,0.00831961743481048,0.142973979047525,0.105026204119611,0.00447640040448092,0.491113670383968,445.045351023132,317.410025961441,181.272180475195,180.875688733468,252.633752836353,3.7026070616534,45.3813744012852,19.0383290277948,0.809672006207259,124.071889618337,1.00000000058219,0.713208272856975,0.407311704670089,0.406420802785491,0.567658447397877
"6",4,1.30475309765383,0.185934432081871,5.29517018027597,2.27984023303545,0.301399389686087,138.191026873256,193.932563463429,0.00916027201791737,0.143763975347865,0.105274438616852,0.00447957203314541,0.491637174767539,443.616053384554,317.446205058243,180.698422168168,180.305170380844,253.034112914857,4.06364372051747,45.6373283982667,19.0229249527048,0.807689998669548,124.400976393271,1.00000000041083,0.715587731252544,0.407330665479241,0.406444196686047,0.570389892539498
"7",4,1.29946889409282,0.132810308629908,4.49514060755444,2.14243396058819,0.299394354881832,138.148181741412,194.914849760584,0.0101329632992616,0.144757188037045,0.105598574433016,0.00448384061716673,0.492377963754318,441.819424543858,317.238638873978,179.908318599682,179.519264948446,253.285784260654,4.47694001380379,45.9225733000968,18.9980619727673,0.804935771739757,124.712338702176,1.00000000125006,0.718027822335035,0.407198753224393,0.406318181592387,0.57327896988407
"8",4,1.29292101800647,0.0948645061642198,3.74514153647006,1.99338622026047,0.296745921553017,138.035019825754,195.929706781178,0.0112517820761188,0.145986597072988,0.106016947664235,0.00448956737176226,0.493387356883043,439.593146490963,316.708623003908,178.852047392642,178.468378353658,253.321635949231,4.9462062864717,46.2352141360123,18.961348148067,0.801245808347905,124.985692402279,1.00000000083887,0.720458509869186,0.406858134550904,0.40598535242869,0.576263843474054
"9",4,1.2849014380263,0.0677603615458714,3.070398113304,1.8373399908638,0.29327303929467,137.831953955264,196.967033479559,0.0125424848178882,0.147490743927721,0.106552299922601,0.00449723358783153,0.494718715058903,436.866487102178,315.786308307689,177.477302793017,177.100475843093,253.08322456166,5.47939128192323,46.5755575344899,18.9106147966558,0.796462208382504,125.205007658108,0.999999995818488,0.722843972495803,0.406250667631055,0.405388099868424,0.579314804351645
"10",4,1.27516359062851,0.048400258247051,2.48327236811099,1.67892479058077,0.288742412591414,137.518825863798,198.030233702226,0.0140464854903238,0.149318045779506,0.107233825136954,0.0045075119390589,0.496430180098647,433.555619713621,314.409093441982,175.727193579105,175.358999767498,252.520943860735,6.08993272155572,46.9469514080629,18.8438991480694,0.790432785073423,125.359017639465,0.999999997462669,0.72518744619641,0.405316377283498,0.404467134893523,0.582441863830077
