"","convergence","mu","x_C","x_W","C","AA","NT","ADP","ATP","LIP","RNA","DNA","p","tau tC","tau ATPS","tau ADPS","tau EAA","tau ENT","tau LIPS","tau Maint","tau RNAp","tau DNAp","tau r","v tC","v ATPS","v ADPS","v EAA","v ENT","v LIPS","v Maint","v RNAp","v DNAp","v r","p tC","p ATPS","p ADPS","p EAA","p ENT","p LIPS","p Maint","p RNAp","p DNAp","p r","f tC","f ATPS","f ADPS","f EAA","f ENT","f LIPS","f Maint","f RNAp","f DNAp","f r"
"1",4,0.671509990488056,1,0.001,22.4872487175563,17.2277959883496,7.13589429988629,1.87123536502214,18.3924743162683,26.8219679017563,45.2281312012044,6.56294136967213,194.272312039767,0.126774536416106,0.00300170764217711,0.216099834550275,0.0496147987168743,0.0985520325636755,0.0329817348739668,0.0158605935146083,0.417092339207308,0.166836935682923,0.1199752276915,280.329080070515,2600.78412495559,13.6072834953361,168.613100759289,159.213564246144,100.062330058774,1826.50717412751,30.3711419527133,4.40708069672221,652.278992049582,35.5385891698931,7.80679358353208,2.94053171202081,8.36570505520018,15.6908203681648,3.30022924086985,28.9694878403523,12.6675706414544,0.735263838748495,78.2573205895305,1.22782580453613,11.3912900504119,0.0595991461214425,0.738516018541596,0.69734657055348,0.438267449375103,8,0.13302391529766,0.0193027687343298,2.85694576529068
"2",4,0.664121142234743,0.769230769230769,0.001,21.7575285614162,17.0862516096151,7.07708401444307,1.87223329303097,18.3560632203517,27.2169452177449,45.0716905384246,6.51415114843092,195.048052411789,0.131644473245597,0.00304332959700989,0.21727146466115,0.0505368737329427,0.0997317772275179,0.0334832548596138,0.0160916484337615,0.419472382360291,0.167788952944116,0.120409402665339,277.302381800476,2575.05967152689,13.4340393859303,167.079540598622,156.866253321882,100.418604145273,1806.4095068785,29.9330626028294,4.3261855013857,647.677676791898,36.5053259818731,7.83675531242434,2.91883341369665,8.44367764659062,15.6445502308133,3.36234171524285,29.0681067120933,12.5560930813486,0.725886135519524,77.9864821821872,1.2280820301025,11.4041015028829,0.0594949897452411,0.73994092684925,0.694709600340618,0.444721327087335,8,0.132563795701249,0.0191592680836203,2.86835371193808
"3",4,0.654946664654241,0.591715976331361,0.001,20.9092965340197,16.9122555032554,7.00408102527867,1.87302864138731,18.3108524742183,27.6916231000349,44.8708966244774,6.45333975984092,195.974626656388,0.137802800699564,0.00309558228593651,0.218732807730068,0.0516809604531543,0.101211778609474,0.0341132163889183,0.0163919677212011,0.422495805850703,0.168998322340281,0.12096464336482,273.539334829536,2542.87343191154,13.2193656164437,165.140204698475,153.95599568489,100.758534379057,1781.45492785954,29.3880440842468,4.22659335158841,641.764640427307,37.6944864410059,7.87167395120395,2.89150895769505,8.53460438824772,15.5821601508602,3.43719768630302,29.2015516742482,12.4163253677498,0.714287185633028,77.630830853441,1.22838621646499,11.4193107763523,0.0593643562223697,0.741597004183073,0.691371948971493,0.452477501634557,8,0.13197322536611,0.0189804110583556,2.88197980377041
"4",4,0.643664192802714,0.455166135639508,0.001,19.9432690778288,16.7007679932685,6.91434148972507,1.8733943306252,18.2553059422538,28.2539408106524,44.614797135302,6.37822148730335,197.065962497062,0.14556464416661,0.00316082671540319,0.22054315236648,0.0530897532315172,0.103058233137587,0.0349003218210165,0.0167823125845494,0.426320862151408,0.170528344860563,0.121671462403926,268.904987883754,2502.95809195293,12.9561236133104,162.708498937808,150.386280890268,101.033611141023,1750.76660442338,28.716947385151,4.10543278514203,634.221518397805,39.1430588759253,7.91141680457943,2.85738434412927,8.63815405727883,15.498544396684,3.52610554356116,29.3819124180233,12.2426337675942,0.700092657786563,77.1666596314997,1.22874168243491,11.4370840093893,0.0592020596261148,0.743484590243926,0.687179115755631,0.461665699520464,8,0.131219991574418,0.0187594749626569,2.89802886025091
"5",4,0.629940144181254,0.350127796645776,0.001,18.8667420401901,16.4469009575129,6.80524493597345,1.87301366199242,18.1879097888886,28.9099520418136,44.2907856908985,6.28637618897931,198.333075651359,0.155319543609274,0.0032418750101814,0.222769871807761,0.054811407005548,0.105349537758084,0.0358786807993132,0.0172896710438199,0.431139278581664,0.172455711432665,0.122566415411462,263.258980902613,2453.96656388755,12.6371810110572,159.69086074929,146.061864173958,101.17521865274,1713.43719217301,27.9005439240256,3.96004072286323,624.689831358642,40.8892647648365,7.95545287928776,2.81518319384468,8.75288076359563,15.3875498748106,3.63003337484238,29.6247654069178,12.0290203794404,0.682931640163705,76.5659933736192,1.2291503049201,11.4575151051805,0.0590027160320034,0.745593063947758,0.681959583187147,0.472384837284536,8,0.130267016737937,0.0184893417322921,2.91666287722586
"6",4,0.61344898079861,0.269329074342904,0.001,17.6938134609037,16.1462909774473,6.67424829105071,1.87148425894939,18.1072544318402,29.6628932912831,43.8848233778898,6.17534671241363,199.783847753198,0.167553419136655,0.00334207425039935,0.22548948830497,0.0569002155414878,0.108178720187791,0.0370888778725496,0.0179491397784782,0.437183014236627,0.174873205694651,0.123692828630813,256.463497208771,2394.5421084948,12.2559368875065,155.991927537892,140.897029999252,101.092620317086,1668.58122777222,26.9211001736935,3.78826014680819,612.785988921121,42.9713358410735,8.00273752229743,2.76358493746186,8.87597429963821,15.2420603835799,3.74941184875644,29.9495976890284,11.7694477205015,0.662465195877638,75.7972323149833,1.22961228588762,11.4806139186491,0.0587609961493807,0.747902109607992,0.675529738218946,0.484687798877175,8,0.12907300993497,0.0181627844482754,2.93799776107645
"7",4,0.593898834072113,0.207176211033003,0.001,16.4445025768599,15.7954063175787,6.51907587489875,1.86832767512225,18.0121974411433,30.5126574290087,43.3819508738674,6.04279891850305,201.423084589118,0.182877718366683,0.00346544651734447,0.228788939609453,0.0594180357667051,0.111657254926477,0.0385795673151685,0.0188063691409542,0.444732147492896,0.177892858997158,0.12510150659745,248.393962045412,2323.4178726791,11.8070206872915,151.521805250699,134.826327918013,100.674620397389,1615.40482867615,25.7644900437635,3.58881123223119,598.12467546343,45.4257210349255,8.05168037521168,2.70131574299228,9.00312804382177,15.0543376671423,3.88398329455012,30.3798995201635,11.4582969862223,0.638423890502721,74.8262980335861,1.23012613376413,11.5063064387801,0.0584721326948986,0.750384312642542,0.667702983299883,0.498572833807332,8,0.127593973158434,0.0177729379955972,2.96210418513409
"8",4,0.57106305984073,0.159366316179233,0.001,15.1429665025925,15.3919245092831,6.33793823501049,1.86301895976841,17.9019950162025,31.4552861195441,42.766964343028,5.88669910955673,203.253208557898,0.202069258581838,0.00361688778912284,0.232767803956048,0.0624371296249559,0.115920704853462,0.0404098375950005,0.019920758044071,0.454125747726042,0.181650299090417,0.12685162237597,238.952326083966,2239.5442482768,11.2870693589129,146.205529550715,127.816591868784,99.7941774421805,1553.29152276679,24.422633517829,3.36167640586516,580.351996007596,48.2849193681927,8.10018024479266,2.62726634777375,9.12865360044329,14.8165894213966,4.03266650336518,30.9427445969438,11.0909467077232,0.610649524570604,73.6185922426959,1.23068888270676,11.5344439363843,0.0581323940469742,0.753010120291071,0.658300595839789,0.513975263391243,8,0.1257851892442,0.017313820910461,2.98901777291026
"9",4,0.54481613748449,0.122589473984026,0.001,13.8153340179582,14.9349642607683,6.1297680722727,1.85502013229152,17.7764326002089,32.4827250242039,42.0253325746818,5.70552427966764,205.274899178136,0.226123412000402,0.00380244869695212,0.237540593721929,0.0660441439973661,0.121136683106748,0.0426524213050735,0.0213696184158927,0.46577570827468,0.186310283309872,0.129011903135485,228.082238939476,2142.23760591861,10.6955322509301,139.993722177748,119.879251155549,98.3172932369865,1481.89989395781,22.8960793698393,3.10846170037251,559.185388463752,51.5747340856854,8.14574859318704,2.54062308105799,9.24576554623443,14.521774858304,4.1934706127184,31.6676352644303,10.6644375852002,0.579138380054288,72.1415711712643,1.23129633719223,11.5648168389954,0.0577395668602949,0.755752653730782,0.647165178400162,0.530763480787645,8,0.123603919337299,0.0167809537637284,3.01874851732553
"10",4,0.515170953396075,0.0942995953723274,0.001,12.4874370720415,14.4251043802092,5.89444584942647,1.84383383611843,17.6359886685317,33.5829125299542,41.1443790818661,5.49849881455262,207.487402044145,0.256323737896339,0.00402972911171375,0.243240247728175,0.0703459933456305,0.127516633252149,0.0453983597594095,0.0232535909449237,0.480184050268214,0.192073620107286,0.131662133080718,215.784900688873,2031.33876806217,10.0354387317068,132.873448452513,111.08126315788,96.1163392548526,1401.26499323732,21.1963889984944,2.83266687654026,534.457413643784,55.3107923261623,8.18574496941288,2.44102260316128,9.34711472065146,14.1647086952889,4.36352414824925,32.584442958182,10.1781679203577,0.544080581535085,70.3678031211439,1.23194343242871,11.5971712866055,0.0572935956019114,0.758591410440004,0.634177053984634,0.548740400816244,8,0.121012879652547,0.0161720553369195,3.0512853241786
