"","convergence","mu","x_C","x_C2","C","C2","I","AA","NT","ATP","RNA","DNA","p","tau tC","tau tC2","tau ATPS","tau ATPS2","tau EAA","tau ENT","tau RNAp","tau DNAp","tau r","v tC","v tC2","v ATPS","v ATPS2","v EAA","v ENT","v RNAp","v DNAp","v r","p tC","p tC2","p ATPS","p ATPS2","p EAA","p ENT","p RNAp","p DNAp","p r","f tC","f tC2","f ATPS","f ATPS2","f EAA","f ENT","f RNAp","f DNAp","f r"
"1",-1,0.691688335193047,1,1e-05,16.9880807792208,0.000230909090909091,2.30909090909089,2.3090909090909,1.15454545454546,39.5844155844156,66.9636363636364,2.30909090909091,122.381818181818,0.03125,5000.05,0.031469507161941,324.815649606299,0.217131949415415,0.064651877213173,0.772549726917633,0.58607220662717,0.605489139421002,175.688677421909,0.000159717124671849,163.938220109605,0,91.2384074687937,48.7137230249139,46.3179661548362,1.59717124671849,84.6500760760799,5.49027116943466,0.798593609215478,5.15905499185507,0,19.8107732752571,3.14943363960325,35.7829321042989,0.936057676925773,51.254701715228,0.999999090909091,9.09090909090909e-07,0.933116883116883,0,0.519318181818182,0.277272727272727,0.263636363636364,0.00909090909090909,0.481818181818182
"2",-1,0.690843085777704,0.769230769230769,1e-05,16.9880807792208,0.000230909090909091,2.30909090909089,2.3090909090909,1.15454545454546,39.5844155844156,66.9636363636364,2.30909090909091,122.381818181818,0.0321022727272727,5000.05,0.031469507161941,324.815649606299,0.217131949415415,0.064651877213173,0.772549726917633,0.58607220662717,0.605489139421002,175.473984265588,0.000159521948897761,163.73788611863,0,91.1269133078458,48.654194413817,46.2613651803506,1.59521948897761,84.5466329158131,5.63311369943506,0.797617720586248,5.1527505798913,0,19.786564330742,3.14558500314795,35.7392050369168,0.934913805959772,51.1920680051391,0.999999090909091,9.09090909090909e-07,0.933116883116883,0,0.519318181818182,0.277272727272727,0.263636363636364,0.00909090909090909,0.481818181818182
"3",-1,0.689747345017623,0.591715976331361,1e-05,16.9880807792208,0.000230909090909091,2.30909090909089,2.3090909090909,1.15454545454546,39.5844155844156,66.9636363636364,2.30909090909091,122.381818181818,0.0332102272727273,5000.05,0.031469507161941,324.815649606299,0.217131949415415,0.064651877213173,0.772549726917633,0.58607220662717,0.605489139421002,175.195666365544,0.000159268932394978,163.478182751131,0,90.9823776306313,48.5770243804684,46.1879903945437,1.59268932394978,84.4125341693385,5.81828789719661,0.796352625421511,5.14457784290782,0,19.7551810173884,3.14059581562735,35.682519366179,0.933430946558785,51.1108726705387,0.999999090909091,9.09090909090909e-07,0.933116883116883,0,0.519318181818182,0.277272727272727,0.263636363636364,0.00909090909090909,0.481818181818182
"4",-1,0.688328067794715,0.455166135639508,1e-05,16.9880807792208,0.000230909090909091,2.30909090909089,2.3090909090909,1.15454545454546,39.5844155844156,66.9636363636364,2.30909090909091,122.381818181818,0.0346505681818182,5000.05,0.031469507161941,324.815649606299,0.217131949415415,0.064651877213173,0.772549726917633,0.58607220662717,0.605489139421002,174.835170278649,0.000158941208381689,163.141797460348,0,90.7951652880397,48.4770685564151,46.0929504306897,1.58941208381689,84.238840442295,6.05813798832013,0.794713988968862,5.13399196359033,0,19.7145312364868,3.13413348396392,35.6090962680573,0.931510247202451,51.0057030052283,0.999999090909091,9.09090909090909e-07,0.933116883116883,0,0.519318181818182,0.277272727272727,0.263636363636364,0.00909090909090909,0.481818181818182
"5",-1,0.686491716147224,0.350127796645776,1e-05,16.9880807792208,0.000230909090909091,2.30909090909089,2.3090909090909,1.15454545454546,39.5844155844156,66.9636363636364,2.30909090909091,122.381818181818,0.0365230113636364,5000.05,0.031469507161941,324.815649606299,0.217131949415415,0.064651877213173,0.772549726917633,0.58607220662717,0.605489139421002,174.368737384217,0.000158517178092177,162.706560656042,0,90.5529379851562,48.3477393181141,45.9699816467314,1.58517178092177,84.0141043888539,6.36847137694668,0.792593816319791,5.12029527586009,0,19.6619359500101,3.12577210592921,35.5140967675909,0.929025123527944,50.8696277656334,0.999999090909091,9.09090909090909e-07,0.933116883116883,0,0.519318181818182,0.277272727272727,0.263636363636364,0.00909090909090909,0.481818181818182
"6",-1,0.968031458899525,0.269329074342904,1e-05,11.6931007738012,0.000403355907625659,8.67394829951423,11.9210328375908,4.09452255871772,41.347989715148,36.3508457444505,6.84209026256656,133.076067463251,0.0389571875,5000.05,0.0351889090683071,185.952506287462,0.16898299272002,0.0376313046409737,0.298731146222423,0.226623628168735,0.556524330377198,245.878633638676,0.00135790043315933,234.559344237554,0.000967439225444716,135.19647697058,45.7757475030391,35.188762238232,6.62335861879454,128.821819731063,9.57874003290571,6.78957006081828,8.25388743549702,0.179897748652246,22.8459052836919,1.72260109945515,10.5119792775754,1.50100956085388,71.6924769638019,0.999994481365481,5.52261463026744e-06,0.953958651547365,3.93459924591446e-06,0.549847414026664,0.186171096715491,0.143113565923034,0.026937363238451,0.523921525445872
"7",-1,0.962404498875228,0.207176211033003,1e-05,11.6931007738012,0.000403355907625659,8.67394829951423,11.9210328375908,4.09452255871772,41.347989715148,36.3508457444505,6.84209026256656,133.076067463251,0.0421216164772727,5000.05,0.0351889090683071,185.952506287462,0.16898299272002,0.0376313046409737,0.298731146222423,0.226623628168735,0.556524330377198,244.449393680001,0.00135000724809378,233.195900889493,0.000961815707946945,134.41060873836,45.5096628640391,34.9842174823786,6.58485845040444,128.073006019257,10.2966036086909,6.7501037408313,8.20590935150233,0.178852041479384,22.7131069179276,1.71258798734466,10.4508753882055,1.49228451300821,71.2757439142616,0.999994481365481,5.52261463026744e-06,0.953958651547365,3.93459924591446e-06,0.549847414026664,0.186171096715491,0.143113565923034,0.026937363238451,0.523921525445872
"8",-1,0.955186515230381,0.159366316179233,1e-05,11.6931007738012,0.000403355907625659,8.67394829951423,11.9210328375908,4.09452255871772,41.347989715148,36.3508457444505,6.84209026256656,133.076067463251,0.0462353741477273,5000.05,0.0351889090683071,185.952506287462,0.16898299272002,0.0376313046409737,0.298731146222423,0.226623628168735,0.556524330377198,242.616035951897,0.00133988226400595,231.446943771532,0.000954602140203411,133.402536169392,45.1683427615052,34.7218376723188,6.53547235479267,127.112465140786,11.2174431964744,6.69947831414296,8.14436545851402,0.1775106604782,22.5427597983445,1.69974366658612,10.3724943668007,1.48109245683958,70.741179545071,0.999994481365481,5.52261463026744e-06,0.953958651547365,3.93459924591446e-06,0.549847414026664,0.186171096715491,0.143113565923034,0.026937363238451,0.523921525445872
"9",-1,0.945963435745036,0.122589473984026,1e-05,11.6931007738012,0.000403355907625659,8.67394829951423,11.9210328375908,4.09452255871772,41.347989715148,36.3508457444505,6.84209026256656,133.076067463251,0.0515832591193181,5000.05,0.0351889090683071,185.952506287462,0.16898299272002,0.0376313046409737,0.298731146222423,0.226623628168735,0.556524330377198,240.273386690916,0.00132694464352567,229.212140908418,0.000945384703320047,132.114429422679,44.7322067724935,34.3865709326582,6.47236721245512,125.885093992976,12.3940843651536,6.63478956486054,8.0657251837783,0.175796654988191,22.3250916653422,1.68333130031873,10.2723397493716,1.46679134052694,70.0581176389113,0.999994481365481,5.52261463026744e-06,0.953958651547365,3.93459924591446e-06,0.549847414026664,0.186171096715491,0.143113565923034,0.026937363238451,0.523921525445872
"10",-1,0.934236409160054,0.0942995953723274,1e-05,11.6931007738012,0.000403355907625659,8.67394829951423,11.9210328375908,4.09452255871772,41.347989715148,36.3508457444505,6.84209026256656,133.076067463251,0.0585355095823864,5000.05,0.0351889090683071,185.952506287462,0.16898299272002,0.0376313046409737,0.298731146222423,0.226623628168735,0.556524330377198,237.294738376492,0.00131049462598438,226.37061789763,0.000933664851230693,130.476618311218,44.1776654887569,33.9602835982265,6.39212983804915,124.324507412009,13.890168432087,6.55253865465321,7.96573508893618,0.173617319118858,22.0483294422173,1.66246318833444,10.1449944453367,1.44860765562432,69.1896132369434,0.999994481365481,5.52261463026744e-06,0.953958651547365,3.93459924591446e-06,0.549847414026664,0.186171096715491,0.143113565923034,0.026937363238451,0.523921525445872
