"","convergence","mu","x_C","C","AA","NT","ATP","RNA","DNA","p","tau tC","tau ATPS","tau EAA","tau ENT","tau RNAp","tau DNAp","tau r","v tC","v ATPS","v EAA","v ENT","v RNAp","v DNAp","v r","p tC","p ATPS","p EAA","p ENT","p RNAp","p DNAp","p r","f tC","f ATPS","f EAA","f ENT","f RNAp","f DNAp","f r"
"1",4,0.781623460873319,1,24.3637155749177,14.7759106360594,7.87246501081901,15.3170098726687,52.2040724578884,10.1664679729381,129.3003586819,0.0916666666666667,0.214552083120458,0.25746249974455,0.05149249994891,0.311801334227628,0.116925500335361,0.62825302228592,198.532359223769,22.0785536514169,102.506972869509,54.9035810154424,40.8039277862163,7.94634988186562,101.064193845108,18.1987995955121,4.73699967819831,26.3917014762306,2.82712264263264,12.72271912547,0.929130935776971,63.4938852280793,1.00000000081571,0.111208841499444,0.516323753739249,0.276547265518289,0.205527844322395,0.0400254644603861,0.509056530243701
"2",4,0.778638230321605,0.769230769230769,24.2613412563003,14.7545721957854,7.83608806079656,15.2918751154068,52.1166100487939,10.1240030995454,129.615508861028,0.0941666666666667,0.214754142719282,0.257704971263138,0.0515409942526276,0.312526132946187,0.11719729985482,0.628996614542709,197.774109440915,21.9991976223379,102.319705381285,54.5643986162574,40.5799850187541,7.88293585720049,100.923590441785,18.6237286390195,4.72441882589723,26.3682967349369,2.81230335547861,12.6823057929254,0.923858797392639,63.4805967153777,0.999999994636442,0.111233960635865,0.517356417994923,0.275892524445417,0.20518350412911,0.0398582799194702,0.510297278980425
"3",4,0.774801969011235,0.591715976331361,24.1306154987609,14.7270552156465,7.78961059965129,15.2595097049573,52.0037719509484,10.0696328157542,130.019804270245,0.0974166666666667,0.215014652930282,0.258017583516338,0.0516035167032676,0.313463843905339,0.117548941464502,0.62995981277567,196.799700172214,21.8970582014511,102.076191701957,54.1300018669131,40.292624903606,7.80197133286647,100.739600359041,19.1715707917765,4.70818836937918,26.3374523174894,2.79329845548716,12.6302810833204,0.917113471514845,63.4618997812773,1.00000000022033,0.111265709181031,0.518680626216011,0.275051241599818,0.204739259649403,0.0396442236840715,0.51188899318994
"4",4,0.769888309378134,0.455166135639508,23.9645149046072,14.6916539648587,7.73051437485246,15.2179469604148,51.8585232710406,10.0003188695889,130.536527657234,0.101641666666667,0.215349757950203,0.258419709540244,0.0516839419080488,0.314675404533869,0.118003276700201,0.631206147810495,195.551630584045,21.7659741165719,101.759624564082,53.5760320384166,39.925270807988,7.69912858775004,100.49854659012,19.8761936519467,4.68729725755414,26.2966926227742,2.76902052753729,12.5635007426279,0.908522401090693,63.4353004537032,1.00000000001022,0.111305510732828,0.520372160851848,0.273973844549141,0.204167414452916,0.0393713341322397,0.513923337233205
"5",4,0.763620990971189,0.350127796645776,23.7547866851235,14.6462488171732,7.65583510518453,15.1647608605808,51.6720970910188,9.91243317212127,131.193838116679,0.107134166666667,0.215779575240891,0.258935490289069,0.0517870980578138,0.316238147621707,0.11858930535814,0.632816606732954,193.959731590521,21.598366583395,101.348314840555,52.8733964177672,39.4578979862033,7.56934204183094,100.182368671972,20.7797142108408,4.66048636726202,26.2426755932101,2.73815976493657,12.4780925682032,0.897643014758896,63.397066597467,0.999999999401105,0.111354900284444,0.522522453236945,0.272599863654821,0.203433453114247,0.0390253274492963,0.516511173687711
"6",4,0.755669218638563,0.269329074342904,23.492015365727,14.5882386287187,7.56217717971507,15.096999116357,51.4336966406775,9.8017513125715,132.025121881879,0.114274416666667,0.21632893056799,0.259594716681588,0.0519189433363175,0.318249779476425,0.119343667303659,0.634893963598834,191.939981629142,21.3850695953586,100.814471509703,51.9882476284157,38.8668613521536,7.40688175566041,99.7673206931406,21.9338294356809,4.62620923568596,26.1709041689654,2.69917488277416,12.3693700542637,0.88396443200508,63.341669672504,1.00000000049467,0.111415398836791,0.525239560324449,0.270856791862063,0.202494868664085,0.0385895720967382,0.519783944416847
"7",4,0.745646704352142,0.207176211033003,23.165900150585,14.514480228264,7.44581545632783,15.0111445527657,51.1302778407554,9.66353126290745,133.068850483911,0.123556741666667,0.217028045205079,0.260433654246094,0.0520867308492189,0.32083271869581,0.120312269510929,0.6375675510918,189.394262887188,21.115245445849,100.12278918132,50.8826511593845,38.1251231645686,7.20558023859084,99.2223498152562,23.400938012701,4.58260044313804,26.0753438598025,2.65031095583356,12.2317869155011,0.866919711647962,63.2609505852868,0.999999999903607,0.111488305516365,0.528647423873165,0.268659939212562,0.201300306459667,0.038045398672864,0.523893112141382
"8",4,0.733117146466856,0.159366316179233,22.7657864510809,14.4212741136944,7.30288618892486,14.9031142864353,50.7464022118859,9.49268677898944,134.367849621791,0.135623764166667,0.217913157499461,0.261495788999353,0.0522991577998706,0.324139292657042,0.121552234746391,0.640998793361788,186.211754948045,20.7764660683024,99.2291203691017,49.5161801105503,37.2030575830371,6.95925144371639,98.5073744916152,25.2547391381348,4.52746532262419,25.94799712263,2.58965451724849,12.0589727696449,0.845912565145774,63.1431081863631,0.999999998633079,0.111574406490608,0.532883223516955,0.26591328810945,0.199788985086165,0.0373727825944466,0.529007281975556
"9",4,0.71760952416258,0.122589473984026,22.2815144887622,14.3043882615676,7.12970097486488,14.768324109843,50.2643485870957,9.28411802300364,135.967605236724,0.151310893416666,0.21902696144174,0.262832353730089,0.0525664707460177,0.328357366999179,0.123134012624692,0.645386907049551,182.272818908996,20.3550548866883,98.0794488997264,47.8488881126789,36.0701752719278,6.66237151675687,97.5716484954512,27.5798630746944,4.45830582181119,25.778452406865,2.51524717720461,11.8439077794891,0.820364538454731,62.9714644382052,0.999999998747486,0.111673561549273,0.538091468404014,0.262512470806946,0.197891136169668,0.0365516457598569,0.535305532428048
"10",4,0.698646656169146,0.0942995953723274,21.7045664542191,14.1591687916958,6.92318430206423,14.6018584207432,49.6645633745776,9.03320484362524,137.913453552474,0.171704161441667,0.220418796161052,0.264502555393262,0.0529005110786524,0.333716534962078,0.125143700610779,0.650974514720859,177.456250484895,19.836816876025,96.6097517791102,45.8458590529189,34.6979811317493,6.31101835848971,96.3527731651749,30.4699766820913,4.37240729548067,25.5535262214834,2.42526937473927,11.5792900334669,0.789784192003966,62.7231997532087,0.999999998974013,0.111784266834609,0.544414476334341,0.258350206772705,0.195529777065266,0.0355637985969498,0.542966352568796
