"","convergence","mu","x_C","x_W","C","AA","NT","ADP","ATP","RNA","DNA","p","tau tC","tau ATPS","tau ADPS","tau EAA","tau ENT","tau RNAp","tau DNAp","tau r","v tC","v ATPS","v ADPS","v EAA","v ENT","v RNAp","v DNAp","v r","p tC","p ATPS","p ADPS","p EAA","p ENT","p RNAp","p DNAp","p r","f tC","f ATPS","f ADPS","f EAA","f ENT","f RNAp","f DNAp","f r"
"1",4,0.589780365928415,1,0.001,13.1259704579701,13.364443838495,6.11528933981429,2.18777364751456,12.7142450144179,48.7035216962608,6.67272743112457,151.116028563316,0.215194650310212,0.0162764808735142,0.280398272586177,0.0771991105182425,0.105710641820345,0.386905325466945,0.145089497050104,0.160922127005674,159.066268567723,463.102781422224,8.7889180195066,119.535063240315,134.896467299979,28.7243808480232,3.93544362606922,445.626333118608,34.2302100405815,7.53768356429005,2.46439743057117,9.22800055789421,14.2599921375779,11.1136159208409,0.570991536375422,71.7111373751853,1.06182773795057,3.09138689971104,0.0586693648107577,0.797941932938494,0.900485137549296,0.191746148410475,0.0262705804374983,2.97472497171883
"2",4,0.5567095628983,0.714285714285714,0.001,11.3521115063633,12.7410869257452,5.84108495965312,2.21378823180032,12.4872593278901,47.8422163735194,6.39250144002663,155.12995132678,0.261741550306981,0.0173173192661689,0.290031712915286,0.0841726300948704,0.1130166749126,0.398730671027074,0.149524001635153,0.164119123801296,150.290143031685,444.295700221153,8.18421376110233,114.269906160715,124.637687615972,26.6342193653879,3.55876668250398,431.811636977832,39.3371750329712,7.69401048931578,2.37368153599736,9.61839854224137,14.0861370231524,10.6198801598434,0.532121035253852,70.868547508005,1.06284051134719,3.14202554929269,0.0578781399987809,0.808108123696734,0.881428289085878,0.188355182572911,0.0251673285040419,3.05373919934607
"3",4,0.518394980865314,0.510204081632653,0.001,9.662839381557,12.0450890188668,5.5230229073739,2.2375027996147,12.2112125347441,46.7249417517257,6.06540294103159,159.529988784306,0.324147077847562,0.0186633307091483,0.302147493695423,0.092991672412993,0.122641321732364,0.414163540890791,0.155311327834047,0.168344269939314,140.087458775909,420.756678715812,7.49014150928334,107.803408470013,112.932630510615,24.2219752853187,3.14427444155649,413.49772741642,45.4089404053017,7.85272104295605,2.26312748445401,10.0248192454475,13.8502070725345,10.0318590515368,0.488341438592794,69.6099730434825,1.06390966079763,3.19548301641303,0.056884706040783,0.818724879017392,0.857679321685253,0.183956463589471,0.0238795391379196,3.14035410992728
"4",4,0.475228812880104,0.364431486880467,0.001,8.09950958939791,11.2851501786594,5.16402982217383,2.2569421100812,11.8842218557322,45.3258176338317,5.6935785248933,164.290749962529,0.408390606642214,0.0204070828888667,0.317348812095516,0.104179192270402,0.135398307984323,0.434265312740295,0.162849492277611,0.173861650795908,128.556912978184,392.439732999701,6.72028856421641,100.148862292781,100.06069280436,21.5401345069459,2.7057525634247,390.378490359374,52.5014356792108,8.00855016020962,2.13267559279316,10.4334275804617,13.5480485014495,9.35413324812689,0.440630431182556,67.8718487690952,1.06502292145733,3.25114613639021,0.0556738738811551,0.82967793352183,0.828947498075254,0.178448100920597,0.0224156634838319,3.23406988115215
"5",4,0.428052562777422,0.260308204914619,0.001,6.68839213383254,10.4717522358412,4.77007795228287,2.27010659067452,11.5071003818012,43.6323039469793,5.28254824945987,169.377718252,0.522932377956537,0.0226769274378505,0.336411453240726,0.118469527622011,0.152471067938685,0.460441252016813,0.172665469506305,0.181000538268237,115.919589049112,359.711910685567,5.89736875248322,91.423697099068,86.4591038478162,18.6769195243879,2.26120831617668,362.512831875803,60.6181063531967,8.15716089714715,1.98394239231933,10.8309222087844,13.1825118966982,8.59962420962644,0.390432595564208,65.6150176986634,1.06616891130805,3.30844561601822,0.0542409723325818,0.840868263970236,0.795206482167922,0.171780724200706,0.0207974340529916,3.33420705220472
"6",4,0.378163281518096,0.185934432081871,0.001,5.44283468670671,9.61641784970463,4.34991399456441,2.27505020681758,11.0838691302272,41.6494106668029,4.841272135669,174.741229948701,0.679753924293283,0.0256529265098469,0.360340446981507,0.136903673507675,0.175610670477187,0.494569884932182,0.185463706849568,0.190177045198862,102.521326101778,323.392655917598,5.05185277403241,81.8562429109714,72.688322434545,15.750277811053,1.83079135754671,330.403584669544,69.6892737414349,8.29596803607835,1.8203868866796,11.2064203540485,12.7648450385924,7.78961308466237,0.339545351638766,62.835177455566,1.06733595735926,3.36679813977531,0.0525941706182867,0.852194511281284,0.756748504574486,0.163974057743318,0.0190601265183819,3.43978799111616
"7",4,0.327230480756604,0.132810308629908,0.001,4.36617432226896,8.73109371451934,3.91425944798697,2.26986999101382,10.622048263054,39.4026274235937,4.38166815642676,180.312259546419,0.895833684966817,0.0295895858636114,0.390448509552753,0.160957053857853,0.207446432120511,0.539187849989073,0.202195443745902,0.201924225519698,88.8109485590933,284.720308188461,4.21862860815343,71.7742722220991,59.3624242555797,12.8937407148959,1.43381537734343,295.018336888421,79.5598393130911,8.42475600625636,1.64715725241011,11.5525753996606,12.3145231138441,6.95214833438129,0.289910936471653,59.5713491903036,1.06851110864586,3.42555526196207,0.0507555836774321,0.86353775551959,0.714207097011589,0.155128454423597,0.0172506620331762,3.54945392807911
"8",4,0.277116480442079,0.0948645061642197,0.001,3.45437025180409,7.8284660068272,3.47463944817362,2.25266552072745,10.1324349262725,36.9382967964921,3.91754990039508,186.001577433242,1.19524661300297,0.0348473259390433,0.428475992073678,0.192711542705089,0.251972427619302,0.597758192852026,0.22415932231951,0.216933064100798,75.2921536508312,245.228376993015,3.43211544579424,61.5719113133472,47.056358510778,10.2362108017688,1.0856176403537,257.720512474874,89.9926916368551,8.54555318257817,1.47057907054808,11.865618016496,11.8569048888849,6.11877887051772,0.243351314559791,55.9081004528025,1.06967944058052,3.48397197313351,0.0487602379803148,0.874755262740551,0.668532068839417,0.14542636534052,0.015423424804705,3.66144837467012
"9",4,0.229630500310363,0.0677603615458712,0.001,2.69781692809366,6.92242140361594,3.0420283766672,2.22144969907519,9.6283600587645,34.3205214266572,3.46312553973892,191.704276691313,1.61214626903303,0.0419374579697076,0.476789401868417,0.23508047971992,0.315326273710608,0.675077016250607,0.253153881093978,0.236112711122584,62.4570639742117,206.545843346124,2.72107774327535,51.6586970574396,36.2152634665013,7.88103850611583,0.795239250327845,220.105744841312,100.689922660783,8.66200762414591,1.29738102965372,12.1439512859689,11.4196240803398,5.32030795966481,0.201317902618759,51.9697641481379,1.07082444327749,3.54122213947995,0.0466527943222035,0.88568677419441,0.620909579670222,0.135120163097075,0.0136343525186572,3.77370623408096
"10",4,0.186280609758435,0.0484002582470509,0.001,2.08266591036709,6.02892540230638,2.62574458142033,2.1741644089568,9.12443346218486,31.6248162553794,3.03145146242822,197.30780039583,2.19500908135684,0.0515868256572086,0.53873657696408,0.292114008940749,0.407048106236554,0.777895645723004,0.291710867146126,0.260675669110708,50.7186065856799,170.166567851987,2.10470970085162,42.4025021104472,27.0946876795607,5.89109005555054,0.564700626874229,183.773086839154,111.327802049332,8.77835306846598,1.1338840997399,12.3863648806013,11.0288413090361,4.58265330277485,0.164729309543442,47.9051723763368,1.07192881613319,3.59644043680274,0.0444826687840223,0.896169412926463,0.572641451392918,0.12450715061173,0.0119348482772765,3.88401181881556
"11",4,0.148095065183613,0.0345716130336078,0.001,1.59204202493531,5.16612945005334,2.23276046600053,2.10882491904657,8.63485807409795,28.9288847739966,2.63306362724795,202.703437128303,3.01267372591248,0.0648346949363474,0.619330224491178,0.369422703419998,0.542158193112227,0.915941711030496,0.343478141636436,0.292267914181729,40.3612207150081,137.253704485077,1.5910864331818,34.0824150349798,19.7482516339451,4.28422507629424,0.389943729509884,150.096893672292,121.595189193859,8.89880205917356,0.985407917847354,12.5908179013046,10.7066764229853,3.92410044682071,0.133937147554836,43.8685060387575,1.07297595340441,3.64879757894441,0.0422979645399389,0.906058120112407,0.524994010330397,0.113893247141719,0.0103663922332596,3.99022514032093
"12",4,0.115557281459273,0.0246940093097198,0.001,1.20745517801971,4.35313967770145,1.86775096308534,2.0238023736241,8.17184620362345,26.3036094066876,2.27520667187932,207.797189621886,4.16293659559693,0.0831839232624876,0.726552500514218,0.474783064443802,0.744632547033326,1.10360272989033,0.413851023708873,0.333162168052,31.5221436806399,108.529708941619,1.17818143230084,26.8637672892508,14.0613890700649,3.03957359560339,0.262916697760376,120.062391637911,131.2246854998,9.02792698029974,0.856010665697598,12.7544617560957,10.470567958069,3.35448171781046,0.108808344518288,40.0002466995949,1.07395160486078,3.69758022404136,0.0401403487293212,0.915241878382037,0.479068032661839,0.103557517349164,0.00895750658220205,4.09049585869854
"13",4,0.0886529726158713,0.0176385780783713,0.001,0.910363004810631,3.60773465304171,1.53404280403971,1.91843733794921,7.74515241754088,23.8089041692581,1.96196672666262,212.5133993479,5.78483656342579,0.108836502699431,0.873800682164778,0.619017447879424,1.05320809021136,1.36245881359909,0.51092205509966,0.386499481813552,24.2031922193855,84.2668567033631,0.856705957964469,20.7984648365394,9.81247821702333,2.11073012933115,0.173934182492072,94.1997228644753,140.011511302324,9.17130997706811,0.748590250483982,12.8746126229246,10.3345814431917,2.87578286783637,0.0888668099709289,36.4081440740999,1.07484448104088,3.74222396125613,0.038045628958622,0.923643250900262,0.435764338906248,0.0937358431860557,0.00772427845142766,4.18333463283267
"14",4,0.0669913322995226,0.0125989843416938,0.001,0.683514091188202,2.94377721237106,1.23455804902964,1.79323490519816,7.35975907943912,21.4870174990411,1.69404012645103,216.8040995108,8.07627398007867,0.145068901187163,1.08442507710869,0.817317695416306,1.53111652967234,1.72550730441369,0.647065239155135,0.456697331777241,18.3030059425057,64.3603753352667,0.613171261560368,15.8456059739313,6.73295175002901,1.43944392940392,0.113486005039806,72.6199773711336,147.820090650684,9.33668892988053,0.664938292598438,12.9508941570884,10.3089337179557,2.48377101448041,0.0734328489918431,33.1653498991204,1.07564778965167,3.7823893893712,0.0360354093883358,0.9312290612313,0.395688265113384,0.0845945570828391,0.00666944931673635,4.26779723446456
"15",4,0.049950812119884,0.00899927452978129,0.001,0.511787338029674,2.36865210543242,0.972837625050719,1.65007464185391,7.01760321389216,19.3635887961319,1.46893086232355,220.646525238275,11.3192017058313,0.196864168061698,1.39942320919379,1.09104383007978,2.28255287059943,2.24290424951966,0.841089093569872,0.549981142656332,13.6563148104513,48.4404270471253,0.432957548088053,11.9008656498598,4.55734387114794,0.967226985922275,0.0733742895210226,55.1073656354116,154.57858189783,9.53618437118569,0.605890841390057,12.984366039888,10.4023783353975,2.16939751697516,0.0617143146645703,30.308011920944,1.076359255376,3.81796280403821,0.0341247159675044,0.937998798871393,0.359199339186811,0.0762346015595745,0.00578319237135255,4.34343553618652
"16",4,0.03681083622159,0.00642805323555806,0.001,0.382600274615958,1.88348440128624,0.752123561016084,1.49099209390606,6.7091237002106,17.4315163128414,1.2793339245296,224.070824949522,15.9162440711011,0.271971288162519,1.88932442310877,1.47058417938599,3.48126275364103,2.99334756467363,1.12250533675261,0.675824315560914,10.0697566881878,35.9902158346357,0.301853119495303,8.8267178052615,3.04880676758331,0.641668692085977,0.0470933515685831,41.2411721962671,160.2727051858,9.78830536179298,0.570298470854046,12.9804315603222,10.6136974430365,1.92073741678288,0.0528625384613016,27.871786972472,1.07698480773893,3.84924054089763,0.0322839204492783,0.944038795854568,0.3260772501356,0.0686280169796904,0.00503674773436851,4.41084301081737
"17",4,0.0268499653924398,0.00459146659682719,0.001,0.285857696177601,1.48329415344758,0.57471067100649,1.32052018955532,6.43661301045167,15.7171524803581,1.12022432967671,227.06162679706,22.4442746082707,0.382785669422763,2.66566039296649,1.99818951667095,5.41695782979349,4.07934336252018,1.52975376094507,0.845998988905892,7.34860035220012,26.4354580285365,0.208278757964733,6.47431957025945,2.02333144982283,0.422005000165314,0.0300779844835887,30.4829841072608,164.934004291215,10.1191144979507,0.555200435802842,12.93691749287,10.9603011393852,1.7215032963747,0.0460119098854172,25.788573733577,1.077524571326,3.87622869863609,0.0305398944882164,0.94932886335052,0.296680898215949,0.0618785530722759,0.00441033200660122,4.46971706293426
"18",4,0.0194072709830848,0.00327961899773371,0.001,0.213665878802599,1.15952420406025,0.439590494131347,1.14863809804983,6.24592761363866,14.2922213134061,0.99322644227388,229.507205863681,31.7341872282526,0.549478223416944,3.8844359368656,2.73206297737486,8.55728458183747,5.581228502629,2.09296068848588,1.07023472763549,5.31378031032732,19.2166741204196,0.143508340568969,4.70095594675795,1.34337850030668,0.277373011979493,0.0192758147127744,22.2705426838354,168.628499257729,10.5591439556705,0.557448955346049,12.8433077004076,11.4956721282463,1.54808216032,0.0403435224323746,23.8347081835291,1.0779668579257,3.89834291438647,0.029112463431845,0.953647763970439,0.272521146229195,0.0562685878480556,0.00391034032391291,4.51785838314333
"19",-1,0.0133694580634136,0.00234258499838122,0.001,0.213665878802599,1.15952420406025,0.439590494131347,1.14863809804983,6.24592761363866,14.2922213134061,0.99322644227388,229.507205863681,51.2397542430709,0.549478223416944,3.8844359368656,2.73206297737486,8.55728458183747,5.581228502629,2.09296068848588,1.07023472763549,3.66060550599999,13.2381579561167,0.0988613361795776,3.23843746206842,0.925438849119777,0.19107925348261,0.0132788992674542,15.3419348202286,187.568526508272,7.27407951503986,0.384020527022502,8.84761509466095,7.91924359500608,1.06645697579821,0.0277922141531455,16.4194714337288,1.0779668579257,3.89834291438647,0.029112463431845,0.953647763970439,0.272521146229195,0.0562685878480556,0.00391034032391291,4.51785838314333
"20",-1,0.00814491011563825,0.00167327499884373,0.001,0.213665878802599,1.15952420406025,0.439590494131347,1.14863809804983,6.24592761363866,14.2922213134061,0.99322644227388,229.507205863681,91.456397650236,0.549478223416944,3.8844359368656,2.73206297737486,8.55728458183747,5.581228502629,2.09296068848588,1.07023472763549,2.23010556402221,8.0649197699537,0.0602280730658845,1.97291333115773,0.563793701124465,0.116408857950502,0.00808974009679591,9.34657781325483,203.957421265219,4.43149778719434,0.233952091425289,5.39012346962535,4.82454314596946,0.649704435951833,0.0169315080026618,10.0030321602927,1.0779668579257,3.89834291438647,0.029112463431845,0.953647763970439,0.272521146229195,0.0562685878480556,0.00391034032391291,4.51785838314333
"21",-1,0.00381167036810074,0.00119519642774552,0.001,0.213665878802599,1.15952420406025,0.439590494131347,1.14863809804983,6.24592761363866,14.2922213134061,0.99322644227388,229.507205863681,208.451662964571,0.549478223416944,3.8844359368656,2.73206297737486,8.55728458183747,5.581228502629,2.09296068848588,1.07023472763549,1.04364899985811,3.77423633555144,0.0281856470082173,0.923287694577038,0.263845237551718,0.0544772364746479,0.00378585179882947,4.37402907928094,217.550369571734,2.07386067641448,0.109485340142528,2.52248012781972,2.25779878329256,0.304049904956765,0.00792363898738361,4.68123782033394,1.0779668579257,3.89834291438647,0.029112463431845,0.953647763970439,0.272521146229195,0.0562685878480556,0.00391034032391291,4.51785838314333
"22",-1,0.000342250315204621,0.00085371173410394,0.001,0.213665878802599,1.15952420406025,0.439590494131347,1.14863809804983,6.24592761363866,14.2922213134061,0.99322644227388,229.507205863681,2437.68172974795,0.549478223416944,3.8844359368656,2.73206297737486,8.55728458183747,5.581228502629,2.09296068848588,1.07023472763549,0.093709362213922,0.338889109171015,0.00253079244562672,0.0829021069445183,0.0236906938420041,0.00489151724948744,0.000339932062937799,0.392744567742883,228.43360017521,0.18621218564264,0.00983070112454039,0.22649377712949,0.202728009147213,0.0273006754939407,0.000711464444484721,0.420328875488622,1.0779668579257,3.89834291438647,0.029112463431845,0.953647763970439,0.272521146229195,0.0562685878480556,0.00391034032391291,4.51785838314333
"23",-1,1.20043663410308e-05,0.00060979409578853,0.001,0.00103071358772711,10.9571607641805,0.038930088316634,6.90983182889075,11.1414686934857,5.07605321323081,2.42509132052868,217.432665623299,127.05539876574,57.3348597377342,-1.17399555835969,-0.387229155279305,235215.333228508,26.7263343706061,10.0223753889773,1.04778088830872,0.00327719961053624,0.0114151925274134,0.000216694424402647,0.0028952792657221,0.000919785156900475,6.09348023381891e-05,2.91116846220804e-05,0.0130507068632446,0.41638590335161,0.65448846243848,-0.000254398291770019,-0.00112113654436325,216.347572178981,0.00162856390209723,0.000291768231488008,0.0136742812302272,1.07480564195233,3.74377968708121,0.0710681122928208,0.949549267557896,0.301657022307188,0.0199844614694127,0.00954760362412868,4.2801705831358
"24",-1,1.98700634865153e-06,0.00043556721127752,0.001,0.000577578495113584,13.50380962394,0.036860769493403,5.85558305646258,12.9216512811628,3.57380952167096,0.757321040218739,217.355606686095,177.592147995819,112.875088989033,-1.20424752495802,-0.36122135881708,1576276.9643463,70.0141983563759,26.255324383641,1.38805956600633,0.000542361561768503,0.00188257889585237,3.73104838389793e-05,0.000481713981026673,0.00013769374354878,7.1011822084315e-06,1.50480171488202e-06,0.00215943485200138,0.0963191547448354,0.212496260398211,-4.49310578180771e-05,-0.00017400537878764,217.043476090548,0.000497183579705891,3.95090571572866e-05,0.00299742420348798,1.07462250470169,3.73009776312822,0.0739261194394702,0.954456807655666,0.272823160792689,0.014070116227051,0.00298157889849897,4.27865367492313
