"","convergence","mu","x_C","x_W","C","I","AA","NT","ADP","ATP","rRNA","DNA","p","tau tC","tau FERM","tau RESP","tau ADPS","tau EAA","tau ENT","tau RNAp","tau DNAp","tau INH","tau r","v tC","v FERM","v RESP","v ADPS","v EAA","v ENT","v RNAp","v DNAp","v INH","v r","p tC","p FERM","p RESP","p ADPS","p EAA","p ENT","p RNAp","p DNAp","p INH","p r","f tC","f FERM","f RESP","f ADPS","f EAA","f ENT","f RNAp","f DNAp","f INH","f r"
"1",4,0.958438952550627,1,0.001,10.0290575108634,9.85306494796213,14.3704924955536,4.77916281353104,3.05803172250527,20.4432612247299,45.7519564582949,7.33443290490438,138.380541237075,0.0188034188034188,0.00591511075160134,0.0153272595270489,0.0421338560370112,0.154228528818486,0.0100351877561542,0.2831407800266,0.129772857512192,0.0909090909090909,0.116593144156549,477.274751041435,1169.15627916413,3.92553733800442e-15,22.5245545959336,185.395117678207,229.36809944989,43.85045722503,7.02960619092941,0,663.146504983254,8.97439702812955,6.91568887718599,6.01677295627142e-17,0.949046340642863,28.5932162496401,2.30175194325189,12.4158526632181,0.912252082582304,0,77.3183360524241,1.96051553196841,4.80257763394795,1.61250451771991e-17,0.0925247753828158,0.761552977537839,0.942182088049624,0.180125812827933,0.0288757200980487,0,2.72402640230462
"2",4,0.956465508249102,0.740740740740741,0.001,10.0179012014488,9.86048071073249,14.3821976238734,4.77619318976865,3.05729127763298,20.4200696456158,45.7399595146926,7.33033657547146,138.415571455688,0.0194017094017094,0.00591838696645798,0.0153298359763578,0.0421383890380845,0.154208957423228,0.0100343747825456,0.283227086416556,0.129812414607588,0.0909090909090909,0.116612760265101,476.302703512118,1166.80231636971,5.72068225142929e-18,22.4552859478028,185.037524720692,228.774875639294,43.7486936245138,7.0112140982953,2.78599944745463e-17,661.948599509773,9.24108664079067,6.9055876216355,8.76971205872721e-20,0.946229575229945,28.5344437713526,2.29561284299493,12.3908150298016,0.910142631430475,2.5327267704133e-18,77.1916533424523,1.96055945349764,4.80279724396605,2.35474994909629e-20,0.0924305548159402,0.761652339295875,0.941684231162361,0.180078580766506,0.0288595928168168,1.14677441758577e-19,2.72471597353717
"3",4,0.953814929566738,0.548696844993141,0.001,10.0029017675104,9.87047996110149,14.3979832350856,4.77218488598726,3.05628807605151,20.388899999646,45.7237231092751,7.32480371948238,138.462736425854,0.0202094017094017,0.00592280654206764,0.0153333108708269,0.0421445164853984,0.154182614347721,0.0100332821662513,0.283343809690016,0.129865912774591,0.0909090909090909,0.116639304065565,474.997069426053,1163.64038095303,1.87484950487293e-16,22.3623704131004,184.557150799319,227.978319072936,43.6119697370022,6.98650714378826,9.60468446632172e-17,660.339125958219,9.59940658681969,6.89201686092269,2.87476502942325e-18,0.942451288527497,28.4555040068057,2.28737080304645,12.3571816533679,0.907309127334263,8.73153133301975e-18,77.0214960990298,1.96061850626959,4.80309250811975,7.73871013597169e-19,0.0923038900618015,0.761786100614806,0.941013198129253,0.180014657910532,0.028837809919222,3.96447121964445e-19,2.72564441783177
"4",4,0.950261155328395,0.406442107402327,0.001,9.98276421268237,9.88395697915605,14.4192642686596,4.76677447891239,3.05492689761856,20.3470724668248,45.7017313676096,7.31732978011243,138.526181267175,0.0212997863247863,0.00592876704096013,0.0153379960060787,0.0421528036540867,0.154147193407455,0.0100318159971437,0.283501766615164,0.129938309698617,0.0909090909090909,0.116675249627326,473.246437119235,1159.4005101628,2.63719663011667e-16,22.2380109530504,183.912938715715,226.910723168331,43.4285800498926,6.95337425076851,3.86161984774979e-15,658.180245270883,10.0800479896061,6.87381553192557,4.04493113799736e-18,0.937394509361362,28.3496633343447,2.27632662260351,12.3120791657326,0.903509696846747,3.51056349795436e-16,76.7933444167546,1.9606977922237,4.80348892728482,1.09261162995861e-18,0.0921338557655252,0.761965996186511,0.94010925186519,0.179928076250431,0.0288083849610726,1.59989994979774e-17,2.72689333203101
"5",4,0.945507669258416,0.301068227705427,0.001,9.95577733044279,9.90211109575419,14.4479392922333,4.75947343338653,3.05307862903983,20.2910575358122,45.6719121860136,7.30723124453406,138.611420364512,0.0227718055555556,0.00593680286537952,0.0153443101465532,0.0421640165979341,0.15409963230943,0.0100298528068057,0.283715693827447,0.130036359670913,0.0909090909090909,0.116723978743499,470.904634266208,1153.72842611711,2.34494145949055e-17,22.0720597760803,183.050980823887,225.483425980304,43.1831432415728,6.90904318275168,1.11957308984953e-17,655.290805007241,10.7233487667201,6.84945822604189,3.59815090299343e-19,0.930646694749244,28.2080888388414,2.26156557295671,12.2517354464328,0.898426824294168,1.01779371804503e-18,76.4881499944756,1.96080403501187,4.80402015317491,9.76412279908973e-20,0.091906047893118,0.762207622721017,0.938892462121192,0.179810677897691,0.0287686269469845,4.66180044179955e-20,2.72857126701795
"6",4,0.939169531177399,0.22301350200402,0.001,9.91970573735163,9.92654635883977,14.4865521308101,4.7496216942745,3.0505628546081,20.2162501361221,45.6314257683867,7.29358457377243,138.725751832178,0.024759031517094,0.00594763142018689,0.0153528144290201,0.0421792015378998,0.154035890198389,0.0100272316030889,0.28400572889991,0.130169292412459,0.0909090909090909,0.116790124152916,467.781838491873,1146.16388276277,1.38780302627656e-17,21.8514818484963,181.90119717302,223.581585232302,42.855644745852,6.84991240475256,4.02779252550797e-15,651.434996552292,11.5818252823445,6.81696032180324,2.13066823264565e-19,0.921678056789485,28.0193128346987,2.24190433731004,12.1712486235213,0.891648250813965,3.66162956864361e-16,76.0811741248964,1.96094604895801,4.80473022340534,5.81768387991032e-20,0.0916016259477567,0.762531600301456,0.937256195312226,0.179651282552704,0.0287148998967419,1.68845457198199e-17,2.73082188646019
"7",4,0.930753964567637,0.165195186669645,0.001,9.8716531086948,9.959401379108,14.5385001348711,4.73633205512246,3.0471304839811,20.1167114300209,45.5763639045836,7.27513961064526,138.87876927182,0.0274417865651709,0.00596221422917664,0.0153642594609144,0.0421997855548214,0.153950677224584,0.0100237454774618,0.284399482245917,0.130349762696045,0.0909090909090909,0.116880064515369,463.63493629934,1136.11714007897,3.63842986041195e-17,21.5598376960753,180.373703715443,221.058658717791,42.4203813947685,6.77136503539112,0,646.309825470103,12.7229709660831,6.77377377859028,5.5901780405708e-19,0.909820527371134,27.7686538404989,2.21583573057624,12.0643345053465,0.882645825491531,0,75.5407340978623,1.96113523483858,4.80567614705024,1.53902401223185e-19,0.0911962280078818,0.762964992712078,0.935058794399644,0.179434503561353,0.0286422819316742,0,2.73383404078386
"8",4,0.919642224137504,0.122366804940477,0.001,9.80792486718125,10.0035143194467,14.6083030343451,4.71841523838757,3.04243494266764,19.9849074823381,45.5013271174226,7.25020507668144,139.082969134034,0.0310635058800748,0.0059818363512623,0.0153796456500795,0.0422277200388878,0.153837145936317,0.0100191336061752,0.284934963136253,0.13059519143745,0.0909090909090909,0.11700262522332,458.158470252965,1122.84672103484,3.09511354109977e-16,21.1769164037082,178.355336708246,217.731490239971,41.8449416714746,6.66759472217235,3.73159364457286e-16,639.532855370356,14.2320083347091,6.7166853327819,4.76017495088772e-18,0.894252897182721,27.4376759617074,2.18148089098589,11.9230869126003,0.870755809169426,3.3923578587026e-17,74.8270229948977,1.96138613211744,4.80693063671897,1.32502467399328e-18,0.0906588284449045,0.763542980697355,0.932113129429103,0.179139083139459,0.0285441144751238,1.59750315673999e-18,2.73785372311091
"9",4,0.905077963927672,0.090642077733687,0.001,9.7239151903655,10.0626268149564,14.7019416500036,4.69427848792626,3.03598819957077,19.8114956903558,45.3988301548884,7.21649938076663,139.354424671768,0.035952826955195,0.0060082077946322,0.0154002989072695,0.0422656892781124,0.153686571681611,0.010013076462604,0.285664764356582,0.130929683663433,0.0909090909090909,0.117170080834233,450.978704748882,1105.44450846745,4.45851099559486e-18,20.6787541999651,175.707231132325,213.377698657179,41.0894807612846,6.53149456622956,6.97634494304605e-17,630.633094731179,16.2139593323145,6.6417403123075,6.86624020135086e-20,0.874001799674188,27.0038419723956,2.13656721206881,11.7378168392067,0.855166517405871,6.3421317664055e-18,73.8913306863949,1.96171687122377,4.8085843513826,1.93941224906957e-20,0.0899507239760892,0.764310678261912,0.928173829475543,0.178735551790899,0.028411414884908,3.03464740799027e-19,2.74319733605842
"10",4,0.886170982533474,0.0671422798027311,0.001,9.61399976896868,10.1416287820657,14.8272721730681,4.66180856051361,3.02710882457404,19.5852456649257,45.2584794204718,7.17095524723419,139.713501842767,0.0425534104066073,0.00604360242166674,0.0154279737258574,0.0423173875630025,0.153488074556279,0.0100051991630432,0.286661989046713,0.131386744979743,0.0909090909090909,0.117399591161592,441.65521201005,1082.83891097176,1.44866902810302e-15,20.0384123953551,172.265057301578,207.738280885188,40.1067511760105,6.3546924571451,2.98490359717243e-16,619.050256005985,18.7939354948808,6.54424786462393,2.23500277030367e-17,0.847973263481518,26.4406319585463,2.07846287404452,11.4970810663168,0.834922357291621,2.71354872470221e-17,72.6762469635814,1.96214960944964,4.81074804164606,6.43602812876901e-18,0.0890250176751956,0.765325090057853,0.92292262294719,0.178182989844377,0.0282321072725756,1.32610852723356e-18,2.75026578430643
