"","convergence","mu","x_C","x_W","C","AA","NT","ATP","rRNA","DNA","p","tau tC","tau MET","tau RNAp","tau DNAp","tau r","v tC","v MET","v RNAp","v DNAp","v r","p tC","p MET","p RNAp","p DNAp","p r","f tC","f MET","f RNAp","f DNAp","f r"
"1",4,0.96527774615663,0.1,1e-04,18.2043829689206,22.0063759968578,6.24263267332661,36.5045198063802,55.3127315722871,9.18332089143952,106.546036183219,0.051150895140665,0.116383164822909,0.212445794814343,0.0969482845614468,0.537818215576326,245.180547613006,227.608261850594,53.392148865864,8.86445529232184,102.846517668861,12.5412044814837,26.4897698540134,11.3429375026542,0.859393734162241,55.3127306109059,1.0000000003639,0.928329201273664,0.217766659733414,0.0361548066592107,0.419472583398502
"2",4,0.914334909085735,0.0571428571428572,1e-04,17.4631922940321,20.1253455018676,6.6030435260742,36.4025773234356,54.7402437428788,9.61775513313602,109.047842779571,0.0761772853185595,0.117377465337014,0.207723404995532,0.094802473392678,0.549015193612404,232.241067182988,216.273860844477,50.0509157859761,8.79384926526479,99.7062494138548,17.6914940374852,25.3856776045749,10.3967466502076,0.833678660989486,54.7402458263141,1.00000000118502,0.931247275617967,0.215512770641255,0.0378651776895119,0.429322215667603
"3",4,0.81806339142658,0.0326530612244898,1e-04,16.1357784903896,17.2154250353567,7.5922288754984,36.2709903189762,53.0585148963697,10.7085226516924,113.018539633975,0.131685575364668,0.119391880400918,0.197558573255796,0.090183092238196,0.573876487738259,207.788101342392,194.588011667236,43.4052286401819,8.76025035761184,92.456329827049,27.3626956792048,23.2322286164272,8.57507504199594,0.790026466030198,53.058513830317,0.999999999615189,0.936473312645151,0.208891790930589,0.042159537998789,0.444954880448721
"4",4,0.625071803639733,0.0186588921282799,1e-04,13.4628188125542,13.2620915473204,11.1198165278213,36.2178252564188,47.5433376151022,13.4980002633338,118.896110144195,0.293566070398153,0.124687963764121,0.178622868037583,0.0815766729872554,0.639723208168238,158.76823822872,150.353009791482,29.7179997941247,8.43721937013167,74.3186060135802,46.6089678008432,18.7472106367068,5.30831435556687,0.688280285478968,47.5433370655988,1.00000000065648,0.946996776985005,0.187178494547647,0.0531417333202119,0.468094921827538
"5",4,0.198341379405274,0.0106622240733028,1e-04,6.89558360747315,7.24881008207263,32.6418188568152,36.4982835457889,26.846408339536,14.6430978413474,129.225998126769,1.85856183547844,0.156135784998617,0.164651823172329,0.0752446117933062,1.04742506434084,50.3787104482368,49.0110308837262,5.32475366214082,2.90433222461924,25.6308627234866,93.6319485597121,7.65237578062204,0.87673039841502,0.218535350760264,26.8464080372592,1.00000000157402,0.972852034615467,0.105694521021795,0.0576499915013678,0.508763772152632
"6",-1,-0.00159244620229004,0.00609269947045874,1e-04,0.368785456911274,0.26760153852978,0.114076170000273,36.6810130277431,75.7902181725862,0.217593898450063,140.669124662812,-0.772118682232307,-80.9100104991261,-247.097306896908,-5888.69501015833,-338.383166554853,-0.404653977135603,-0.404066706135284,-0.120691845099668,-0.000346506577228288,-0.224008013348759,0.312440895586004,32.6930414357532,29.8226298885468,2.04047155231126,75.8005408906151,1.00042682254737,0.998974911299692,0.298386685718843,0.000856668891535683,0.553815451428395
"7",-1,-0.0015940883208042,0.00348154255454785,1e-04,0.368785456911274,0.26760153852978,0.114076170000273,36.6810130277431,75.7902181725862,0.217593898450063,140.669124662812,-0.414016399463508,-80.9100104991261,-247.097306896908,-5888.69501015833,-338.383166554853,-0.405071253265075,-0.404483376675331,-0.120816301620122,-0.000346863892197502,-0.22423900872274,0.167706141802977,32.726754253523,29.8533827595767,2.04257567118753,75.8787058367221,1.00042682254737,0.998974911299692,0.298386685718843,0.000856668891535683,0.553815451428395
"8",-1,-0.00158089821289419,0.00198945288831306,1e-04,0.368898999204028,0.267637216347101,0.11406920726787,36.6810140561985,75.7901929355708,0.217620000878082,140.66907372946,-0.32454404553656,-82.774542479001,-246.910275803002,-5698.63425236673,-340.809177810116,-0.401719683245726,-0.401136491477146,-0.11981658056675,-0.000344035070478192,-0.222383487268384,0.130375731172233,33.2038895536524,29.5839449535087,1.96053003664242,75.7903334544844,1.00042718954696,0.998974831282372,0.298386586360515,0.000856771657000324,0.553815250903387
"9",4,0.916518685761998,0.1,0.1,17.7300963146557,23.222181008982,5.90441020184412,36.7081173368238,56.2114435584472,8.76511739873144,105.458634358581,0.051150895140665,0.117009631784935,0.217480415630822,0.0992356484018949,0.581569034455454,232.795746346747,216.545781774005,51.5188383749728,8.03339387883496,96.6548089645815,11.9077108105753,25.3379421899572,11.2043383826062,0.797199050434001,56.211443925008,1.00000000070104,0.930196471903186,0.221304895899399,0.0345083362154781,0.41519147385268
"10",4,0.870522067523438,0.0571428571428572,0.1,17.029682075838,21.2308793046641,6.19657518795874,36.5880325098172,55.76029986438,9.13422032082055,108.060310722891,0.0761772853185595,0.11800003078756,0.213043023521306,0.0972195367214792,0.592760294325171,221.112605139087,206.287891089162,48.540571523667,7.9515403588953,94.0688851077157,16.8437580092102,24.3419774996219,10.3412301208542,0.773045069913946,55.7603000232902,0.999999999946335,0.932954007521776,0.219528739623543,0.0359614973260652,0.425434294184608
