"","convergence","mu","x_C","C","AA","NT","rRNA","p","tau Cin","tau EAA","tau ENT","tau rRNAp","tau Deg","tau r","v Cin","v EAA","v ENT","v rRNAp","v Deg","v r","p Cin","p EAA","p ENT","p rRNAp","p Deg","p r","f Cin","f EAA","f ENT","f rRNAp","f Deg","f r"
"1",4,1.36152889559945,1,14.3591667350544,9.2178386235407,1.47791810170727,71.3239019218708,143.621174669242,0.0177880007367815,0.166509388913239,0.121265083317155,0.01197591056754,0.0121501947606739,0.419014160431982,340.721772995572,244.168461178794,106.099200605183,139.548379817011,35.4614074126323,195.544379332109,6.06075914908275,40.6563412627669,12.8661284012711,1.67121891653363,0.430863006551087,81.9358639330365,1.0427057837235,0.747225116949906,0.324693808519545,0.427057835092717,0.10852201866362,0.598421561121841
"2",4,1.33920301867603,0.714285714285714,11.9217032823302,8.68878705612366,1.45767869443072,71.3133269590044,146.618504012649,0.0210827896494317,0.171514895626716,0.123680884104446,0.0120430159845467,0.0121509372924225,0.421536862465287,335.272126973053,243.479522594778,104.386851685536,138.6340248473,36.1993008696058,196.351943167502,7.06847172829043,41.7603649050861,12.9106581053467,1.66957177723808,0.439855434896117,82.7695820617911,1.04313324883492,0.757538623094306,0.324779147963986,0.431332488160127,0.112627001422935,0.610910433386036
"3",4,1.31109014631326,0.510204081632654,9.66199435030044,8.08467324663054,1.42952984192932,71.1359711245789,149.687831439117,0.0248672175499122,0.178053860133612,0.126990947766975,0.0121395049450583,0.0121634234118886,0.425224409038062,328.365301853141,241.531170112552,101.991746646778,137.03666734606,36.9191631888965,196.254240822828,8.16553139702465,43.005557181128,12.9520285710835,1.6635573009018,0.449063413879159,83.4520935751004,1.04355048473876,0.767590144963615,0.324131496391173,0.435504847281102,0.117329725231301,0.623699297662989
"4",4,1.27651562075666,0.364431486880466,7.6798133150085,7.42899130040225,1.39177933300205,70.7419490047809,152.757467054449,0.0292269198426445,0.186463589499768,0.131472480927131,0.0122750336118453,0.0121913872182544,0.430342663121596,319.826174651659,238.076271228149,98.8110438367495,134.624256603038,37.5898408255121,194.997292882225,9.34753397012366,44.392556107921,12.9909330762169,1.65251727477198,0.458272304976367,83.9156543204387,1.04394261956518,0.777103270277738,0.322528511174095,0.439426195333325,0.122696764713405,0.636489446060203
"5",4,1.23485325140335,0.26030820491462,6.01125665693926,6.74713453371326,1.34288125890685,70.0887670747689,155.809960474927,0.0343165615381087,0.197196489062938,0.137507438364802,0.0124619105554215,0.0122384362498753,0.437182913364783,309.495615477514,232.956984371479,94.7730207687549,131.308351416293,38.1935919363477,192.402436293491,10.6208253343089,45.9382994207455,13.0319953120056,1.63635293052969,0.467429840066745,84.1150576372703,1.04430632791719,0.786048140088492,0.319785032017131,0.443063279202972,0.12887358576462,0.649208168645528
"6",4,1.18552757973929,0.185934432081871,4.64794946996798,6.06233536585185,1.28156586233316,69.1385156023996,158.86963370628,0.0403724552106854,0.210878661368839,0.145635280222618,0.0127163960087046,0.0123084707524508,0.446095661043693,297.230580936202,226.075954193069,89.8369296392646,127.03961790673,38.7220199425134,188.344332341873,11.9999283160928,47.6745945879173,13.083426422354,1.61548609009649,0.476608849938241,84.0195894398807,1.04464946667305,0.794568729205165,0.315741739425345,0.446494666445842,0.136092784780219,0.661956807109498
"7",4,1.12805272432438,0.132810308629908,3.55785310946423,5.39352893067664,1.20715139169519,67.8553898258585,161.986076769328,0.0477343573580664,0.228384212796898,0.15662951803096,0.0130599750718905,0.0124061510102922,0.457530665156525,282.913201725344,217.371817183459,83.9964616977316,121.805478570106,39.1707472884486,182.728835202258,13.5046798724723,49.6442913516755,13.1563253120217,1.59077651374528,0.485958206046487,83.6040455133662,1.04499105562194,0.802902103244807,0.310256116161146,0.449910555093435,0.144684236397686,0.674941986538865
"8",4,1.0621163840252,0.0948645061642198,2.70011611791503,4.75470571315737,1.11984426516018,66.2056570667405,165.219676835188,0.0568834157473962,0.250936286062927,0.171613223164928,0.013521295078453,0.0125373033724721,0.472083839916041,266.471390113909,206.810920549923,77.2892470022289,115.634579498136,39.5347374374899,175.482525730002,15.1578028686361,51.8963643200527,13.2638567940428,1.56352927066712,0.49565899700484,82.842464584785,1.04536327233759,0.81131614380366,0.303204558388879,0.453632723452524,0.155094182835146,0.688415320146619
"9",4,0.98770936835516,0.0677603615458714,2.03361053192261,4.15520965782003,1.02104171294832,64.1602326239259,168.629905478371,0.068502537512903,0.28024999647309,0.192238327736111,0.0141385136887897,0.0127092780010271,0.490557355578985,247.910923558578,194.397044510883,69.8104928780645,108.606751484122,39.8047510714179,166.557337425833,16.9825273409299,54.4797710385541,13.4202524093128,1.53553804255324,0.505889647128331,81.7059269998931,1.04581591973181,0.82006682472891,0.29449660292582,0.458159197110219,0.167916934655017,0.702624606159881
"10",4,0.905289563387284,0.048400258247051,1.52103101138927,3.60051795559836,0.913489269411079,61.6999079758955,172.265053806357,0.0835676889223197,0.318737311298769,0.220969993717318,0.0149621686356589,0.0129312427152049,0.51404073306731,227.355932142544,180.196267668892,61.7264735107535,100.864369127105,39.9648679182153,155.949755347244,18.9996098119321,57.4352738628559,13.6396984638634,1.50914970020909,0.516795407131548,80.164526560365,1.04642362205384,0.829367544174941,0.284100966176843,0.464236219761299,0.183941458873669,0.717771057526488
