"","convergence","mu","x_C","x_W","C","AA","NT","ADP","ATP","LIP","rRNA","mRNA","tRNA","DNA","TC","p","tau tC","tau FERM","tau ATPS","tau ADPS","tau EAA","tau ENT","tau LIPS","tau rRNAp","tau mRNAp","tau tRNAp","tau DNAp","tau tRNAc","tau r","v tC","v FERM","v ATPS","v ADPS","v EAA","v ENT","v LIPS","v rRNAp","v mRNAp","v tRNAp","v DNAp","v tRNAc","v r","p tC","p FERM","p ATPS","p ADPS","p EAA","p ENT","p LIPS","p rRNAp","p mRNAp","p tRNAp","p DNAp","p tRNAc","p r","f tC","f FERM","f ATPS","f ADPS","f EAA","f ENT","f LIPS","f rRNAp","f mRNAp","f tRNAp","f DNAp","f tRNAc","f r"
"15",4,0.419220653034195,0.0363313470556417,0.001,7.33689110990844,3.46735636317623,9.72375495126258,2.33885180738103,12.6408354048807,35.9170645335203,42.2104599157166,8.93410507214466,1.72415739324734,11.1011201470937,11.5281353344677,153.077268221309,0.293686092126598,0.000696193426464929,0.00579707489326215,0.222143009837183,0.243578285754533,0.0425543035372392,0.0582647011704831,0.346922879491223,2.42846015643856,0.346922879491223,0.242846015643856,0.000536126586867128,0.00889268689685234,125.766196016786,4.55068068501396e-16,799.539015016478,6.2797942553723,86.6554280765901,125.615667120032,83.6509736045205,17.6954965707404,3.7453613626206,5.50476289126884,4.65381883747567,6422.40242686718,6417.31523484278,36.9357826297975,3.16815397884763e-19,4.63498755013557,1.39501239704666,21.107380622221,5.34548722765863,4.87389897968736,6.13897262434833,9.09546084058856,1.90972819315542,1.13016136220929,3.44322069260346,57.0671751018572,1.00000000084703,3.61836553302537e-18,6.35734435020198,0.0499322907075387,0.689020029980264,0.998803106119755,0.66513082469482,0.140701533052389,0.0297803502404822,0.0437698131157343,0.0370037338236456,51.0662056714344,51.0257560737696
"16",4,0.413549280905402,0.0337966019122248,0.001,7.10222786556535,3.42875702243841,9.61495583489176,2.31102175553879,12.6147764547808,36.3649207248032,41.9385738584184,8.91411559945979,1.71706760573613,10.9949824936866,11.469566396201,153.529034633887,0.30488622196754,0.000711788077550528,0.00583728432089281,0.22263984385243,0.247211863436518,0.0434484409969431,0.0593137327641981,0.349474312014151,2.44632018409906,0.349474312014151,0.244632018409906,0.000540329512002886,0.00893824032516666,124.064784373108,1.04230767380085e-16,790.906515842657,6.17255311681677,85.5243434746075,123.141514107457,83.5482600884685,17.343667061347,3.68642609606422,5.40339426237449,4.54696710383159,6354.17506176334,6349.18218709445,37.8256433867344,7.4190217535087e-20,4.61674620422031,1.37425626209891,21.1426323195425,5.35030680997211,4.95555917180114,6.06116611406675,9.01817856599141,1.88834749238454,1.11233374025377,3.43334831030349,56.7505162565174,1.00000000081802,8.40131774637095e-19,6.37494773787773,0.049752660701065,0.689352292648696,0.992558160886801,0.673424457866726,0.139795246194728,0.029713718664866,0.0435530057469378,0.0366499416456221,51.2165889705805,51.1763448779623
"17",4,0.407715786542571,0.0314386994532324,0.001,6.87068069251862,3.38953277551709,9.50353333301588,2.28242405661598,12.5874773801605,36.8207834298567,41.6568495955438,8.89305423126381,1.70965476952034,10.8857217162763,11.4089243060313,153.991364156153,0.316791945492642,0.000728369839763468,0.00587958834930089,0.223157486182189,0.251033045617928,0.0443940267682183,0.0604199154155794,0.352160495858254,2.46512347100778,0.352160495858254,0.246512347100778,0.000544725556919073,0.00898621564291448,122.314736143174,4.96500840792145e-16,781.943487179616,6.06269356010585,84.3583384289132,120.614958409642,83.4023037623206,16.9841551977327,3.62583860066547,5.29968759087708,4.43828059163513,6283.36743529213,6278.47101576893,38.7483232252154,3.61636237850202e-19,4.59750581703298,1.35293545436617,21.176730619078,5.35458369228518,5.03916013878387,5.98114851616711,8.93813983658644,1.86634060989711,1.09409096573581,3.42271082551667,56.4196944554879,1.00000000147491,4.05920706842113e-18,6.3928804736791,0.0495663381225884,0.689682545319716,0.986103247987659,0.681866359812161,0.138856165318479,0.0296435141042127,0.0433282837849572,0.0362857390542543,51.370486032072,51.3304547187175
"18",4,0.401721851819319,0.0292453018169604,0.001,6.64248906817323,3.34979750307204,9.3895068808599,2.25303823149861,12.5587116427675,37.2842589971027,41.3654201486197,8.87087014282307,1.70189047954565,10.7733752942343,11.3461079712756,154.464533905999,0.329452975442273,0.000746010110797814,0.00592410251614473,0.223696230543185,0.255052668044905,0.0453936405912497,0.0615865559505165,0.354988538660753,2.48491977062527,0.354988538660753,0.248491977062527,0.000549318700772353,0.00903673333593407,120.516555652641,6.60235153220061e-17,772.648928530599,5.95020358817476,83.1578326321853,118.038254151332,83.2105642668178,16.6173931833877,3.56362238102359,5.19368736856527,4.32790027354431,6209.97573327591,6205.17786011258,39.7045378498169,4.9254209980631e-20,4.57725146160465,1.33103811363923,21.2096270816705,5.35818608496416,5.12465207189242,5.89898412252196,8.85531570964823,1.8436994892278,1.07544849550248,3.41125580163096,56.0745376238793,1.00000000088656,5.47837722568477e-19,6.41114347345412,0.0493724995808871,0.690011693875417,0.979436008743861,0.690449240687087,0.137884733828732,0.0295695671427436,0.0430952191177725,0.0359112509807811,51.5279888738286,51.4881779686662
"19",4,0.395569673065963,0.0272049319227538,0.001,6.41776611873733,3.30950212133374,9.27298870027882,2.22296775076303,12.5289017661957,37.7549780944802,41.0639087652014,8.84752312558579,1.6937722279259,10.6578446452653,11.2810473405176,154.948798930405,0.342920732440441,0.000764783045250397,0.00597088597850905,0.224259059422376,0.259282767755236,0.046451438544588,0.0628172340046634,0.357967040538627,2.50576928377039,0.357967040538627,0.250576928377039,0.000554120677686509,0.00908991218346085,118.670901756295,1.11641464559716e-16,763.023206836874,5.83539220193514,81.9233306156408,115.414210501828,82.9706907858119,16.2436369650613,3.49981183023152,5.08547207995351,4.21592012191544,6134.00187896884,6129.30457348639,40.6947125496362,8.53814992421941e-20,4.55592456697931,1.30863956656664,21.2413079057506,5.3611561062978,5.21198929862091,5.81468665196683,8.76972098317038,1.82043139020278,1.05641231443252,3.39897727810453,55.7148403186762,0.99999999862229,9.40765282420926e-19,6.42974136450577,0.0491728983898626,0.69034050715325,0.972556950648591,0.699166261008893,0.136879695884005,0.0294917437519526,0.0428535723389954,0.0355261488175511,51.6891822657157,51.6495996434682
"20",4,0.389261985639006,0.0253069134165152,0.001,6.19645326355648,3.26853213411813,9.15397771381936,2.19214495077082,12.4977131882524,38.2325628825319,40.752646324699,8.82300158920321,1.68532918675623,10.539357479835,11.2138552945488,155.444425447773,0.357247101493765,0.000784798988397958,0.00602013214659957,0.22484523341471,0.263739305271544,0.0475735447855976,0.0641173043142666,0.361101883931056,2.52771318751739,0.361101883931056,0.252771318751739,0.000559151215330488,0.00914583923426061,116.778595479891,8.65018861220483e-18,753.067570157758,5.71820334795148,80.6554690805988,112.746103917836,82.6804630206806,15.8634560283965,3.43445911790935,4.97521345296346,4.10257121995988,6055.45544176685,6050.86057063146,41.718814751704,6.78865927230989e-21,4.53356628766834,1.28571076648293,21.2720173816676,5.36373182413681,5.30124840834145,5.72832385751144,8.68132760432881,1.79655895082424,1.03701233754219,3.38591526964355,55.3401980079217,0.999999998186221,7.40734084098899e-20,6.44867807920789,0.048966193796744,0.690669969122862,0.965468913631126,0.70801042375059,0.135842154415663,0.029410005297344,0.0426038129975304,0.03513119159945,51.8541553432737,51.814808482591
"21",4,0.382802083381357,0.0235413148060607,0.001,5.97881013798427,3.22701756002826,9.03257288782012,2.16061399413183,12.4651943038706,38.7165360740439,40.4314558983658,8.79725680752291,1.67653601721867,10.4178646439199,11.1444686200223,155.951672370509,0.372494292833655,0.00080614356039207,0.00607193773995155,0.225456232246208,0.268435185225996,0.0487631488867651,0.0654905199139434,0.364402387877276,2.55081671514093,0.364402387877276,0.255081671514093,0.000564412705680444,0.00920466388996039,114.840624752355,2.40347754167173e-18,742.783881391734,5.59878988761161,79.3549969138475,110.036863419712,82.3376148358526,15.4772455520358,3.36760823396059,4.86300069874683,3.98798029007752,5974.35316776685,5969.86250902377,42.7774773057036,1.93754794276562e-21,4.51013748205016,1.26228207319908,21.301673295177,5.36574395396807,5.39233320407401,5.63994523692481,8.59015137323291,1.7720890668722,1.01726067835823,3.37200083610982,54.9505778648394,0.999999997718124,2.09288093074224e-20,6.46795401277684,0.0487526943266743,0.691001088716578,0.95817018938993,0.716972890260073,0.134771519661219,0.0293241893584097,0.0423456481374666,0.0347262154797331,52.0229941888365,51.9838907901698
"22",4,0.376193840926803,0.0218988974940099,0.001,5.76495142271094,3.18498150050761,8.90885315060332,2.12839572345023,12.4313309818632,39.2064218761573,40.1003361349379,8.77025277267284,1.66738893240534,10.2934145393071,11.0728812905542,156.470790826737,0.388726610571414,0.000828923027815026,0.00612643704421603,0.226093149199986,0.273386006238849,0.0500251757780418,0.0669416841702543,0.367877420610578,2.57514194427405,0.367877420610578,0.257514194427405,0.000569915548334736,0.009266519623262,112.858151958994,3.47116428000092e-18,732.175257865732,5.47727951211639,78.0227822079454,107.289916754456,81.940080192157,15.0854994730582,3.29931507645074,4.74896329759107,3.87231915179375,5890.71956859944,5886.33477939647,43.8709668863734,2.87732800502173e-21,4.48562562264704,1.23837537394296,21.3303368234737,5.36719694485316,5.48520696910869,5.54961463477088,8.49620464074403,1.74703636849211,0.997177146939978,3.35721267302451,54.545836742367,0.999999997173027,3.07568767513511e-20,6.48757084080131,0.0485324223510446,0.691334924709081,0.95066164551528,0.726044849558469,0.13366778711646,0.0292341759089095,0.0420790452593214,0.0343113817976905,52.1957824906337,52.1569302755791
"23",4,0.36944173092482,0.0203710674362883,0.001,5.55497883405735,3.1424424680055,8.78290329375892,2.0955133760554,12.3961144210759,39.7017222002474,39.7593090532688,8.74195366365557,1.65788559825799,10.1660653207744,10.999091540517,157.002019216271,0.406013094474374,0.0008532542014416,0.00618377302471333,0.226757153355638,0.278608658992365,0.0513650622358073,0.0684760071852809,0.371536373811361,2.60075461667953,0.371536373811361,0.260075461667953,0.000575671105071759,0.00933154542934743,110.832518902812,5.84056647783522e-16,721.245926876777,5.35381205729042,76.6598129950612,104.508933782574,81.4859609464208,14.6887479570145,3.22964249316548,4.63324161171613,3.75576876880167,5804.58716686597,5800.3097737951,44.9994539681201,4.98348788601187e-19,4.46002110680498,1.21401518171227,21.3580876971595,5.36810788793979,5.57983324726663,5.45740415177819,8.3995076243245,1.72141778740892,0.976783296464173,3.34153310883508,54.1258541584569,0.999999996619817,5.26972274555502e-18,6.50752984393768,0.0483054259904376,0.691672565911449,0.942944674215678,0.735217077782359,0.132531030177563,0.0291398455455186,0.0418039907594068,0.0338868844025813,52.3725997090746,52.3340064054237
"24",4,0.362550838716705,0.0189498301732914,0.001,5.34899131817424,3.09942584272697,8.65481613910349,2.06199261327762,12.3595359533998,40.2019071395469,39.4084136335657,8.71232380316189,1.64802340557415,10.0358826410278,10.9231014203282,157.545584885523,0.424428185468689,0.000879264597344289,0.00624409645294643,0.227449463569793,0.284121321781531,0.0527886544374986,0.0700990793500661,0.375389205466539,2.62772443826577,0.375389205466539,0.262772443826577,0.000581690858592371,0.00939988773826304,108.765251178287,1.37843477699484e-16,710.001258385508,5.22853727742583,75.2672021070891,101.697800185939,80.973528619188,14.2875534153441,3.15866030200786,4.51598574838785,3.63851766876705,5715.99700372164,5711.82839363603,46.1630381996466,1.21200889915973e-19,4.43331633907245,1.18922799900517,21.3850169494638,5.3684900310693,5.67616980793131,5.36339332464675,8.300088867766,1.69525230198553,0.9561021797281,3.32494320480626,53.690545680402,0.999999995984706,1.26734849276494e-18,6.52783170951185,0.0480717618889248,0.692015151801486,0.935021053837221,0.744479761843462,0.131361378778552,0.029041079343873,0.0415204827031776,0.0334529421367593,52.5535216334914,52.5151949618411
