"","convergence","mu","x_C","x_W","C","I","AA","NT","ADP","ATP","RNA","DNA","p","tau tC","tau FERM","tau RESP","tau ADPS","tau EAA","tau ENT","tau RNAp","tau DNAp","tau r","v tC","v FERM","v RESP","v ADPS","v EAA","v ENT","v RNAp","v DNAp","v r","p tC","p FERM","p RESP","p ADPS","p EAA","p ENT","p RNAp","p DNAp","p r","f tC","f FERM","f RESP","f ADPS","f EAA","f ENT","f RNAp","f DNAp","f r"
"1",4,0.740270190336245,1,0.001,10.8701640437913,14.743762709352,11.2832238002604,6.71391966920034,3.84071298009486,17.1274266320154,43.6603832026954,6.49915747624844,139.261250222108,0.0212057685125289,0.00783609215264527,0.292814071422149,0.108207508582644,0.222025185776339,0.0126560986421686,0.349448797615427,0.16128406043789,0.150026466465239,368.01039937446,899.908852421942,1.17553585783817e-16,15.5220887016539,140.255494447936,172.526395265435,32.3204801836127,4.81113254196767,515.454761041916,7.80394333933811,7.05176869655959,3.44213440636323e-17,1.67960654640477,31.1402522109553,2.18351107685712,11.2943529385167,0.77595899167341,77.3318564218028,1.95720408436118,4.78602040732234,6.25189827837665e-19,0.0825517307563398,0.745926275600376,0.917553868172173,0.171891272451557,0.0255872341584584,2.74136319334858
"2",4,0.738301314000296,0.769230769230769,0.001,10.6065370972888,14.7625187142401,11.30118208122,6.72525845161427,3.88132417073708,17.0819968612207,43.6893419108224,6.49924212928922,139.452599369344,0.0221712690368927,0.00790494479259302,0.295388747229276,0.108781685566925,0.222003343310536,0.0126608518911983,0.349311839068174,0.161220848800695,0.14998829553885,367.226248396509,898.48857030147,7.93713149257284e-15,15.4772474637044,140.050121015541,172.14614419207,32.2558985405684,4.79839900406032,514.790186775719,8.1418719506078,7.10250254500896,2.34453932818512e-15,1.68364106703818,31.0915950964952,2.17951683525666,11.2673672400024,0.773601960319016,77.2125026746161,1.95824198611915,4.79120991512772,4.23249269516336e-17,0.0825327599683374,0.746820327607898,0.917973071852558,0.172005283113474,0.0255875674381465,2.74512990884536
"3",4,0.735778955869676,0.591715976331361,0.001,10.2836668533769,14.7851892663692,11.3236080275409,6.73938751094549,3.93300413895441,17.023887036712,43.7239417145331,6.49900443469177,139.688311865501,0.0234030332415773,0.00799360632577076,0.298704171045163,0.109515454234141,0.221980337778324,0.0126673478893268,0.349148839928001,0.161145618428308,0.149945700336124,366.209205170706,896.606748777042,2.84510699524586e-14,15.4196395075062,139.777055688721,171.650676323014,32.1711561812258,4.78183069714991,513.898601257979,8.57040620198163,7.16712137875292,8.4984532654971e-15,1.68868882479126,31.0277580354418,2.17435883242184,11.2325218598175,0.77057106491169,77.056885667382,1.95951312930658,4.79756562982771,1.52236056132655e-16,0.0825074455734897,0.747919418547086,0.918468867412853,0.172141502813123,0.0255866316326448,2.74976991861222
"4",4,0.732559567831545,0.455166135639508,0.001,9.89436858993454,14.8120681359681,11.3513499926293,6.75679411562111,3.9983769032428,16.9499152644491,43.7642468747779,6.49816875462771,139.974712303,0.0249684310587639,0.00810743842413214,0.302960850908235,0.110448593374464,0.221958466178499,0.0126762449080988,0.348960095229916,0.16105850549073,0.149900952840479,364.892047449004,894.10958267699,1.08514345747427e-16,15.3458718571733,139.413274549979,171.005507503252,32.0599177770603,4.76029569458652,512.699073760152,9.11078193062166,7.24893838598018,3.28755985233908e-17,1.69492996072956,30.9439565840352,2.16770769374496,11.1876319605462,0.766686110264064,76.854079677078,1.96104580030932,4.80522898315582,5.83190572359745e-19,0.0824735912113852,0.749251233275545,0.91903793098117,0.17230018454637,0.0255833415536524,2.7554077225
"5",4,0.728468902668675,0.350127796645776,0.001,9.43373991263771,14.8432002967496,11.3853031974174,6.77794194992336,4.08046068841567,16.856322762545,43.8096562293205,6.49630845110083,140.317067562227,0.0269497267107152,0.00825304120977032,0.30840561541528,0.111628096330021,0.221941607908617,0.0126884228570845,0.348749470025633,0.160961293857985,0.149858374454688,363.190017923742,890.794579403804,1.48589235284197e-17,15.251795665933,138.928282804006,170.166606254435,31.913972199665,4.73235868877066,511.08310116371,9.78787172710461,7.35176437325961,4.58257545519088e-18,1.70252891580256,30.833966469504,2.15914585631127,11.129980891046,0.761726577544601,76.5900827516547,1.9628592999529,4.81429647908858,8.0305005081862e-20,0.0824282813029947,0.750837463780698,0.919664883791142,0.172478961532758,0.025576017524019,2.76214699925644
"6",4,0.723298506374209,0.269329074342904,0.001,8.90069318537175,14.8782739938288,11.4263823435523,6.80320879486069,4.18261076546623,16.7387918497022,43.8585709798995,6.49279446098973,140.718674832826,0.0294474077329139,0.00843843005784367,0.315338231248921,0.113108131149956,0.221935671048664,0.0127050227244558,0.348526225649505,0.160858257992079,0.149825081898125,360.997784896739,886.39981702516,3.34168001803063e-15,15.1324192628048,138.282411327881,169.078555209511,31.7228388814686,4.69622853582861,508.908036627704,10.630448962533,7.47982285925224,1.05375946628564e-15,1.71159966259345,30.6897997522807,2.14814688615499,11.0562413022456,0.755427141406082,76.2471882663597,1.96495791034497,4.8247895279749,1.8189199103117e-17,0.0823677268313717,0.752689155912745,0.920316573753104,0.172671539290943,0.0255621829172824,2.77005265418948
"7",4,0.716802990572908,0.207176211033003,0.001,8.29936780469662,14.9165501388457,11.4755111513499,6.83280843023001,4.30840893925199,16.5925270712122,43.908051720122,6.48674381599898,141.180032344913,0.032585054590325,0.0086732082018162,0.324117866841878,0.114949482213676,0.221948899587343,0.0127274677214849,0.348307020683738,0.160757086469418,0.149811674639256,358.186909579642,880.594744793427,1.71810774546214e-14,14.9818534380737,137.425335657892,167.672967378671,31.4734227832134,4.64971736638839,505.991346970068,11.6715400021924,7.6375815630186,5.56869417463697e-15,1.72215629530775,30.5014020246903,2.13405228007763,10.9624141203407,0.747475016726851,75.8034110425588,1.96732533475805,4.83662664590401,9.43662876864613e-17,0.0822871496474967,0.754802415293979,0.920936158904417,0.172866345354811,0.025538361480311,2.7791344949786
"8",4,0.708698504371139,0.159366316179233,0.001,7.639922459333,14.9568772780402,11.5336544733376,6.8667049963729,4.46151106378076,16.4124021941624,43.9535349805365,6.47697759783939,141.698414496452,0.036516687298321,0.00896875555424605,0.335170166572249,0.117218701506337,0.221991901712003,0.0127574543289435,0.348117807341752,0.160669757234655,0.149832698508028,354.604437947889,872.97509081862,1.90052663058457e-16,14.7933111062772,136.29521985365,165.867555407573,31.1498045025308,4.59022433643415,502.107272126985,12.9489793751399,7.82950019449795,6.36999827348025e-17,1.73405271885709,30.2564350495672,2.11604776276562,10.8438016425452,0.737510229787479,75.232087523291,1.96992156149754,4.84960781654569,1.05579287429533e-18,0.0821807608580437,0.757156040890296,0.921438196434202,0.173045413309199,0.0254999118025173,2.78933886804039
"9",4,0.698662966390302,0.122589473984026,0.001,6.93829141025551,14.9978313105454,11.6019180082242,6.90454200142824,4.64545050670638,16.1931765626727,43.9886682094146,6.46199348186455,142.268128687232,0.0414377262785218,0.00933847650375507,0.348996536127628,0.119986787169727,0.222077313566999,0.0127969007144308,0.347995309291572,0.160613219673033,0.149906754270394,350.073259917108,863.064331646847,2.46597089284621e-17,14.5591770037937,134.818870139692,163.566268723535,30.7332534187484,4.51475553483428,496.987364057094,14.506239921875,8.05970598231315,8.60615299794884e-18,1.74690887252058,29.9402124987609,2.09314130108499,10.6950280289936,0.725129422486381,74.5017626591975,1.97268389348989,4.86341946393874,1.38958944287389e-19,0.0820418388558236,0.759712449120077,0.921705770687993,0.173183733107931,0.0254409192199392,2.80055371431559
"10",4,0.686338896784187,0.0942995953723274,0.001,6.21438785221632,15.0379699482616,11.6817418772413,6.9455975032424,4.86357957295691,15.9296558203571,44.0053321118122,6.43996063252049,142.881773714052,0.0476000857173502,0.00979834899358681,0.36619470150971,0.123330622305685,0.222219287644254,0.0128478954414911,0.347987896964136,0.160609798598832,0.15005630670252,344.394982135842,850.324515082907,3.49812687226457e-15,14.2712062404211,132.913356043216,160.661097420372,30.2025710942429,4.41999547585771,490.326594707351,16.3932306702914,8.33177635658479,1.28099552583202e-15,1.76007674668391,29.5359112983306,2.06415698117215,10.5101291979954,0.709894583185254,73.5765978798084,1.97553389847679,4.87766951142606,2.00661118070687e-17,0.0818631314697402,0.762423537054085,0.921591372069511,0.173249339022883,0.0253541757185846,2.81263334082779
