"","convergence","mu","x_C","x_W","C","AA","NT","ATP","RNA","DNA","p","tau tC","tau tC2","tau RESP","tau FERM","tau EAA","tau ENT","tau RNAp","tau DNAp","tau r","v tC","v tC2","v RESP","v FERM","v EAA","v ENT","v RNAp","v DNAp","v r","p tC","p tC2","p RESP","p FERM","p EAA","p ENT","p RNAp","p DNAp","p r","f tC","f tC2","f RESP","f FERM","f EAA","f ENT","f RNAp","f DNAp","f r"
"1",4,0.966004252548562,1,0.001,37.9381298155472,15.1015328038911,6.0716416907629,14.8652009905856,41.5018639852248,8.32312483368108,130.198508076132,0.0354838709677419,10.1,0.488302685824723,0.119071916593954,0.257989152620234,0.0586338983227804,0.287406974059845,0.215555230544884,0.514684355269242,272.302160888096,1.17074415567565e-11,2.32044404246087e-13,53.8741572391935,127.78322613788,53.9963827754757,40.0909770984192,8.04017398382846,125.772312477022,9.6623347411905,1.18245159723241e-10,1.13307905823962e-13,6.41489915735482,32.9666862303914,3.16601841745517,11.5224264149592,1.73310155670512,64.7330415579578,1.10978367714178,4.77143754511707e-14,9.45710791881024e-16,0.21956733699369,0.520788149891379,0.220065474447515,0.163393165296161,0.0327682080066184,0.512592551480836
"2",4,0.964054487480153,0.769230769230769,0.001,37.8401942749651,15.0910199197765,6.055739324949,14.8415360837238,41.4733746729252,8.30697006103539,130.391165204452,0.0364516129032258,10.1,0.488371955256975,0.119141186026206,0.258139236390113,0.0586680082704802,0.287695191735245,0.215771393801433,0.514956561922052,271.748307635169,9.83952269171597e-12,2.17354985907836e-13,53.7569365138482,127.682334623119,53.8290274003109,39.9825929643793,8.00837176470445,125.704187943118,9.90566411702392,9.93791791863313e-11,1.06150079452662e-13,6.40466517339533,32.9598203601188,3.15804182471334,11.5027997489593,1.72797753775032,64.7321964423915,1.10976634703144,4.01826647942862e-14,8.87634778001434e-16,0.21953269767062,0.521429403951903,0.219827102594132,0.163281002649312,0.0327046065395094,0.513351044112016
"3",4,0.961535832774736,0.591715976331361,0.001,37.7142762369455,15.0773737438119,6.03528401489484,14.8110129452354,41.4364168948919,8.28612170482905,130.639514349447,0.0377096774193548,10.1,0.488461545227124,0.119230775996355,0.258333347992102,0.0587121245436595,0.288068769202238,0.216051576901679,0.515309940570342,271.03287850793,0,0,53.6055541777252,127.550551919767,53.6131444014506,39.842599626231,7.96740293392562,125.614574223283,10.2205624185732,0,0,6.39143182232481,32.9505611156738,3.14774161127517,11.4774086361459,1.72136996768569,64.7304387777687,1.10974395381983,0,0,0.219487908505355,0.522255656135097,0.219518986671716,0.163135499586189,0.0326225263969648,0.514328796651367
"4",4,0.958288306389958,0.455166135639508,0.001,37.5528466171984,15.0597121988829,6.00901938032683,14.7717504003837,41.3884547454553,8.25926816874674,130.958948479142,0.0393451612903226,10.1,0.488577280345864,0.119346511115095,0.258584107416039,0.0587691153218271,0.288552860282535,0.216414645211902,0.515768499887926,270.110468381664,0,0,53.4104771361352,127.378332148006,53.3352053126064,39.6620722021197,7.9147601054488,125.496428944687,10.6275399446811,0,0,6.37435410319029,32.9380123226358,3.13446283172989,11.4446043786541,1.71287000015801,64.7271048980926,1.10971513873399,0,0,0.219430277545653,0.523317975709097,0.219121032655625,0.162946672226202,0.0325168038139635,0.515586411335204
"5",4,0.954110891002357,0.350127796645776,0.001,37.3468898243804,15.0368660700888,5.97544971308592,14.7213628711885,41.3262798627168,8.22478163394075,131.368369725068,0.0414712903225806,10.1,0.488726391247183,0.119495622016414,0.258907181035563,0.0588425411444461,0.289179231857056,0.216884423892792,0.516363299037249,268.923977903403,0,6.10627225341991e-15,53.1596237491797,127.152830743136,52.9784490845807,39.4298537016295,7.84735373305903,125.339992287912,11.1526243623353,0,2.98429640238671e-15,6.35234230606675,32.9207809683975,3.11738657002839,11.4022948056733,1.70196879347746,64.7209719190895,1.10967795096128,0,2.51966958655529e-17,0.219355904281066,0.524678735522245,0.218608311849384,0.162701889223295,0.0323810300548848,0.517198306004206
"6",4,0.948753542657612,0.269329074342904,0.001,37.0852738170467,15.0073607658034,5.93270647145208,14.6569781959952,41.2457206526203,8.18063324107486,131.891326237286,0.0442352580645162,10.1,0.488918186989427,0.119687417758658,0.259322738477092,0.0589369860175209,0.289989080544971,0.217491810408728,0.517134269274536,267.402495537469,0,0,52.838192578899,126.85741340459,52.52210463963,39.1320235886397,7.7614047686524,125.132363013436,11.8286183971956,0,0,6.32406682880309,32.8970118401987,3.09549454675664,11.3478595403337,1.68804197444915,64.7102331095494,1.10963035512206,0,0,0.219260715115936,0.526415568422681,0.217949056555698,0.16238472697882,0.0322072174845467,0.519257189910576
"7",4,0.941909286659681,0.207176211033003,0.001,36.7552306984426,14.9693388859953,5.87863606539849,14.5750603421419,41.141530177832,8.12437074097803,132.555833132847,0.0478284161290323,10.1,0.48916404287994,0.11993327364917,0.259855426239869,0.059058051418152,0.291034169800929,0.218275627350697,0.518132537140908,265.458900565421,3.28476772514747e-13,1.61880739112556e-14,52.4278834255252,126.46977251774,51.9411514939743,38.7515893418895,7.65242024919341,124.855570228739,12.6964787613984,3.31761540239895e-12,7.91862368086906e-15,6.28784768972031,32.8638566440566,3.06754319564916,11.2780366325834,1.67033683064387,64.6917333787915,1.10956946338213,1.37297259740161e-15,6.76631766523703e-17,0.219138926420681,0.528620427974634,0.217104476315782,0.161974528259181,0.0319857115786537,0.521873358790734
"8",4,0.93320761862559,0.159366316179233,0.001,36.3420762262908,14.9204812827196,5.81072266111711,14.4714711683202,41.0070236066661,8.05306049406362,133.395164534188,0.0524995216129033,10.1,0.489478103981071,0.120247334750302,0.260535891958987,0.0592127027179515,0.292380343909638,0.219285257932229,0.519423383368611,262.988160636146,5.80097589007132e-12,5.33786564995226e-13,51.9068510602166,125.960752254601,51.205854910288,38.2680668469002,7.51517740631293,124.485383831118,13.8067526232551,5.85898564897203e-11,2.61276835764432e-13,6.24166049527191,32.8172969404773,3.03203706422144,11.1888305454537,1.64796761594979,64.6606192494996,1.10949207714605,2.44731046986333e-14,2.25193393997908e-15,0.218984154501877,0.531402084108222,0.216026798274988,0.161444974829394,0.0317049625750536,0.525177813126723
"9",4,0.922211195823825,0.122589473984026,0.001,35.8298681563892,14.8579128940303,5.72617940031159,14.3414301005633,40.833832727466,7.96329175101887,134.447484562951,0.0585719587419354,10.1,0.489877516847085,0.120646747616316,0.261401286502018,0.0594093832959133,0.29411035325021,0.220582764937657,0.521089834053039,259.866368317958,1.03807816174261e-14,7.25302461800145e-15,51.2494499085895,125.292211580324,50.2820012703307,37.6574177096665,7.34383680840111,123.988975514305,15.220882203536,1.04845894336004e-13,3.55309368949733e-15,6.18307944859663,32.7515452957798,2.98722268635467,11.0754364250807,1.61992382844806,64.6093946751553,1.10939440216374,4.43165504293575e-17,3.09638563929957e-17,0.218788807534318,0.534884444884592,0.214658676688175,0.160763120974276,0.0313515423268459,0.52932080536595
"10",4,0.908418634189443,0.0942995953723274,0.001,35.2021969812839,14.7781862403637,5.62208242446212,14.1796573643839,40.61168526919,7.8512326342893,135.754959535122,0.0664661270096774,10.1,0.490382815086181,0.121152045855412,0.262496099353392,0.0596582043984982,0.29632739326842,0.222245544951315,0.52323603842593,255.951631960846,0,0,50.4265969375235,124.414881193073,49.1318221280442,36.8924116643691,7.13220602634467,123.322334925338,17.0121136782438,0,0,6.10928538450721,32.6584210146974,2.93111628698552,10.932232179888,1.58510101503003,64.5266899757698,1.10927225892516,0,0,0.218544514314142,0.5392033457558,0.21293307215725,0.159888524681851,0.0309103647019264,0.534468344626464
