"","convergence","mu","x_C","x_W","C","I","AA","NT","ADP","ATP","RNA","DNA","p","tau tC","tau GLY","tau FERM","tau RESP","tau ADPS","tau EAA","tau ENT","tau RNAp","tau DNAp","tau r","v tC","v GLY","v FERM","v RESP","v ADPS","v EAA","v ENT","v RNAp","v DNAp","v r","p tC","p GLY","p FERM","p RESP","p ADPS","p EAA","p ENT","p RNAp","p DNAp","p r","f tC","f GLY","f FERM","f RESP","f ADPS","f EAA","f ENT","f RNAp","f DNAp","f r"
"1",4,0.563437095104841,1,0.001,8.53738004155029,1.82903915707255,4.36659925200982,4.38723133668101,15.932285376317,25.333278274968,40.448407413584,5.86981225069189,147.295966897238,0.0379310344827586,0.0826888048037115,0.00618715929865755,0.328763736011513,0.136437131688628,0.220962164449896,0.0242318170095564,0.344118895872084,0.158824105787116,0.133730906353515,143.113022156693,561.964024407622,3.17896218322701e-13,6.22953089287339e-14,23.2505493115439,111.36225637203,155.149345297916,22.7901331747269,3.30726996334065,414.960058546193,5.42842497835734,46.46813352095,1.96687454320337e-15,2.04804384994019e-14,3.17223825825206,24.606845205988,3.75955054441158,7.84251546486478,0.525274194524166,55.4929847298902,1.00000000000045,3.92671481559925,2.22129484467724e-15,4.35287495085912e-16,0.162462849020807,0.77814202155657,1.08410361936256,0.159245698478677,0.0231094970499681,2.89952690742595
"2",4,0.562871489700131,0.769230769230769,0.001,8.52195292254285,1.82800286320686,4.36475063340667,4.38262950850311,15.9187962001172,25.3214142036804,40.4299373543517,5.86405901014203,147.368457280601,0.0389655172413793,0.0826980416319783,0.00618839919811839,0.328846072256368,0.13646372439853,0.221006442145728,0.024260640951092,0.344322821756084,0.158918225425885,0.133774219617566,142.969358370635,561.519553760739,4.43993607736346e-16,1.53490228417452e-15,23.2129386655323,111.274980057359,154.902295100725,22.7568590671269,3.30071163072812,414.747515421711,5.57087499857992,46.4365674340755,2.74760968608529e-18,5.04746587448119e-16,3.16772406453319,24.5924874423136,3.75802896393879,7.83570592829865,0.524543234997891,55.4825252138639,0.999999999907686,3.92755175030733,3.10551584448149e-18,1.07358828599743e-17,0.162363033085817,0.778313488395296,1.08346499453999,0.159172981710046,0.0230868464966222,2.90095388347641
"3",4,0.562138311737611,0.591715976331361,0.001,8.50201483498482,1.82665939996527,4.36235280656886,4.37667004732965,15.9013162830886,25.3060284453308,40.4059757916715,5.85660583800829,147.462376544012,0.0403103448275862,0.0827100320159659,0.00619000871212009,0.328952967266226,0.136498245601385,0.221063919040956,0.0242980571473274,0.344587660930084,0.159040458890808,0.133830474556274,142.783131176271,560.94288794734,3.17042239531225e-16,7.01873789118386e-14,23.1642271968234,111.161742358252,154.582307311956,22.713747015641,3.29222251829062,414.471256976334,5.75563725327797,46.3956042212529,1.96249422480835e-18,2.30883465576882e-14,3.16187637307828,24.5738504131362,3.75604973703164,7.8268769550774,0.523596580079591,55.468885011078,0.999999999964408,3.92863556994607,2.22044604925031e-18,4.91566323914633e-16,0.162233640663068,0.778535541548406,1.08263704565784,0.1590786448491,0.0230575032992452,2.90280268787425
"4",4,0.561188724062021,0.455166135639508,0.001,8.47649345923625,1.82491951807405,4.35924090411888,4.36896110884425,15.878677716908,25.2860761742983,40.3748853233815,5.84695875950762,147.583787120855,0.0420586206896552,0.0827256004824683,0.00619209667077366,0.329091678651406,0.136543040657516,0.22113848153662,0.0243462586484047,0.344931547892146,0.159199175950221,0.133903581506585,142.54193595958,560.194654234975,2.50804200800478e-15,1.25531555700393e-15,23.1011957125332,111.014806591131,154.168218944169,22.6579303787789,3.28124732589134,414.111785932968,5.9951172168931,46.342439158657,1.55300385679269e-17,4.13113903891648e-16,3.15430750541366,24.5496457576443,3.75341933377862,7.81543499758467,0.522371870370767,55.4510512805129,1.00000000033553,3.93003399772673,1.75951167771251e-17,8.80664029834058e-18,0.1620659602016,0.778822077033243,1.08156394788698,0.158956241430636,0.0230195226752268,2.90519265985935
"5",4,0.559960203811037,0.350127796645776,0.001,8.44337850218915,1.82266764636629,4.35521555796458,4.35900385374196,15.8494165359219,25.260262245573,40.3346389885394,5.83449289388502,147.740923860447,0.0443313793103448,0.0827457765304374,0.00619480496511543,0.329271620063138,0.136601134712657,0.221235196663028,0.0244092152824248,0.345377802251565,0.159405139500722,0.133998388933969,142.229891815392,559.225856106994,3.05021846540698e-15,8.5817721428234e-16,23.0197841090922,110.82454987466,153.633321239843,22.5857926686671,3.26708382999391,413.645189180635,6.30524728333746,46.2735777194719,1.88955084941899e-17,2.82573401648017e-16,3.14452863014238,24.5182910866119,3.75006881269726,7.80063143401375,0.520789953680732,55.4277889404921,1.00000000033318,3.93184477014978,2.14456920939117e-17,6.03373315984902e-18,0.161849129061004,0.779193097154499,1.08017603986116,0.158797791293462,0.0229704444641143,2.90828590276471
"6",4,0.558373075269666,0.269329074342904,0.001,8.40087000540485,1.81975779478965,4.35000805060583,4.34616665739027,15.8116404166067,25.2268816597262,40.2825542294073,5.81840948697017,147.943711782996,0.0472859655172414,0.0827719228540758,0.00619831452924888,0.329504867478058,0.136676424149022,0.221360525706318,0.024490800752927,0.345956683484142,0.159672315454219,0.13412138870762,141.826761165341,557.971894973375,1.60827892622339e-15,1.69114471368975e-14,22.9148057762841,110.578275238552,152.943488328187,22.4926936847912,3.24884319841773,413.038926575402,6.70641533788634,46.1844066454787,9.96861863549525e-18,5.57240414770559e-15,3.13191371357186,24.4776651385039,3.74570849910326,7.78149770981508,0.518750316039051,55.3973544225976,1.0000000003303,3.93417920971342,1.13397423274701e-17,1.19240170215606e-16,0.161568984552492,0.779671441175795,1.07838243729196,0.158592733186643,0.0229071239644495,2.91227779100385
"7",4,0.556326409782751,0.207176211033003,0.001,8.34650157573758,1.81600420306605,4.3432810075404,4.3296565719229,15.7629704356384,25.1837836801327,40.2152387487833,5.79770446058832,148.204859399516,0.0511269275862069,0.08280577453616,0.00620285833768773,0.329806965038293,0.136773911212082,0.221522788352869,0.024596431254591,0.34670714135679,0.160018680626211,0.134280867437485,141.306908130952,556.350948113026,6.79764173799983e-15,2.4271672698378e-15,22.779760709484,110.259898524163,152.05592366749,22.3727993916668,3.22541610754054,412.251386710449,7.22458805944199,46.0690711724261,4.21648087311664e-17,8.00496670905486e-16,3.11567696871144,24.425080164577,3.74003307334074,7.75680932123372,0.516126829999165,55.3574738097854,1.00000000032648,3.93718152674517,4.81055160722899e-17,1.71765648455128e-17,0.161207693369178,0.780286682502318,1.07606857816335,0.158327711609383,0.0228256081125525,2.91741849211645
"8",4,0.55369334974172,0.159366316179233,0.001,8.27728426750194,1.81117316791438,4.3346070876775,4.30848832630047,15.70042795497,25.1282508471373,40.1283886260259,5.77112498212146,148.540254821938,0.0561201782758621,0.0828495511028749,0.0062087341347965,0.330197812190453,0.136899996375776,0.22173261726672,0.0247330379202693,0.347679259793458,0.160467350673904,0.134487483239148,140.638110879571,554.259156367691,5.6056179448224e-15,1.55657172476337e-15,22.6065679314675,109.848996735233,150.917379360451,22.2188219180818,3.19543352312896,411.228756319238,7.89263585494199,45.9201222997213,3.48037914806467e-17,5.13976578034384e-16,3.09483906788664,24.3571055502266,3.73264526654971,7.72502355796135,0.512762751711082,55.3051204729394,1.00000000032121,3.94103101271275,3.98584559445845e-17,1.10679225960042e-17,0.160742829929556,0.781075599519264,1.07309020623975,0.157985781992228,0.0227209644965412,2.92402076421138
"9",4,0.550316059702858,0.122589473984026,0.001,8.18967471770563,1.8049732260743,4.32344952977069,4.28145439415901,15.6203254205709,25.0568788628407,40.016583482608,5.73712702967656,148.969533416543,0.0626114041724137,0.0829060774925275,0.00621632096377441,0.330702793093913,0.137062832391313,0.222003548351394,0.0249094514895006,0.348937247634045,0.161047960446483,0.134754899426701,139.780279208523,551.565664490955,7.82806509945757e-14,7.97823043926106e-16,22.3853187809753,109.319827144549,149.462495745126,22.0217685449193,3.15723314098636,409.901633227825,8.75183955685766,45.7281457225045,4.86617651835489e-16,2.63842309021051e-16,3.06819519610293,24.2693895312508,3.72302878726289,7.68421530409813,0.508465958009896,55.2362533604559,1.00000000031476,3.94594765289991,5.60026431929191e-16,5.70769387995743e-18,0.160146473556738,0.782083336776539,1.06926740051223,0.157545604262236,0.0225871142900652,2.9324711302469
"10",4,0.546000751680431,0.0942995953723274,0.001,8.07959251564294,1.79704547450367,4.30914096771931,4.24710116638438,15.5181645252846,24.9654500591739,39.8730624463715,5.69383827948167,149.516604643407,0.071049997837931,0.082978928632601,0.00622609836910492,0.331354109564536,0.137272746249579,0.222352706483099,0.025136865558107,0.350563118499271,0.161798362384279,0.135100561040501,138.684190969401,548.107220734872,2.73697817792001e-13,1.23074294004575e-13,22.1040839938552,108.640255967091,147.612474464752,21.7707220675196,3.10883998054381,408.180892620029,9.85351146853113,45.4813499523722,1.70406953698235e-15,4.07811731001699e-14,3.03428831316787,24.1564549472993,3.71051492531998,7.63201221997058,0.503005217766762,55.1454675989786,1.00000000030696,3.95219683708618,1.97353293091932e-15,8.87442852585193e-16,0.159384309387632,0.783364385234149,1.06437852417247,0.156980560812486,0.0224166861396916,2.94324024888596
