"","convergence","mu","x_C","x_W","x_CO2","C","AA","NT","ADP","ATP","LIP","rRNA","mRNA","tRNA","DNA","TC","p","tau tC","tau FERM","tau ATPS","tau ADPS","tau EAA","tau ENT","tau LIPS","tau rRNAp","tau mRNAp","tau tRNAp","tau DNAp","tau tRNAc","tau r","v tC","v FERM","v ATPS","v ADPS","v EAA","v ENT","v LIPS","v rRNAp","v mRNAp","v tRNAp","v DNAp","v tRNAc","v r","p tC","p FERM","p ATPS","p ADPS","p EAA","p ENT","p LIPS","p rRNAp","p mRNAp","p tRNAp","p DNAp","p tRNAc","p r","f tC","f FERM","f ATPS","f ADPS","f EAA","f ENT","f LIPS","f rRNAp","f mRNAp","f tRNAp","f DNAp","f tRNAc","f r"
"1",-1,-8.55175331669472e-06,0.1,0.001,0.001,47.2559939892265,0.967889408130018,-1.73553363295303e-06,0.00545266426397184,6.75790912733372,76.0964833029653,10.604880073479,5.29255368756781,0.0605510952162547,3.68087863407336,9.80383317583033,139.572506902628,-0.0334361401053281,0.0967830853821378,2.76544182690575,-183.578227749105,0.0854673174090787,0.0274764950344199,0.0208559660622168,-487595.313759426,-731392.970639139,-487595.313759426,-685681.009142759,0.0121377522448316,0.0172963281794919,-0.00288668891658592,-1.30249061675573e-05,-0.0158855956303755,-5.78386016333022e-05,-0.00135712069607201,-0.000924379460280665,-0.00361532418597188,-9.06903183415234e-05,-4.52606135514428e-05,-8.34752549820416e-05,-3.14779660672876e-05,-0.119447217474897,-0.119358964882395,9.65197350554646e-05,-1.26059060570903e-06,-0.0439306906015517,0.0106179079833281,-0.000115989465293617,-2.53987076503214e-05,-7.54010785265412e-05,44.2201742266773,33.1032945983398,40.7021431441166,21.5838435387792,-0.00144982073204483,-0.00206447182777035,1.12518404498819,0.00507689502772495,6.1919449116022,0.0225445393053258,0.528983412646171,0.360307968845053,1.4091941352401,0.0353496002449299,0.017641845625226,0.0325372867569669,0.0122695954469112,46.5585683821947,46.5241689675427
"2",4,1.05903680213141,0.0930232558139535,0.001,0.001,2.30622007517124,2.95538974169759,10.1424343524377,1.59859408064156,18.458176120448,25.6201131865288,47.3794276189352,14.2028848996962,2.4131009557685,10.6433919739008,12.6313346009603,151.648931089821,0.0254976317380204,0.00166603072655912,0.0476039374931156,0.0907509829455952,0.143899014696518,0.0168375344157999,0.029197218230094,0.162830434237528,0.244245651356292,0.162830434237528,0.174241545631062,0.000332166731722631,0.00372476036070422,817.125338651514,2497.07149696532,1.18392018165686e-17,21.2408577748466,226.004250574271,372.04655096677,150.736904107257,50.1765575123738,15.0413778052148,15.7917998881615,11.271743799871,16074.2610061721,16060.1799028011,20.8347609687415,4.1601978403592,5.63592623244311e-19,1.92762872167492,32.5217889748626,6.26434660618263,4.40109828454834,8.17027064828412,3.67379111933075,2.57138563318147,1.96400606164687,5.33933474327673,59.8203214877322,2.5719135759556,7.85956790151117,3.72640553905242e-20,0.066855900670299,0.711351579471133,1.17102178828281,0.474446540491274,0.157931425396451,0.047342949665654,0.0497049137995928,0.035477973246336,50.5939641688912,50.5496436966071
"3",4,1.04752011772238,0.0865332612222823,0.001,0.001,2.20771382599201,2.90897693494427,10.041535743753,1.5939435171354,18.4382512311907,25.8733261949696,47.1686618628083,14.1576263844152,2.41391691701693,10.5685582422676,12.5864252351363,152.041064181903,0.0262834555709256,0.00170638909538501,0.0487571928279721,0.0909108667216669,0.146252277960509,0.0172585886038455,0.0298481461663925,0.163789346967305,0.245684020450958,0.163789346967305,0.175423697755353,0.00033573495099991,0.00373777378587079,809.301460666524,2475.22712532688,1.10920466406436e-14,20.9841270010043,223.646325564552,366.432668790845,150.571276120134,49.410122227336,14.8303984568721,15.5743756124243,11.070777374096,15940.4858015137,15926.6073450463,21.2712389849137,4.22370057525897,5.40817056914718e-16,1.90768517305883,32.7087845713134,6.32411068167037,4.49427345809399,8.0928516531901,3.64359191777401,2.5509168109825,1.94207670399021,5.35177821948596,59.5300554321713,2.57529329500671,7.87646647050802,3.52962088045971e-17,0.0667739824944206,0.711669150090172,1.16603223999038,0.479135670277215,0.157228872876028,0.0471920879480506,0.0495595115515542,0.0352285274742253,50.724517622863,50.6803547273011
"4",4,1.03571197935321,0.0804960569509603,0.001,0.001,2.11242471319184,2.86237985854035,9.93806141402453,1.58898411490185,18.4184444910898,26.1266577594454,46.9513459432591,14.1108396839306,2.4146093629021,10.4918386941242,12.5400494560346,152.444364683553,0.0271062447275033,0.00174922077981324,0.0499811258278155,0.0910767234590629,0.148724910728694,0.0177053410214273,0.030537205857014,0.164792685041975,0.247189027562963,0.164792685041975,0.176661668772645,0.000339438389750418,0.00375131352684455,801.250437932627,2452.68421972709,1.02190259604506e-14,20.7219334832797,221.227904150704,360.707388225464,150.331624566218,48.6280714401904,14.6147656993796,15.352004765456,10.866523020946,15802.5169208102,15788.8454687646,21.718890458621,4.29028620346663,5.10758422366997e-16,1.88728580539376,32.9021002955094,6.3864473174802,4.59070776619794,8.01355046104196,3.61260972129018,2.5298980860767,1.91969809063669,5.36398089760353,59.2289095802349,2.5787427840476,7.89371391732139,3.28888924210772e-17,0.0666914286866386,0.711999437941736,1.16089992654367,0.483826995545285,0.15650448647753,0.0470361322797685,0.0494088609944859,0.0349727956470806,50.8587884013809,50.814788227851
"5",4,1.02361025228866,0.0748800529776375,0.001,0.001,2.02034568472486,2.81595006781641,9.83216686232514,1.58374758102506,18.3985168023531,26.3797763603783,46.7272211146719,14.0624704657423,2.41508352064983,10.4131757294373,12.4922030318871,152.859341678871,0.0279689267202129,0.00179464499313934,0.05127914338449,0.0912488111960223,0.151325620675845,0.018178400626616,0.0312667796506592,0.165842264946588,0.248763397419882,0.165842264946588,0.177957639265369,0.000343259800921221,0.00376541432795815,792.969559838098,2429.43242638795,4.77449038254933e-15,20.4540506867685,218.748922338609,354.871234313063,150.014497419806,47.8304625939372,14.3944889412402,15.124649800593,10.6590334355355,15660.2990848978,15646.8389300587,22.1785075104713,4.35996874018749,2.44831776914616e-16,1.86640780931081,33.1023164450622,6.45099146820459,4.69047023522947,7.93231225002158,3.58082197314583,2.5083061794543,1.89685642703852,5.3755511462488,58.9168314944965,2.58226396249655,7.91131983081798,1.55478786054041e-17,0.0666075479445943,0.712344442459149,1.15561964305463,0.488514377044043,0.155757403715573,0.0468749015524742,0.0492526322617301,0.0347105857647911,50.9969461842971,50.9531138929571
"6",4,1.01121320288696,0.0696558632350116,0.001,0.001,1.9313624339059,2.7696854309322,9.72333024183543,1.57826669647205,18.3780131362779,26.6312940451306,46.4951166333383,14.0122635346779,2.41527985624614,10.3320896389021,12.4426396571259,153.290661432548,0.0288740530864453,0.00184282927105039,0.0526560332542677,0.0914288159365734,0.154064009686466,0.0186799862677489,0.032040132726219,0.166946387475314,0.250419581212971,0.166946387475314,0.179321896773936,0.000347208164683705,0.00378017689424399,784.464266963395,2405.5015166461,1.84944622935262e-15,20.1800536473837,216.211877646891,348.91706973747,149.610645268895,47.016475809401,14.1693858885978,14.8920805740889,10.4479454562694,15514.1984525132,15500.9540719868,22.6506628887205,4.43292860643154,9.73845021547715e-17,1.84503841051682,33.3104688121196,6.51776607127911,4.79354493167066,7.84923078819999,3.54829168026765,2.48617905383544,1.87354539660885,5.38665637123586,58.5963484216618,2.5858848385411,7.92942414708231,6.09645992250542e-18,0.0665209327758334,0.712714447126867,1.15015992256077,0.493172111946863,0.154983722111128,0.0467075451155929,0.0490898145302847,0.0344402987963403,51.1405455289444,51.0968871441826
"7",4,0.998519496381915,0.0647961518465225,0.001,0.001,1.84542295210575,2.72322818394766,9.61189208764781,1.57245667405808,18.3578069435824,26.8828643529847,46.2561093968713,13.9604184735725,2.41534436419073,10.2491128172051,12.3915054997653,153.733838543804,0.0298228405073265,0.00189405208387717,0.0541197533210427,0.0916157554426303,0.156944497035117,0.0192134348220063,0.0328597429699902,0.168102369223605,0.252153553835407,0.168102369223605,0.180751601552125,0.000351312206702899,0.00379553352673859,775.723946820322,2380.8404880822,1.09494181083646e-18,19.9007567902453,213.612884747085,342.857541826367,149.128134305809,46.1876270595507,13.9397500235124,14.6546844814658,10.2339389685971,15363.6478827313,15350.6235039618,23.1342915437363,4.50943588783122,5.92579807033648e-20,1.82322286721837,33.5253667568517,6.5874710331142,4.90031216288307,7.76424953752676,3.51495750800586,2.4634871815588,1.84980085876063,5.39743704068865,58.2638061656284,2.5895803725119,7.94790185773055,3.65521759900173e-21,0.0664342120588019,0.713098694353992,1.14455298759378,0.497830821351569,0.154187031322904,0.0465347282452418,0.0489213765465315,0.0341637093906837,51.2880918146005,51.2446128479346
"8",4,0.985528321287102,0.0602754900897883,0.001,0.001,1.76254045104536,2.67733798670724,9.49767906148706,1.56642816268944,18.3366018660737,27.1320219683774,46.0084873275755,13.9065918378595,2.41497766667891,10.1635488224573,12.3385785909662,154.195205839435,0.0308210252021744,0.00194835534365233,0.0556715016523359,0.0918113256276353,0.159980848813753,0.0197780574682203,0.0337287749828161,0.169318992750262,0.253978489125392,0.169318992750262,0.182257126162968,0.000355527502344671,0.00381164012609004,766.756375290135,2355.48939658296,2.77179505498445e-18,19.6149997727737,210.956210673645,336.681890445256,148.552089242332,45.3426672809044,13.7053401087906,14.4120473353401,10.0164652093158,15209.1742557729,15196.3742361458,23.6322175667451,4.58933035274881,1.54309992983504e-19,1.80087913132412,33.7489536461027,6.65891377773532,5.01047999128183,7.67737475261297,3.48086157378027,2.44023333828888,1.82557216336125,5.40727973587983,57.9231098095741,2.59338522201219,7.96692611703839,9.374988673975e-21,0.0663434334292105,0.713513101271191,1.13875263035076,0.502444851266248,0.153361624425252,0.0463553061261984,0.0487455882766785,0.0338784960748575,51.4416952046923,51.3984019464784
"9",4,0.97223937806145,0.056070223339338,0.001,0.001,1.68257869930241,2.63164875240162,9.38084992044435,1.56013206024483,18.3150385123259,27.3794494605334,45.7528202013318,13.8509130232865,2.4143049508865,10.0757413185199,12.2839892970362,154.672533216437,0.0318697562557826,0.00200605895789605,0.0573204203515187,0.0920152531844776,0.163181862870988,0.0203779048143983,0.0346509213031342,0.170596203167334,0.255894304751001,0.170596203167334,0.183838840594593,0.000359884419599795,0.00382846430742615,757.555505965725,2329.41846559118,3.152258960952e-15,19.3234234763415,208.239800133556,330.399787608441,147.885438417633,44.4826934571002,13.4664030633433,14.1645448990678,9.79603247302587,15050.4443056636,15037.8727497538,24.1431093253537,4.67295077958766,1.8068880869861e-16,1.77804970356644,33.9809585096759,6.73285542258222,5.1243666884889,7.5885786104377,3.44597584939099,2.4164175793742,1.80089125226806,5.41642041366277,57.5719590820488,2.59728733156306,7.98643666760276,1.08075542988096e-17,0.0662505685752361,0.713952430620417,1.13277928277028,0.50702684186173,0.152509400671106,0.0461697100776217,0.0485632969914279,0.0335858043950664,51.6006127889775,51.5575110721458
"10",4,0.958652954544773,0.0521583472924074,0.001,0.001,1.60549756275508,2.58621944889311,9.26128691752967,1.5535710925116,18.293167461092,27.6253416558906,45.489063211161,13.7932694844649,2.41330584022137,9.98563753876078,12.2275345255439,155.166104613383,0.0329723372742938,0.00206738939538387,0.0590729815180046,0.0922283215122021,0.166557520161505,0.0210152461625858,0.0356296963953689,0.171938491612892,0.257907737419338,0.171938491612892,0.185502546033284,0.000364384211622589,0.00384604424505665,748.120019877933,2302.62067067755,2.68406346701812e-15,19.0261345524898,205.463387992492,324.013577060798,147.128418881824,43.6082248468534,13.2229585441145,13.912095798926,9.57276092954621,14887.3833707556,14875.0444632823,24.6672656170666,4.76041355615046,1.58555631580313e-16,1.75474845464144,34.2214723880107,6.80922508195262,5.24214089589004,7.49793240208382,3.41030332010227,2.39202476684139,1.77577152499877,5.42472745267603,57.2100791529685,2.60128901472722,8.00644508443265,9.33276028721183e-18,0.0661557951786787,0.7144169918093,1.12662799582378,0.511580401035011,0.15163021070387,0.0459775649482162,0.0483737649200776,0.0332854584625359,51.7649385010417,51.7220348711275
