"","convergence","mu","x_C","x_W","x_CO2","C","AA","NT","ADP","ATP","CI1","LIP","rRNA","mRNA","tRNA","DNA","TC","p","tau tC","tau CCM","tau FERM","tau ATPS","tau ADPS","tau EAA","tau ENT","tau LIPS","tau Maint","tau rRNAp","tau mRNAp","tau tRNAp","tau DNAp","tau tRNAc","tau r","v tC","v CCM","v FERM","v ATPS","v ADPS","v EAA","v ENT","v LIPS","v Maint","v rRNAp","v mRNAp","v tRNAp","v DNAp","v tRNAc","v r","p tC","p CCM","p FERM","p ATPS","p ADPS","p EAA","p ENT","p LIPS","p Maint","p rRNAp","p mRNAp","p tRNAp","p DNAp","p tRNAc","p r","f tC","f CCM","f FERM","f ATPS","f ADPS","f EAA","f ENT","f LIPS","f Maint","f rRNAp","f mRNAp","f tRNAp","f DNAp","f tRNAc","f r"
"1",4,0.901562770724098,0.1,0.001,0.001,0.674284706163226,4.47244921683232,8.58195901051235,2.68735621227524,20.8406489966606,8.8491768304222,24.6104144182847,44.5144442456386,13.6676699330387,1.9791853768335,8.89808839431784,12.024009283861,188.200313353528,0.0149503480051216,0.0063977164733334,0.00169065047832956,0.016906731714229,0.102118835302876,0.10117388015924,0.025032813372706,0.0193883412344746,0.0148289743762889,0.185614300436425,0.278421450654638,0.185614300436425,0.201674187705051,0.000268800130124803,0.00383852922466095,1424.70522364009,254.95502648135,5590.86940806699,6.34675274426589e-18,21.2119735657791,224.78910468787,305.200033277808,123.26574117565,2452.25073636955,40.1325656913413,12.3222623741728,12.5106495128074,8.02218522692913,16978.8505422625,16967.439595815,21.2998388981339,1.63112997287888,9.45220603902659,1.0730284590385e-19,2.16614203501276,22.7427859387933,7.64001547438703,2.38991825243393,36.3643633338596,7.4491781055172,3.43078216556426,2.32215545732504,1.61786768926039,4.56391723512975,65.1300127562053,4.64782887821432,0.831742114132423,18.2391443913897,2.07050695106716e-20,0.0692000153203993,0.733331551636226,0.995656859231756,0.402130954547136,8,0.130924836016584,0.0401990292148197,0.0408136062997501,0.0261708482185819,55.3902593742075,55.3530333392729
"2",4,0.896887103640544,0.0930232558139535,0.001,0.001,0.652960035599984,4.48435346210214,8.53779046362132,2.68644722571312,20.8027718412798,8.82652288533453,24.8947256331381,44.3834308524039,13.637779049924,1.9711464215122,8.86085042299609,11.9960564509161,188.265163939589,0.0152735941953842,0.00644162903232167,0.00170102284087537,0.0170104625422881,0.102270000496371,0.101242147455862,0.0255320309787787,0.0194205358756963,0.0148853447191946,0.186289478351504,0.279434217527257,0.186289478351504,0.202505582750219,0.000268820295954353,0.00384819964618552,1417.60180262967,253.793972849856,5563.30094286036,3.18068349481412e-16,21.0671776557734,223.54981993498,302.766525584543,124.043102050173,2439.53292190228,39.806926746843,12.231548152176,12.413750358365,7.94718247167305,16896.5851374036,16885.259760219,21.6518746640106,1.63484662373789,9.46330197446897,5.41048974474096e-18,2.15454026931307,22.6326638335887,7.73024431056176,2.40898351349805,36.3132884963395,7.41561161844592,3.41791308705026,2.31255107864561,1.60934881764848,4.54214501725477,64.9778506350256,4.64876465458564,0.832270704186947,18.2438232922792,1.04304671316636e-18,0.0690859384323315,0.733090561485557,0.992867193113194,0.406776562632975,8,0.13053950250707,0.0401111148527175,0.0407086135117539,0.0260613247735179,55.4092465347117,55.3721070410557
"3",4,0.892027230617782,0.0865332612222823,0.001,0.001,0.632310671893725,4.49531773663632,8.49231002285638,2.68533937817491,20.764574131376,8.80029711889174,25.1908463580408,44.2476819867472,13.6067326341942,1.96300005016653,8.82231125107028,11.9670529670283,188.332226438141,0.0156140310096138,0.00648663449428951,0.00171176332466729,0.0171178748261028,0.10242585324047,0.101316282485229,0.0260484698784379,0.0194550826210655,0.0149457548103412,0.186994547295985,0.280491820943978,0.186994547295985,0.203373836612195,0.000268882349186417,0.00385826950950447,1410.21652233093,252.583017147349,5534.63631628064,2.11367836485442e-15,20.9179614061513,222.261991566089,300.252716107247,124.838449520451,2426.31406728037,39.4701372238945,12.1375760294368,12.3136188561615,7.86974187294032,16810.984214482,16799.7474385696,22.0191645099448,1.63841371169971,9.47398746158089,3.61816816722197e-17,2.14254004507628,22.5187587232395,7.8211238314388,2.42874234970609,36.263095142454,7.38070044189256,3.40449080234271,2.30257958358323,1.60049959784751,4.52017692772571,64.8179533096088,4.64974107465527,0.832812274564165,18.2487053623173,6.96918306944038e-18,0.0689703338516206,0.732838323161422,0.989987966211803,0.411615136569294,8,0.130140241137492,0.040019801865277,0.0406002471723332,0.0259479742678538,55.4288810049238,55.3918313053355
"4",4,0.886977581495457,0.0804960569509603,0.001,0.001,0.612295940525204,4.50622883339127,8.44561463160169,2.6841419490932,20.7251480119284,8.77305292789268,25.4977237976478,44.1070917883788,13.5746075377815,1.95463579137041,8.78241833129554,11.936994711843,188.400045549893,0.0159730830542299,0.00653300484989251,0.00172286635771872,0.0172289128448035,0.102587108473245,0.101392855887843,0.0265822740114885,0.0194911260105589,0.0150105895320463,0.18773024710234,0.281595370653509,0.18773024710234,0.204279696448996,0.000268962511768166,0.00386876913640868,1402.53529546144,251.320843571291,5504.81458964022,1.05734403214176e-15,20.7635153941526,220.9234329153,297.655336464807,125.643941042649,2412.57902166764,39.1220016012543,12.0403725636114,12.2101138088726,7.78980817117388,16721.8067773371,16710.6616755478,22.4028127608945,1.64188028993032,9.4840598619703,1.82168881767436e-17,2.13006900602583,22.4000577958287,7.91235571488929,2.44894188732551,36.2142334078788,7.34438302774159,3.3905131748565,2.29220768248734,1.59129964860331,4.49753915213453,64.6496921393267,4.65074190852235,0.833368246392431,18.2537095455141,3.50610370941847e-18,0.0688508528265336,0.732571844258488,0.987011273136444,0.416629473817775,8,0.129726740554055,0.0399253162875925,0.0404881703743992,0.0258306421508692,55.4487347428845,55.4117781029098
"5",4,0.881732597513631,0.0748800529776375,0.001,0.001,0.592892689023263,4.51723548835561,8.39818013513736,2.68294103422288,20.6851795199363,8.7450845151699,25.8131750457101,43.9628390589704,13.5418288903305,1.94611188345718,8.74186754343534,11.9062801832101,188.466386194188,0.0163528587753388,0.00658081596064633,0.00173433256055684,0.0173435828110275,0.102752883660165,0.101471590453369,0.0271338938667681,0.0195283583444484,0.0150801120602374,0.188486902293449,0.282730353440173,0.188486902293449,0.205211698114756,0.000269052124363457,0.00387959468589533,1394.54381163485,250.003956578717,5473.77363278514,1.30719009970585e-15,20.6044336352305,219.532812610552,294.984165798602,126.446210461822,2398.31266523708,38.7634682775397,11.9402719625562,12.1035987402714,7.70798957619335,16628.7463141457,16617.6956243008,22.8047780076874,1.64523002767795,9.49334384045677,2.26713597440038e-17,2.11716497220442,22.2763436522941,8.00406904715639,2.469286909196,36.1668237472618,7.30640605778382,3.3758773121453,2.28136983315664,1.58176962998147,4.47399952132192,64.4699236358635,4.65174981343644,0.833932823530344,18.2587490351065,4.36036591443055e-18,0.0687297663357625,0.732290883645402,0.983972340468603,0.421783905975655,8,0.129302467820501,0.0398289085009719,0.0403737141222992,0.025711375127751,55.4681516056688,55.431290057114
"6",4,0.876286684363655,0.0696558632350116,0.001,0.001,0.574090382740421,4.52784275062349,8.34874315362266,2.68150236363899,20.6431449920558,8.71537221227322,26.1413931370516,43.8117979351314,13.5071615157506,1.93729809607262,8.69920005407089,11.8739769823522,188.538475374795,0.016752821527139,0.00663000224136619,0.00174620950390652,0.0174623604468254,0.102926061494671,0.101553711684293,0.0277045088967286,0.0195676632367647,0.0151548138604335,0.189289597362957,0.283934396044436,0.189289597362957,0.206200221686397,0.000269176876618184,0.00389104569618935,1386.24832490333,248.634946756432,5441.55426569816,2.52984524729975e-18,20.4390778952733,218.09042742083,292.212318857781,127.263081759521,2383.49978146914,38.3916951485867,11.8361457798014,11.9931100461478,7.62299317199791,16532.3281860317,16521.3755461158,23.2235707794009,1.64845025427711,9.50209377478518,4.41770695830364e-20,2.10371378834326,22.1478923873992,8.09559878752908,2.49024112634315,36.1214955245488,7.26714851675738,3.36068890348182,2.27017097176495,1.57186288197986,4.45012046434277,64.2854272138419,4.65281628529918,0.834520560696434,18.2640814419344,8.49119523137662e-21,0.0686019039873379,0.732000662610184,0.98078404245598,0.42714694668385,8,0.128858229220975,0.0397269456345605,0.0402537819030316,0.0255858825119732,55.4892542959378,55.4524927572927
"7",4,0.870634313264939,0.0647961518465225,0.001,0.001,0.555878247724223,4.5381104487928,8.2972866407963,2.67975068154719,20.5986458112057,8.68398035910536,26.4826206360838,43.6539313940026,13.4706357369169,1.92817218709195,8.65439812243083,11.8400593993508,188.616529940445,0.0171742354795589,0.00668058207310665,0.00175851873498934,0.0175854612340267,0.103106316910316,0.101639283013793,0.0282944838731207,0.0196091118294848,0.0152351122162596,0.190140230436744,0.285210345655116,0.190140230436744,0.207247652666315,0.000269336761919313,0.00390314689942429,1377.63993230406,247.212257880093,5408.12133068729,1.02592162628695e-15,20.2669707443772,216.595008372784,289.337973712855,128.092656838626,2368.12533208063,38.0066105805322,11.7279976940528,11.8785857786155,7.53481596604395,16432.4532088632,16421.6023015115,23.6599126034335,1.65152177824597,9.51028268110909,1.80413049882188e-17,2.08965270838186,22.0145613553762,8.1866686310998,2.51178323248444,36.0786551764155,7.22658569390198,3.34494627616319,2.25859703720857,1.56157292223528,4.42586373766584,64.0959261067234,4.65394263940809,0.835132345509407,18.2697132028421,3.46576800607282e-18,0.0684658720375095,0.731701166111792,0.977441421003314,0.432722559413134,8,0.128393915864713,0.0396195168732849,0.0401282334771663,0.0254541121247966,55.5121065131319,55.4754499824837
"8",4,0.864769978925954,0.0602754900897883,0.001,0.001,0.538227972140912,4.54822873185618,8.24511170875659,2.67800000264224,20.5540249422078,8.6514218803848,26.8336533531614,43.4918783025831,13.4334984312198,1.91890323145614,8.6088212686407,11.8053554995412,188.692875602115,0.0176198238420278,0.00673266931911723,0.00177122865815642,0.0177125692194187,0.103291606786116,0.10172766755159,0.0289043139260295,0.0196520458771208,0.0153211944145762,0.191016141688718,0.286524212533077,0.191016141688718,0.208326468955282,0.000269513706493748,0.00391562314132757,1368.69449770717,245.729673006495,5373.3635203548,9.81196193704452e-18,20.090357721965,215.043245244595,286.387288847838,128.916321359554,2352.17434267859,37.610470683175,11.6168861552678,11.7608646490869,7.44465018705972,16328.3396342409,16317.5934057919,24.116155943153,1.65441663024754,9.5174554579447,1.73795054988202e-19,2.07516533000962,21.8758477614572,8.2778281012824,2.53346946166761,36.0381204011568,7.18420699699672,3.3285191577245,2.24651498819181,1.55091768607743,4.40071133571303,63.8935463504928,4.65507840255935,0.835753263855993,18.2753919991688,3.3371546518515e-20,0.0683294851319111,0.731385395522034,0.974034224084623,0.438458388123553,8,0.127917289125245,0.0395102895035876,0.0399999759735289,0.0253200625548256,55.5344536770913,55.4979045888574
"9",4,0.85868823912062,0.056070223339338,0.001,0.001,0.521125214523142,4.55802996866926,8.19151752414508,2.67609959275666,20.5081235534177,8.61731908940632,27.1962961115195,43.3241847705907,13.3949338407132,1.90941874534829,8.56182553553473,11.7694518600537,188.771675347893,0.0180902718520757,0.00678626159035906,0.00178437600751695,0.0178440517573342,0.1034835040544,0.101819419066616,0.0295349596221249,0.019696930157281,0.0154136056213089,0.191930491285656,0.287895736928484,0.191930491285656,0.209452873055776,0.000269719002725408,0.00392864553605312,1359.41123655426,244.187787299946,5337.28617130917,3.45061840483231e-18,19.9080197487678,213.43505712652,283.345694009927,129.739664547798,2335.63201040809,37.2019679319949,11.5020721528193,11.6395033144336,7.35193889276628,16220.2399499206,16209.6017500331,24.5921188280329,1.65712220178839,9.5237253893361,6.15730134106375e-20,2.06015164238668,21.7318335250723,8.36860363168616,2.55547311122704,36.000510684935,7.14019198198102,3.3113975386405,2.23397558946026,1.5398847236204,4.37490694325941,63.6817795564665,4.65625143172015,0.836391302094823,18.2812571416218,1.18190481701076e-20,0.0681888916063945,0.731057139739159,0.970514850789086,0.444383923390841,8,0.127424072854679,0.0393968642373919,0.0398675930542668,0.0251818398103963,55.5575189161296,55.5210809846743
"10",4,0.852383755414459,0.0521583472924074,0.001,0.001,0.504557824129327,4.56737168513673,8.13652926647899,2.67402329027256,20.4611738527159,8.58123621683145,27.5710044841872,43.1508395151212,13.3549928013601,1.8997192402874,8.51321858858065,11.7323694494713,188.852965535693,0.0185869726882313,0.00684133862643945,0.00179797903524716,0.0179800913820991,0.103681910220166,0.10191529410485,0.0301871044749829,0.019743979559868,0.0155127936129914,0.1928865754845,0.28932986322675,0.1928865754845,0.210630650110376,0.000269957308821098,0.00394221816100856,1349.78181700139,242.584802885748,5299.8566933429,2.84471235727857e-18,19.7200662229942,211.769220190367,280.213164994672,130.561535237669,2318.48381472733,36.7810746351857,11.3835789175564,11.5145027290847,7.25652923119856,16108.0468206906,16097.5199984472,25.0883577676761,1.65960478216947,9.52903122444489,5.11481881396553e-20,2.04461413566821,21.5825223580559,8.4588240869598,2.57780428303751,35.9661609129259,7.09457552902076,3.29360933124751,2.22099299982007,1.5284474695123,4.34848497007788,63.4599356850769,4.65746384228311,0.837046353637895,18.2873191856764,9.81576783657858e-21,0.0680446974793773,0.730716233929016,0.966884179099184,0.450506609218745,8,0.126914233868004,0.0392793905922357,0.0397311472469825,0.0250388782017078,55.5813129886697,55.5449898634392
