"","convergence","mu","x_C","x_W","C","I","AA","NT","ATP","RNA","DNA","p","tau tC","tau tC2","tau RESP","tau FERM","tau EAA","tau ENT","tau RNAp","tau DNAp","tau r","v tC","v tC2","v RESP","v FERM","v EAA","v ENT","v RNAp","v DNAp","v r","p tC","p tC2","p RESP","p FERM","p EAA","p ENT","p RNAp","p DNAp","p r","f tC","f tC2","f RESP","f FERM","f EAA","f ENT","f RNAp","f DNAp","f r"
"1",4,0.984221800523535,1,0.001,46.6966114725095,13.8212722319353,9.43517898634549,7.44304587010487,5.95863337584422,52.0878933911759,10.7263544201016,107.831009058063,0.0272243177100465,-0.803709112017318,0.4451326757112,0.0470273510801461,0.221356472495633,0.0416737158904343,0.169279252094997,0.125594283812417,0.448458632190874,386.014011581946,1.22176754058246e-15,1.58034197506171e-14,340.054188560124,94.19001276012,69.148760087001,51.2660402189411,10.557111860406,106.129629887397,10.5089680918365,-9.81945705133109e-16,7.03461851897941e-15,15.9918477116912,20.8495689688989,2.88168578204148,8.67827694613438,1.32591290323527,47.5947486542255,1.5441033741278,4.88721995888666e-18,6.32156166033509e-17,1.36025844707067,0.376771599341717,0.276603518430639,0.205070446421952,0.0422297418114238,0.424531531724658
"2",4,0.977357289974495,0.769230769230769,0.001,45.2242647954803,13.6355090618038,9.43911866471453,7.45635660635549,5.9138464509366,52.5169010244868,10.7801705758802,109.033833772622,0.0290311599889983,-0.814039408216975,0.45097438367504,0.047592994124428,0.222189557861865,0.0419019357253606,0.169013970633562,0.125397462082965,0.448613159290152,384.281077719332,2.20346187234066e-15,0,340.080812837732,94.4774012711244,69.1513788485273,51.3277760631512,10.5360782995051,106.565012291539,11.1561254480146,-1.79370479858885e-15,0,16.1854641272169,20.9918920163691,2.89757663183105,8.67511123622348,1.32119747906534,47.8064668339013,1.5479678151843,8.87602397862611e-18,0,1.36991952858792,0.380575534184299,0.278556803963475,0.20675945285231,0.0424416164404733,0.429267062096936
"3",4,0.968765779782714,0.591715976331361,0.001,43.4412970418675,13.4002619503791,9.44014515855001,7.47249447211133,5.85803684518737,53.0490286649375,10.8481910315216,110.490542752102,0.0312991751590983,-0.827530273586466,0.458282634977486,0.0483090160823139,0.223258517198304,0.0421957963118755,0.16868407596091,0.125152701519385,0.44887605001252,382.054548741871,2.07743107180798e-15,7.00591037049735e-15,339.970106738334,94.7768550320693,69.1405367993845,51.3920836213037,10.5093562438839,107.039456807856,11.9579922414021,-1.71913710321028e-15,3.21068706500762e-15,16.4236213539282,21.1597401191784,2.91744000768056,8.66902613736545,1.31527432515168,48.0474485673961,1.55264750065558,8.44255924199494e-18,2.84716129212193e-17,1.38161877214429,0.385167635276504,0.280983126647915,0.208854443562746,0.0427094135099276,0.435002136819301
"4",4,0.958109327755971,0.455166135639508,0.001,41.3209490771194,13.1052103112965,9.43545192686128,7.49138634732701,5.78927122806307,53.7011369140075,10.9333386167066,112.223254245294,0.0341241872450919,-0.845164030031528,0.46733686011038,0.0492094797203068,0.224623924860927,0.0425728792039278,0.168280073383763,0.124852957671824,0.449306509979399,379.206288792566,1.69288511689222e-16,5.92879478511773e-15,339.616302050048,95.0579118495561,69.10446103779,51.4515601884111,10.4753337121811,107.522146683547,12.9401064032739,-1.43076560777303e-16,2.77074433911571e-15,16.7123415284174,21.3522812487313,2.94197587221437,8.65827232421495,1.30787639656519,48.3104004718773,1.55821272333221,6.95630638584733e-19,2.43622633411801e-17,1.39553182145378,0.390606517020066,0.28396008613402,0.211421798874045,0.0430446402232542,0.441823835611395
"5",4,0.94502964986604,0.350127796645776,0.001,38.8536971116102,12.7399425032735,9.42086378211901,7.51228727740036,5.70569431734758,54.4885552001677,11.0385333556121,114.240425159634,0.0376134763492172,-0.868232674641472,0.478425556670531,0.0503332763993126,0.226357376504695,0.0430545034729308,0.167795521930044,0.124493451754549,0.449987633641455,375.583952555419,1.20343133693094e-15,1.93824254556538e-15,338.866056778033,95.2714667927765,69.0243757700644,51.4933002425209,10.4317413120887,107.960588989156,14.1270181165888,-1.04485840841091e-15,9.27304768824625e-16,17.0562388981539,21.565399278967,2.97181022630912,8.64034519009427,1.29868348375245,48.5809299657681,1.56468845054147,5.0135132268136e-18,8.07474788195791e-18,1.41172113907844,0.39690237759774,0.287556597768426,0.214521870866802,0.0434587927386304,0.449765453384385
"6",4,0.92916585133237,0.269329074342904,0.001,36.055481556535,12.2954780153846,9.39065197940798,7.53323790210394,5.60575083827525,55.422480010576,11.1662011343704,116.530717111183,0.041886451029988,-0.898433593660121,0.491828116296944,0.0517237918332427,0.228540321143169,0.0436658358359803,0.167230584774279,0.124074304832529,0.451030853015853,371.012526671417,4.32212120955674e-16,4.77462771873732e-15,337.51100445574,95.3465635177995,68.8715560137415,51.4966758219781,10.3752527831658,108.276362970984,15.5403980299344,-3.88313889053669e-16,2.34829615692575e-15,17.4573489358974,21.7905342462555,3.00733405866456,8.61181921164086,1.28730227653306,48.8359803522569,1.57203284727836,1.83134423311781e-18,2.02307767738211e-17,1.43008213248885,0.403996951450213,0.291818578925395,0.218198740199118,0.0439614217888599,0.458782350831428
"7",4,0.910176313907107,0.207176211033003,0.001,32.9738909840573,11.766465456441,9.33770522453931,7.55035501187426,5.48843567303135,56.5066630291179,11.3174951473891,119.05898795588,0.0470782984648283,-0.937993902286603,0.50779785621204,0.0534286640429992,0.231260849743257,0.0444355681411005,0.166596695155341,0.123603999631382,0.452578210165978,365.299934217735,7.25084388358952e-16,2.48044158539075e-14,335.287879666691,95.1906947577775,68.6040965763435,51.4310262670336,10.3009160159122,108.364670795194,17.1976993322847,-6.80124734923908e-16,1.25956291952062e-14,17.9139834804011,22.0138809573346,3.04846200817675,8.56823900453533,1.2732344194337,49.0434887537143,1.58012101108076,3.13638456931591e-18,1.0729259708813e-16,1.45030254263959,0.411751557437967,0.296750051922761,0.222467177279992,0.0445570675094058,0.468736173054648
"8",4,0.887761439319724,0.159366316179233,0.001,29.6891669366587,11.1536992768951,9.25431211789305,7.55711263472162,5.35349852628457,57.733870744309,11.4912596421168,121.767079859122,0.0533493825874772,-0.98983544055306,0.526556043111788,0.0555002623519305,0.234608379982511,0.0453950452662937,0.165921483264531,0.123103035970458,0.454801215882678,358.247743876434,4.27061369613643e-18,1.45450368074622e-16,331.890846304542,94.6957159076897,68.1643145786507,51.2539041894667,10.2014971994823,108.100118077494,19.1122959491644,-4.22720478934714e-18,7.65877702825261e-17,18.4200290421063,22.2164085003872,3.09432214584373,8.50412380621447,1.25583527670039,49.1640651387053,1.58874234227912,1.89391417602599e-20,6.45037302844646e-19,1.47185585827652,0.419952661437758,0.302292295358848,0.227298703717752,0.0452411796933732,0.479397952201267
"9",4,0.861683180880311,0.122589473984026,0.001,26.307527938195,10.4660964708265,9.13367331671235,7.54398757740981,5.2015075343315,59.0830867346255,11.682936968888,124.581183141254,0.0609028730434953,-1.05780609010688,0.548308635598138,0.0579977808727166,0.238667451487697,0.0465769381221841,0.165252173262857,0.122606451130507,0.457895963006906,349.666709879733,7.53116897910647e-17,4.91169080627208e-15,326.997955524851,93.7499408102566,67.478419615319,50.9109021137194,10.0669902893756,107.349510166988,21.2957072393421,-7.96651641172284e-17,2.69312248446696e-15,18.9651557703567,22.3750594503064,3.14293817500549,8.41313721706473,1.23427795294562,49.1549073362325,1.5976180348226,3.44097137198316e-19,2.24413865885934e-17,1.49404509018404,0.428341022951635,0.308307131027257,0.232610577695376,0.0459958148381417,0.490477098981313
"10",4,0.831778762692968,0.0942995953723274,0.001,22.9469985661572,9.72100903228931,8.97187371209137,7.49898617398748,5.03370633894755,60.5187471027282,11.8838188063188,127.424859414284,0.0700113924179223,-1.14702876925855,0.573290685222692,0.0609916270111237,0.243513318286795,0.0480139185275252,0.164655273742777,0.122163590196254,0.46207585648777,339.395124307322,1.20838121902699e-20,2.38479782744613e-14,320.308298232446,92.2540475352317,66.4604141288742,50.3382085848359,9.88470810278726,105.989291899938,23.7615252326094,-1.38604802245568e-20,1.36718238061418e-14,19.5361242543612,22.465089240692,3.19102490928935,8.28845151425718,1.20755142987849,48.9750928331963,1.60643831837494,5.71955739615116e-23,1.12878186432572e-16,1.51609580433495,0.436660477336687,0.314573039696986,0.238262783869009,0.0467866882138535,0.501672674859385
