"","convergence","mu","x_C","x_W","C","I","AA","NT","ADP","ATP","LIP","rRNA","mRNA","tRNA","DNA","TC","p","tau tC","tau FERM","tau RESP","tau ADPS","tau EAA","tau ENT","tau LIPS","tau Maint","tau rRNAp","tau mRNAp","tau tRNAp","tau rRNase","tau mRNase","tau tRNAse","tau DNAp","tau tRNAc","tau r","v tC","v FERM","v RESP","v ADPS","v EAA","v ENT","v LIPS","v Maint","v rRNAp","v mRNAp","v tRNAp","v rRNase","v mRNase","v tRNAse","v DNAp","v tRNAc","v r","p tC","p FERM","p RESP","p ADPS","p EAA","p ENT","p LIPS","p Maint","p rRNAp","p mRNAp","p tRNAp","p rRNase","p mRNase","p tRNAse","p DNAp","p tRNAc","p r","f tC","f FERM","f RESP","f ADPS","f EAA","f ENT","f LIPS","f Maint","f rRNAp","f mRNAp","f tRNAp","f rRNase","f mRNase","f tRNAse","f DNAp","f tRNAc","f r"
"1",4,0.614079792349444,1,0.001,16.8727839662335,1.83483310950256,4.98568667356149,10.9902554072407,3.72916603506189,17.2158585017892,44.9097839066384,52.5540797521936,10.2998102640422,2.43615220048383,11.098960161029,16.1239698325116,146.948662472351,0.025,0.000225924300574618,0.00150217781570884,0.0669983730746532,0.154500869578875,0.0187327147049284,0.0297326789988077,0.0150311157082602,0.192415518344769,1.73173966510292,0.192415518344769,0.13615323508582,0.11941783342342,0.182096676866199,0.115449311006861,0.000189494780834907,0.00360640399716589,208.787132060684,8.40099437095156e-06,3204.91626846531,12.8619163183437,131.540889132589,228.623241214838,153.212170976927,1973.87274771743,32.2723983813432,6.32490534818241,11.3364016085623,5.07157899734778e-14,7.2295142082209e-13,8.76338379889269e-14,6.81564715097946,15049.8664020818,15039.7006895083,5.2196783015171,1.89798877738854e-09,4.81435411969294,0.861727467951363,20.3231817561633,4.2827339525936,4.55540829836743,29.6695096643222,6.20971026277502,10.9530894694691,2.18129959167597,6.90511887482201e-15,8.6333292344957e-14,1.59578306788144e-14,0.786861767646455,2.85187113545712,54.2392366828214,1.00000001274922,4.0237127619608e-08,15.3501620415667,0.0616030133436806,0.63002393639566,1.09500639178834,0.733819998474484,9.45399629470012,0.15457082280057,0.0302935596001275,0.054296458029787,2.42906687397402e-16,3.46262445824023e-15,4.19728161602982e-16,0.0326440004736148,72.0823474388337,72.0336580746819
"2",4,0.613277695773309,0.769230769230769,0.001,16.8591753971479,1.82820954677362,4.97929336953879,10.9796891252715,3.72677844319854,17.2123228394469,44.9303078263349,52.5277134656636,10.2996232512455,2.43544626048191,11.0895730218019,16.1173105385052,147.014556958331,0.0253571428571429,0.000226022778513015,0.00150317161239177,0.0670121989303773,0.154698325023233,0.0187477808828736,0.0297713144920019,0.015076084901806,0.192498383394783,1.73248545055305,0.192498383394783,0.136171382202692,0.119418185997805,0.182120473461166,0.11549903003687,0.000189615013714111,0.00360765896070897,208.514416589753,1.43084521525729e-18,3201.26343890762,12.8414837861846,131.387216153024,228.214900623777,153.081975856223,1971.46897926319,32.2140750784628,6.31652921485704,11.3171024918629,7.24797094604123e-19,2.89918837841649e-18,3.62398547302061e-19,6.80098778992053,15036.9396974339,15026.7914560899,5.28732984924015,3.23403611174505e-22,4.81204832515357,0.860536066041017,20.3253822683383,4.27852295110135,4.55745164627266,29.7220337126487,6.20115737516226,10.9432949627331,2.17852393439668,9.86966221887386e-20,3.46215817016414e-19,6.60001950162901e-20,0.785507493028418,2.8512295269472,54.2115388472677,1.00000000012866,6.86209250584594e-21,15.3527199302382,0.06158559200778,0.630110945414533,1.09448020134813,0.73415535663946,9.45483296435884,0.15449327489901,0.0302930095624868,0.0542749162307808,3.47600471253456e-21,1.39040188501383e-20,1.73800235626728e-21,0.0326163912405939,72.1146285484588,72.0659592932996
"3",4,0.612238511760645,0.591715976331361,0.001,16.8411582774504,1.81761320252821,4.9742248417888,10.9665314696937,3.72436809516736,17.2078906951795,44.9419785502401,52.4952217128803,10.2996599130683,2.43430871719795,11.0776208957738,16.1092963435834,147.110126846986,0.0258214285714286,0.00022614376560956,0.00150438413858897,0.0670294528128155,0.155017206004504,0.0187629365234999,0.0298334822444099,0.0151345328674515,0.19260301737632,1.73342715638688,0.19260301737632,0.136193770366224,0.119418116878426,0.182158848048744,0.115561810425792,0.000189732711536271,0.00360917601502525,208.161094026502,1.9754974902304e-06,3196.50963904718,12.8155349695907,131.197459185884,227.6934490954,152.862278128766,1968.31843949606,32.139596416039,6.30584845681803,11.2923531181578,4.87149160034984e-14,2.97765864583775e-13,1.05560755324717e-13,6.78214613107716,15021.2068621087,15011.0808542864,5.37501682075575,4.46746441392939e-10,4.80877839982934,0.859018296515167,20.3378635578856,4.27219773219376,4.56041406039458,29.789580116164,6.19018324698626,10.9307289591087,2.17494128383608,6.63466808359034e-15,3.55586388192708e-14,1.92288255891058e-14,0.783757085479556,2.85001430849512,54.1776329788952,1.00000000013395,9.49023399273405e-09,15.3559417739627,0.0615654670304323,0.630268878135093,1.09383288068668,0.734346054742485,9.45574603633241,0.154397710920236,0.0302931173913789,0.0542481445559307,2.34025076769732e-16,1.43045878009149e-15,5.07110878872577e-16,0.0325812379287464,72.1614523327222,72.1128072779342
"4",4,0.61089342938269,0.455166135639508,0.001,16.8182140009566,1.80578106242812,4.96482560120558,10.949049428049,3.72059526088261,17.2020314891761,44.9700049643368,52.4515673625766,10.2994502109165,2.43299682196238,11.0619438568538,16.098369913997,147.225170343233,0.026425,0.000226307273122382,0.00150603168631885,0.0670524414961861,0.155377698925215,0.0187865097464807,0.0299039206137692,0.0152105291620865,0.192741512147332,1.73467360932599,0.192741512147332,0.136223893689698,0.119418512241364,0.182203148888081,0.115644907288399,0.000189920756370346,0.00361124630924655,207.703767321384,7.58586422991226e-06,3190.37099324054,12.7814952070373,130.943529703359,227.012453383518,152.621558622335,1964.27097691865,32.0423178626217,6.29186646010307,11.2601087283995,2.8680372795759e-14,1.731283035209e-17,8.42022596376603e-14,6.75766881835219,14999.911775084,14989.8148670714,5.48857205146756,1.71673624814806e-09,4.8047998069328,0.85703045960365,20.3457043344535,4.26477166806195,4.56398297299204,29.8776009766614,6.17588479754717,10.9143347017441,2.1702903832551,3.90695205471038e-15,2.06747244333371e-18,1.53419168494734e-14,0.781489983984047,2.84879458981241,54.1319136150007,1.00000000640946,3.65225165453827e-08,15.3601981073005,0.0615371375001722,0.630434065935958,1.0929626254072,0.734804002685242,9.45707925686884,0.154269315772284,0.0302925006203427,0.0542123474493739,1.38083065846404e-16,8.3353473489325e-20,4.05395921620736e-16,0.0325351289907464,72.2178132090194,72.1692011486437
"5",4,0.609154890416393,0.350127796645776,0.001,16.7881824932446,1.7890227902367,4.95518410942718,10.9268117163258,3.7163313235663,17.1945667225016,44.9941742121037,52.3964101892648,10.2993885103029,2.43118979256934,11.0418406905009,16.0846746278889,147.382221657858,0.0272096428571429,0.000226513269240292,0.00150809982759355,0.0670817901289333,0.155896437175498,0.0188136688640056,0.0300051134381508,0.015309318779811,0.192919106958524,1.73627196262672,0.192919106958524,0.136262026217767,0.119418628571971,0.182264247987252,0.115751464175115,0.000190132275090298,0.00361384486216302,207.112662032391,9.18326202407553e-15,3182.41705173318,12.7379758077607,130.62263934337,226.138957956699,152.269007008612,1959.01015379546,31.917529507054,6.27392287934971,11.2186717138971,5.51263460267147e-14,3.06683492774542e-13,1.31559418014912e-13,6.72619125581736,14973.1597885717,14963.1001805529,5.63546156509348,2.08013070336357e-18,4.79940260704958,0.854486219803632,20.3636040880914,4.25450347224861,4.56884882840798,29.9911109373412,6.15750128882322,10.8932363910972,2.16429612830588,7.5116276075819e-15,3.66237221127979e-14,2.39785783901284e-14,0.778566486182713,2.84688093589171,54.0743227095215,0.999999996575859,4.43394522696761e-17,15.3656324514743,0.0615026413119635,0.630683984331539,1.09186447107227,0.735198925034375,9.45866915071161,0.154107088791955,0.0302923191479511,0.0541670005367815,2.66165985686249e-16,1.48075684371461e-15,6.35207023430845e-16,0.0324760020308851,72.2947577920649,72.2461870871854
"6",4,0.606911281850503,0.269329074342904,0.001,16.7489124641378,1.7661696895278,4.9450401441684,10.8983589980739,3.711403525673,17.1851070107938,45.0137308586456,52.3263575509556,10.2994985142484,2.42883912787562,11.0160389249986,16.0673264536689,147.593217061911,0.0282296785714286,0.000226775350888373,0.00151072362307377,0.0671195157890535,0.156619701149291,0.0188457830928451,0.0301460477363298,0.0154377365564515,0.193147828492734,1.73833045643461,0.193147828492734,0.136310572509271,0.119418421171023,0.182343864484318,0.115888697095641,0.000190373394917298,0.00361713297596099,206.349840454452,2.95215262525671e-05,3172.13238242288,12.6823279958896,130.215371190689,225.018631711326,151.774117201634,1952.19322716192,31.7574567358182,6.25088184570022,11.1654610797014,2.77750246025704e-17,3.51955409941754e-13,3.89781719817406e-17,6.68575830488591,14939.3431736997,14929.3314265807,5.82518966929476,6.69475447468622e-09,4.79221532564352,0.851231714162067,20.3942925209297,4.24065232508044,4.57538978229978,30.1374447482146,6.13388380697525,10.8660982919549,2.15658456166447,3.78602950503546e-18,4.20299593778444e-14,7.10743050968496e-18,0.774803819049588,2.84405347781178,54.0013770121358,1.00000002241476,1.43065421564022e-07,15.3725946506154,0.0614603251072552,0.631041796895295,1.09047158097868,0.735518478082444,9.46059985614946,0.153901051620458,0.0302926426889677,0.0541093770917504,1.34601631694848e-19,1.70562486045845e-15,1.88893641834584e-19,0.0324001144852899,72.3981345256189,72.3496162068193
"7",4,0.604022251164015,0.207176211033003,0.001,16.7000205177246,1.74241972457815,4.92347343727391,10.8607427088106,3.70280557467038,17.1724821408109,45.0785140297147,52.2310836543942,10.2988357653345,2.42589377409303,10.9821575222197,16.0435188442656,147.838053013196,0.029555725,0.000227135447211666,0.00151436105196666,0.0671696949008949,0.157391453155301,0.0188990632321768,0.0302969158085623,0.0156047340308821,0.193451079434806,1.74105971491325,0.193451079434806,0.136376806052351,0.119419670781934,0.182443840755053,0.116070647660883,0.000190807447762832,0.00362170218634364,205.367568839075,2.01080979936378e-05,3158.92322679067,12.6091382796015,129.665276537069,223.558200540843,151.269030685316,1943.50403328048,31.5487367296632,6.22072596334583,11.0962402385332,2.77349911609393e-18,5.98065714035211e-18,2.22622732805476e-18,6.63346750920895,14892.8615896033,14882.9122647892,6.06978738852627,4.56726183036091e-09,4.78375030080465,0.846951971204028,20.4082062979533,4.22504056809306,4.58298508711586,30.3278635272884,6.10313717515784,10.8306553722964,2.14657965181216,3.78240951041908e-19,7.1420810676047e-19,4.06161464124169e-19,0.76995087003131,2.84166890979732,53.9014758885477,1.00000001676657,9.79127251905009e-08,15.3818019934311,0.0613979050455331,0.631381475878093,1.08857598866706,0.736577026629326,9.46353933511915,0.15362083427763,0.0302906934274545,0.0540311232552692,1.35050494012972e-20,2.91217219663034e-20,1.08402089870646e-20,0.0323004633006461,72.5180802572362,72.4696338299978
"8",4,0.60031275128905,0.159366316179233,0.001,16.6361788544783,1.70882444163323,4.90164755675801,10.8130712780482,3.69331335191307,17.15659538624,45.1320293951159,52.1115453359822,10.2984596318393,2.42203405107603,10.9390122274013,16.0137740148053,148.173514784652,0.0312795853571429,0.000227586215917922,0.00151889584342175,0.0672337888821767,0.158519762219941,0.0189599655797322,0.0305170560902162,0.0158218208054835,0.193839576627085,1.74455618964376,0.193839576627085,0.136460250559641,0.119420380051951,0.182575222223299,0.116303745976251,0.000191285244034538,0.00362741176145229,204.106336691386,7.11363884825825e-06,3141.90777651809,12.5164660787263,128.976227342119,221.700815231647,150.518515208002,1932.27462500509,31.2832251545675,6.18229663562889,11.0080313230219,4.45444449566985e-16,2.02003168842566e-13,3.51910590511692e-16,6.56682852661583,14834.9449446313,14825.0750547572,6.38436158047194,1.61896614688182e-09,4.77223066216781,0.841529437888011,20.4452808902978,4.2034398257906,4.59338197121865,30.5721028638134,6.06392711949114,10.7853638619002,2.13379213115225,6.07854611983121e-17,2.41232951948778e-14,6.42501542654046e-17,0.763746756829126,2.83770606397272,53.7766516180391,1.00000000613949,3.48526116692221e-08,15.3934848213872,0.0613232609945681,0.631907025645082,1.08620251672046,0.737451460704508,9.4669997423447,0.153269250988183,0.0302895871524696,0.0539328252569149,2.1824136355713e-18,9.89695730947329e-16,1.72415319571553e-18,0.0321735653747097,72.6824324819521,72.6340758748293
"9",4,0.595566561981456,0.122589473984026,0.001,16.5538710565847,1.66681207867697,4.87366702616163,10.7520693938318,3.68104162844874,17.1364267681304,45.1982306709791,51.9578624186132,10.2978835088645,2.41706604218365,10.8836998425621,15.9755248650958,148.605845036783,0.0335206038214285,0.000228173012677824,0.00152480224536812,0.0673166345453807,0.159994765624314,0.0190391017464379,0.0308047975820194,0.0161040526271328,0.194342521916922,1.7490826972523,0.194342521916922,0.136568094058453,0.119421466539978,0.18274494635625,0.116605513150153,0.000191903981369663,0.00363479691453896,202.492637473335,4.1326553718203e-05,3120.10823602108,12.3981880821083,128.094161479855,219.331049906079,149.547526935333,1917.89905043437,30.944365488559,6.13307507706007,10.8954013209598,8.8476419431805e-15,8.18027536583233e-14,2.64642001390762e-14,6.48196769687284,14760.5471717544,14750.778703151,6.7876754774998,9.42960426547433e-09,4.7575480440765,0.834604296148175,20.4943953438124,4.17586617531488,4.60678129613452,30.8859472417231,6.01380602816552,10.7272554982351,2.11743977001229,1.20830559709179e-15,9.76900480888549e-15,4.83619883477656e-15,0.755833169516575,2.83260776945439,53.6160849172602,1.00000003160431,2.04089173512505e-07,15.4085026179819,0.0612278482252327,0.632586780075156,1.08315571160837,0.738533180898352,9.47145108572552,0.152817242407686,0.0302878926731314,0.0538064089699863,4.36936489800485e-17,4.03978916292277e-16,1.30692163950622e-16,0.0320108818898886,72.8942435756217,72.8460024690114
"10",4,0.589521599284989,0.0942995953723274,0.001,16.4504387703478,1.61439216868679,4.83868216714605,10.6744400330489,3.66556183169078,17.1107957298879,45.2744210325642,51.7610648482133,10.2970299925811,2.41062933021908,10.8131071101712,15.9265775043713,149.162859029216,0.036433927825,0.000228919629926477,0.00153232250795246,0.0674234309183619,0.161942817823097,0.0191397530494889,0.0311847496568153,0.0164710048376596,0.194992361084527,1.75493124976075,0.194992361084527,0.136707127366326,0.11942307637679,0.18296588674702,0.116995416650716,0.000192695462687462,0.00364432775528807,200.437343565706,5.01274548061032e-07,3092.26495633792,12.2481115370187,126.971279694983,216.324590872575,148.279161632329,1899.55183402526,30.5142657300128,6.07032158911198,10.7523413387143,4.94215412841118e-14,9.3217657094413e-14,2.57673261462143e-18,6.37456019682798,14665.4275616092,14655.7878681374,7.30271970890766,1.14751584033694e-10,4.73834719314921,0.825809702096569,20.5620868164101,4.14039924783281,4.62404853482662,31.2875274476153,5.95004872145587,10.6529970528299,2.09662442482267,6.75627693896718e-15,1.11323393828515e-14,4.71454167744176e-19,0.745794326192963,2.82596134949374,53.4104945034673,0.999999999046135,2.50090396662316e-09,15.4275889830611,0.0611069340046433,0.633471175156772,1.07926290988444,0.739778121447128,9.47703555844945,0.152238426024157,0.0302853823311212,0.0536444014731878,2.46568530383507e-16,4.65071305312615e-16,1.28555515969452e-20,0.0318032562063857,73.1671418445677,73.1190485437331
