"","convergence","mu","x_C","x_W","C","AA","NT","ADP","ATP","RNA","DNA","p","tau tC","tau FERM","tau RESP","tau ADPS","tau EAA","tau ENT","tau RNAp","tau DNAp","tau r","v tC","v FERM","v RESP","v ADPS","v EAA","v ENT","v RNAp","v DNAp","v r","p tC","p FERM","p RESP","p ADPS","p EAA","p ENT","p RNAp","p DNAp","p r","f tC","f FERM","f RESP","f ADPS","f EAA","f ENT","f RNAp","f DNAp","f r"
"1",-1,1.48712963889018,1,0.001,11.7976027742247,19.3753539479021,8.19671641646885,-0.00278806462641779,20.7048152945504,45.9746404531957,7.26062569902351,168.772771368403,0.0472198947999279,-2.25330841652826,-0.0392820532961014,0.0623312121183284,0.159396519522856,0.0130936665514439,0.384627418636858,0.262061710490851,0.130212773456085,420.472066182284,24.5731859242044,1254.70488810766,30.7865982787315,340.872613825707,365.700360276684,68.3702504552669,10.7974916739056,1254.93495269794,19.8546467314358,-55.3709666639235,-49.2873842855241,1.91896598771337,54.3339082444762,4.78835857520581,26.2970729441648,2.82960913707442,163.40856069778,1.11315233862108,0.0650547362807217,3.32168957894779,0.0815040442122988,0.902421772502405,0.968150429046772,0.181002521469274,0.0285851405473367,3.32229864898431
"2",4,0.832040487874034,0.769230769230769,0.001,12.752311267974,20.3055154012186,10.8204284528758,2.74762784545388,16.8846262511017,47.6138493674971,7.8171740708714,135.058466882958,0.0521886594233826,0.00759552227567616,-2.12505486845277,0.0622763060980007,0.157847666713638,0.0133677144233289,0.345087240005918,0.226478235044356,0.129656300841337,236.589728874772,631.286133438663,7.25690475447149e-18,16.3348302765651,164.998483933039,213.948265360836,39.616650457293,6.50420532772409,561.870563384078,12.3473007833159,4.79494788885884,-1.54213207783877e-17,1.01727289036226,26.0446257001179,2.85999931271025,13.6712005645864,1.47306094298905,72.8500588000175,1.11948353363333,2.98708838611378,3.43378616494225e-20,0.0772923389628172,0.780731634953058,1.01234978060964,0.187456099872036,0.0307762758695724,2.65863123785351
"3",4,0.824294345139732,0.591715976331361,0.001,11.83722502238,20.0400996521891,10.7161702217822,2.7461578526635,16.8489622150022,47.6064733338084,7.77185190356811,136.433059808167,0.0564429796702513,0.00765614062276184,-2.27632039837811,0.0623410199231589,0.160110347773718,0.0137624730794364,0.346676355404297,0.227605269455176,0.129977225074538,234.561450306032,629.76716581648,5.32660132138335e-16,16.1521466641109,164.296673267299,211.477441664548,39.2417467611037,6.40629357537466,562.304998449915,13.239347171048,4.82158598108914,-1.21250512418927e-15,1.00694129698912,26.3055974948921,2.91045259781643,13.6041857468378,1.45810617543211,73.0868433440623,1.12031616162411,3.00790403966166,2.54409986768428e-18,0.0771461419986837,0.784716406392789,1.01006194925296,0.187427060369324,0.0305978421400319,2.68569015370407
"4",4,0.814930022830037,0.455166135639508,0.001,10.8715972815938,19.7241342548656,10.5905300863473,2.74351459012624,16.8011338453519,47.5756505865225,7.71610699010633,137.977332355568,0.0615737573777735,0.0077317287751628,-2.48720026974222,0.0624201872765658,0.162870015148922,0.0142543468566703,0.348648025369681,0.228993331766687,0.1304015963956,232.087072152352,627.371159031988,1.06985142390838e-15,15.9275207957292,163.324147277677,208.434056841357,38.7708260186286,6.28808724560636,562.209353032752,14.2904730712267,4.85066364299486,-2.66093475012901e-15,0.994198830920812,26.6006063413001,2.97109134295965,13.5173719333463,1.43993004881101,73.3129971440083,1.12123569499616,3.03089237584079,5.16855847981528e-18,0.0769474347853468,0.789035175825435,1.00696562896004,0.187305710970561,0.0303783739767966,2.71608921959779
"5",4,0.803716904237878,0.350127796645776,0.001,9.87923214623171,19.3536910306909,10.4406299315969,2.73928018571975,16.738178254106,47.5121213528172,7.64816103944727,139.688706083786,0.0677455997881612,0.00782548080091451,-2.79121572225188,0.0625164917387531,0.166210798299968,0.0148646936484644,0.351081971188299,0.230693643359537,0.130954700962993,229.097504085522,623.835259737343,4.48030994135963e-21,15.6543625996785,162.014525435315,204.727319664051,38.1862950874606,6.14695631373731,561.350872053275,15.5203478242444,4.8818108480081,-1.25055115488844e-20,0.978655830138249,26.9285636087941,3.04320888827735,13.4065197516838,1.41806374758797,73.5115355850517,1.12223430009517,3.0558574999782,2.19468016961644e-23,0.0766829072434078,0.793628277544567,1.0028569329493,0.187055595877233,0.0301108702340444,2.74977767881468
"6",4,0.790416231859802,0.269329074342904,0.001,8.8849389372975,18.9262344827258,10.2635836638024,2.73298174243603,16.6568668630223,47.4053951588249,7.56611589605184,141.563882989752,0.0751675507415011,0.00794120732865253,-3.25302452120259,0.0626330769068009,0.170228242915629,0.0156195989458054,0.354073094782152,0.232766544187473,0.131665132339827,225.52075380376,618.875778042259,2.92819213735763e-20,15.3260510710584,160.29845831514,200.266253962916,37.4699938112633,5.98038081637184,559.471954801007,16.9518427048057,4.91462086411472,-9.52548082561699e-20,0.959917735411159,27.2873249010703,3.12807856927956,13.2671166702221,1.39203257555193,73.6629489692962,1.12330307462215,3.0825768917435,1.45851198858639e-22,0.0763379866356627,0.798435390293489,0.997512180255287,0.186635414011122,0.0297878578584718,2.78669061003448
"7",4,0.774784458063062,0.207176211033003,0.001,7.91188756402362,18.4407493884531,10.0565748054965,2.72409960637922,16.5537978349828,47.243965843473,7.46797954672758,143.600945188452,0.0841099913081395,0.00808351533897746,-4.01548351376212,0.0627736653733496,0.17503308370389,0.0165514517791025,0.357735433734133,0.235283828906058,0.132565164260901,221.28319118655,612.198475263604,1.32333070289137e-16,14.936215321701,158.106315586923,194.963647128954,36.603890472785,5.78607448593735,556.298902475892,18.6121272873381,4.94871576529195,-5.31381262071554e-16,0.937600982548755,27.6738359702395,3.22693140413284,13.0945086346384,1.36136975938699,73.7458553848757,1.12443358539579,3.11083965674628,6.72440359765976e-19,0.0758972340211104,0.803405131478091,0.990692838382987,0.185999865525484,0.029401494278455,2.8267902596152
"8",4,0.756577919833352,0.159366316179233,0.001,6.97963532806926,17.8978342446123,9.81696602702385,2.71208500727334,16.4254715683456,47.0154612192245,7.35170532754853,145.800841318938,0.0949259413660254,0.00825804888655057,-5.47191742020937,0.0629427083017666,0.180756835163258,0.0177011349837994,0.362207275083169,0.238331689975095,0.133691431003858,216.311089894538,603.507455645507,1.52633287614101e-16,14.4790527446748,155.370478564178,188.740569621755,35.5708598492465,5.56213792394443,551.548486175172,20.5335338361499,4.98379407211835,-8.35196745399424e-16,0.91135079339396,28.0842759830618,3.34092229979386,12.8840242183609,1.32563373128824,73.7373063847705,1.12561897701073,3.14047442122938,7.94258515112344e-19,0.0753447109276334,0.808502047788416,0.982150138495636,0.185100241020569,0.0289437217620021,2.87009530155389
"9",4,0.735560222730552,0.122589473984026,0.001,6.10306475104555,17.299677475405,9.54244360932209,2.69636789521566,16.2683641422237,46.7067388624945,7.21524726263156,148.168096123861,0.108077893702462,0.00847182924658785,-9.24192370756114,0.0631455606562276,0.187559546692049,0.0191210723383606,0.367657828244169,0.242014467963636,0.135086049680865,210.532828094029,592.513285764604,3.25736349098381e-14,13.9497025214842,152.027318699616,181.531774228809,34.3556192407142,5.30724888355727,544.932788932147,22.7539446156252,5.01967138333244,-3.01043048714674e-13,0.880861786706709,28.5141749801076,3.47108218674001,12.6311123580246,1.28443101490472,73.6128177984205,1.12685457469147,3.1713643552592,1.74346917033229e-16,0.0746642993599977,0.813710057028386,0.971629517797722,0.183884798671238,0.028406485285951,2.91669480558782
"10",4,0.711513937649693,0.0942995953723274,0.001,5.29215540103373,16.6497661976536,9.23118771047567,2.67637768863695,16.0790532098539,46.304035961038,7.05663998142272,150.710783849923,0.124171686938181,0.00873371635037793,-39.8630423409123,0.0633887127286891,0.195640240592052,0.0208795951384094,0.374296017193892,0.246459599589234,0.136798352812587,203.88223374682,578.942339594271,1.48196748857506e-15,13.344750490902,148.019230903288,173.292616357591,32.9459669557111,5.02089769975833,536.164116316653,25.3164009010672,5.05631817724054,-5.9075732744923e-14,0.845906555303819,28.9585179461696,3.61827967002221,12.3315442141242,1.23744843666095,73.3463679493345,1.12813806892472,3.20345172311429,8.20014529979302e-18,0.0738402791279169,0.81903227292634,0.958877063409723,0.182299354177315,0.0277820471709556,2.96674771358116
