"","convergence","mu","x_C","x_W","C","I","P","AA","NT","ATP","RNA","DNA","p","tau tC","tau FERM","tau RESP","tau ACT","tau EAA","tau ENT","tau RNAp","tau DNAp","tau r","v tC","v FERM","v RESP","v ACT","v EAA","v ENT","v RNAp","v DNAp","v r","p tC","p FERM","p RESP","p ACT","p EAA","p ENT","p RNAp","p DNAp","p r","f tC","f FERM","f RESP","f ACT","f EAA","f ENT","f RNAp","f DNAp","f r"
"1",4,0.808093677985589,1,0.001,6.88176842926538,56.925775413873,10.3278237142265,17.8026270827754,6.47092730454436,13.8859470381543,38.7105729872557,7.39743236525886,95.5971271867167,0.0322675271365989,0.00290670210639827,0.0159006756747155,0.0129189345789596,0.170521662858653,0.0354598407034105,0.336154712578525,0.155148328882396,0.679540237863262,228.061994931461,1.03052495646887e-15,222.500881370411,130.498162917654,103.032397482909,42.4887030753993,31.281769302201,5.97781832769167,77.2514341131701,7.35899661027779,2.99542906166404e-18,3.53791435200926,1.68589722940759,17.5692557470992,1.50664264274817,10.5155141687291,0.927448523903922,52.4954579125417,1.11111111776934,5.0206863121382e-18,1.08401754127617,0.635783089198425,0.501970713568886,0.207003671878185,0.152403830658487,0.0291237494695231,0.376366642467389
"2",4,0.806401750731944,0.769230769230769,0.001,6.86277663202828,56.9269521376033,10.3030125369197,17.7845473478221,6.45667346687827,13.8805094026371,38.6808156531951,7.38312838956989,95.7215859417698,0.033149185435534,0.00290965894240524,0.0159243303627713,0.012919510325987,0.170588283112526,0.0354806448072014,0.336558607016565,0.155334741699953,0.679939103208409,227.58449544701,3.24519566699742e-16,222.05034035606,130.238352620866,102.871262214097,42.3527179092991,31.1922774624761,5.95376765922787,77.1900544862814,7.54424064182537,9.44241259233377e-19,3.53600297699572,1.68261574152482,17.5486320027212,1.50270174075944,10.4980294524452,0.924826961487696,52.4845364240104,1.11111111770964,1.58436671077338e-18,1.08409231207173,0.635848594452809,0.502237214861238,0.206774084683635,0.152286675799981,0.0290674346046059,0.376856637566023
"3",4,0.804215934255228,0.591715976331361,0.001,6.83835143119323,56.9284854496817,10.2710719562819,17.761173580433,6.43829797446554,13.8735235046219,38.6422301911193,7.36466668273123,95.8822007218558,0.0342954471196125,0.00291348584981884,0.0159549456220802,0.0129202496097109,0.170674520335405,0.0355075758293798,0.33708244934433,0.155576515081998,0.680456633823534,226.967609445585,5.47253396597519e-16,221.468098260582,129.902508037281,102.662580690696,42.177261372136,31.0766972548566,5.92278229673105,77.1099936319746,7.78395564760593,1.59441502725217e-18,3.5335114647731,1.67837282876914,17.5218867157793,1.49761230644669,10.4754092281993,0.921445829314771,52.4700067009676,1.11111111763947,2.67905775018196e-18,1.08418847420958,0.635932683267203,0.502580676818289,0.20647714507211,0.152134764531966,0.0289947507194143,0.377488979219905
"4",4,0.80139720791085,0.455166135639508,0.001,6.80703667611559,56.9304868566251,10.2300705158104,17.7310037578697,6.4146675874206,13.8645826809362,38.5922368330723,7.34088903054553,96.089026072037,0.0357857618335826,0.00291843237932955,0.0159945178581658,0.0129211949335975,0.170786010529435,0.0355423941698933,0.337761387448296,0.155889871129983,0.681127736628265,226.172100908574,3.44168050421318e-16,220.716960722188,129.469094298379,102.392625369897,41.9513755119561,30.9277108450584,5.88296797266257,77.0054772050033,8.09374093651523,1.0044311822803e-18,3.53026136987112,1.67289540530566,17.4872279945597,1.49105232441515,10.4461865256266,0.917095119120184,52.4505663966233,1.11111111115675,1.69078742865312e-18,1.08431175416417,0.636040204112,0.503022182187678,0.206093675004088,0.151937940287686,0.0289011379155336,0.378303252252114
"5",4,0.79777082588946,0.350127796645776,0.001,6.76704366162285,56.9330941401413,10.1776235068804,17.6921456086069,6.38437104173081,13.8531806721151,38.5275322468696,7.31034603159032,96.3546631128984,0.0377234622813291,0.0029248163100154,0.0160455893036526,0.012922399566121,0.170929932690755,0.0355873442550141,0.338640640879202,0.156295680405785,0.681997366321227,225.148655326486,5.80580738529651e-15,219.750105315723,128.910982250477,102.043947003313,41.6613869699738,30.7361412200679,5.83198079115955,76.8689391698776,8.49338680690066,1.69809201333231e-17,3.52601993933049,1.6658392211018,17.4423649927753,1.48261812024182,10.4085065609175,0.911513405867752,52.4244140657631,1.11111111120934,2.86517238399218e-17,1.08446920702972,0.636177127186092,0.503588010253154,0.205599406772404,0.151683197822321,0.0287808898881509,0.379349067373616
"6",4,0.793119320569249,0.269329074342904,0.001,6.71622448269095,56.9364962319002,10.1108437390801,17.6422281419733,6.34568250752639,13.8387258500605,38.4439026764712,7.27124780814376,96.6946485819912,0.0402429480390351,0.00293303806543963,0.0161113633470464,0.0129239248359528,0.171115346928674,0.0356452581225131,0.339778051557137,0.156820639180217,0.683123156573636,223.835897155915,8.63816298743084e-16,218.509129757412,128.194259343335,101.594450205666,41.2904524909964,30.4906019707932,5.76696712128562,76.6903939860312,9.00781637851627,2.53360608576064e-18,3.52047998416858,1.65677297215391,17.3843695929704,1.47180883703693,10.3600373284403,0.904379470091309,52.3889840186135,1.11111111119789,4.28794442608428e-18,1.08466928252588,0.63635041455816,0.504310183906414,0.20496390941788,0.151353947545162,0.0286269598745817,0.380687592842485
"7",4,0.787175605835687,0.207176211033003,0.001,6.65205144055441,56.9409366453717,10.0263002352846,17.5783219564389,6.29652375744885,13.820528274529,38.3360114407144,7.22141503111912,97.1279112367207,0.0435190517093378,0.00294359974329241,0.0161958567698687,0.0129258418523771,0.171353625010031,0.0357196918178382,0.34124742594477,0.157498811974509,0.684578756930109,222.158448773974,1.06876002403812e-14,216.922116151205,127.277083549862,101.016450478842,40.8181646867089,30.1771730311682,5.68452175211213,76.4567223713204,9.66812501986085,3.14600173239979e-17,3.51323952340173,1.6451634533973,17.3095349751959,1.45801226317901,10.2978826191761,0.895305422600917,52.340647959909,1.11111111119065,5.34533412732512e-17,1.08492193229083,0.636568100437505,0.505227242805766,0.204149410351505,0.15092917890045,0.0284307678390517,0.382393351325672
"8",4,0.779617237787697,0.159366316179233,0.001,6.57164309958144,56.9467280696099,9.92002766864859,17.4968600814419,6.23445089710766,13.7978127793228,38.1971602677952,7.15824707481827,97.6770711886891,0.047779230140967,0.00295712459851991,0.0163040556116887,0.0129282297287407,0.171658905841863,0.0358150695405172,0.343142470904089,0.158373448109579,0.686457803293985,220.025310307461,1.99350585969197e-15,214.901944066439,126.108642389086,100.275663568857,40.2203427787102,29.7791645793124,5.58069281187168,76.150728435318,10.5126399380179,5.89504521498871e-18,3.50377324711923,1.63036149958571,17.2132106907969,1.44049437356295,10.2184961152048,0.883833563456463,52.2742617609452,1.11111111604119,1.00670532744699e-17,1.08523850541291,0.636839071793936,0.5063844896029,0.203109678109138,0.150382520739351,0.0281820750977097,0.384555398380666
"9",4,0.77006361118608,0.122589473984026,0.001,6.47185900615692,56.9542852717418,9.78762208297915,17.3935752266944,6.15668057933994,13.7697744284011,38.0190346468419,7.0787224365398,98.3684473762744,0.053319429006747,0.00297437580173307,0.016442065237394,0.0129311679688894,0.172048532072216,0.0359368215043551,0.345581417062074,0.159499115567111,0.68887854732409,217.329064504064,4.65069982072058e-15,212.345321386696,124.628476208937,99.3302547926528,39.4691773558672,29.2770751139557,5.45106656206576,75.7499618133417,11.5878616259272,1.38329290078756e-17,3.49139562709545,1.61159175956449,17.0896245274351,1.41839678156153,10.1176131053136,0.869440295546942,52.1825236538301,1.11111111572603,2.37770510745977e-17,1.08563135585927,0.637172416711693,0.50783336540774,0.201789124656384,0.149681238767094,0.0278689859706291,0.387277351875096
"10",4,0.758078706302251,0.0942995953723274,0.001,6.34945895886632,56.9641224071058,9.62441344898726,17.2635034198497,6.06016967664294,13.7356108946054,37.791495286523,6.97944834382068,99.2317785262185,0.0605247617174919,0.0029962774555215,0.0166172784677014,0.0129347335157973,0.172543553070988,0.0360915463956954,0.348712545761605,0.160944251889972,0.691989141271091,213.946657922792,2.73824340425926e-15,209.133268289536,122.766691849492,98.1303358761172,38.5339846156635,28.6489278560349,5.29097117118697,75.2254982892272,12.9490704910308,8.20453697991244e-18,3.47522575602772,1.58795444368918,16.9317568161147,1.39075109356723,9.99024056601851,0.851551396918095,52.0552279628523,1.11111111532205,1.42208002334287e-17,1.08611324540525,0.637576848498904,0.509630334966891,0.200122493334593,0.14878541451387,0.0274781430859082,0.390676293410309
"11",4,0.743182715007402,0.0725381502864057,0.001,6.20138493316681,56.9768853498365,9.42580424864748,17.1010495413704,5.94178154538322,13.6946392842654,37.5024391975925,6.85679315769665,100.299223590303,0.0698963978977624,0.00302392869256239,0.0168384883640286,0.0129389858601767,0.173169069370499,0.0362871248699905,0.352720353338357,0.162794009233088,0.695973292349207,209.742678046993,2.16427711641781e-16,205.133915955556,120.445443261642,96.6180686337569,37.3828440783267,27.8711645822668,5.09585015518117,74.5406493009758,14.6602576809149,6.54461967099203e-19,3.45414505688524,1.5584418872851,16.7312610296827,1.35651593106563,9.83072701940863,0.829573877212995,51.8783011078477,1.11111111482179,1.14652505727399e-18,1.08669621351011,0.638059320991715,0.511833885936794,0.198035487797923,0.147647398415718,0.026995248652349,0.394878833032689
"12",4,0.724876334790713,0.055798577143389,0.001,6.02512923371896,56.9933574855633,9.18773587476225,16.9001816373286,5.79854663920419,13.6464168451585,37.1378512080467,6.70712017852786,101.60366338849,0.0820865529219431,0.00305861429201875,0.0171159731596794,0.0129439526285724,0.173954498028085,0.0365328135636286,0.357832562025881,0.165153490165791,0.701055990772771,204.576212047071,1.97959626404415e-14,200.208738451492,117.582466288388,94.7290588557759,35.9854113926432,26.9203494656917,4.8618326920121,73.6500911183582,16.7929560567725,6.05482142563237e-17,3.42676739366901,1.52198187358761,16.4785458819294,1.31464832541791,9.63297761994053,0.802948637687943,51.6328375994855,1.111111122007,1.075174578732e-16,1.08739014077189,0.638623546397374,0.514500243301458,0.195446921361334,0.146212012630105,0.0264059849548341,0.400014422789332
"13",4,0.702680882228413,0.0429219824179915,0.001,5.81917898623244,57.0144490325491,8.90727106239686,16.6547779082242,5.62802224495181,13.5908822915731,36.6821449203954,6.52713699015758,103.176138680184,0.0979439678073592,0.00310180549772659,0.0174615028053421,0.0129496127105201,0.174933665926084,0.0368392907420177,0.364327909598872,0.168151342891787,0.707508847738906,198.312161748174,4.74256379352915e-15,194.223135924283,114.097209232366,92.3955721576521,34.3170399696475,25.7758419546939,4.58649437866964,72.4999001527128,19.423479986071,1.47105104480878e-17,3.39142783280421,1.47751467091032,16.1630961528761,1.26421541284729,9.39085861750456,0.771225188938933,51.2943208182315,1.11111112037036,2.65718215343119e-17,1.08820096688126,0.639268297333625,0.51767751807231,0.192272851005924,0.144417893387383,0.0256973897250298,0.406205270394425
