"","convergence","mu","x_C","x_W","C","AA","NT","ADP","ATP","W","LIP","rRNA","mRNA","tRNA","DNA","TC","p","tau tC","tau tW","tau ATPS","tau ADPS","tau EAA","tau ENT","tau LIPS","tau rRNAp","tau mRNAp","tau tRNAp","tau DNAp","tau tRNAc","tau r","v tC","v tW","v ATPS","v ADPS","v EAA","v ENT","v LIPS","v rRNAp","v mRNAp","v tRNAp","v DNAp","v tRNAc","v r","p tC","p tW","p ATPS","p ADPS","p EAA","p ENT","p LIPS","p rRNAp","p mRNAp","p tRNAp","p DNAp","p tRNAc","p r","f tC","f tW","f ATPS","f ADPS","f EAA","f ENT","f LIPS","f rRNAp","f mRNAp","f tRNAp","f DNAp","f tRNAc","f r"
"1",4,0.451931414387711,1,0.001,6.37825988839049,4.53176634318389,12.2565865391717,1.89978849251681,14.3984683147057,12.0989465310331,37.3654486861754,38.6931086056442,7.68066671477935,2.09504350840817,12.1691092225662,12.9378582979189,127.494949340763,0.206358371225352,0.613843292668604,0.00433156072363061,0.204985620638222,0.16263972007361,0.0248149458018256,0.0338329698859969,0.323894707601878,2.59115766081503,0.323894707601878,0.205729574023821,0.000504643603152938,0.0080831360525233,140.936001918085,9.87589152634611,767.18927723586,7.36569425094222,82.775814135038,138.007461986002,93.8145559665262,17.4866312992061,3.47113457185085,6.73229294831922,5.4996027427929,5768.0520410226,5761.89727828605,29.0833238028291,6.06224977257026,3.32312694086541,1.50986140746078,13.4626352397878,3.42464768943013,3.17402504688365,5.66382733159822,8.99425693757121,2.18055405598604,1.13143092957502,2.9108105651553,46.5741996210498,1.07535390999332,0.0753539083200248,5.85372067997247,0.0562008855421467,0.631586636285668,1.05300889648593,0.715813193221752,0.133424512433256,0.0264850576371702,0.0513679787042871,0.041962445595056,44.010737007878,43.9637756347458
"2",4,0.4493938441761,0.91324200913242,0.001,6.17685719436146,4.5055021665267,12.2026702079236,1.90726540701415,14.383215116954,11.9614040499358,37.5356829449309,38.6195085319272,7.680223856934,2.0942021994977,12.1247329454145,12.9183115137864,127.890424916492,0.209609916191953,0.614186624315485,0.0043838424247909,0.205704705682289,0.164243627047085,0.0251519516883684,0.0342472260718315,0.324869758234785,2.59895806587828,0.324869758234785,0.206327409153058,0.000506511476330791,0.00809573614550429,140.24603543388,9.92182015018381,764.860074896402,7.3208416661419,82.4318558423195,136.963063722959,93.7128047355431,17.3553693993544,3.45144532320056,6.68542167287091,5.44878034794842,5753.42792620263,5747.31696865374,29.3969597335494,6.09384922510675,3.35302604535959,1.50593158028036,13.538906987765,3.44488836185078,3.20940360960355,5.63823466084367,8.97016166166998,2.17189132256317,1.12423273223629,2.91417727286369,46.5287617228002,1.0761318273599,0.076131823733352,5.86890222975999,0.0561740707723037,0.632513734779228,1.05094102367326,0.719074385918216,0.133170719075611,0.0264835305411517,0.0512983844373263,0.0418094239497051,44.147036945846,44.1001465229284
"3",4,0.446714504769697,0.834010967244219,0.001,5.97619685169601,4.47793651899696,12.1449525675797,1.91463958728486,14.366814143802,11.8179800013687,37.7103222246667,38.5394075278173,7.67945615622506,2.09317499940454,12.0771778690404,12.8970206778713,128.304920629717,0.213084280504412,0.614628617455033,0.00443927834693138,0.206462521277832,0.165944900614028,0.0255123502601478,0.0346890830638149,0.325924513013636,2.60739610410909,0.325924513013636,0.206974085440123,0.000508514286517481,0.00810957648645019,139.514872690258,9.96766641627963,762.346474998463,7.27316154041312,82.0646074235107,135.855892409992,93.5874884294317,17.2161123479065,3.43052445372868,6.63569272042725,5.39505053078392,5737.63141965681,5731.56690786195,29.7284262668683,6.12641302869091,3.38426819932014,1.50163526929465,13.6182031228237,3.46600311206866,3.24646415986238,5.61115303297946,8.94473609570313,2.16273491841338,1.11663564951225,2.91766754766707,46.4805802265133,1.07694234854869,0.076942349391884,5.88470022845088,0.0561429439002988,0.633472613687679,1.04869797043803,0.722419965989784,0.132894508716611,0.0264808832973278,0.0512221984995823,0.0416454409277254,44.2898892214193,44.2430760792129
"4",4,0.44388857899251,0.761653851364584,0.001,5.77726236219696,4.44950371080512,12.0847218939083,1.92206078518644,14.3496254729108,11.6730989423506,37.8925045813797,38.4541747167236,7.67829687863812,2.09196655962501,12.0275658843377,12.874370204117,128.724847546991,0.21678990638257,0.615076003622229,0.00449802446995936,0.207253123169056,0.167745136375088,0.0258954250101334,0.0351593793207383,0.327036664737,2.616293317896,0.327036664737,0.207655937152253,0.000510624723420256,0.00812444828354928,138.737854527878,10.0101668246083,759.586106328363,7.2228156909187,81.6681753934342,134.691294696756,93.4447222949766,17.0693689713361,3.4083082905413,6.58323031777646,5.33889912913743,5719.96452996647,5713.94896586613,30.0769664948173,6.15701340607189,3.41663689330613,1.49695111001736,13.6994392188762,3.48788832133763,3.28545843669014,5.58230949755101,8.91713420587274,2.15295768632112,1.10865410202238,2.9207553060878,46.4226828680192,1.07776234299507,0.0777623445841413,5.90072049512957,0.0561092629589558,0.634425869995511,1.04632730445061,0.725910049451718,0.132600602471461,0.0264768857884073,0.0511407485426928,0.0414743651184058,44.4346093908104,44.3878784644796
"5",4,0.440911279529149,0.695574293483638,0.001,5.58003354836753,4.41977245384947,12.0205087613215,1.92930483525768,14.331228868,11.5226850499926,38.0793358636102,38.3618631861016,7.67674140183516,2.0905289778073,11.9746083753582,12.8498282049543,129.16356029144,0.22075046828333,0.61562763849622,0.00456023819122596,0.208084351504975,0.169651704018403,0.026304588892678,0.0356604138071046,0.328236409589158,2.62589127671326,0.328236409589158,0.208391454999459,0.00051288311669698,0.00814070557035887,137.916125106962,10.0518541238008,756.616796640219,7.16945272093022,81.2459585812354,133.46061174881,93.275603884692,16.9141781825062,3.38476187409753,6.52773374738349,5.27973990063964,5700.93088913296,5694.96706366393,30.4450492011842,6.18819921674395,3.45035281216178,1.49185092008034,13.7835153179151,3.51062652541777,3.32624663263569,5.55184911777711,8.88801667894435,2.14263988799514,1.10025267991299,2.9239112024926,46.3610500981793,1.07861347004841,0.0786134706763587,5.91734337002355,0.0560708058733026,0.635407826639209,1.04376782222909,0.729489192789467,0.132282286848626,0.0264715220752936,0.0510520545973634,0.0412917530184765,44.5858005658504,44.5391587211863
"6",4,0.437777871677772,0.635227665281861,0.001,5.38541030645821,4.38931682384515,11.9535572191492,1.93649773658229,14.3120020824793,11.3707887018721,38.2739184198551,38.2637527338254,7.6747233720442,2.08885799757631,11.9193470422416,12.8237485624006,129.608079134805,0.224977811531696,0.61619466088249,0.0046260884753085,0.208949878881434,0.171666852862214,0.0267386082263313,0.0361930641602041,0.329502730868964,2.63602184695171,0.329502730868964,0.209167753795624,0.000515253496983511,0.00815815418058007,137.045283756918,10.0897009120809,753.379029464207,7.11323366874539,80.7924021089531,132.168940419133,93.0859697034047,16.7510242342186,3.35982406352916,6.46931491517839,5.21802637994128,5679.86432816956,5673.95490358789,30.8321480203718,6.21721983192544,3.48519804574347,1.48630931353969,13.8693774052225,3.53401351755652,3.36906647389014,5.51950823002723,8.85656963337694,2.1316569314026,1.09144285713863,2.92656995748126,46.2889989171283,1.07947425980729,0.0794742593482035,5.93419377807779,0.0560293097209017,0.636383216363055,1.0410644220455,0.733216827966573,0.131943974944226,0.0264645633518766,0.0509573094241553,0.0411011966973849,44.7389882626818,44.6924410809671
"7",4,0.434483688813335,0.580116589298504,0.001,5.19327271956349,4.35753299878884,11.8824436391603,1.94344313526428,14.2914803315236,11.2137951009606,38.4734298509322,38.1579870614912,7.67223672145068,2.08691693010408,11.8605808322165,12.7956269918283,130.071253553107,0.229497745214627,0.616871025534159,0.00469576819927961,0.209858493310019,0.173798526600115,0.0272019933543041,0.0367601259090782,0.330865552586911,2.64692442069529,0.330865552586911,0.210003166725507,0.000517788165052585,0.00817714728627458,136.126215981156,10.1259462833395,749.907867220087,7.05380943545218,80.3106123247737,130.808241322374,92.867098460745,16.5790229761682,3.33346171218502,6.40770162195844,5.15322891145015,5657.23590124977,5651.38380523283,31.2406596322746,6.24640286830743,3.52139351528168,1.48030182021999,13.9578660923987,3.55824491113942,3.41380623222775,5.48542759836099,8.82342121143526,2.12008773796133,1.08219439026597,2.92924979657772,46.2121977466558,1.08036448052776,0.0803644809884859,5.95163699786578,0.0559824947130617,0.637384447512535,1.03815842280197,0.737038886033184,0.13157926572928,0.0264559886946575,0.050854665901698,0.0408985545938499,44.8986015046713,44.8521563976229
"8",4,0.431024157773169,0.529786839542012,0.001,5.00430461397731,4.32487806499129,11.8080469685059,1.9502155637426,14.2699556416669,11.0546296970736,38.6802790128314,38.0454304868843,7.66922393905738,2.08473435539858,11.799050958827,12.765680056467,130.543571270155,0.234326986379333,0.617591925800284,0.00476947662887187,0.210805764712238,0.17605024970117,0.0276942141880207,0.0373628802510725,0.332310968107567,2.65848774486054,0.332310968107567,0.210889166842701,0.000520455531893552,0.00819756711883453,135.155334368828,10.1583283432459,746.157039896065,6.99128563274824,79.796280805671,129.382047304306,92.6229704663158,16.398499632727,3.30562078910604,6.34296824345941,5.0856760020511,5632.53519804174,5626.74328594202,31.6705421957386,6.27370156441684,3.5587785632525,1.47380331413318,14.048155161063,3.58313413013006,3.46066095403159,5.44940128846308,8.78795235699461,2.10783791765955,1.07251397490447,2.93148410240597,46.1256057469612,1.08126857562159,0.0812685734506326,5.96939930995811,0.0559316248462396,0.638385538311005,1.03508117273392,0.741001513655774,0.131191139609946,0.026445599789853,0.0507449614907701,0.0406863826166447,45.061360982654,45.0150245759154
"9",4,0.427394813954785,0.483823597755262,0.001,4.81870233134665,4.2912271019126,11.7299635117764,1.95674214758551,14.2472786165222,10.8924941952053,38.8938848826576,37.9253828614975,7.66565253906538,2.082246622399,11.7343851288057,12.7337411719679,131.028299356071,0.239490598484998,0.618383944658756,0.00484740049346279,0.211794985140455,0.178428383054406,0.0282177113095189,0.038003641155271,0.3338504890911,2.6708039127288,0.3338504890911,0.211832794855374,0.000523277749589564,0.00821957077883776,134.131632731097,10.1871364846955,742.126600737944,6.92551443979524,79.2493596038438,127.887473249598,92.3502482966794,16.2091119522537,3.27626014077587,6.27498861072918,5.01521534899973,5605.81033623013,5600.08156260998,32.1232649985404,6.29956164418317,3.59738485062897,1.46678922786644,14.140335092211,3.60869180026098,3.50964569686718,5.4114199529923,8.75024840310161,2.09490801673302,1.06238708418018,2.93339581736842,46.0302667711371,1.08219111787228,0.0821911162625712,5.9875720536812,0.0558759336693365,0.639393939476459,1.03181244289556,0.745093580127541,0.130777182281026,0.0264332846174668,0.0506274083227978,0.0404633969958819,45.2283926678719,45.1821721917486
"10",4,0.423591334645882,0.441848034479692,0.001,4.63671917100045,4.25657744883207,11.6480923324565,1.96297096077779,14.2234131867832,10.7275260668925,39.1144058133958,37.7975329302398,7.66148371930021,2.07944755245379,11.666490415599,12.6997173513674,131.525622223747,0.245013949444704,0.619251254829706,0.00492978230362613,0.212827356340399,0.18093912837244,0.0287744589488457,0.0386846629816904,0.335489921582204,2.68391937265763,0.335489921582204,0.212837599890574,0.00052626146730288,0.00824325424108775,133.053509647011,10.2120229500807,737.805501710208,6.85641206415638,78.668795790869,126.32339160203,92.0473520132054,16.0107074202419,3.24533811402607,6.20369997369298,4.94182424577696,5576.97400707556,5571.31138578873,32.5999658860933,6.32380802618723,3.63722050584899,1.45923205359482,14.2342633405093,3.63488724593158,3.56082079098788,5.37143097689258,8.71022583505875,2.08127881769378,1.05180601155222,2.93494652407361,45.9257362093234,1.08313170774116,0.0831317105934096,6.00615898947953,0.0558151177502109,0.640409015567956,1.02834469557816,0.749318119030571,0.130336320449103,0.0264189093768973,0.0505016678225652,0.0402292772951689,45.3997598134569,45.353662835775
