"","convergence","mu","x_C","x_W","C","I","AA","NT","ADP","ATP","RNA","DNA","p","tau tC","tau FERM","tau W","tau RESP","tau ADPS","tau EAA","tau ENT","tau RNAp","tau DNAp","tau r","v tC","v FERM","v W","v RESP","v ADPS","v EAA","v ENT","v RNAp","v DNAp","v r","p tC","p FERM","p W","p RESP","p ADPS","p EAA","p ENT","p RNAp","p DNAp","p r","f tC","f FERM","f W","f RESP","f ADPS","f EAA","f ENT","f RNAp","f DNAp","f r"
"1",4,0.689541756414779,1,0.001,59.1015987183551,4.95863585894704,3.44723488273012,6.66556369985312,1.31435919227769,6.96870894844367,45.3938320943985,7.12201297449871,119.028053907739,0.0462187694852809,0.0036903677175944,0.20084629251659,0.00936657886410197,0.747282691745654,0.273110072123653,0.0143741211964237,0.299320595277312,0.138147967051067,0.146059861845681,179.972570786373,2.13466590356853e-17,4.82896446584816,434.113207655148,5.71152135425632,107.711612701868,139.280161388507,31.3009427127691,4.91092533564468,410.374066770876,8.31811076284875,7.8777021383788e-20,0.969879609659958,4.06615559545022,4.26812105157144,29.4171263135622,2.00202992005585,9.36901680552709,0.678434351458892,59.9391794976046,1.02757145843767,1.21880892528384e-19,0.0275714573461602,2.4786129351164,0.0326105044910291,0.614990264744901,0.795234062302227,0.178715874387396,0.0280394211594437,2.3430719273177
"2",4,0.685826511992128,0.769230769230769,0.001,58.0149607895419,4.96011016526895,3.41721676572689,6.64615212968633,1.32299851120782,6.97443782098155,45.4684210809536,7.09657765822233,120.099125093833,0.0496367206141623,0.00370452363090282,0.200816317411119,0.00940524465626799,0.749345937818434,0.274746392281846,0.0144644854749607,0.299820623814845,0.138378749453005,0.146220834940119,179.060021926132,1.85884048156443e-17,4.86008786955461,434.83489069988,5.69060181818217,107.860371356376,138.620296076688,31.1834486357398,4.86702110241988,411.835820282048,8.88795228151318,6.88611849003419e-20,0.975984948258405,4.08972853211392,4.26422935619701,29.6342479003445,2.00507125913599,9.34944102266567,0.673492293714251,60.2189774998898,1.02789948174635,1.06707301110319e-19,0.0278994816856315,2.49618286643584,0.0326670721739738,0.619175730157816,0.795754010102452,0.179009531814778,0.0279392821189855,2.36415600578411
"3",4,0.681105032103206,0.591715976331361,0.001,56.6631132631501,4.96176357192825,3.37931714865582,6.62144280225977,1.3339712913955,6.98097536906947,45.5580369939043,7.06419213728971,121.437186858721,0.054014540107748,0.00372299959544659,0.20078272208802,0.00945566680859624,0.751992487156121,0.276854530615093,0.0145824658813803,0.300462667383187,0.138675077253779,0.146439931910715,177.898188058079,1.1937071341917e-17,4.89751028775254,435.631180247329,5.66335201211247,108.020406512084,137.768009240297,31.0298082492922,4.81145681245193,413.557395269662,9.60908881395878,4.44417117767741e-20,0.983335447029036,4.11918329185428,4.25879816522908,29.9059389417546,2.00899729429233,9.32329895497116,0.66722914516999,60.5613168044621,1.02830919483159,6.90001419027743e-20,0.0283091970505853,2.51808943696165,0.0327360104742717,0.624392965765104,0.796343752580494,0.179362350369702,0.0278117800680697,2.39049580430554
"4",4,0.675140056732963,0.455166135639508,0.001,55.000620481941,4.96347389837594,3.3318410016051,6.59014188350266,1.34782695639035,6.98808350335974,45.6632300979667,7.02317253250051,123.091609744307,0.0596007611918393,0.00374712319612465,0.200747993771723,0.00952144506543362,0.755377262976757,0.279564865046898,0.0147366930047333,0.301284747728432,0.139054498951584,0.146739476638381,176.427069000389,7.801422507989e-17,4.94149452273668,436.449188004147,5.62790706071655,108.177474052378,136.670289481474,30.8290757589516,4.74162510203778,415.520381930618,10.5151876072683,2.92328912424545e-19,0.991995111673347,4.1556269674346,4.25119303181163,30.2426209345675,2.0140680989565,9.28833031273645,0.659344302780117,60.973243377079,1.0288158033538,4.54931706927659e-19,0.0288158029602958,2.54510730424598,0.0328185451171262,0.630825504853435,0.796978346146917,0.179776496448688,0.0276502855610256,2.42306318394306
"5",4,0.667657907446627,0.350127796645776,0.001,52.9848222395211,4.96490742470105,3.27294045240364,6.55070970455282,1.365198744841,6.99525217891146,45.7829744503955,6.97154541520074,125.111649471715,0.0666971137467158,0.00377862538564937,0.200718904335931,0.00960727786471168,0.759691616615703,0.283040558347803,0.0149386113113322,0.302333946756099,0.139538744656661,0.147150256327226,174.576833723124,4.04279664935041e-16,4.9917251767711,437.188677821749,5.5819211690628,108.305749979386,135.262055821887,30.5673649182334,4.65460742358205,417.658910417406,11.6437709363727,1.52762140482537e-18,1.00193360822758,4.20019310713945,4.24053871674673,30.6549199464429,2.02062727709489,9.24155207766343,0.649498076756215,61.4586157252714,1.02943492666358,2.38393375769453e-18,0.029434926339791,2.57798978761044,0.0329151611171358,0.638651299886101,0.797605739236898,0.180247930907069,0.0274470291937037,2.46282774550621
"6",4,0.658353002481961,0.269329074342904,0.001,50.5819720662751,4.96556242258906,3.20073015981109,6.50134406895112,1.3867947581895,7.00158625674405,45.9137541902905,6.90704202303551,127.541215852723,0.0756651170500615,0.00381975285490212,0.200705618563183,0.0097192829162383,0.765170489827656,0.287484953699026,0.0152034563621936,0.303668380279481,0.140154637052068,0.147714000999251,172.268528152975,3.52072770253126e-17,5.04686433843749,437.681961492663,5.52251582714416,108.363065205505,133.465344298316,30.2274579263965,4.54727185413451,419.8357119842,13.0347183467367,1.34483096930768e-19,1.01293402885056,4.25395481108131,4.22566614053688,31.1527507832891,2.02913453790459,9.17912318847497,0.637321236293307,62.0156127795555,1.03018069216135,2.10542560524143e-19,0.0301806850802083,2.61737597036096,0.0330251221060375,0.648020498665903,0.798134297906674,0.180762811772797,0.0271930788308485,2.51065385536856
"7",4,0.646897993032505,0.207176211033003,0.001,47.7754762651956,4.96456580115524,3.11346358583957,6.43995059209167,1.41337153013561,7.00567435585726,46.0484586347848,6.8271247214316,130.411915099633,0.0869328449668616,0.00387339164017362,0.200725835112386,0.00986536744891879,0.772101271207371,0.293148564281033,0.0155515851477493,0.305359593220139,0.140935196870834,0.148486249295961,169.416308336169,6.02183655764987e-17,5.10421772675064,437.672914726094,5.44626388689734,108.285981367392,131.189711837453,29.7886554730826,4.4164532804767,421.816030727389,14.7278416674462,2.33249313808929e-19,1.02454836579747,4.31780412621221,4.20506727040423,31.7438799696136,2.04020797414884,9.09625171783538,0.622433712554823,62.6338802956198,1.03106416636025,3.66487733751744e-19,0.0310641640526752,2.66366835278382,0.0331458499448537,0.659026254341034,0.798417886679015,0.181293144231436,0.0268784437851638,2.56716368306363
"8",4,0.632960680365886,0.159366316179233,0.001,44.5744880866872,4.96042484230293,3.00978692119669,6.36416620411469,1.44569531125348,7.00552458889518,46.1755068574222,6.72906094836685,133.735347222671,0.101003122628072,0.00394321008631451,0.200809921809829,0.0100556889936697,0.780833544467143,0.300338010361609,0.0160103178766147,0.307495007355495,0.141920772625613,0.149538580084238,165.931493488862,4.48807469135888e-16,5.15948005378354,436.801786151129,5.34928989791981,107.986327195053,128.335533237285,29.2272802367136,4.2592309961018,423.246081835148,16.7595989847147,1.76974213910992e-18,1.03607478617964,4.39234291341518,4.17690499137501,32.43239865602,2.05469268199379,8.98724275136936,0.604473353757726,63.2916181038451,1.03209190819754,2.79157709904456e-18,0.0320919043278186,2.71690189423308,0.0332725192919238,0.671673665743675,0.798245484346886,0.181793334084339,0.0264923659384522,2.63258557524942
"9",4,0.616227738729378,0.122589473984026,0.001,41.0221670344842,4.95134800232775,2.88907090847914,6.27124891388901,1.48444998922098,6.99845835326665,46.2776810826182,6.60998170123129,137.495595563547,0.11846854105499,0.00403378924374945,0.200994729011445,0.0103031341450263,0.791794268838371,0.309422659512736,0.0166163131538411,0.310183077406149,0.1431614203413,0.150961026346872,161.728095932454,1.60719141984027e-17,5.20624934061639,434.600385460687,5.22740342573981,107.350308475798,124.798700020743,28.5175907671811,4.07325407679232,423.642999696867,19.1596915727193,6.48307146199811e-20,1.04642867538321,4.47774607088161,4.13902807340685,33.2166179480941,2.07369428073694,8.84567406437342,0.583132839044578,63.9535820389065,1.03326213203017,1.02681604174597e-19,0.0332621259314935,2.77661168440263,0.0333972769389282,0.685848726347003,0.797324485362655,0.182195594813457,0.0260235500048476,2.70660621188084
"10",4,0.59643385818786,0.0942995953723274,0.001,37.1975685400359,4.93433990059135,2.75167159840425,6.15819305510459,1.53016805224451,6.98129202721866,46.3326020202021,6.46707961271153,141.64708528464,0.140037690349644,0.00415077349578618,0.201342849746236,0.0106239622949369,0.805505790876675,0.320846323147367,0.017419163647136,0.31355676644808,0.144718507591421,0.152862215499343,156.731019513325,7.45645234054945e-16,5.23681947924247,430.51720335592,5.07652297400614,106.244805507653,120.482022888435,27.6343325827918,3.85718524461759,422.415587886912,21.948249978791,3.09500447477455e-18,1.05439615755728,4.57379853577496,4.08916865308042,34.0882552006377,2.09869607323162,8.66493196761099,0.558206092104709,64.5713826258509,1.0345677889603,4.92193915116737e-18,0.0345677886014358,2.84180650753337,0.0335096853522171,0.701312693963719,0.795291324054427,0.182411818977174,0.025460943357132,2.78832845048503
