"","convergence","mu","x_C","x_W","C","AA","NT","ADP","ATP","rRNA","mRNA","tRNA","DNA","TC","p","tau tC","tau ATPS","tau ADPS","tau EAA","tau ENT","tau rRNAp","tau mRNAp","tau tRNAp","tau DNAp","tau tRNAc","tau r","v tC","v ATPS","v ADPS","v EAA","v ENT","v rRNAp","v mRNAp","v tRNAp","v DNAp","v tRNAc","v r","p tC","p ATPS","p ADPS","p EAA","p ENT","p rRNAp","p mRNAp","p tRNAp","p DNAp","p tRNAc","p r","f tC","f ATPS","f ADPS","f EAA","f ENT","f rRNAp","f mRNAp","f tRNAp","f DNAp","f tRNAc","f r"
"1",4,0.580748159468495,1,0.001,19.07910114195,8.70515820727748,6.95521537705771,2.20297858466628,14.3451254879156,44.0775109086573,13.8857536385827,1.28184825735175,9.06803102292938,11.769473031407,122.629804417643,0.0785714285714286,0.00573217704711401,0.160944249954451,0.0354826741318674,0.0994366918680616,0.249686916111794,0.998747664447175,0.285356475556336,0.124843458055897,0.000315575690137962,0.00871555123354042,164.666603437331,857.828544426083,9.61028098284506,106.387182956776,179.896387542111,25.5979333341553,8.06412586843988,7.50758239812233,5.26624232656945,7128.89816304847,7121.70332115279,12.938090270076,4.91722509271841,1.54671946463552,3.77490174466263,17.8883016562023,6.39146903304051,8.05402687691237,2.14233725307697,0.657455903009261,2.24970695772727,62.0695701655821,1.11630782422715,5.81539119650739,0.0651500160337871,0.721219981787824,1.21955357535438,0.173533507514399,0.054668321411743,0.0508954019643916,0.035700909539092,48.3282258297038,48.2794505581273
"2",4,0.579083008173593,0.769230769230769,0.001,19.0297042015147,8.68386388131218,6.94104356791906,2.20101171132064,14.3312189922684,44.0374851101712,13.8819875869529,1.28090691215435,9.05025405652173,11.761349504286,122.801174455356,0.0807142857142857,0.00573817345506407,0.161017638782082,0.0355098848559128,0.099570358020858,0.249975162944649,0.999900651778597,0.285685900508171,0.124987581472325,0.000315859446117858,0.00872229803074866,164.212175377669,856.254565664306,9.57353388765419,106.139874923694,179.206172377377,25.5013593499977,8.03882313128116,7.4808564721505,5.24084834378586,7118.37661177119,7111.20735108579,13.2542684411976,4.91333721947233,1.54150782139032,3.76901473716137,17.843622743163,6.37470645882573,8.0380244885009,2.13717521781869,0.655040959353033,2.24840649385236,62.026069874621,1.11642824663461,5.82141233571086,0.0650875224550751,0.721612475972294,1.2183678363266,0.173375925630595,0.0546534944368225,0.050860050147438,0.035630921482369,48.3956606828145,48.346919076912
"3",4,0.576935691462954,0.591715976331361,0.001,18.9651665124737,8.65604431295381,6.92255102909652,2.19844040114388,14.3130534247345,43.9850871251879,13.8770182495925,1.27966989312112,9.02704272099061,11.7507140655825,123.025212339448,0.0835,0.00574605165451159,0.161113854408471,0.0355456495659269,0.0997461090742194,0.250353409037935,1.00141363615174,0.28611818175764,0.125176704518968,0.000316232566434533,0.00873115537847577,163.626324109579,854.23292175543,9.5260701075194,105.8214816252,178.314386788544,25.3765666546285,8.00614711927268,7.44633140719343,5.20802313410034,7104.89981204848,7097.76359484363,13.6627980631499,4.90846649339106,1.53478187238777,3.76149330239652,17.7861662741127,6.35310997166465,8.01746489827664,2.130530802991,0.651923172985227,2.24680070182432,61.9716767862684,1.11658567141539,5.82928355613887,0.0650058812042453,0.722125555002478,1.21681697843418,0.173169634351133,0.0546339301165059,0.0508137489436875,0.0355395382716166,48.483820498604,48.4351229682867
"4",4,0.574173091212202,0.455166135639508,0.001,18.8846313806103,8.62128534100587,6.89928147868984,2.19519411278781,14.2900769681416,43.9188074536439,13.8706609988987,1.27810868353278,8.997826441339,11.7372495573118,123.306877551986,0.0871214285714286,0.00575598182168841,0.161235657404642,0.035590622393898,0.0999675857437194,0.250832660889769,1.00333064355908,0.286665898159736,0.125416330444884,0.000316703853560045,0.00874240724211781,162.871658814776,851.584683264022,9.46539905600828,105.408729081124,177.174783785414,25.2169974380122,7.96416030289417,7.40212939163668,5.16630982201449,7087.04301344917,7079.9491051748,14.1896115897416,4.901705956496,1.52615983939278,3.75156227374696,17.7117353896933,6.32524656702709,7.99068608211045,2.12193807034811,0.647939619818422,2.24449383270514,61.8957983309057,1.1167834456575,5.83917228918445,0.0649026420509027,0.722769845424545,1.21485755692166,0.172908690762378,0.0546089015704672,0.0507551505728552,0.0354245135485787,48.5946565146951,48.5460147842463
"5",4,0.570629593072157,0.350127796645776,0.001,18.7804285283358,8.57629383671281,6.86917021997413,2.19097490467525,14.260281987226,43.832568811499,13.8622801056897,1.27607034202796,8.95998566540866,11.719720072917,123.672225530704,0.0918292857142857,0.00576896018972505,0.161394497733227,0.0356493842618256,0.10025726295938,0.251458535645874,1.0058341425835,0.287381183595284,0.125729267822937,0.00031732036746141,0.00875711803690298,161.903673348237,848.187835247901,9.38757402575118,104.879281567972,175.712375966838,25.012160904213,7.910227255762,7.34538660564586,5.1128329741845,7064.14277193992,7057.10317289136,14.8674986780876,4.89316185495421,1.5151027948196,3.73888180972083,17.6164418825246,6.28952135431237,7.95637664943996,2.11092589669546,0.642832746345187,2.24159638019184,61.7998854836122,1.1170399231704,5.85199615750229,0.0647687279208714,0.723605228973826,1.2123118326532,0.172569168549209,0.0545759059279124,0.0506788383484008,0.0352755341157821,48.7384216555731,48.6898525711433
"6",4,0.566101882514931,0.269329074342904,0.001,18.6479623551703,8.51907416867779,6.83072919703098,2.18554289820883,14.2220338742879,43.7215922083452,13.8513145173772,1.27343862558708,8.91160625894904,11.6971514525584,124.139554441873,0.0979495000000001,0.00578570505894149,0.161599313600174,0.0357250323756981,0.100630896071921,0.252267207190005,1.00906882876002,0.28830537964572,0.126133603595003,0.000318117087281862,0.00877617161744903,160.666179218558,843.815053043083,9.28836009841866,104.200616946653,173.847991716854,24.7508756556944,7.84125522359363,7.27297251891069,5.0448770794229,7034.53384057653,7027.56354641089,15.7371719213682,4.88206502120234,1.5009926163757,3.72257041398688,17.4944791867709,6.24383427716911,7.91236622448003,2.09683710321744,0.636328525721443,2.23780541574989,61.6751037358307,1.11736779581334,5.86838979104792,0.0645967589468375,0.72467282315644,1.20904192939692,0.172132252788761,0.0545327343203827,0.0505805597169981,0.0350850640116104,48.9223158865746,48.8738403314459
"7",4,0.560344712723425,0.207176211033003,0.001,18.4796397456931,8.44630949011353,6.7816813923572,2.17855583088761,14.1729449499301,43.5786546195173,13.8369023949302,1.27004273323129,8.84980380714468,11.668059592853,124.737404710649,0.105905778571429,0.00580736716544481,0.161864014325672,0.0358227218036873,0.101114510013826,0.253314637329877,1.01325854931951,0.289502442662716,0.126657318664938,0.000319149135897437,0.00880091550934832,159.091889000957,838.216618988356,9.1624770076241,103.335100374438,171.4819630073,24.4190687036468,7.75343509746922,7.18097475214277,4.95894077197316,6996.47676874081,6989.59452084545,16.8487503690457,4.86783167064314,1.48307530962071,3.7017445532696,17.3393146656922,6.18570753259763,7.85623439910461,2.07890973144462,0.62808614159636,2.23291951507013,61.5148308225648,1.11778697195981,5.88934874222122,0.0643759873260535,0.726037195673824,1.20484020511254,0.171569506376052,0.0544759936808274,0.0504538608116547,0.0348417472722231,49.1575694451079,49.1092144530116
"8",4,0.553069057360818,0.159366316179233,0.001,18.2696189780984,8.35539295498539,6.72005012470489,2.16967380955537,14.1107772648565,43.3968179751195,13.818090743724,1.26570327891915,8.77199563167242,11.6310031003832,125.49087539259,0.116248940714286,0.00583504210194663,0.162202103460646,0.0359471358017789,0.101732460590222,0.25465660883853,1.01862643535412,0.291036124386891,0.127328304419265,0.000320471532550908,0.00883272976265195,157.100345491936,831.040266727004,9.00421372913391,102.234560906552,168.50669643285,24.0014372099583,7.64235842215765,7.06505610425167,4.85151935518228,6947.2833296773,6940.51201607637,18.2627487492859,4.84915494476503,1.46050240687475,3.67503964454305,17.1426008540433,6.11212460713889,7.78470831726099,2.05618654715736,0.617735733352605,2.22640653572706,61.3036670524412,1.11831477277681,5.9157387855706,0.0640962640724878,0.727754094952108,1.19951058886975,0.170853614075273,0.0544019320619054,0.0502924203453593,0.0345354158727261,49.4540578756587,49.4058564537756
"9",4,0.543944723940032,0.122589473984026,0.001,18.0085930087359,8.24223140771867,6.6428665103183,2.15838655071126,14.0321723657604,43.165614145798,13.793430245314,1.26015923705447,8.67432379481828,11.5838183505412,126.438404464802,0.1296950515,0.00587046826962804,0.162634355531859,0.0361058093157517,0.102523712196298,0.256379043520686,1.02551617408274,0.293004621166498,0.128189521760343,0.00032216912839581,0.00887372814492297,154.600165336333,821.910270559739,8.80676910025501,100.84571396702,164.793813206187,23.479708070238,7.50286360697344,6.92008798133542,4.71835266193888,6884.18288738655,6877.55030120249,20.0508764052042,4.82499816380234,1.43228321693787,3.64111611880406,16.8952734768816,6.01970509719256,7.69430798088806,2.02761775741002,0.604843371230587,2.21787120054668,61.029511675904,1.11897779584012,5.94888977594872,0.0637423579388649,0.72990940526646,1.19275821903801,0.169943362778732,0.0543048434854884,0.0500867821164911,0.0341508810819617,49.8269052735463,49.7788993955913
"10",4,0.532610164229584,0.0942995953723274,0.001,17.6857493050116,8.10216109671639,6.54675607235907,2.14414860732815,13.9331994667206,42.8724990059898,13.7610246386746,1.25308417605071,8.55239445617898,11.5238960580961,127.625087039783,0.147174995521429,0.00591584256071348,0.16318685120338,0.0363085398051711,0.103539087584931,0.258591040076754,1.03436416030702,0.295532617230576,0.129295520038377,0.00032435141314999,0.00892659383004111,151.490856758431,810.393754258763,8.56295899809528,99.1088457925955,160.206742747274,22.8343287365129,7.32926159277185,6.74054170747768,4.55509221586167,6803.90264014641,6797.44185680739,22.2956661649595,4.79416186238037,1.39736231588282,3.59849747250502,16.5876599690065,5.9047528174294,7.58112551307793,1.99204993236274,0.588953016872598,2.20685543626644,60.67800253904,1.11980719850146,5.99035994024824,0.0632966459608218,0.73260394276266,1.18423426743796,0.168789366165314,0.0541772623569868,0.0498254963193531,0.0336708443156653,50.2938548066204,50.2460972597572
