"","convergence","mu","x_C","x_W","C","I","AA","NT","ADP","ATP","LIP","rRNA","DNA","p","tau tC","tau FERM","tau RESP","tau ADPS","tau EAA","tau ENT","tau LIPS","tau Maint","tau RNAp","tau DNAp","tau r","v tC","v FERM","v RESP","v ADPS","v EAA","v ENT","v LIPS","v Maint","v RNAp","v DNAp","v r","p tC","p FERM","p RESP","p ADPS","p EAA","p ENT","p LIPS","p Maint","p RNAp","p DNAp","p r","f tC","f FERM","f RESP","f ADPS","f EAA","f ENT","f LIPS","f Maint","f RNAp","f DNAp","f r"
"1",4,0.983007529528488,1,0.001,15.0617713344319,9.35562008557713,14.0149487167672,6.94372773922374,2.66397318747551,18.778972330499,24.8742731359725,54.9717069900249,7.88417702464518,185.450832056892,0.0379167489385074,0.00220996679128538,0.00557168304957122,0.0940167683406444,0.115597642626069,0.0104401616727618,0.0220532817910796,0.0298579931903519,0.308175480692924,0.122880096731989,0.0603092025391213,653.639290564196,3194.16727967206,1.13454368810163e-18,21.0785768994381,240.922424789626,263.800355328473,135.842209912273,1522.17684881811,54.0376018822283,7.75020537936173,911.497821346241,24.7838768766667,7.05900361388561,6.32131783599386e-21,1.98173968130493,27.8500643614373,2.75411835896128,2.99576653431834,45.4491459865226,16.6530639355486,0.952345986708749,54.9717067215383,1.95570068784878,9.55700680197286,3.39457542293648e-21,0.063067486817572,0.720844292381158,0.789295478130348,0.406442371502818,4.55438091503269,0.161681491147132,0.0231887559548388,2.72721811848371
"2",4,0.979662170631046,0.813008130081301,0.001,14.93362494422,9.34366734897768,14.0021764257346,6.92563885963,2.66462401213178,18.7597083810025,25.0573107862638,54.8674768384235,7.8642100210911,185.581565273861,0.0385549653928674,0.00221822811859904,0.00557815928789825,0.0940716805061917,0.115623687250533,0.0104447356719973,0.0220604306857331,0.0299956113067611,0.308618988026144,0.123056938263589,0.0603578568220392,651.540374265931,3184.55233418843,1.2690762092345e-18,20.9886079765788,240.139269061566,262.438984973382,136.37610819471,1516.99659565452,53.7515914565786,7.70426905956053,909.036195326488,25.1201165818788,7.06406353284698,7.07910924359212e-21,1.97443362384243,27.765787742546,2.74110582807425,3.00851568201944,45.5032402369329,16.588761760124,0.948063762028419,54.8674765235674,1.95607759070133,9.56077582197398,3.81006554900399e-21,0.0630127423327474,0.720954619869808,0.787903616888224,0.409433182782088,4.55438091503269,0.161374931877716,0.0231300294737973,2.72914066579207
"3",4,0.975591559289492,0.660982219578293,0.001,14.7786569457429,9.32941218543055,13.986973824543,6.9037382002625,2.66548630375152,18.7363267505533,25.2776098005047,54.7403419127112,7.84000517027852,185.741451949095,0.0393385192774637,0.002228394798972,0.00558613201809515,0.0941385491420675,0.115654836045587,0.0104502249550634,0.022069026678644,0.0301648778937431,0.309159831088995,0.123272590877258,0.0604172044347497,648.984333280156,3172.83200153127,3.943008938848e-17,20.8794281692714,239.187123973221,260.786809636951,137.003459779921,1510.69329668832,53.4042155226619,7.6486428689097,906.038963658561,25.5300827055133,7.07032233022421,2.20261684809342e-19,1.96555907477122,27.6631476073384,2.72528082601944,3.02353300894961,45.5698788294993,16.5104382504264,0.942868023145359,54.740341293208,1.95653337982354,9.56533370873913,1.1887233959573e-19,0.0629465089832492,0.721092279242402,0.786210193231461,0.413032839877528,4.55438091503269,0.161001005625621,0.0230588387361133,2.73149194042787
"4",4,0.970649664431436,0.537383918356336,0.001,14.5919399187669,9.31254652307918,13.9690246132511,6.8773095384815,2.66663813559631,18.7080277264978,25.5415379476898,54.5855184669642,7.81075829723323,185.936699536127,0.0403002109202832,0.00224090857284516,0.00559594974018324,0.0942198100585101,0.115691812167631,0.0104567717591812,0.0220793031880324,0.030373070743403,0.309818127778896,0.123535076266269,0.060489474476518,645.878111593888,3158.57225004166,1.24732431307864e-18,20.7473122463756,238.032271836033,258.787339838333,137.732695766599,1503.0408243356,52.9834151827748,7.58150992016449,902.39697505115,26.0290241260279,7.07807163306919,6.97996416569664e-21,1.95480781907811,27.5383848830887,2.70608014685509,3.04104194873576,45.651965287768,16.4152224952592,0.936582406200991,54.5855187900436,1.95708253379002,9.57082531720351,3.77953143678098e-21,0.0628666643002766,0.721264265387541,0.784154430491116,0.41734539130212,4.55438091503269,0.160545642549895,0.0229728185212742,2.73436322847245
"5",4,0.964666098674544,0.436897494598647,0.001,14.3679653684974,9.29278416842956,13.9480550251589,6.84554838756011,2.66819129372878,18.6738888592886,25.8559984894169,54.3973326090759,7.77554886318411,186.174687968458,0.0414801535267144,0.00225631414604125,0.00560804313984898,0.0943182970437507,0.115735309746025,0.0104645202700413,0.0220915044273677,0.0306291419122721,0.310617609092715,0.123853856790133,0.0605773051704848,642.112659993382,3141.26185447731,1.27461341010693e-16,20.5879811988106,236.635486073864,256.375649024488,138.568917722893,1493.77533552201,52.4752626262988,7.5008083869011,897.982049572416,26.6349317179725,7.08767355867695,7.14808699050971e-19,1.94182332624057,27.3870812776598,2.68284817596174,3.06119585937085,45.7530567367556,16.2997406134932,0.929004047761479,54.3973326545657,1.95774128440323,9.57741281365591,3.88617675696669e-19,0.0627708239794624,0.721479405882458,0.781665311529735,0.422483635447989,4.55438091503269,0.159992154732576,0.0228692613623062,2.73786305835968
"6",4,0.957444248298661,0.355201215120851,0.001,14.100734066392,9.26993094394432,13.9238995643132,6.8075651207518,2.6702999186272,18.6328629494344,26.2281979636238,54.1690779567438,7.73335032244174,186.464082519432,0.0429274121536912,0.00227528468408063,0.00562294577518968,0.0944372846406766,0.115785841669866,0.0104735973293905,0.0221058575576599,0.0309441029592352,0.31158594716579,0.124239966274967,0.0606837982657815,637.561424653008,3120.30378962176,3.73162280288714e-16,20.3965907585951,234.951610244259,253.478172764718,139.511318241724,1482.59237596414,51.8638721253261,7.40425178630044,892.644816612583,27.3688620493742,7.09957942220514,2.09827126740957e-18,1.92619864716884,27.2040699438217,2.65482831332734,3.0840173287329,45.8774911284115,16.1600537198551,0.919903992221329,54.1690779743135,1.95852726054416,9.58527256645035,1.1463185667954e-18,0.0626563613766515,0.721748706522777,0.778660521349471,0.428565326203004,4.55438091503269,0.159320817519835,0.0227451480071816,2.74211886057988
"7",4,0.948760221649806,0.288781475708009,0.001,13.7839365064871,9.24395906122808,13.8965913865824,6.76240319892488,2.67318289349034,18.5837824270058,26.6653119008625,53.8928792244625,7.68304349255364,186.814911462877,0.0447019917628816,0.00229865133972357,0.00564131872634699,0.0945804997956591,0.115843572741247,0.0104840890530046,0.0221225415803082,0.0313314993060065,0.312755045123244,0.124706125587116,0.060812572322113,632.079303016413,3095.00826180656,0,20.1677631290761,232.929314117249,250.013083447827,140.549929052353,1469.14525178418,51.1314200383473,7.28936604694029,886.212784035039,28.2552037969276,7.11434488745717,0,1.90747711650849,26.9833639435103,2.62115943128329,3.10932164957004,46.0305234366988,15.9916095813089,0.909028597700197,53.8928790219119,1.959459019419,9.5945901484702,0,0.0625204862367532,0.722085730787287,0.775045771941498,0.435707710798407,4.55438091503269,0.158508468307243,0.0225971867428048,2.74727810974819
"8",4,0.93836310214009,0.234781687567487,0.001,13.4112203143937,9.2151133391328,13.8664768260529,6.7090740637177,2.67714789463501,18.5253803755289,27.1739957233522,53.5595550790055,7.6234469986061,187.238591502628,0.0468772949107989,0.00232744410035807,0.00566398477881352,0.0947520970450363,0.11590807329114,0.0104960067864341,0.022141639392211,0.0318079932339117,0.314161095440733,0.125266765903584,0.0609678200739195,625.502319130691,3064.58862416496,6.22729059875835e-16,19.8956702008039,230.511120462752,245.891439351508,141.661527358368,1453.04542127762,50.2583102531786,7.15356137461258,878.488927813735,29.321856681278,7.13265871333719,3.52712791646159e-18,1.88515647364261,26.7180998450194,2.58087821615948,3.13661845451883,46.2184589285648,15.7892058041388,0.896103498090511,53.5595548878783,1.96055524682268,9.60555240596056,1.95186282823907e-18,0.0623603772651878,0.722506972160081,0.770714571033678,0.444019537963271,4.55438091503269,0.157528103173546,0.0224219029370768,2.75350869856806
"9",4,0.925977049252182,0.190879420786575,0.001,12.976756149989,9.18413510340164,13.8344803885311,6.64660854554571,2.68262035619824,18.4563032765129,27.7596030116718,53.1584270096696,7.55336174793346,187.747707425634,0.0495432922448032,0.00236293061265759,0.00569196221592406,0.0949565941139729,0.115977793460266,0.0105092132894944,0.0221630376393538,0.0323940857528085,0.315844438396213,0.125937972271908,0.0611543352559816,617.648220706656,3028.16021169012,1.22292464711943e-16,19.5741581297852,227.633723507415,241.019082667385,142.804196028666,1433.86574829662,49.2234833853013,6.99423962328573,869.250340629254,30.6003263029525,7.15533246423426,6.96084088432606e-19,1.85869538865273,26.4004569695342,2.53292094658985,3.16497477164097,46.4487700083358,15.5469634657358,0.880840355740436,53.1584267522176,1.9618330878829,9.61833079014996,3.88436970475121e-19,0.0621733048020918,0.723031906712045,0.765547758960726,0.453588284504441,4.55438091503269,0.156348314734322,0.0222157698468631,2.7609956974358
"10",4,0.911305883542114,0.155186520964695,0.001,12.4758973100852,9.15250746315971,13.8023774863572,6.574132106399,2.69018358642751,18.3751662452023,28.4253341623844,52.6771541373634,7.47164350727758,188.355604870255,0.0528103913942299,0.00240666854792317,0.00572651127416002,0.0951987347884391,0.11604946209498,0.0105233377912101,0.0221863072045242,0.0331150012006676,0.317848886498979,0.126737214236935,0.0613775540302367,608.318643782114,2984.74642580483,2.96281749865066e-16,19.1969772404371,224.228746571448,235.299928499197,143.912079243509,1411.14760207881,48.0050004936341,6.8089526879113,858.247854581987,32.1255456705406,7.18329534651059,1.69666078093016e-18,1.82752794505207,26.021625425848,2.47614062984464,3.19287760053831,46.730154537159,15.2583359532845,0.862947695536966,52.6771540659407,1.96330618952864,9.63306186955372,9.56228777960666e-19,0.0619569112694994,0.723682712199845,0.759414183241088,0.464466244483405,4.55438091503269,0.154932806286363,0.0219754220802282,2.76993536573905
"11",4,0.894040813811591,0.126167903223329,0.001,11.9066546689238,9.12268833910297,13.7730691695955,6.49091344963887,2.70057276305821,18.2805932351774,29.1713007232528,52.1015662463987,7.3772557191872,189.075388043961,0.05681427040983,0.00246051248256589,0.00576914546575229,0.0954834337511748,0.116117487736877,0.010537690625382,0.0222105854796907,0.0340017837531512,0.320221677380665,0.127683327056847,0.0616436620332204,597.302722378729,2933.28843574375,1.68084085725858e-18,18.7580187237786,220.223627098304,228.640160768651,144.890741325331,1384.40978295373,46.5809266877888,6.59556770687834,845.205568992824,33.9353183857527,7.21739281111368,9.69701541030452e-21,1.79108003811521,25.5718143189579,2.40933927871764,3.21810819542201,47.0724020657396,14.9162224779095,0.842144028642928,52.1015664435894,1.96498044131667,9.64980434380506,5.52955693274883e-21,0.0617093117595163,0.724482082118489,0.752170427452079,0.476655240576026,4.55437091503269,0.153239900724702,0.0216978109387859,2.78052041241118
"12",4,0.873871876968295,0.102575531075878,0.001,11.2690240022676,9.0991676102331,13.7517828763285,6.39662644241298,2.71487851365221,18.1713730078577,29.9929219326105,51.4153961429235,7.2695123178915,189.919319935349,0.0617226374488795,0.00252679265375909,0.00582179065506679,0.0958149497347922,0.116171459545175,0.0105509080251884,0.0222340802712394,0.0350926307441591,0.323007896542502,0.128794287861884,0.0619592668733989,584.385198043374,2872.68757443456,4.34679393927939e-19,18.2519078199338,215.544864339141,220.955384946457,145.610949916744,1353.17846437601,44.930468732485,6.35262237387998,829.825762922227,36.0697957093228,7.25868585962625,2.53061243351977e-21,1.74880563033102,25.0401614877447,2.33127994424017,3.2375255488203,47.4865921812955,14.5128961959486,0.818181474699341,51.4153959033202,1.96685582811996,9.66855819938997,1.46299341970561e-21,0.0614301515338529,0.72545587065896,0.743665972532335,0.490080423735466,4.55437091503269,0.15122175336154,0.0213809185820338,2.79293117551984
"13",4,0.850503452737471,0.0833947407120955,0.001,10.5692785225645,9.08818833035243,13.7458132388089,6.29118734934083,2.73427417799012,18.0464542313022,30.8809050572059,50.6002985094393,7.14793875701442,190.895663002179,0.0677422036718074,0.00260807501,0.00588659951787286,0.0961974462498883,0.116196748773041,0.0105610300953464,0.0222541835284317,0.03643457166964,0.326255102075544,0.13008905968835,0.0623319812644979,569.353141985815,2801.81967054715,5.35188745723035e-17,17.6740812625028,210.118198621032,212.175979439874,145.912868748954,1316.99278401602,43.0357285918249,6.07934659279675,811.787102479808,38.5692365055866,7.30735586528046,3.1504418125442e-19,1.70020148226577,24.4150515378119,2.2407969043741,3.24717176029917,47.9840679776305,14.0406260246212,0.790856481776503,50.6002984625324,1.96891389361715,9.68913890157743,1.85076796711148e-19,0.0611197894390951,0.726622213980973,0.73373834796788,0.504589951915129,4.55437091503269,0.148824407380704,0.0210233492853365,2.80728916179674
"14",4,0.823674642015871,0.0678006022049557,0.001,9.81947092292755,9.09890712819276,13.7658985916111,6.17489982818647,2.76007398291893,17.9051124349972,31.8204764056192,49.6359223679609,7.01240856356238,192.006832045906,0.0751286629553629,0.00270716971006995,0.0059659775254068,0.0966344448102887,0.11617205882214,0.0105651433933007,0.0222669777451091,0.0380855056596322,0.33000998289291,0.131586259001603,0.0627702290959124,552.010711116149,2719.61330959461,3.10452836488799e-19,17.0213900249682,203.873426310112,202.256741562507,145.609552845405,1275.44874323599,40.8838505875577,5.77594311326127,790.755793250067,41.4718266631953,7.36245477483762,1.85215464519097e-21,1.64485257496219,23.6843956735695,2.13687147686965,3.24228467268391,48.5761103290853,13.4920788329962,0.760034746480125,49.6359223012266,1.97111921653188,9.71119209849869,1.10856463381404e-21,0.0607799600526942,0.727990997724501,0.722218141674963,0.519942424928418,4.55437091503269,0.145988006964591,0.0206247310693011,2.82362988302804
"15",4,0.793399391817519,0.0551224408170372,0.001,9.81746186760962,8.71053609691104,13.3530489175286,5.9471367946972,2.65129097279602,17.7207881347799,32.9986360631813,48.6957299598071,6.76525128377887,193.340117827719,0.0839462640987172,0.00273701914915272,0.00598275787426947,0.0975398746893393,0.117105427897877,0.0107029726930312,0.0224693374093395,0.0401227493410984,0.337522283257422,0.13458166990644,0.0634902493828967,526.022636444143,2505.67066463019,113.995568287676,16.1631951740091,196.432412127637,190.836349053651,145.450543240754,1228.56793879343,38.6351625342211,5.36754625404284,766.979659492197,44.1576351608436,6.85806859056306,0.682007883804914,1.57655603185218,23.003301675219,2.042516232759,3.26817733244822,49.2935234567189,13.0402282725719,0.722373338169144,48.6957298527688,1.94999569858776,9.28866303384881,0.422588026480565,0.0599178797281645,0.728186074465226,0.707441151780788,0.539193399725185,4.55437091503269,0.143222735175903,0.0198977978934673,2.84323702687822
"16",4,0.759966582178304,0.0448149925341766,0.001,9.92646924946645,8.2592888682494,12.8624102108977,5.6899211501244,2.51771419364615,17.5148624640137,34.2799765299538,47.6445948538408,6.48471119723644,194.820053424678,0.0946772025907148,0.00276001800987007,0.00599206921034078,0.0986495415908346,0.118300152215957,0.0108788482564954,0.0227256374182272,0.0426303708390891,0.346849379842466,0.138300702089085,0.0643599176410187,497.177608982326,2267.33084167608,241.117704923299,15.2240888147466,188.174083297194,178.48441899821,144.731314447897,1176.79769741169,36.2082999103434,4.92816380497715,740.283650704737,47.0713852091869,6.25787395735984,1.44479397573893,1.5018493827129,22.2610226971563,1.94170491043027,3.28911137520633,50.1673222432464,12.5588263690526,0.681568514238354,47.6445947903495,1.92414656056423,8.77488600020062,0.933159084877048,0.0589193431107642,0.728259898720608,0.690759548952089,0.560130335456761,4.55437091503269,0.140131161334826,0.0190726799918719,2.86500078565704
"17",4,0.723516971680732,0.0364349532798184,0.001,10.067937681465,7.79715257618056,12.3490247014101,5.4167311818002,2.37581465153885,17.2912494140772,35.6285074238046,46.456967524662,6.18357672610416,196.433040253741,0.107776072652455,0.00278529550009033,0.00600194202041898,0.0999435307711803,0.11966703754943,0.0110807768476546,0.0230186859133496,0.0457164115636334,0.357927685099977,0.142718001020877,0.0653758862373775,466.447598039016,2021.92204112392,365.19244021245,14.2294546346055,179.174806747406,165.396702175324,143.210165537642,1120.35598180079,33.6124044569135,4.47392270702634,710.61319211213,50.2718902148161,5.63165036267591,2.19186385245045,1.42214193713081,21.4413183269537,1.83272394814275,3.29650982010979,51.2186551617833,12.0308101179072,0.638509305468709,46.4569672063023,1.89616104917044,8.21933660920616,1.48454763942086,0.0578443060753414,0.728365396188948,0.672355878011959,0.582165153983736,4.55437091503269,0.136638139778418,0.0181869903708946,2.88872118020207
"18",4,0.684306709775877,0.0296219132356247,0.001,10.2534431780858,7.32978017550854,11.8183301753992,5.13062836706307,2.22703391756415,17.0516740926482,37.0239883863273,45.1298871056857,5.86482224322289,198.170414107007,0.123774851687493,0.00281247277620546,0.00601206569127561,0.101446408739073,0.121224712287354,0.011311721216453,0.0233522799673222,0.0495147647367534,0.371065951092285,0.147956676701354,0.0665586676973049,434.164408385489,1773.52469175099,482.95313380148,13.1925492471982,169.496453907199,151.763218925514,140.754242641266,1059.6417624709,30.8826845578486,4.01333721268023,678.046720262444,53.7386352559021,4.98798991347782,2.90354596622192,1.33833674324162,20.5471588586269,1.71670322339694,3.28693248074724,52.4679125739855,11.4595127177411,0.593800036470043,45.1298863371955,1.86605527034579,7.62267711081434,2.07575108243347,0.0567020823829773,0.728502256310288,0.652284132579446,0.604967130495544,4.55438091503269,0.132734962075546,0.0172494771859497,2.91427079569127
"19",4,0.642711462010624,0.0240828562891258,0.001,10.5001288883437,6.86262477427767,11.275957876629,4.83514804725684,2.07303539652227,16.7984624780028,38.4421920844186,43.6639305243277,5.53213593619056,200.016382801311,0.143330818295853,0.00284076626283072,0.00602191600789127,0.103185240861698,0.122993683914622,0.0115749731218202,0.0237305395342188,0.0541904464005962,0.386629496595657,0.154162394212192,0.0679315009753098,400.7323650786,1526.47594395214,591.257487326959,12.1289279892664,159.22771361865,137.810026058142,137.262430430388,995.231957594341,28.063308624421,3.55556717559055,642.764109081537,57.4372978043483,4.33636136260193,3.56050292771978,1.25152635596664,19.5840030792601,1.59514734754034,3.25731153189128,53.9320640541766,10.8501028862685,0.548134748571322,43.6639307029666,1.83383162249076,6.98545987530062,2.70571276937399,0.0555044055133091,0.728657931967913,0.63064630088495,0.628140393536251,4.55438091503269,0.128423325071552,0.0162709880476193,2.94141739413693
"20",4,0.599219343026468,0.0195795579586388,0.001,10.8346812502188,6.40064989043843,10.7273480819672,4.53413247653815,1.91549833038425,16.5345340063524,39.8550595224077,42.0634660065045,5.18974508986835,201.94488452349,0.167258613362364,0.00286876028495184,0.00603065012755215,0.105189687080735,0.124996978122899,0.0118742650549044,0.0241580141924741,0.0599467949933019,0.405051849048236,0.16150801575974,0.0695210561324205,366.589929116201,1284.68480403431,687.737451524539,11.0556162556364,148.481112626055,123.7870419073,132.677347684989,927.884867531379,25.2052424658338,3.10979564322575,605.046405158609,61.3153232165829,3.68545274449478,4.14750394975885,1.16293681441508,18.5596903865828,1.46988014596984,3.20522124839378,55.6237239312906,10.2094300664951,0.502256923755674,42.0634650957509,1.79935058241862,6.30567881648154,3.37565406375232,0.0542648009904017,0.728796825177298,0.607589757003871,0.65122646278444,4.55438091503269,0.123716076489719,0.0152639561466716,2.96977771358074
"21",4,0.554414153124742,0.0159183398037714,0.001,11.3018322119589,5.94809103684575,10.1774328845747,4.2314724952288,1.7559639222539,16.2631526609244,41.2300123154039,40.336393577663,4.84214982543549,203.913499026959,0.196573043678276,0.00289390136253749,0.00603685856796353,0.10749260628868,0.12726117445734,0.0122139573586929,0.0246399001746432,0.0670343950382394,0.426852920329393,0.170200847979442,0.0713586724183072,332.182447301945,1051.28354222312,771.065620818466,9.9900532605188,137.386875397755,109.95195700197,126.991679784263,858.504500925214,22.3630674854663,2.68455639477193,565.262649368671,65.298114722642,3.04231087525273,4.65481409950007,1.07385686193589,17.4840151181425,1.3429485143269,3.12906231289449,57.5493298571273,9.54574066369459,0.456913774838816,40.3363922266034,1.76223350800186,5.57707699357307,4.09051617540601,0.0529974017152304,0.728839700447901,0.583296993784651,0.673693011689606,4.55438091503269,0.118636451699009,0.0142416171336338,2.99872792686704
"22",4,0.508950131288959,0.0129417396778629,0.001,11.9839589390977,5.50820187267705,9.63020746831263,3.9308697933146,1.59552684417716,15.9876809184711,42.5273096312152,38.4929374467995,4.49382542368939,205.849479806885,0.232549547017247,0.00291156618678761,0.00603812282641703,0.110130893836231,0.129818561764028,0.0125994120506592,0.0251824802959892,0.0757620599079796,0.452664373746944,0.180492756620617,0.0734828595214774,297.901848533027,827.738034595905,841.700027589541,8.94897589928094,126.082270730461,96.5520917743849,120.245999000962,788.103939979578,19.5909855672463,2.28713303937638,523.835598867389,69.2769399319562,2.41001407304747,5.08228814958425,0.985558714706697,16.3678190501713,1.21649958861854,3.02809250051327,59.7083779144476,8.86814121288295,0.412810947035133,38.4929377239214,1.72154765975023,4.78342273927465,4.86410782559421,0.0517153169489658,0.728617963201245,0.557965747633666,0.694890680248615,4.55438091503269,0.113214521902351,0.0132171335990865,3.02719823245419
"23",4,0.463521301112683,0.0105217395754983,0.001,13.052147612141,5.08305664475312,9.08832458257281,3.63562715741606,1.43441818147457,15.7111834615261,43.6897975113095,36.5422854746415,4.14892225770109,207.614238177203,0.276826410151578,0.00291317900562098,0.00603018108892511,0.113146818613569,0.132710860896295,0.0130376468669516,0.0257939084846158,0.0865104589535367,0.48326711368681,0.19269511495107,0.075944942561991,263.98135468666,612.209292068514,903.263652196417,7.94735158192343,114.69314572698,83.8052463653866,112.506398821066,717.757872949566,16.9381277088369,1.92311384310498,481.168109047079,73.0770107648584,1.78347525670007,5.44684339378826,0.89921754789815,15.2210261083318,1.09262320770979,2.90197975512426,62.0935630063813,8.1856400891082,0.370574643061107,36.5422844042422,1.67503790487001,3.88464469828035,5.73146863844313,0.0504282401264726,0.727761120665165,0.531768482117295,0.713885580250155,4.55438091503269,0.107477310219534,0.0122027125226503,3.05315056142946
