"","convergence","mu","x_C","x_W","C","AA","NT","ADP","ATP","LIP","RNA","DNA","p","tau tC","tau ATPS","tau ADPS","tau EAA","tau ENT","tau LIPS","tau RNAp","tau DNAp","tau r","v tC","v ATPS","v ADPS","v EAA","v ENT","v LIPS","v RNAp","v DNAp","v r","p tC","p ATPS","p ADPS","p EAA","p ENT","p LIPS","p RNAp","p DNAp","p r","f tC","f ATPS","f ADPS","f EAA","f ENT","f LIPS","f RNAp","f DNAp","f r"
"1",4,0.733608509380992,1,0.001,20.1307826027822,17.8964697516767,5.60805692812723,2.46780935890103,14.0407347159401,28.7636882058708,40.5810007253721,6.45883284330918,154.05262485226,0.160519989558185,0.0101167490655451,0.135662976065186,0.0352945489885022,0.0918976859112545,0.0337388158514034,0.401140423631181,0.267426949087454,0.128864934950915,226.208701461578,673.111687632599,12.1108084107947,151.510193421911,151.897451737162,117.229369050047,29.7705674513292,4.73825473452104,565.071582420479,36.3110183965831,6.80970203686459,1.64298831156369,5.3474839439871,13.9590243104616,3.95518009475575,11.9421780391668,1.26713700765215,72.8179127112254,1.06327829498338,3.16391475188651,0.0569260140511766,0.712163144447454,0.713983425269974,0.551028509691011,0.139934485259904,0.0222718373907213,2.65607973883207
"2",4,0.728935154098759,0.769230769230769,0.001,20.0278075749278,17.8205248757489,5.5823416517927,2.46247051077533,14.0066600203171,29.0275819994251,40.4760161362878,6.43119108784928,154.165406078748,0.164132483326354,0.0101391548854629,0.135827258966812,0.0353506145920772,0.0921110266346596,0.0338026601266949,0.402379416964182,0.268252944642788,0.129143877336546,224.785891021375,669.734818973982,12.0049282015544,150.499793883137,150.498220359295,117.551249765918,29.5043910596088,4.68792126665998,561.88292018355,36.8946665100655,6.79054506176463,1.63059649171052,5.32026020974984,13.8625455839839,3.97354494330555,11.8719596724486,1.25754868403509,72.5637389216845,1.06336449516009,3.16822476906117,0.0567901052796289,0.711949209165545,0.711941765507146,0.556083946349139,0.139572469435475,0.0221765209925837,2.65802424273704
"3",4,0.722983469986376,0.591715976331361,0.001,19.8969091925418,17.7241012423452,5.54959275038442,2.45562454143524,13.9631151585239,29.3613436050359,40.3419176550504,6.39594275909785,154.311453035806,0.168816259150019,0.0101680169056277,0.136038680493473,0.0354227210071862,0.0923855625144716,0.033884807453531,0.403977196773592,0.269318131182395,0.129502577813908,222.973519027384,665.415638727741,11.8704774010795,149.215582856409,148.722879421328,117.932033794618,29.166539612153,4.6241608898068,557.823148872333,37.6415553717186,6.76595746385274,1.61484408247045,5.28562196144725,13.7398468741113,3.99610425773393,11.7826169121035,1.24537036912949,72.2395357432385,1.0634741117348,3.17370559704679,0.0566163437929624,0.711685002449644,0.709335049189467,0.562477846839769,0.139110060879484,0.0220549750313719,2.66054229372079
"4",4,0.715445792897612,0.455166135639508,0.001,19.7315144560268,17.6024452251452,5.50811516756965,2.44687972479451,13.9077208921608,29.780403371243,40.1714240812209,6.35122621040996,154.5002708159,0.174885278663086,0.0102051060352786,0.136310061412214,0.0355151981278813,0.0927379190123055,0.0339902230534196,0.406033494054223,0.270688996036149,0.129962561779969,220.677595020096,659.9157559758,11.7008302059213,147.593175365293,146.485097170505,118.368135015276,28.7404763536153,4.54395807197885,552.682843783888,38.593262699789,6.7345102640841,1.59494088394302,5.24180086542151,13.584723077908,4.02335931158653,11.6695960346412,1.22999944853431,71.8280782299927,1.06361268982419,3.18063450078321,0.0563951745412251,0.711363445100426,0.706022775925623,0.570505811709637,0.13852215200421,0.0219007800358964,2.66379777268794
"5",4,0.705964859712142,0.350127796645776,0.001,19.5240663665136,17.4501277072623,5.45593767715659,2.43576062038645,13.8376468062172,30.3018770973515,39.9558794452494,6.29485636518496,154.74384791143,0.182743738392511,0.010252632545668,0.136657310225038,0.0356334035496754,0.0931887372815758,0.0341250656166242,0.408673526632822,0.272449017755214,0.130550469651797,217.788834000141,652.951234295623,11.4884537909607,145.558669983831,143.687270316795,118.844780078035,28.2074468272408,4.44394739075588,546.218594410549,39.7995457053318,6.69446907547337,1.56998119371733,5.18675082768787,13.3900352842585,4.05558591835621,11.5276367721963,1.21074910156729,71.3090940328415,1.06378663042386,3.18933152175281,0.0561151980227711,0.710979365778586,0.701838539275187,0.580495729834319,0.137778894638791,0.0217064012592585,2.66799737778328
"6",4,0.6941394491295,0.269329074342904,0.001,19.266226246013,17.2612251771004,5.39084367736307,2.42170680497799,13.7496063544382,30.943812996742,39.6852486589155,6.22434971817781,155.056981968491,0.192911455732779,0.0103133170602466,0.137099944270287,0.0357838708804975,0.0937633052780939,0.0342968736597164,0.412053143569964,0.274702095713309,0.131298861151901,214.184282664365,644.192065232317,11.2251464081778,143.030268881003,140.22397304179,119.329562819582,27.5470966426668,4.3205666845653,538.155840236455,41.3186017638636,6.64375701643593,1.53896694698699,5.11817667364064,13.1478631916246,4.09263093989239,11.3508677678365,1.18686872291919,70.6592489452912,1.06400305136425,3.20015229196769,0.0557631488255731,0.710531326732854,0.69659049363899,0.592793352428008,0.136845685030743,0.0214632748902683,2.67339624083605
"7",4,0.679538600428389,0.207176211033003,0.001,18.9491602825037,17.0294495679655,5.31043614787281,2.40406605562035,13.6399072873937,31.7239593803503,39.3482075584305,6.13697449719509,155.457839482179,0.206056371977836,0.0103904982653052,0.137661690006406,0.0359745142262609,0.0944924633360569,0.0345148087160412,0.416365515706706,0.277577010471137,0.132247229170692,209.73155220725,633.267895333452,10.9024991908223,139.921812239183,135.988270936294,119.764749763168,26.7386258936216,4.17031106068867,528.198013336705,43.216522737106,6.57996896793568,1.50085646390207,5.0336192249627,12.8498667055816,4.13365742900029,11.1330417594864,1.15758247696068,69.8527237172436,1.06426956251579,3.21347808104638,0.0553240460103939,0.71002443042552,0.690063922635894,0.607738685447323,0.135683474339416,0.0211619810248107,2.68030757727895
"8",4,0.661727124695501,0.159366316179233,0.001,18.5643254235529,16.7489352021025,5.21227129577369,2.38210448680606,13.5044987587783,32.6579337081469,38.9323756511037,6.0298782428127,155.967677466227,0.223036720143166,0.0104881876298342,0.138370988126072,0.0362146538992306,0.0954128497008711,0.034789755538096,0.42184797379268,0.281231982528453,0.133442747386404,204.296459294912,619.77964887547,10.5125962868788,136.148487774967,130.881558603636,120.05911428438,25.76260899717,3.99013399188041,516.040213775809,45.5656122179989,6.50036524655869,1.4546383359859,4.93057036367408,12.4877824796645,4.17682723607391,10.8679044050692,1.1221532930907,68.8618238881111,1.06459373207191,3.22968656302595,0.0547813905020154,0.709473023744713,0.682026929953278,0.625630913949175,0.134249571210702,0.0207926835959059,2.68909788734874
"9",4,0.640304049900065,0.122589473984026,0.001,18.1039918728409,16.4143761923999,5.09404879324858,2.3550375024608,13.3392300072927,33.7570715882074,38.4248908533801,5.90027719258209,156.611076209508,0.244955391391545,0.0106112013594841,0.139261500648575,0.0365153153598151,0.0965682461523012,0.035134649944316,0.428790295149989,0.285860196766659,0.134941221217079,197.754675906791,603.325065003924,10.0491030467101,131.635111774606,124.82762793936,120.082164726087,24.6036132303872,3.7779713819433,501.393531780779,48.441074036256,6.40200374998046,1.39945317045701,4.80669761887423,12.054385101456,4.21904482220675,10.5497905788139,1.07997164262112,67.6586554888426,1.06498260575907,3.2491302514156,0.0541181638267358,0.708904119228931,0.672243282562091,0.646687195176388,0.132499623632345,0.0203457834226969,2.70019096912945
"10",4,0.614953673218956,0.0942995953723274,0.001,17.5624805504933,16.0220062622283,4.95386219981737,2.32206304157917,13.1400638474174,35.0260170885643,37.8130574204972,5.74571465432293,157.414735122318,0.27323128831883,0.0107652171313996,0.140372540037019,0.0368891727690555,0.0980097423996638,0.0355645177626354,0.437544428410206,0.291696285606804,0.136807873905749,190.007236617502,583.533563443101,9.508491726166,126.326318370994,117.788965182282,119.663210371347,23.253278556374,3.53334833194387,484.013847911291,51.9159220509008,6.28186551392434,1.3347311355229,4.66007338366629,11.5444661350384,4.25576437078577,10.174342474612,1.03066458418302,66.2169054736843,1.06544183111705,3.27209152356992,0.0533176789275743,0.708359041263321,0.660486900305947,0.670996495949508,0.130389853174128,0.0198128091528377,2.71404715728134
