"","convergence","mu","x_C","x_C2","x_W","C","I","AA","NT","ADP","ATP","rRNA","DNA","p","tau tC","tau FERM","tau RESP","tau ADPS","tau EAA","tau ENT","tau RNAp","tau DNAp","tau INH","tau r","v tC","v FERM","v RESP","v ADPS","v EAA","v ENT","v RNAp","v DNAp","v INH","v r","p tC","p FERM","p RESP","p ADPS","p EAA","p ENT","p RNAp","p DNAp","p INH","p r","f tC","f FERM","f RESP","f ADPS","f EAA","f ENT","f RNAp","f DNAp","f INH","f r"
"1",4,0.992895756094848,1,0.001,0.001,11.0118272312072,9.7701421283892,14.3193441813812,4.74310461441605,3.31937609769515,20.2781473893037,45.4488360547836,7.2803178252018,137.828904226196,0.0179153094462541,0.00663116535365636,0.00716406808385084,0.040226989127495,0.146915282042635,0.0095869116417861,0.271897948060676,0.12424475772309,8.70689655172414,0.111804791851037,493.457447072188,1206.30962636868,1.96213698542581e-17,23.4298809245897,191.314271379582,236.746595520197,45.1259564382452,7.22859667166454,3.75055944307525e-14,684.248670366967,8.84044286285679,7.99923860015815,1.40568829534323e-19,0.942513565211974,28.1069901385124,2.2696686927458,12.2696549598343,0.898115242148899,3.26557330819483e-13,76.5022801647274,1.9566463475037,4.78323174246785,7.78022135163702e-20,0.0929036357755862,0.758595037001092,0.938742264722098,0.178932425412534,0.0286626686031567,1.48716337729424e-16,2.71316740602748
"2",4,0.990873773829804,0.740740740740741,0.001,0.001,10.9997265064159,9.77748530093839,14.3309838830726,4.7402101965191,3.31855262433496,20.2555332576406,45.4371794756335,7.27631897708264,137.86400968038,0.018485342019544,0.00663461616111723,0.00716516899440563,0.0402312660800792,0.146896533313995,0.0095861131287296,0.271979848822129,0.12428218257435,8.70689655172414,0.111823175551129,492.464536396856,1203.91298970587,1.90695262465256e-15,23.358943442461,190.950185906345,236.142107506608,45.0225094992031,7.2099136444113,5.9845088571614e-13,683.029157736535,9.10337538779205,7.98750057808153,1.3663637819961e-17,0.939759868983172,28.0499203453048,2.26368495701498,12.2452153271861,0.896063803900026,5.21064995321812e-12,76.3784894121122,1.95669398936071,4.78346994873232,7.57683541225876e-18,0.0928113617400613,0.758696420586843,0.938256073775021,0.178886533368636,0.0286469251066246,2.37780624687402e-15,2.7138584582752
"3",4,0.98815785651794,0.548696844993141,0.001,0.001,10.9834220366707,9.78739298271737,14.3466862873,4.73630257724091,3.31743871375297,20.2251335457401,45.4214006760417,7.27091591022555,137.91130694749,0.0192548859934853,0.00663927934482132,0.00716665650155065,0.0402370484877687,0.14687128141786,0.00958503871403069,0.272090644205383,0.124332810928287,8.70689655172414,0.111848054192139,491.130835696128,1200.69370229785,9.76965987022747e-16,23.2637777408594,190.461091710742,235.330349871344,44.8835139320799,7.18481268077067,2.19028340340067e-12,681.390707314097,9.45666824921412,7.97174089712318,7.00157964269042e-18,0.936065752967635,27.9732645998012,2.25565051410322,12.2123842199809,0.893307956593422,1.90705710123679e-11,76.2122247576872,1.95675817841609,4.78379089843521,3.89241734828457e-18,0.0926872923602091,0.758833027347601,0.937600641767037,0.178824412110401,0.0286256531898644,8.72650351220266e-15,2.71478950684035
"4",4,0.984516218821251,0.406442107402327,0.001,0.001,10.9615874762123,9.80074185177056,14.3678572608158,4.73102744073656,3.31592630079944,20.1843430976034,45.4000078524299,7.26361266777122,137.974896150046,0.0202937703583062,0.0066455546580843,0.00716865759916607,0.0402448696681159,0.14683733963588,0.00958359707350853,0.272240642055392,0.124401352992199,8.70689655172414,0.111881763047766,489.342378700159,1196.37629511452,4.5608085939921e-15,23.1363963693963,189.805090633117,234.242229883751,44.6970440653294,7.15114447865626,6.26952490340483e-12,679.192615249488,9.93060185992833,7.95058406081991,3.26948751856634e-17,0.931121256476223,27.8704745579141,2.24488314880603,12.1683519743234,0.889612048587532,5.45881047624041e-11,75.9892672431355,1.95684414456752,4.78422072090497,1.82383377776386e-17,0.0925207456630031,0.759016583033589,0.936717431210519,0.178740188395393,0.0285969002668158,2.50713684946658e-14,2.71604126279617
"5",4,0.97964474194634,0.301068227705427,0.001,0.001,10.9322932210795,9.81872350764025,14.3963799803127,4.7239081347239,3.31387323542754,20.1297041855489,45.371019922343,7.25375020598367,138.060347590809,0.0216962642508143,0.00665402288973901,0.00717135711835029,0.0402554528011364,0.146791764093637,0.00958166732194697,0.272443716546157,0.124494148620429,8.70689655172414,0.111927449107764,486.949765305688,1190.60000433561,2.09971630768966e-15,22.9663773528714,188.927285774816,232.787377855416,44.447481103666,7.10609824868409,1.12513640567344e-18,676.250467943101,10.5649907849442,7.92227968137248,1.50578154896664e-17,0.924521919541605,27.7329695643079,2.23049121135896,12.1094369429978,0.884667651483049,9.79644629077734e-18,75.690989834803,1.95695947538054,4.78479737722026,8.4383647281662e-18,0.0922975489014817,0.759263210287934,0.935528667022081,0.17862606268639,0.0285580716771011,4.52171149275737e-21,2.71772337777183
"6",4,0.973148446543474,0.22301350200402,0.001,0.001,10.8931284477503,9.84292588002127,14.4347864877637,4.7143030124341,3.31108116712483,20.0567302705577,45.3316591181763,7.24042043958306,138.174965194078,0.0235896310057003,0.00666543486769838,0.00717499337396425,0.0402697818533825,0.146730684683161,0.0095790903639001,0.27271903539552,0.124619956571463,8.70689655172414,0.111989467996413,483.758779851196,1182.89537206067,1.2034216003932e-18,22.7403493997016,187.756194579559,230.848540017589,44.1144336500915,7.04600390310187,3.24244453670765e-15,672.323763649076,11.4116911124575,7.88451205777226,8.63454200890668e-21,0.91574890959568,27.5495949841636,2.2113190252029,12.0308457920726,0.878072700406912,2.82316291558166e-14,75.293180612406,1.95711366766625,4.78556833798698,4.86861005978805e-21,0.0919992576286714,0.759593892463698,0.933929990827651,0.178471098890458,0.0285055922818231,1.3117761958537e-17,2.71997962980468
"7",4,0.964521413239749,0.165195186669645,0.001,0.001,10.8409610289457,9.87547311403499,14.4864652884986,4.70134232295895,3.30727314820445,19.9596002605233,45.2780991663019,7.22240037668921,138.328384061442,0.0261456761247964,0.00668080039604361,0.00717988621708575,0.0402892095915379,0.14664901740076,0.00957566187254429,0.27309286328958,0.124790778589278,8.70689655172414,0.112073839352252,479.520536495924,1172.66049360852,1.07002157337524e-22,22.4413976218565,186.200093948184,228.275879347998,43.6716961966911,6.96615981830757,3.46241860799053e-19,667.103442430566,12.537388642411,7.8343106901245,7.68263314666129e-25,0.904146172314015,27.3060608174304,2.18589263429415,11.926428559067,0.869312507503948,3.01469206385383e-18,74.7648440382973,1.9573190413632,4.78659523107586,4.36764109320805e-25,0.0916018638138889,0.760036247981417,0.931782251906877,0.178260232938197,0.0284346471523197,1.41329877550464e-21,2.72299968624887
"8",4,0.953127899288269,0.122366804940477,0.001,0.001,10.7717442900709,9.91917471382133,14.5559092622634,4.68386451301395,3.30206989652584,19.8309543063446,45.2050984836696,7.19803729933634,138.533147091323,0.0295963370355762,0.00670147952742199,0.00718646556520809,0.0403155786314673,0.146540204590212,0.00957112485403117,0.273601276473804,0.125023099845646,8.70689655172414,0.112188833154568,473.922122557777,1159.13818137728,4.32317306956255e-14,22.0487307626666,184.143422402057,224.882186563179,43.0862405548593,6.86065017011506,0,660.199037344726,14.0263588678356,7.76794079195298,3.10683343968462e-16,0.888907338786337,26.9844147927392,2.15237548504371,11.7884504142669,0.85773975122434,0,74.0669596494736,1.95759155678215,4.78795778673814,1.78573792964305e-16,0.0910748984364979,0.760626254342642,0.928902553252551,0.177972828675864,0.0283387295249462,0,2.7270304545536
"9",4,0.93818989702295,0.090642077733687,0.001,0.001,10.6804512198845,9.9777482867743,14.6490884564193,4.66031211750809,3.2949326219623,19.6616114345776,45.1053329858038,7.16509117489417,138.805430914146,0.0342547292651288,0.00672927857131709,0.00719530005427131,0.0403514253381413,0.146395856920786,0.00956516275748575,0.274294334617542,0.125339795288811,8.70689655172414,0.112346032540739,466.580174778862,1141.39970837183,6.27404143998321e-15,21.537597704408,181.444199381326,220.439527384408,42.3173677091371,6.72221615153401,1.08004666738908e-11,651.129264677843,15.9825775675264,7.68079659885411,4.51436107136117e-17,0.869072765732342,26.5626790517353,2.1085399576151,11.6074142185436,0.842561196320411,9.40385460399114e-11,73.1517895577246,1.95795097324427,4.78975488173396,2.63283058467115e-17,0.0903800947107871,0.761410076921016,0.925049563857642,0.177580051125212,0.0282090203735991,4.53229377901867e-14,2.73239037232571
"10",4,0.918821453077957,0.0671422798027311,0.001,0.001,10.4705408124428,9.87863190569939,14.6018143920522,4.58867968922991,3.24565662991268,19.4468194910234,44.8291132422315,7.06245566258957,139.87628818957,0.0405435587750248,0.0068110461289402,0.00722036258801729,0.0404627113121203,0.146641120032091,0.00959892878938513,0.276482847766552,0.126339844343656,8.70689655172414,0.112880015313644,455.255479865162,1099.94784984029,18.8526080174797,20.8503338833752,178.310593666155,213.957641078721,41.1899509694234,6.48913577419919,7.04021592192534e-14,642.60667182746,18.4576773055653,7.49179554469082,0.136122665615966,0.843661040684331,26.1476651687921,2.05376416065947,11.3883149433908,0.819836403637176,6.12984317340051e-13,72.5374509565337,1.95069934742358,4.71310648148363,0.0807805106878069,0.089340457169039,0.764033326531953,0.916775413559366,0.176492571819809,0.0278049435535022,3.01662367879426e-16,2.75347023995217
