"","convergence","mu","x_C","C","ATP","NT","AA","DNA","RNA","p","tau Cin","tau Met","tau DNAp","tau RNAp","tau r","v Cin","v Met","v DNAp","v RNAp","v r","p Cin","p Met","p DNAp","p RNAp","p r","f Cin","f Met","f DNAp","f RNAp","f r"
"1",-1,-1.06733598829677,100,30.8295670642035,53.4313791692958,28.9898545545928,78.9608497071268,31.8806376630731,31.8806376630731,84.0270741786349,0.101742057885157,-0.412084603436179,0.106900427041053,0.0986773172686641,0.0896394848086144,-362.894236020903,-329.988729589669,-34.0273519076474,-34.0273519076474,-89.6851202621395,-36.9216063674284,135.983274771367,-3.63753845000369,-3.35772780000341,-8.03932797529682,1,0.909324802752343,0.0937665813619796,0.0937665813619796,0.247138453466573
"2",-1,-1.07056333934114,71.4285714285714,30.8295670642035,53.4313791692958,28.9898545545928,78.9608497071268,31.8806376630731,31.8806376630731,84.0270741786349,0.102440086154142,-0.412084603436179,0.106900427041053,0.0986773172686641,0.0896394848086144,-363.991535375989,-330.986531109293,-34.1302419169045,-34.1302419169045,-89.9563051277454,-37.2873242432948,136.394453414889,-3.64853743593153,-3.36788071009065,-8.06363684693761,1,0.909324802752343,0.0937665813619796,0.0937665813619796,0.247138453466573
"3",-1,90.382047145703,51.0204081632653,-8.14344068470087,3.38989655964029,23.6329130554253,-3.67156688013588,-4.03877515711823,-11.7062988405612,18.6866281219025,0.101575926406676,0.117004136265839,0.0259680243510933,0.0239704840163938,-0.23159167169818,1640.37596542346,2376.39680531633,-365.032766661554,-1058.03925370929,1688.93570390801,166.622708343133,278.048255630937,-9.47917977361418,-25.3617130197558,-391.143443058798,0.0533804593366231,0.0773317554680962,-0.0118787504621125,-0.034430290707533,0.054960670946772
"4",4,1.04645803725603,36.4431486880466,112.10342056735,33.4797034961846,3.09049386977474,5.05177531437271,19.0249868213542,46.2534938053223,120.996128347829,0.110252838624938,0.165784328110862,0.252555710804221,0.233128348434665,0.204708425302958,355.795734992476,238.48420953588,19.9088503678961,48.4023403437515,126.617370986448,39.2274897535667,39.5369444429558,5.02809385595887,11.2839576647114,25.9196426306362,1.00000000653585,0.670284063690698,0.0559558435922181,0.136039687662713,0.355870965728908
"5",4,1.0341213415582,26.0308204914619,108.676188062715,33.9708547501818,2.99166556368441,5.01673738395779,20.2062071620924,46.1992708206106,122.939076140764,0.114096781520556,0.167577372411304,0.255659759689506,0.235993624328774,0.20543875911618,351.601256009836,239.21689061499,20.8956700582659,47.7756519200203,127.133922348613,40.1165716893073,40.0873379656623,5.34218198564746,11.2747492512756,26.1182352488717,0.999999999658843,0.680364152415563,0.0594300210649778,0.135880208295913,0.361585518061072
"6",4,1.0174480615729,18.5934432081871,105.564241388615,34.4153849556281,2.93813096854595,4.97197877280918,20.2915265985419,47.1010699316452,124.71766710194,0.119445850954059,0.169708518694507,0.258433670524674,0.238554157407392,0.20607664606714,345.932340647586,238.526207875326,20.6455744040414,47.922892299962,126.893748636763,41.3201828011802,40.4799294083396,5.33551157332669,11.4322051931426,26.1498381259508,0.99999999916978,0.689516936262089,0.0596809605839468,0.138532558622486,0.366816667946882
"7",4,0.996079413444358,13.2810308629908,99.8555210413013,35.2237592492787,2.84116908176208,4.8260105407701,21.5412945750394,47.6608800438303,128.051365511426,0.126367300570208,0.173226186186609,0.262016210686361,0.241861117556641,0.209444869028294,338.667000614319,239.202971786319,21.4568400651374,47.4740214383004,127.54932904937,42.7964346598405,41.4362185270471,5.6220399271706,11.4821198799753,26.714552517392,1.00000000012767,0.706307291182665,0.063356748750116,0.140179058952442,0.376621663268899
"8",4,0.968602216808888,9.48645061642197,93.9318112892967,36.0713870540734,2.72818306209805,4.75383817985483,21.8593572446011,49.2329163025638,131.422506854352,0.135720143597021,0.177964638489835,0.268457260651888,0.247806702140204,0.210601721150624,329.324753702275,238.342193058588,21.1730218851381,47.6871118706297,127.296131477707,44.6960028625263,42.4164822245461,5.68405145500664,11.8171859272517,26.8087843850212,0.999999999961294,0.72372996675748,0.0642922271900034,0.14480269500754,0.386536784865741
"9",4,0.934571862529164,6.77603615458712,86.6748583326987,37.0975136771724,2.60975875999962,4.55493868342665,21.9093691953592,51.4784146010546,135.675146937699,0.147908466044424,0.183519412442695,0.27626262561089,0.255011654410052,0.215325279628726,317.754433435064,236.750549648622,20.4758799757459,48.1102778137561,126.798174772483,46.9985708281953,43.4483217670003,5.65672036379301,12.2686815394132,27.302852439297,1.00000000055121,0.745073946631504,0.0644393211628212,0.151407101767808,0.399044549816761
"10",4,0.893402541292303,4.84002582470509,77.1581771481671,38.4574442143561,2.41675624193769,4.42262853339896,22.4499213468445,53.9858691948654,141.109203080756,0.162934205408394,0.193221220369912,0.289915564382043,0.267614367121886,0.218310378043293,303.756863825257,234.823552279603,20.0568167830832,48.2311127325666,126.067320632079,49.492383244714,45.3728933430627,5.81478335737478,12.9073387095101,27.5218044260942,0.999999999295075,0.773064184153407,0.0660291804318954,0.158781968220192,0.415027067884576
