"","convergence","mu","x_C","x_P","x_N","x_Ace","x_H2O","C","P","N","Ace","H2O","ADP","ATP","AA","NT","Lip","DNA","tRNA","mRNA","rRNA","TC","P","tau tC","tau tP","tau tN","tau tAce","tau tH2O","tau Res","tau Fer","tau NTS","tau AAS","tau LipS","tau Deg","tau Maint","tau DNAp","tau tRNAp","tau mRNAp","tau rRNAp","tau tRNAc","tau r","v tC","v tP","v tN","v tAce","v tH2O","v Res","v Fer","v NTS","v AAS","v LipS","v Deg","v Maint","v DNAp","v tRNAp","v mRNAp","v rRNAp","v tRNAc","v r","p tC","p tP","p tN","p tAce","p tH2O","p Res","p Fer","p NTS","p AAS","p LipS","p Deg","p Maint","p DNAp","p tRNAp","p mRNAp","p rRNAp","p tRNAc","p r","f tC","f tP","f tN","f tAce","f tH2O","f Res","f Fer","f NTS","f AAS","f LipS","f Deg","f Maint","f DNAp","f tRNAp","f mRNAp","f rRNAp","f tRNAc","f r"
"1",4,0.604588411448951,2,1,1,1,1000,7.92328883336181,12.2603816498401,12.9315400727947,10.4124523814993,757.152816555643,47.6707591059794,5.49009898384481,3.30060118016996,17.2693856853064,55.0000000000089,14.2925805239543,1.89621036115193,4.1911363850118,28.7392604794815,8.22154503133724,113.247940455564,0.124401268128394,0.0769230769230769,0.0645161290322581,0.255306654396789,2.40504528044342e-05,0.607504835194405,0.356884271329626,0.00878298357169426,0.0875487791191215,0.0172576386807955,0.274753601944546,0.186046597545609,0.181356871643673,0.016807922429306,3.2324083634448,0.378237807666682,0.0269323891923265,0.373859139681607,123.629350778354,39.9330956167454,45.1909963992215,9.23926841582325,465.533076815696,6.96469757495795e-13,77.6725823022089,107.1405822906,20.2171924071309,33.2523626296977,1.23654291673162,30.435364745488,8.64112855448372,56.4874371889569,2.65756678085334,18.3646581728926,91.1084359139268,85.5854905248688,15.3796480147172,3.07177658590349,2.91554815478848,2.35884670831775,0.0111962812928589,4.2310874524537e-13,27.7201229372143,0.941013974120093,1.76999051246068,0.573857259546109,0.339744620331027,5.66239605595764,1.56712804211198,0.949436462502282,8.59034108884343,6.94620804586292,2.45376785473802,31.9969178568558,0.185895589067046,0.0600455012196451,0.0679515571607365,0.0138926495520249,0.700000000000006,1.04724852975393e-15,0.116792576766939,0.161102210215478,0.0303996330009317,0.0500000000000081,0.00185933091507227,0.0457642139363522,0.0129932550217766,0.0849374792071424,0.00399605707788159,0.0276140651679501,0.136995432367522,0.128690841426778
"2",4,0.597608908333345,1.81818181818182,1,1,1,1000,7.59614095823785,12.3035630603372,12.9805064029809,10.3698537153942,757.107030884607,47.9309183227909,5.41378542015432,3.28951996761928,17.1693577240562,55,14.227950588093,1.89554733451501,4.19406383869663,28.7014442000447,8.20894994193952,113.611367350893,0.130302918108838,0.0769230769230769,0.0645161290322581,0.256084241328348,2.40504528044342e-05,0.613833219614457,0.360877951799309,0.00894275195738724,0.0888844962028437,0.0174927104096454,0.274862585284134,0.187534123550654,0.181852663064436,0.0168708913413348,3.24827006557235,0.379611905132165,0.027157627582475,0.375778429051112,122.144691814638,39.5336686088698,44.7453685914225,9.21278943801758,460.158859416676,3.43958398358701e-19,77.0495319822539,105.945737628562,20.0298025439663,32.868489958334,1.24001580566481,30.290851722366,8.50275001877103,55.9937482768549,2.63041149269033,18.144251380511,90.3197805358828,84.8689565210322,15.9158097749519,3.04105143145152,2.88679797364016,2.35925019375255,0.011067028930943,2.11133091077954e-19,27.8054772888512,0.94744645255466,1.78033890816288,0.574958976443475,0.340833950138219,5.68056832935674,1.54624773428469,0.944664442972872,8.5442869118435,6.88777383375269,2.45287096312438,31.8919231566806,0.185808188890751,0.0601391616392858,0.0680672714933731,0.0140146222867194,0.7,5.23234256874476e-22,0.117208810139934,0.161166116488566,0.0304696117305012,0.05,0.00188632913656321,0.0460788611840162,0.01293450053463,0.085178461724034,0.00400141822156235,0.0276012853092912,0.137395695163327,0.129103826535106
"3",4,0.590266261791702,1.65289256198347,1,1,1,1000,7.27342431191772,12.3482706604301,13.0312237050805,10.3242203003501,757.059980020882,48.2001143028608,5.33339251888309,3.27787664379543,17.0634975282536,55.0000000000001,14.1593469699603,1.89483560161742,4.19702798171653,28.6601639456105,8.19553240718528,113.981092745086,0.13662294114746,0.0769230769230769,0.0645161290322581,0.256925426037659,2.40504528044342e-05,0.620673086824247,0.365190344111996,0.00911609778426181,0.0903195687592185,0.0177455825085018,0.274984277856792,0.189141990375638,0.182384476387293,0.0169384590554251,3.26526200569696,0.381082558903734,0.0274012675721588,0.377871588751509,120.589365437583,39.1091706214943,44.2714056403963,9.18207551856573,454.50502157961,1.11570673272543e-14,76.3805722058368,104.67940699366,19.8296286594039,32.4646443985437,1.24350103282562,30.1310918761894,8.35778480537015,55.4647387712598,2.60171412068555,17.9119286607733,89.4740433312823,84.0989919119689,16.4752737771885,3.00839774011494,2.85621971873524,2.35910866451746,0.0109310515708787,6.92489141791287e-15,27.8934474473207,0.954267710152744,1.7910035091728,0.576104025783526,0.341943233525728,5.69905468965368,1.52433020548511,0.939487206696836,8.49527826795978,6.82592360894863,2.4517022020834,31.778619686176,0.185724143405361,0.0602334806772883,0.0681840298278184,0.014141654234441,0.7,1.71834121918717e-17,0.117636545264706,0.161220627752134,0.0305403447762599,0.0500000000000001,0.00191516194904234,0.0464060094210382,0.0128721336090549,0.0854232963256299,0.0040069961782829,0.0275868240552434,0.13780228459132,0.129523969028507
"4",4,0.582553621342128,1.50262960180316,1,1,1,1000,6.95590748863859,12.3944416709132,13.0836159026918,10.2754011624847,757.011668128707,48.4784095713909,5.24883578236701,3.26567081056214,16.9516237294212,55.000000000004,14.0866208525713,1.89407246850538,4.20003104475413,28.6152302754448,8.18131135987058,114.357159685423,0.143394901034717,0.0769230769230769,0.0645161290322581,0.25783487265519,2.40504528044342e-05,0.628062861491102,0.369845114520667,0.00930428345133693,0.0918612499659378,0.0180175768449064,0.275119455491978,0.190881007340255,0.18295458917333,0.0170109217778496,3.28345936806618,0.382655778813196,0.0276648992127993,0.380153600340308,118.962284249584,38.6589171301892,43.7683210002168,9.14682737568356,448.566288433439,1.63665322166163e-13,75.6639976681606,103.340227830434,19.6163455232056,32.0404491738193,1.24699181476614,29.9550912877936,8.20621199013896,54.8994108518507,2.57144247634749,17.6674994743122,88.5695858320068,83.273971876429,17.058584976833,2.9737628561684,2.82376264517528,2.35837107160837,0.0107882223496286,1.02792110566544e-13,27.9839598826724,0.961506771660099,1.8019820195254,0.577291255134607,0.343071709081413,5.71785799998335,1.50136414332513,0.933889583650862,8.44322688840647,6.76057077102466,2.45026866536185,31.656900223462,0.185643908429971,0.060328300830721,0.0683016657519015,0.0142738750728223,0.700000000000002,2.55404225574821e-16,0.118075744284497,0.161265260779931,0.0306118453845457,0.0500000000000036,0.00194596493950709,0.0467457418048191,0.012806018956883,0.0856720368588242,0.00401280653463628,0.0275706176565555,0.138215268692901,0.129951317824344
"5",4,0.574465125082257,1.36602691073014,1,1,1,1000,6.64427921395504,12.4420719237303,13.1376893354577,10.2233019814986,756.962105994713,48.7657934638628,5.16007693613668,3.2529126533502,16.8335885162477,55.0000000000084,14.009634555768,1.89327021420357,4.20308324662071,28.5665513447442,8.1662741398188,114.739367046388,0.150655763306011,0.0769230769230769,0.0645161290322581,0.258816478156971,2.40504528044342e-05,0.636043647593451,0.374867559640222,0.00950868417561799,0.0935173453456895,0.0183101013898176,0.275267764684473,0.1927625077805,0.18356532590161,0.0170886113167741,3.30294146722622,0.384337962605687,0.0279499986652771,0.382639306455443,117.262444622399,38.1823148477684,43.2354325019747,9.10670036956452,442.338146313341,6.20376691259454e-13,74.8981541055989,101.927024226537,19.3896237948706,31.5955818795289,1.25048352644783,29.7618465537129,8.04804646743595,54.296731679829,2.53957309564588,17.4108743125854,87.6046946029108,82.392206052703,17.6662631017164,2.93710114213603,2.78938274206289,2.35696411728148,0.0106384327115099,3.94586653590619e-13,28.0768882511232,0.969191882330704,1.81326614454792,0.578518307684459,0.344217805100051,5.73696817787214,1.47734227266618,0.927855743447774,8.38806128666084,6.69165996048277,2.44855109722336,31.5264965813403,0.185567787720334,0.0604235031868695,0.0684200605433286,0.0144113509355342,0.700000000000006,9.81745950470209e-16,0.118526309139028,0.161299488984237,0.0306840745468852,0.0500000000000076,0.00197888985114438,0.0470981143300298,0.0127360314143345,0.0859245635780119,0.00401887375476963,0.0275527040125011,0.138634406128289,0.130385644370896
"6",4,0.565995961391469,1.24184264611831,1,1,1,1000,6.33915275778619,12.4911218251856,13.1934042328933,10.1677996871268,756.911297313208,49.0622700745883,5.06709268259635,3.23960694782414,16.709268421937,55.0000000000016,13.9282582619934,1.89242718035336,4.20619816981368,28.5140000748328,8.15042848800665,115.127672833171,0.158446312059787,0.0769230769230769,0.0645161290322581,0.259874982513582,2.40504528044342e-05,0.644660334178502,0.380285318444563,0.00973084744002299,0.0952963935624848,0.0186247017352733,0.275429629154348,0.194799100606053,0.184219101529432,0.0171718441023207,3.32379198948459,0.38613559978868,0.028258371000715,0.385345216626357,115.489063221947,37.6788405734637,42.6721350322295,9.06137216200573,435.816890271432,7.90948760487128e-14,74.0815286057848,100.438927094641,19.1491893843623,31.1297778765317,1.25397714877507,29.5503589796223,7.88333792550565,53.6558263965816,2.50608889180424,17.1419906044915,86.5779246769904,81.4522473349662,18.298816150757,2.8983723518049,2.75304096982126,2.3548239321503,0.0104815935508483,5.09893292253704e-14,28.1721176967108,0.97735587659754,1.82484868797474,0.579782828035714,0.345382461055145,5.75638335181644,1.45226142968954,0.921369486063285,8.32971818351525,6.61913282363723,2.44655111599435,31.3872338939961,0.185496124771606,0.0605189679202149,0.0685390933425205,0.01455418698769,0.700000000000001,1.27040540350825e-16,0.118988206243572,0.161322910001171,0.0307570286243499,0.0500000000000015,0.00201411194411455,0.0474631703072652,0.0126620529654486,0.0861808693422022,0.00402522771242389,0.0275331078051397,0.139059656995276,0.130826900946785
"7",4,0.557142618643777,1.12894786010755,1,1,1,1000,6.04106591482053,12.5415549886102,13.250720407582,10.1087821233022,756.859247983059,49.3678106548087,4.96988444959016,3.22576451815486,16.5785356678801,55,13.8423745465203,1.8915505887135,4.2093880613984,28.4574780577008,8.13378512983063,115.522056020127,0.166811558716523,0.0769230769230769,0.0645161290322581,0.261015267143021,2.40504528044342e-05,0.653961669897971,0.386128409329317,0.00997250154841116,0.0972077027326373,0.0189630572526954,0.275604972785124,0.19700462456629,0.184918458061919,0.0172609762975885,3.34610040027015,0.388055710282824,0.0285918999122312,0.388289253352622,113.641578565886,37.1480678377061,42.0779298900242,9.01051263585798,428.999816355708,4.99627009845144e-14,73.2127298966698,98.8753782863957,18.894815723919,30.6428440254077,1.25747135897374,29.3196266352508,7.71217680309626,52.9759448999307,2.47097662331273,16.8608509322442,85.4880241657303,80.4528260027084,18.9567288555817,2.85754367982354,2.71470515419511,2.35188136274404,0.0103176398363739,3.2673691368446e-14,28.269514937658,0.98603486306082,1.83672163007868,0.581082005639222,0.346565359668031,5.77610203770138,1.42612384272946,0.914416529260059,8.2681358683249,6.54294948448484,2.44426503064096,31.2389677387,0.185429228552773,0.0606145888529546,0.0686586562512524,0.0147024744641634,0.7,8.15242556191708e-17,0.119461381972191,0.161335185148631,0.030830714845287,0.05,0.00205181894658848,0.047840903101129,0.012583976860473,0.0864409727373957,0.00403189831411194,0.0275118897551806,0.139491008234822,0.131275063659235
"8",4,0.547902899534869,1.02631623646141,1,1,1,1000,5.75047956740004,12.5933266256274,13.3095935291081,10.0461410636944,756.805970418767,49.6823516055961,4.86846330642114,3.211400957787,16.4413001800497,55.0000000000023,13.7518501413855,1.89064529954698,4.21267161470027,28.3968757463329,8.11636145796305,115.922570253315,0.175801147303692,0.0769230769230769,0.0645161290322581,0.26224252027944,2.40504528044342e-05,0.664000876969759,0.392429611710969,0.0102355980438167,0.0992614588041341,0.0193270023684918,0.275793806841937,0.199394638836807,0.185666168685232,0.0173563838429145,3.36996384262502,0.390105735830311,0.0289527120286004,0.391491396455781,111.719655293043,36.5896613016715,41.4524255305969,8.9537843102788,421.885232641849,9.0303647502934e-14,72.2904706410664,97.23614058576,18.6263313152812,30.134659474419,1.26096749822983,29.0686305375239,7.5346785664341,52.2564817123132,2.4342317423055,16.5675045577311,84.3339770947032,79.3928904541576,19.64044357689,2.8145893308978,2.67435003423206,2.34806296356602,0.0101465308765405,5.99617011355162e-14,28.3689213240769,0.995270050367893,1.84887681852394,0.582412635035791,0.347767026640758,5.79612908751017,1.39893490170455,0.906983554879152,8.20327295613965,6.4630785563657,2.44169735304952,31.081633552559,0.185367376372521,0.0607102617713891,0.068778652643789,0.0148562891807023,0.700000000000001,1.49833529029249e-16,0.119945723465759,0.161336053371213,0.030905163091512,0.0500000000000021,0.00209222124992038,0.048231224517737,0.0125016819467141,0.0867049480958551,0.00403892359290138,0.0274891185875117,0.13992853837671,0.131730193469677
"9",-1,0.540014184709919,0.933014760419466,1,1,1,1000,5.75047956740004,12.5933266256274,13.3095935291081,10.0461410636944,756.805970418767,49.6823516055961,4.86846330642114,3.211400957787,16.4413001800497,55.0000000000023,13.7518501413855,1.89064529954698,4.21267161470027,28.3968757463329,8.11636145796305,115.922570253315,0.190959063574356,0.0769230769230769,0.0645161290322581,0.26224252027944,2.40504528044342e-05,0.664000876969759,0.392429611710969,0.0102355980438167,0.0992614588041341,0.0193270023684918,0.275793806841937,0.199394638836807,0.185666168685232,0.0173563838429145,3.36996384262502,0.390105735830311,0.0289527120286004,0.391491396455781,110.111113885986,36.0628427654027,40.8555928361707,8.8248675787049,415.810922226638,8.90034541230336e-14,71.2496312734834,95.8361330581288,18.3581490952089,29.7007801590468,1.24281206775938,28.6500999240575,7.42619414235327,51.5040920419289,2.39918363423892,16.3289653586723,83.1197351260647,78.2497903310281,21.0267151967971,2.7740648281079,2.63584469910779,2.31425551497189,0.01000044096058,5.90983715910321e-14,27.9604651352028,0.980940136056742,1.82225666013423,0.574027048479951,0.342759871356457,5.71267632699589,1.37879301432344,0.893924790960518,8.08516209920287,6.37002304659252,2.40654175499849,30.6341196890662,0.185367376372521,0.0607102617713891,0.068778652643789,0.0148562891807023,0.700000000000001,1.49833529029249e-16,0.119945723465759,0.161336053371213,0.030905163091512,0.0500000000000021,0.00209222124992038,0.048231224517737,0.0125016819467141,0.0867049480958551,0.00403892359290138,0.0274891185875117,0.13992853837671,0.131730193469677
"10",4,0.528263877276877,0.848195236744969,1,1,1,1000,5.19327142050582,12.7007127218767,13.4318405244454,9.9095640065123,756.695781460045,50.3379735756883,4.65323175413399,3.18119095921346,16.1468666577882,55.000000000003,13.556486945029,1.88877695234193,4.21958447418211,28.263192449696,8.079281706886,116.742241171186,0.195877725884096,0.0769230769230769,0.0645161290322581,0.264980691787343,2.40504528044342e-05,0.686531572132714,0.406553416616342,0.0108351437521846,0.103842137673031,0.0201398851024213,0.27621114009172,0.204797179477772,0.187318267266892,0.0175676733966761,3.42277988571635,0.394628470181677,0.0297655127149837,0.398757287771207,107.65263320848,35.3892184104009,40.1066376171407,8.82141143590972,406.763185503196,1.04909054148617e-13,70.2813807005664,93.7315063434148,18.0466283290412,29.0545132502298,1.26796384758895,28.5019210281352,7.16140235583438,50.6971506055201,2.35585043958764,15.9447947057701,81.8306002928446,77.0883862038537,21.0867529783118,2.72224757003084,2.58752500755746,2.33750370482814,0.00978283879552591,7.20233778756059e-14,28.5731354483291,1.01559434533971,1.87400046347832,0.585154558566404,0.350225739937627,5.8371130362603,1.34146148049593,0.890630983979877,8.06355749837661,6.29226994209895,2.43572977349141,30.739555801308,0.185259743092813,0.0609014133288276,0.0690196343537534,0.0151807937030926,0.700000000000002,1.80538309565026e-16,0.120947441272337,0.161302833635801,0.0310564974426123,0.0500000000000028,0.00218204283215618,0.049049042368506,0.0123240790409354,0.0872448802857192,0.00405419016883572,0.0274394455836304,0.140822528307546,0.13266163769453
