"","convergence","mu","x_C","C","AA","NT","ATP","RNA","DNA","p","tau tC","tau MET","tau RNAp","tau DNAp","tau r","v tC","v MET","v RNAp","v DNAp","v r","p tC","p MET","p RNAp","p DNAp","p r","f tC","f MET","f RNAp","f DNAp","f r"
"1",4,1.36722220928585,1,30.7756694143158,10.3851653214581,14.9736194809176,33.3974219160236,36.9943838779822,14.999296315582,112.474445336309,0.0733333333333333,0.139993956092394,0.251907007813862,0.0944651279301983,0.192507330620668,347.274443431735,305.197264702843,50.5795432568238,20.5073710463231,153.77755964091,25.4667925183272,42.7257724743285,12.7413413984183,1.93723142940296,29.6033075158321,1.00000000654562,0.878835953733357,0.145647180621977,0.0590523476991415,0.442812776914603
"2",4,1.35883621041743,0.769230769230769,30.6157277776923,10.3435956953509,14.9763623287451,33.4159057381015,37.0338128280564,15.0051069849437,112.60949023062,0.0753333333333333,0.140144844862055,0.251877183833068,0.0944539439374005,0.192576366211168,345.144399597758,303.542640085147,50.3228858805847,20.389482712329,153.017852962014,26.0008781030311,42.5399362037515,12.6751867779545,1.92586705702292,29.4676220888596,1.00000000623429,0.879465644904792,0.145802412708883,0.0590752243501719,0.443344449726849
"3",4,1.34810154847249,0.591715976331361,30.4117786608909,10.2903740016125,14.9796984473628,33.4394515207528,37.0843176280765,15.0124507749829,112.781930461953,0.0779333333333333,0.140339552459462,0.251839780539395,0.094439917702273,0.192667381844953,342.417795328277,301.419629423727,49.9934260184557,20.2383081361216,152.041495095476,26.6857601825837,42.3010958958228,12.5903334369003,1.91130415480856,29.2934367918377,1.00000000588831,0.880268593837562,0.146001250504238,0.0591041369093815,0.444023348275406
"4",4,1.33442101347558,0.455166135639508,30.1531118758855,10.2225269846114,14.9836648218431,33.4692759298272,37.1487451447316,15.0216568912331,113.001019753779,0.0813133333333333,0.140590287010026,0.25179336799536,0.0944225129982602,0.192787723926984,338.942939293537,298.705993184675,49.5720661453787,20.0452146128817,150.790935303612,27.5605802037551,41.9951613134484,12.4819174932337,1.89271953733773,29.0706412060045,1.00000000551934,0.881286966637897,0.146254902144612,0.0591403814615476,0.444885904542439
"5",4,1.31708362288102,0.350127796645776,29.8272572382367,10.1365033700774,14.9882305711496,33.5067856158857,37.2305145239384,15.0330780986567,113.277631799441,0.0857073333333333,0.140912338954125,0.251736564734405,0.0944012117754019,0.192947335253624,334.539241815177,295.254249791237,49.0357009509132,19.799820965232,149.19611368179,28.672466311334,41.6049669242287,12.3440789067265,1.86912709205391,28.7869925650981,1.00000000479286,0.882569858185626,0.146576828834403,0.0591853468451051,0.445974928344257
"6",4,1.295266500548,0.269329074342904,29.4201912318983,10.02817161001,14.9932405437688,33.5535471564897,37.3336411173505,15.0470612923569,113.624148124945,0.0914195333333334,0.141324677089742,0.251668276043151,0.0943756035161816,0.193159670897704,328.99769253396,290.890704391566,48.3570146827855,19.4899544236825,147.173552719545,30.0768155191981,41.1100348665456,12.16992651981,1.83937621123791,28.4279950081532,1.00000000423944,0.884172479704412,0.146982839044687,0.0592403987888069,0.447339165846239
"7",4,1.26805333679544,0.207176211033003,28.9168802793192,9.89288397597961,14.9983316617449,33.6112156455655,37.4627088108617,15.0638957198803,114.054084827591,0.0988453933333334,0.141850557424226,0.251588077577786,0.0943455290916697,0.193442916490182,322.085548713845,285.417402185941,47.5047129130091,19.1018232327327,144.626662840777,31.8366727496026,40.48661759865,11.9516193976686,1.80217161950772,27.9770034621621,1.00000000362576,0.886154018274106,0.147490979570322,0.0593066760625208,0.449031830029886
"8",4,1.23447794383039,0.159366316179233,28.3022543515739,9.72565302053628,15.0028207245883,33.6814137847592,37.6227665657513,15.0837367963441,114.581356063633,0.108499011333333,0.142518110633022,0.251496752313304,0.0943112821174892,0.193821462130681,313.557399346612,278.618890588917,46.4444755112995,18.6205403856297,141.448156834732,34.0206678253587,39.7082378734011,11.6806347539866,1.75612703748922,27.4156885733977,1.0000000051464,0.88857380691186,0.148121128211619,0.0593847905367878,0.451107701037926
"9",4,1.19360140553266,0.122589473984026,27.5626987773689,9.52146653840824,15.0055652784847,33.7655509144566,37.8191260276061,15.1064990843018,115.219093458051,0.121048714733333,0.143360815542041,0.251397000493554,0.0942738751850826,0.194327647497887,303.174757099206,270.275881098265,45.1409619825675,18.0311385397005,137.525671895729,36.6989146864494,38.7469707355909,11.348302441811,1.69986530413666,26.7250402900634,1.00000000030975,0.891485438194129,0.148894196959079,0.059474405843708,0.453618478181304
"10",4,1.14462800858968,0.0942995953723274,26.6879498064802,9.2757539095559,15.0048121335699,33.8646021381204,38.0570712098042,15.1317317335938,115.978079131915,0.137363329153333,0.144417861735809,0.251294235893135,0.0942353384599257,0.195003616575912,290.735514253937,260.187739413604,43.5611896316339,17.3202039607368,132.751757756821,39.9363981410271,37.5757569759865,10.9466758630774,1.63217528243498,25.8870728693894,1.00000000024819,0.894929331718738,0.149830989014977,0.0595737469826528,0.456606610755572
