"","convergence","mu","x_C","x_W","x_CO2","C","I","AA","NT","ADP","ATP","RNA","DNA","p","tau tC","tau GLY","tau FERM","tau RESP","tau ADPS","tau EAA","tau ENT","tau RNAp","tau DNAp","tau r","v tC","v GLY","v FERM","v RESP","v ADPS","v EAA","v ENT","v RNAp","v DNAp","v r","p tC","p GLY","p FERM","p RESP","p ADPS","p EAA","p ENT","p RNAp","p DNAp","p r","f tC","f GLY","f FERM","f RESP","f ADPS","f EAA","f ENT","f RNAp","f DNAp","f r"
"1",4,0.820644169595393,1,0.001,0.001,20.4547527318119,4.56394271926513,23.689878348925,10.3474665200876,2.38251472212393,15.901467301613,45.268862230553,8.37453080535205,123.016586823794,0.0366666666666667,0.0152307315010844,0.00591811023370744,0.0139632776167768,0.0770315585743448,0.155555245922283,0.0107026879738238,0.34147443601974,0.157603585855265,0.130450856272432,214.546948578915,246.21751690767,1.01605964978802e-15,321.227773335502,15.0046432447667,154.152989809337,202.15080552931,37.1496278537204,6.87250987850916,504.764223702361,7.86672144789355,3.75007289088444,6.0131530114677e-18,4.48539257730266,1.15583105499639,23.9793062394465,2.16355699523733,12.6856482196924,1.08313220067877,65.8469251976623,1.02928048135368,1.18121877751722,4.87450589414093e-18,1.54107750938869,0.0719841811958148,0.73954285812041,0.96981047644549,0.178223867049421,0.0329705937218584,2.4215863547991
"2",4,0.81921624182079,0.769230769230769,0.001,0.001,20.4104991220182,4.55730859463259,23.6671304285732,10.3280386781404,2.37937964050825,15.8888936389532,45.2438885049598,8.36176207659239,123.163099078212,0.0376666666666667,0.0152431535138582,0.00591965873371035,0.0139694709974504,0.0770719566020158,0.155621495156175,0.0107096795693168,0.341822159575188,0.157764073650087,0.130514290037442,214.179995306118,245.812282446006,5.85938390770625e-15,321.003688322513,14.9656661805556,153.956300213042,201.620307849159,37.064528306392,6.85009130338562,504.486055789272,8.06744648986379,3.74695435691635,3.46855531234152e-17,4.48425171409595,1.15343317438803,23.9589096278666,2.1592888917315,12.6694771093266,1.08069830889715,65.8426394051261,1.0293110474747,1.1813302057693,2.81591592108193e-17,1.54268675838863,0.0719223357459113,0.739886656599852,0.968951418491608,0.178125545295117,0.0329203231361905,2.42447045429551
"3",4,0.817369804054735,0.591715976331361,0.001,0.001,20.3534888419672,4.54874521871446,23.6377255407638,10.302965299773,2.3753282656728,15.8726259167911,45.2114767628343,8.34526375855859,123.352380224192,0.0389666666666667,0.0152592524136078,0.00592166422678478,0.0139774921676311,0.0771243190868778,0.155707266201522,0.0107187374777373,0.342273206290316,0.157972249057069,0.130596637921791,213.705448974852,245.288146815438,5.11859317822817e-16,320.711520236945,14.9153267345203,153.701434931366,200.935095714251,36.9544959026631,6.82116660311811,504.122554267663,8.32738899505341,3.74291374632284,3.03105901149784e-18,4.48274276218095,1.15033441835818,23.9324302444142,2.15377054102506,12.6485337994469,1.07755502948754,65.8367106879025,1.02935052305617,1.18147423678309,2.46546196673766e-18,1.54476440675543,0.0718423393010388,0.740330455774686,0.967839832189516,0.177997940011159,0.0328553691281834,2.42819646110613
"4",4,0.814985920111755,0.455166135639508,0.001,0.001,20.2802403783485,4.53771436015457,23.5997721875248,10.2706728380279,2.37010524759559,15.8516057828431,45.1694330937217,8.32398400424215,123.596473668963,0.0406566666666667,0.0152800911083027,0.00592425874519284,0.0139878692035598,0.0771921343587892,0.155818175146842,0.010730461018771,0.34285792546197,0.158242119443986,0.130703502852693,213.092700966705,244.611232469939,1.85534201156153e-16,320.330315041192,14.8504379301526,153.371504584709,200.051716876424,36.8124519908132,6.78392976269282,503.646929078341,8.663638912303,3.73768191825487,1.09915261373171e-18,4.48073854873129,1.1463369999912,23.8980679639148,2.14664714968068,12.6214409207386,1.07350342380765,65.828417831541,1.02940139319973,1.18166010545899,8.96272675178037e-19,1.54744142381034,0.0717390198048768,0.740902150943713,0.9664034250369,0.17783241375481,0.0327715905678825,2.43300145017644
"5",4,0.811914319435831,0.350127796645776,0.001,0.001,20.1864230731652,4.52354237412199,23.5509004152578,10.2291955537579,2.36339012623654,15.8244912241089,45.1149344632624,8.29660042277209,123.910522179821,0.0428536666666667,0.0153070310095268,0.00592761064559178,0.0140012754645294,0.0772798662361334,0.155961403995879,0.0107456170635886,0.343615307743179,0.158591680496852,0.130842099661854,212.303055265343,243.738677318963,1.09469448819828e-17,319.832540243902,14.7670013085453,152.944951395307,198.915633688529,36.6294613111318,6.73612868588603,503.02363643284,9.09796436265591,3.73091549194243,6.48892270191476e-20,4.47806349847506,1.14119188583319,23.8535093536936,2.137471227578,12.5864436208914,1.06829396833772,65.816668770414,1.02946675560304,1.18189945519588,5.30822122052607e-20,1.55088190855121,0.0716058320879741,0.741636726339165,0.964550565681288,0.177617852217568,0.0326637811920161,2.4391835074768
"6",4,0.807966785302327,0.269329074342904,0.001,0.001,20.0667896290114,4.50539580756936,23.4881267680849,10.1761040629713,2.35477981989193,15.7895974019807,45.0443574976265,8.26146451028704,124.313384341464,0.0457097666666667,0.0153418080906411,0.00593193338503885,0.0140185646933948,0.0773932078483266,0.156145988548981,0.0107651779583106,0.344595345118739,0.159044005439418,0.131021730953174,211.288021334349,242.616704122185,3.25046535598728e-16,319.18199988058,14.6600541352692,152.39438272779,197.45910738791,36.3943447233661,6.67498892226589,502.205427582128,9.65792615465477,3.72217891422642,1.92815439620931e-18,4.47447351429304,1.13458861675861,23.7957715403425,2.12568243052002,12.5413217803187,1.06161697446091,65.7998244158894,1.02955049490961,1.18220685784674,1.58386556644762e-18,1.55528923915323,0.0714345559916245,0.742577412424913,0.962165864641868,0.177339990148136,0.0325254508279017,2.44711386498946
"7",4,0.802910138379538,0.207176211033003,0.001,0.001,19.9150419510078,4.48225830883047,23.4077768563412,10.1084423379999,2.3437839694892,15.7448212245392,44.9530751527711,8.2165489533494,124.828251106082,0.0494226966666667,0.015386613323287,0.005937495792302,0.014040812097707,0.0775393800451942,0.156383313253245,0.0107903741015366,0.345861859101443,0.159628550354512,0.131254327895626,209.987465894562,241.178537430835,7.02174289487807e-15,318.331097801974,14.5235244994302,151.685272516376,195.599178396612,36.0932797914972,6.59715045713601,501.129341846298,10.3781468307089,3.71092089732416,4.1691568892965e-17,4.4696271290943,1.126145085757,23.7210454878324,2.11058830885265,12.4832888497558,1.05309356394323,65.7753949528132,1.02965732670909,1.18260033784747,3.44305741639314e-17,1.56091196098214,0.0712149810788519,0.7437770227618,0.959105469825885,0.176980610837682,0.0323486179265724,2.45724903752129
"8",4,0.796459667757783,0.159366316179233,0.001,0.001,19.7238453862448,4.45291394808257,23.3053730379029,10.0226847853367,2.32980834080189,15.6875765898571,44.83521489184,8.15940045417696,125.483184853495,0.0542495056666667,0.0154442022897379,0.00594463351508171,0.0140693601340222,0.0777274812403117,0.156687532920729,0.0108227475498289,0.347495962235185,0.160382751800855,0.131555144879794,208.327887409266,239.342408508551,1.06000370366961e-16,317.217367194641,14.3501204157367,150.774514555016,193.236102818405,35.7094403566037,6.49863337483648,499.711478588014,11.3016849085337,3.69645257351914,6.3013335429451e-19,4.46304537982776,1.11539871541039,23.624486712946,2.09134555831638,12.408886337598,1.04226870360115,65.7396159637424,1.0297929277654,1.18310190086188,5.23974169286155e-19,1.56804835571367,0.0709345863411771,0.745298820560646,0.955192195082426,0.176516594062362,0.0321236238353424,2.47014143412391
"9",4,0.788274220462244,0.122589473984026,0.001,0.001,19.4849201589503,4.41594007994059,23.1755666070677,9.91473361596362,2.31216432130833,15.6147234179892,44.6833919753345,8.08711457208295,126.311445023456,0.0605243573666666,0.0155179822818649,0.00595376210337855,0.0141058708361393,0.077968888160319,0.15707608729733,0.0108642164667055,0.349600172911473,0.161353925959142,0.131943588094312,206.221077072577,237.009924473592,2.03208181526211e-15,315.759223937922,14.1313034580089,149.608988703425,190.25288108469,35.2227659769657,6.37486393509754,497.840279306621,12.4813981652796,3.67791580860732,1.20985317026722e-17,4.45405882818792,1.10180201887702,23.4999945700444,2.06694848351847,12.3138850759676,1.02860932338333,65.6868327495902,1.02996391756494,1.18373773320309,1.01491611670869e-17,1.57704834011662,0.0705782981862105,0.747216832999459,0.950211324233562,0.175918866044624,0.0318390337483581,2.48644576817826
"10",4,0.777955072270464,0.0942995953723274,0.001,0.001,19.1893660142049,4.36973862016294,23.0121334789357,9.77999517281043,2.29004538573928,15.5225518859484,44.4884270437266,7.99634819840055,127.35139421164,0.0686816645766667,0.0156121843060889,0.00596538604105553,0.0141523619377371,0.0782776753823656,0.157570122407241,0.0109171346205135,0.352303161424132,0.16260145911883,0.132444159016754,203.563753673856,234.065640805263,1.48279694551179e-17,313.85080569256,13.8574003978204,148.124366234302,186.516749598434,34.6099974760016,6.2207996405865,495.368315438302,13.981097449795,3.65427592397457,8.8454562004758e-20,4.44173019661151,1.08472508998405,23.3399745190339,2.03622846434672,12.1932115276766,1.01151109844526,65.608639941772,1.03017787227634,1.18453918964422,7.5040107817651e-20,1.58830906477876,0.0701283357153056,0.749615006038929,0.943907865606879,0.175151287573727,0.0314816858204746,2.50691720889054
