"","convergence","mu","x_C","C","AA","NT","ATP","ADP","P","RNA","p","tau Cin","tau EAA","tau ENT","tau RNAp","tau R","v Cin","v EAA","v ENT","v RNAp","v R","p Cin","p EAA","p ENT","p RNAp","p R","f Cin","f EAA","f ENT","f RNAp","f R"
"1",-1,7.77645823266784e-20,1,152.381692447262,2.14037307716966,0.194895949405013,2.1111279391306e-10,-1.77319270378007e-10,-3.37793681914889e-11,0.195291441713993,2.79491723213175,96101.0932987208,230054718447469,0.126287755110433,22868.7389728127,640880463260916352,3.50400920470197e-17,3.9410732779356e-17,3.03427594995058e-20,2.37293084325993e-20,4.34691142388723e-18,3.36739115500641e-12,0.00906662503336317,3.83191898104834e-21,5.42659360550476e-16,2.78585060709502,2.65054067475096,2.98114942487169,0.00229521994775886,0.00179495810398891,0.3288137920155
"2",-1,7.77645823266502e-20,0.714285714285714,152.381692447262,2.14037307716966,0.194895949405013,2.1111279391306e-10,-1.77319270378007e-10,-3.37793681914889e-11,0.195291441713993,2.79491723213175,125067.919923404,230054718447469,0.126287755110433,22868.7389728127,640880463260916352,3.5040092047007e-17,3.94107327793417e-17,3.03427594994948e-20,2.37293084325907e-20,4.34691142388565e-18,4.38239142624377e-12,0.00906662503335988,3.83191898104695e-21,5.42659360550279e-16,2.78585060709401,2.65054067475096,2.98114942487169,0.00229521994775886,0.00179495810398891,0.3288137920155
"3",-1,7.77645823266106e-20,0.510204081632654,152.381692447262,2.14037307716966,0.194895949405013,2.1111279391306e-10,-1.77319270378007e-10,-3.37793681914889e-11,0.195291441713993,2.79491723213175,165621.477197962,230054718447469,0.126287755110433,22868.7389728127,640880463260916352,3.50400920469892e-17,3.94107327793216e-17,3.03427594994794e-20,2.37293084325786e-20,4.34691142388344e-18,5.80339180597492e-12,0.00906662503335527,3.83191898104501e-21,5.42659360550003e-16,2.78585060709259,2.65054067475096,2.98114942487169,0.00229521994775886,0.00179495810398891,0.3288137920155
"4",-1,7.77645823265553e-20,0.364431486880466,152.381692447262,2.14037307716966,0.194895949405013,2.1111279391306e-10,-1.77319270378007e-10,-3.37793681914889e-11,0.195291441713993,2.79491723213175,222396.457382351,230054718447469,0.126287755110433,22868.7389728127,640880463260916352,3.50400920469643e-17,3.94107327792936e-17,3.03427594994578e-20,2.37293084325617e-20,4.34691142388035e-18,7.79279233759633e-12,0.00906662503334881,3.83191898104228e-21,5.42659360549616e-16,2.78585060709061,2.65054067475096,2.98114942487169,0.00229521994775886,0.00179495810398891,0.3288137920155
"5",-1,7.77645823264778e-20,0.26030820491462,152.381692447262,2.14037307716966,0.194895949405013,2.1111279391306e-10,-1.77319270378007e-10,-3.37793681914889e-11,0.195291441713993,2.79491723213175,301881.429640502,230054718447469,0.126287755110433,22868.7389728127,640880463260916352,3.50400920469293e-17,3.94107327792543e-17,3.03427594994275e-20,2.37293084325381e-20,4.34691142387602e-18,1.05779530818618e-11,0.00906662503333978,3.83191898103846e-21,5.42659360549076e-16,2.78585060708783,2.65054067475096,2.98114942487169,0.00229521994775886,0.00179495810398891,0.3288137920155
"6",-1,1.00322457548847e-19,0.185934432081871,150.857875522789,2.11896934639797,0.192946989910963,2.09001665973929e-10,-1.75546077674227e-10,-3.3441574509574e-11,0.193338527296853,2.76696805981043,413412.489846681,-17167919371569344,0.1265335144952,23147.3750234011,654043704164356736,4.47524433527622e-17,5.03345306237284e-17,3.87531124018156e-20,3.03065565582738e-20,5.55178071438696e-18,1.8501219033188e-11,-0.864139163353957,4.90356750982927e-21,7.01517230322278e-16,3.63110722314589,2.65054067475096,2.98114942487169,0.00229521994775886,0.00179495810398891,0.3288137920155
"7",-1,7.51443500912074e-20,0.132810308629908,149.349296767561,2.09777965293399,0.191017520011853,2.0691164931419e-10,-1.73790616897485e-10,-3.31071587644782e-11,0.191405142023885,2.73929837921233,569468.026159844,-230831791844253,0.126781772515762,23429.7928386553,667478827344827520,3.31856337989776e-17,3.73249631881692e-17,2.8736902398825e-20,2.24734609398439e-20,4.11685592823616e-18,1.88981573763672e-11,-0.00861578813324589,3.64331542273548e-21,5.26548534188152e-16,2.74791416732667,2.65054067475096,2.98114942487169,0.00229521994775886,0.00179495810398891,0.3288137920155
"8",-1,7.35162121332364e-20,0.0948645061642198,147.855803799886,2.07680185640465,0.189107344811735,2.04842532821048e-10,-1.7205271072851e-10,-3.27760871768334e-11,0.189491090603646,2.7119053954202,787859.09360942,-117952564432367,0.12703255474015,23716.0502574962,681191494385101184,3.214194108098e-17,3.61510879952168e-17,2.78331228913085e-20,2.17666675221499e-20,3.9873802466996e-18,2.53233205669083e-11,-0.00426411353605598,3.53571270727947e-21,5.16219380893517e-16,2.71616950893094,2.65054067475096,2.98114942487169,0.00229521994775886,0.00179495810398891,0.3288137920155
"9",-1,7.19981694279269e-20,0.0677603615458714,146.377245761887,2.0560338378406,0.187216271363617,2.02794107492837e-10,-1.70332183621225e-10,-3.24483263050651e-11,0.187596179697609,2.684786341466,1093522.07363598,-80008295678023.5,0.127285887001347,24006.206101833,695187486145352320,3.11634569303139e-17,3.50505550017821e-17,2.69858103552028e-20,2.11040336404692e-20,3.86599403781307e-18,3.40779280441024e-11,-0.00280433516826141,3.43491280751212e-21,5.06627781153122e-16,2.68759067660018,2.65054067475096,2.98114942487169,0.00229521994775886,0.00179495810398891,0.3288137920155
"10",-1,7.05298414724877e-20,0.048400258247051,144.913473304268,2.0354734994622,0.185344108649981,2.00766166417909e-10,-1.68628861785012e-10,-3.21238430420145e-11,0.185720217900633,2.65793847805134,1521369.18305023,-60985898496729.3,0.127541795400096,24300.3201945892,709472705317337216,3.02226314578412e-17,3.39923779502526e-17,2.61711081277103e-20,2.04669023855743e-20,3.74927959001173e-18,4.59797801306439e-11,-0.00207305571133657,3.33791011821822e-21,4.97352281360857e-16,2.6600115337167,2.65054067475096,2.98114942487169,0.00229521994775886,0.00179495810398891,0.3288137920155
