"","convergence","mu","x_C","x_C2","x_W","C","C2","AA","NT","ATP","RNA","DNA","p","tau tC","tau tC2","tau BGAL","tau ATPS","tau EAA","tau ENT","tau RNAp","tau DNAp","tau r","v tC","v tC2","v BGAL","v ATPS","v EAA","v ENT","v RNAp","v DNAp","v r","p tC","p tC2","p BGAL","p ATPS","p EAA","p ENT","p RNAp","p DNAp","p r","f tC","f tC2","f BGAL","f ATPS","f EAA","f ENT","f RNAp","f DNAp","f r"
"7",-1,0.944201761505203,0.207176211033003,1e-05,0.001,35.1372425502453,0.000217838854074143,16.574324301563,5.11381957492093,15.2926384493992,38.4008126994346,7.24518245397762,136.235761928212,0.0436082617647059,2000.1,459.154930421019,0.109421512146906,0.218843024293812,0.0426653569452888,0.309266689888951,0.231950017416713,0.523058723996897,284.785623288237,0.000520030566317752,0.000314346736576672,89.9177921770524,140.124121231468,47.9275064801699,36.2581149940376,6.84091403547226,128.634046392621,12.4190060071784,1.04011313569214,0.144333853960936,9.83894078892429,30.6651864668071,2.04484417147409,11.2134272058189,1.58675012967403,67.2831601686821,1.18746150134787,2.16835481333782e-06,1.31072152958136e-06,0.374927341006889,0.584271064849932,0.199841790269028,0.151184301966278,0.0285243403699906,0.536361267433906
"8",-1,0.935869846283489,0.159366316179233,1e-05,0.001,35.1372425502453,0.000217838854074143,16.574324301563,5.11381957492093,15.2926384493992,38.4008126994346,7.24518245397762,136.235761928212,0.047867210882353,2000.1,459.154930421019,0.109421512146906,0.218843024293812,0.0426653569452888,0.309266689888951,0.231950017416713,0.523058723996897,282.272590834434,0.000515441663005019,0.00031157284812808,89.1243310208811,138.887624598845,47.5045800071835,35.9381626781809,6.78054778949987,127.49894157407,13.51160163178,1.03093487017634,0.143060209403327,9.75211906938619,30.3945878041948,2.02679986254251,11.1144766121717,1.57274817786935,66.6894336906878,1.18746150134787,2.16835481333782e-06,1.31072152958136e-06,0.374927341006889,0.584271064849932,0.199841790269028,0.151184301966278,0.0285243403699906,0.536361267433906
"9",-1,0.929555271122356,0.122589473984026,1e-05,0.001,34.5573557805781,9.92237365599241e-05,15.9305870664732,4.8002659984782,15.2098473726713,37.2162902487043,6.84167828926856,139.443876156523,0.0534038447352941,2000.1,1007.92336431774,0.109859282612759,0.219718565225517,0.0430495175783229,0.319128230220894,0.23934617266567,0.532262576421127,280.710998564166,0.00023519248253419,0.000142958535194457,89.208389529496,138.942386518328,45.4164294510904,34.5945987723026,6.35971811711298,129.620790107029,14.9910465828101,0.470408484316634,0.144091247751133,9.80036967674995,30.5282218148162,1.95515537799938,11.0401130814068,1.52217419056351,68.9922957001094,1.18891414636976,9.96126518144973e-07,6.05481886019288e-07,0.377830283918276,0.588472021783837,0.192355254080516,0.146520827750804,0.0269357412963329,0.548991638411508
"10",-1,0.919845069293187,0.0942995953723274,1e-05,0.001,34.4054199128817,2.68221022141913e-05,15.8908716847379,4.75788757985171,14.996211369396,37.0625336269323,6.82232281179457,140.064728481696,0.0606014687441177,2000.1,3728.36854515121,0.10997642238697,0.21995284477394,0.0431788008546235,0.3199528430536,0.2399646322902,0.534181392035541,277.676761586203,2.80057629936165e-05,3.33358452381476e-06,88.0722797712214,137.822124575669,44.7437882423801,34.0917888122466,6.27547999955567,128.837849875777,16.8276195882341,0.0560143265635323,0.0124288316811938,9.68587424070323,30.3143683732068,1.93198312199918,10.9077647552612,1.50589325053788,68.8227819935086,1.18847796579059,1.19866826604192e-07,1.42679989892652e-08,0.376956153288134,0.589889327867932,0.191506866214876,0.145915486720206,0.0268595386291125,0.551435938904314
"11",-1,0.89536633848947,0.0725381502864057,1e-05,0.001,35.175641504591,0.000247781550340512,15.472927588409,4.63315592660809,14.3439505766321,37.3342546511657,6.91055852930047,140.129262769633,0.0699583799555882,2000.1,403.681299182993,0.109393033383069,0.218786066766138,0.04330995658306,0.319931822315299,0.239948866736474,0.537082174170004,269.735360312092,0.000553377197449706,0.000331521937976077,84.6257286294967,133.921218162058,43.7636882322025,33.4278348872477,6.18748148729694,125.467024921275,18.8702488241708,1.10680973261916,0.133829206629846,9.25746515703305,29.3000965782065,1.89540343725126,10.6946281315321,1.48467917082982,67.3861025313606,1.18605110757318,2.43325026863949e-06,1.45773235391306e-06,0.372107086939104,0.588863873631098,0.19243294924045,0.146985254532148,0.0272069233437026,0.551690010904068
"12",-1,0.873183233587256,0.055798577143389,1e-05,0.001,30.7998764758794,0.000331950629547164,15.8995727558636,4.58300632020636,14.4732236259333,35.282817523243,6.89144077565861,146.069730634012,0.0821223645305,2000.1,301.349616957849,0.113095357456532,0.226190714913064,0.0445894328886607,0.320879312874274,0.240659484655705,0.547319377857632,264.017522742324,0.000688744825455188,0.00039889110135587,84.4593402046999,134.292198912215,40.8276595138077,30.8083646950144,6.01749054056465,127.545639724226,21.6817432450847,1.37755852539292,0.120205680601486,9.5519592709934,30.3756484792014,1.82048218389202,9.88576689411627,1.44816617241287,69.8082001823172,1.19040199803698,3.10541212508716e-06,1.79851988277549e-06,0.38081020641454,0.605496560400284,0.184083718972866,0.138908730406469,0.0271316565970811,0.575077679661466
"13",-1,0.853303155378054,0.0429219824179915,1e-05,0.001,30.1884558355807,0.000200441852440749,15.5565296187457,4.38385877715097,13.989474133367,36.421251607286,7.49842516909843,145.961803806775,0.0979355444778854,2000.1,498.997803938229,0.113698141379801,0.227396282759601,0.0451261984408892,0.313873142312662,0.235404856734497,0.54382923310391,257.707655295441,0.000297551002556775,0.000126513337399262,81.9379038021105,131.462071699489,41.2175593037478,31.0783689193152,6.39842985715791,124.549667752994,25.2387395374782,0.595131760213806,0.0631298775311281,9.31618737085687,29.8939864283401,1.85999176039004,9.75466531065763,1.50622146384998,67.7337502974574,1.18902298872055,1.37285398817996e-06,5.83712836838429e-07,0.378048727953351,0.606545526233294,0.190171399817069,0.143390754359394,0.0295213589334584,0.574652770892816
"14",-1,0.823416970632924,0.0330169095523012,1e-05,0.001,30.1884558355807,0.000200441852440749,15.5565296187457,4.38385877715097,13.989474133367,36.421251607286,7.49842516909843,145.961803806775,0.118492678409486,2000.1,498.997803938229,0.113698141379801,0.227396282759601,0.0451261984408892,0.313873142312662,0.235404856734497,0.54382923310391,248.681673675835,0.000287129543105391,0.000122082320180579,79.0681015340366,126.857729459541,39.7739509163519,29.989876665131,6.1743305372567,120.187426318692,29.4669575852035,0.574287799165093,0.0609188096697924,8.98989618684933,28.8469761184228,1.79484720182948,9.41301682645384,1.45346739555434,65.361435883627,1.18902298872055,1.37285398817996e-06,5.83712836838429e-07,0.378048727953351,0.606545526233294,0.190171399817069,0.143390754359394,0.0295213589334584,0.574652770892816
"15",-1,0.78755837856477,0.0253976227325394,1e-05,0.001,30.1884558355807,0.000200441852440749,15.5565296187457,4.38385877715097,13.989474133367,36.421251607286,7.49842516909843,145.961803806775,0.145216952520567,2000.1,498.997803938229,0.113698141379801,0.227396282759601,0.0451261984408892,0.313873142312662,0.235404856734497,0.54382923310391,237.85195433654,0.000274625475878045,0.00011676581557329,75.6248025741753,121.333262836166,38.041854139488,28.6838618611337,5.90544756796442,114.953441538453,34.5401359598134,0.549278414303678,0.0582658855461282,8.59839949489811,27.5907329440379,1.7166842589579,9.00309385601635,1.39017103868975,62.515041954512,1.18902298872055,1.37285398817996e-06,5.83712836838429e-07,0.378048727953351,0.606545526233294,0.190171399817069,0.143390754359394,0.0295213589334584,0.574652770892816
"16",-1,0.749353316066145,0.0195366328711841,1e-05,0.001,27.941728669826,0.000133412427805788,14.5512646258287,3.85217071143801,13.3649992345632,34.718239589856,5.8449115709423,153.726552208915,0.179958508864973,2000.1,749.655357358258,0.11613970252754,0.232279405055081,0.0467295282463046,0.353600744942553,0.265200558706914,0.562319776833031,226.71806594235,0.000160057867435149,6.00848222544473e-05,72.7649674031701,118.037685660551,33.2827687291055,26.0162279646375,4.379903867799,115.195501665165,40.799845079736,0.320131740657042,0.0450429088989651,8.45090166863034,27.4177233993113,1.55528808144196,9.19935758889109,1.16155295282287,64.7767087885249,1.19114814288467,8.40923861788488e-07,3.15678083025545e-07,0.382297967429683,0.620155122974278,0.174863471937938,0.136685982637228,0.0230114628777256,0.605222646491789
