"","convergence","mu","x_C","x_W","C","AA","NT","ATP","RNA","DNA","p","tau tC","tau ATPS","tau EAA","tau ENT","tau RNAp","tau DNAp","tau r","v tC","v ATPS","v EAA","v ENT","v RNAp","v DNAp","v r","p tC","p ATPS","p EAA","p ENT","p RNAp","p DNAp","p r","f tC","f ATPS","f EAA","f ENT","f RNAp","f DNAp","f r"
"1",4,0.975927390501308,1,1e-05,36.8647417847026,16.2800643769924,5.04427307097999,15.7404585584202,37.7203860942257,7.14705730577548,135.203018930304,0.0323529411764706,0.108199007749831,0.216398015499662,0.0421316998042414,0.311477877727618,0.233608408295714,0.526067735167721,294.50778896363,93.2444633156394,143.366419351607,48.7102112109657,36.8123579696395,6.97500898618877,131.948329452551,9.52819317235273,10.0889584089177,31.02420863698,2.0522439961416,11.4662351345327,1.62942074711186,69.4137588342677,1.18807966186212,0.37615932276834,0.578357291075501,0.196502820751894,0.148505457063881,0.0281380208888798,0.532295350119308
"2",4,0.974056377173833,0.769230769230769,1e-05,36.7785356766666,16.2671247655708,5.03480885359441,15.7155711819432,37.7010889380057,7.13630026314545,135.366570212713,0.0332352941176471,0.108257291011404,0.216514582022809,0.042165589944224,0.311743278505517,0.233807458879138,0.526314802193441,293.946939477564,93.0732395619196,143.189083045167,48.5783325589014,36.7229861064623,6.95115878074413,131.854670971843,9.76941298851905,10.0758567806289,31.0025244657535,2.04833405085278,11.4481440853411,1.62523277079119,69.3970650708268,1.18809490126614,0.376189803385515,0.578751456930618,0.196347236436006,0.148429484007897,0.0280956703273443,0.532939252805958
"3",4,0.971638064278015,0.591715976331361,1e-05,36.6675484117746,16.2503752419565,5.02259606714207,15.6834672503228,37.6760018482151,7.12239506573935,135.577616099274,0.0343823529411765,0.108332732157944,0.216665464315888,0.0422094876660266,0.312087584002096,0.234065688001572,0.526635619113521,293.221993883034,92.8518511431053,142.958969048039,48.4079731805612,36.6074375055347,6.92039015469827,131.732372466126,10.081662083802,10.0588947202553,30.9742714069141,2.04327574690224,11.42472672761,1.61982588279876,69.3749595309912,1.18811452658548,0.3762290532936,0.57925950772783,0.19614564165786,0.148330715937855,0.0280409254556667,0.533770142123124
"4",4,0.968517640029986,0.455166135639508,1e-05,36.5250591697411,16.2287207304206,5.00686983248346,15.6421464144987,37.643389144962,7.10444976350034,135.849366757749,0.0358735294117647,0.108430258225547,0.216860516451095,0.0422662882996204,0.31253399672284,0.23440049754213,0.527052062641937,292.286509981629,92.5660553154927,142.660549666531,48.1883130901601,36.458286417409,6.88078491865694,131.572508091783,10.485348712488,10.0369612807792,30.9374404778809,2.03674113374108,11.3944539676989,1.61285940841357,69.345561776747,1.18813973406889,0.376279453859394,0.579912728622225,0.195884680082464,0.148202319468354,0.0279702746594502,0.534840026605309
"5",4,0.964499977306649,0.350127796645776,1e-05,36.3427759770821,16.2007703047372,4.98667516593195,15.5891152277569,37.6010007330997,7.08133994923962,136.198322966592,0.0378120588235294,0.108556135995538,0.217112271991077,0.0423396873316199,0.313112351080291,0.234834263310218,0.527592377053119,291.081928180159,92.1978672626974,142.27386021598,47.9057646585012,36.2661643537819,6.82995222034228,131.363279410481,11.0064069908145,10.008644217068,30.8894010364323,2.02831509702311,11.3553839854769,1.60390679810807,69.306264841669,1.18817197531631,0.376343948077972,0.580749944132806,0.195547306489257,0.148035435957085,0.0278792911387387,0.536213869947212
"6",4,0.95934143834223,0.269329074342904,1e-05,36.1106381902204,16.1647702197384,4.96083388499616,15.5213037578529,37.5459236275335,7.05166022148007,136.644871662644,0.0403321470588235,0.1087182811661,0.217436562332201,0.0424343750092812,0.313860910477724,0.235395682858293,0.528292955874097,289.535118631465,91.7247835833646,141.773353779329,47.54344375091,36.0193603767255,6.76494985957538,131.08908772293,11.6775729833382,9.97216081151593,30.8267106760842,2.01747632135878,11.3050692426643,1.59243999169686,69.2534416359857,1.18821307648917,0.376426140659706,0.581818722559677,0.195111880842558,0.147818596958793,0.0277624418168507,0.537971935679701
"7",4,0.952741409365874,0.207176211033003,1e-05,35.816685224077,16.1185256123907,4.92791212880762,15.434992062909,37.4743959063133,7.01367446042593,137.21381446506,0.0436082617647059,0.108926619281818,0.217853238563636,0.0425562692430655,0.314828603603491,0.236121452702618,0.529200587324286,287.555795813481,91.1189559358987,141.126506954779,47.0806528080066,35.7034087709157,6.68221809025964,130.729282977908,12.5398084157926,9.92527982258638,30.744866587272,2.00357693703682,11.240454327232,1.57781504274782,69.1820133323919,1.18826516954905,0.376530340200595,0.583176257115883,0.194551112187192,0.147536991757139,0.02761289157648,0.540211867972675
"8",4,0.944334801495808,0.159366316179233,1e-05,35.4470902443212,16.0593267559136,4.88620428634204,15.3257683292083,37.3815868226264,6.96527114287936,137.934753989078,0.047867210882353,0.10919347193282,0.218386943865641,0.0427127744194541,0.316077664584634,0.237058248438475,0.530375142584292,285.034264568215,90.3464470106527,140.292274297204,46.4924940686294,35.3007333717432,6.57754794207546,130.256588527649,13.6437952507832,9.86524222588774,30.6380010317266,1.98582341135118,11.1577733622654,1.55926199416851,69.0848567128954,1.18833081465582,0.376661616946525,0.584889795120108,0.193830953747432,0.147171601663883,0.0274223273341707,0.543050212555425
"9",4,0.933687182143707,0.122589473984026,1e-05,34.9864253356735,15.9838753690457,4.83373091577851,15.1885440116572,37.2613364589223,6.90393257545251,138.842156733375,0.0534038447352941,0.109533971377141,0.219067942754281,0.0429130733867868,0.31768688649795,0.238265164873462,0.531892866443733,281.839896666445,89.3667021897395,139.219435405666,45.7497381913183,34.7904322412397,6.4461133520844,129.63514208314,15.0513340817861,9.78868979972036,30.4985153057318,1.96326187243032,11.0524640986373,1.53588426062742,68.9520073144421,1.18841290060336,0.376825790183839,0.587036026509114,0.192909448622651,0.146698175035127,0.0271808369112304,0.546622664304628
"10",4,0.920295427828708,0.0942995953723274,1e-05,34.4183234602175,15.8882397768311,4.76827758504183,15.0176648049194,37.1058784976665,6.82673506778405,139.974881878258,0.0606014687441177,0.10996643380164,0.219932867603281,0.043168420751832,0.319755359059385,0.239816519294539,0.533850164190628,277.821297416883,88.1325155260288,137.845112821245,44.8192074569817,34.1483703269701,6.28261306987957,128.818243803424,16.8363786718595,9.69161843436509,30.3166709478742,1.93477440526663,10.9191244151932,1.5066743984929,68.7696406052062,1.18851469041865,0.377029372406458,0.589699001169916,0.191735791931072,0.146086135817585,0.0268769097156853,0.551082212119124
