"","convergence","mu","x_C","x_W","C","AA","NT","ATP","RNA","DNA","p","tau tC","tau FERM","tau RESP","tau EAA","tau ENT","tau RNAp","tau DNAp","tau r","v tC","v FERM","v RESP","v EAA","v ENT","v RNAp","v DNAp","v r","p tC","p FERM","p RESP","p EAA","p ENT","p RNAp","p DNAp","p r","f tC","f FERM","f RESP","f EAA","f ENT","f RNAp","f DNAp","f r"
"1",4,0.833309220622408,1,0.001,31.9003271862156,15.9509731655553,10.005217377087,18.0075587815811,45.6216427402494,8.47688856292152,124.037393222377,0.0452806759265777,0.0219083185297631,0.260999897320674,0.217150400422722,0.0345135676265348,0.343385456251198,0.15848559519286,0.652031843231551,242.34438250757,61.3676792123621,3.00076537036689e-15,130.355656326789,53.4182448517204,38.0169355553911,7.06386940167113,103.361503474174,10.9735174469519,1.34446266361675,7.83199453549193e-16,28.306782968729,1.84365420618065,13.0544627609604,1.11952154648848,67.3949916294504,1.14496722050328,0.289934432849171,1.4177254491897e-17,0.61587131484965,0.252376963308102,0.179612766693895,0.0333735770193761,0.488336193788888
"2",4,0.828015171261542,0.769230769230769,0.001,30.9667548259528,15.8318456206188,9.95301254673661,17.9224798624016,45.6845019498515,8.44416812608171,125.197237776883,0.0483147609670111,0.0221576110171731,0.264952881486083,0.219103096998321,0.0347507717112847,0.34432708119882,0.158920191322532,0.652905418547855,240.828521088884,61.0253340035631,5.60545961575108e-15,130.284971849503,53.0606054115377,37.8274607060045,6.99189931707879,103.665212279298,11.6355724304482,1.35217561304402,1.48518267724712e-15,28.5458408245652,1.8438969855189,13.0250191340616,1.11115397717804,67.6835788120673,1.14508020712946,0.290160408679976,2.66525776466945e-17,0.619472900787461,0.252290089065629,0.179860243897053,0.0332447564018965,0.492902510932611
"3",4,0.821371028108624,0.591715976331361,0.001,29.8490879106599,15.6822873934983,9.88765960093204,17.8166098964252,45.7538948071308,8.40278393862101,126.607677524677,0.0521432140750568,0.0224748910124992,0.270009741289483,0.221583624566052,0.0350548744515363,0.345525645895611,0.159473375028744,0.654088092480197,238.921893436816,60.5873028335224,3.40899679411389e-16,130.145540763451,52.6041640323523,37.5809236177069,6.90180328263977,103.991878254889,12.4581554366938,1.3616930279247,9.20462342435368e-17,28.8381206434744,1.84403236578213,12.9851729063618,1.10065386326703,68.0198492811734,1.145203986439,0.290407964437491,1.63400543257851e-18,0.623815548904392,0.252143064357023,0.180133444122562,0.033081826530004,0.498455423325501
"4",4,0.813098742325882,0.455166135639508,0.001,28.5356276021559,15.4962400216905,9.80651230344015,17.6860941675148,45.8264645177638,8.35077899630336,128.298281835518,0.0569477507542529,0.02287684661647,0.276457827662649,0.224719388871742,0.035443634853375,0.347044780182578,0.160174513930421,0.655687692690212,236.542049322022,60.0299384460333,6.75072101554664e-15,129.89852783817,52.0251113845015,37.2614406646354,6.79000789933565,104.319171603031,13.4705376676907,1.37329569422604,1.86628966711462e-15,29.1907177911326,1.84395905111843,12.9313884847446,1.0875862148598,68.4007969317457,1.14533187943781,0.29066376325053,3.26868563558036e-17,0.628966077919429,0.251904550462627,0.180419151644739,0.0328770826626116,0.505111345809125
"5",4,0.802893333969154,0.350127796645776,0.001,27.0244922094445,15.2673514193373,9.70668027943772,17.5268824568119,45.8964602043301,8.28591893406467,130.292215649122,0.062943864730491,0.0233834436341087,0.284651148131704,0.228662185889457,0.0359390817126886,0.348961305187209,0.161059063932558,0.657843576448167,233.597809976662,59.325804446248,5.92832304667179e-15,129.490975917488,51.2960999201369,36.8499619508372,6.65270907796932,104.610751412752,14.70354895251,1.387241604317,1.68750396173076e-15,29.6096896062519,1.84353472657204,12.8592108184631,1.07147909671337,68.8175108442946,1.14545279966951,0.290905590263837,2.90696827672909e-17,0.634962292289652,0.251531729991467,0.180694725213898,0.0326217280868688,0.512961478933551
"6",4,0.790432119153142,0.269329074342904,0.001,25.3265549927747,14.9894115538475,9.58511079762644,17.3349030367786,45.9552390095467,8.20572175707254,132.603059735326,0.0703879259531864,0.0240183300778958,0.295024744729076,0.233591357694265,0.036568474126656,0.351367408774597,0.162169573280583,0.660731233002048,229.991889100203,58.44426027475,5.87151017947477e-16,128.854582196269,50.3869424342145,36.3244969565051,6.48606603762389,104.813717512784,16.1886520598185,1.4037335344374,1.73224079187372e-16,30.0993168003537,1.84257360072688,12.7632443706479,1.05184256159115,69.2536968077503,1.14555046082562,0.291100914698706,2.92449930219462e-18,0.641802746139966,0.250968785686007,0.180926137832861,0.0323059911695769,0.522059290296558
"7",4,0.775387829630325,0.207176211033003,0.001,23.4669782085262,14.6569402459929,9.43870405890208,17.1062868451885,45.9910039128395,8.10751892295073,135.232568195095,0.0795885405704637,0.0248092845531276,0.308113503771726,0.239717651458872,0.037365536253512,0.354373269837373,0.163556893771095,0.66456548954618,225.62488365911,57.3527492619959,7.93236120442696e-15,127.906428487851,49.265992462605,35.6608647064964,6.28647150135356,104.85768754813,17.9571552068092,1.42288067634503,2.4440676038789e-15,30.6614286435997,1.84085022742671,12.6372572312693,1.0281957515419,69.6848004581032,1.14560341237662,0.291206821686356,4.02763202206245e-17,0.649440959544055,0.250146562577529,0.181066944538738,0.0319193658383887,0.532411685807461
"8",4,0.757444953731033,0.159366316179233,0.001,21.4844517036266,14.265841058541,9.26445675872157,16.8376132655152,45.9888942222626,7.98854798488286,138.170195412791,0.0909243927470673,0.0257888220279528,0.324578908726622,0.247288903138908,0.038372165029799,0.358110452204518,0.165281747171316,0.66960246714145,220.400441207054,56.018845303181,1.9514141374847e-15,126.552290621054,47.9022572360639,34.8340558563231,6.05088535878774,104.656317271449,20.0397762779371,1.44466003173515,6.33387871218487e-16,31.2949771373968,1.83811331996213,12.4744394948253,1.00010090403377,70.0781282469009,1.14558591775481,0.291171832310087,1.01429586228005e-17,0.657786895530288,0.248983854196327,0.181058638670325,0.0314509763184364,0.543977147294454
"9",4,0.736318537053928,0.122589473984026,0.001,19.4279718519416,13.8140075198533,9.05963250738862,16.5261771109309,45.9314702952209,7.84608005044071,141.394660915329,0.104870994428347,0.0269950710762502,0.345248224269927,0.256598604473037,0.0396408431999412,0.362736328391217,0.167416766949793,0.676140975297324,214.231408392341,54.4129995915013,4.65001470502672e-16,124.692550840967,46.2681825509481,33.820193012513,5.77721418434851,104.111509872411,22.4666608358901,1.46888279144455,1.60540931973952e-16,31.9959345339754,1.83410976964839,12.2678126388413,0.96720252072011,70.3940578248091,1.1454699281058,0.2909398542344,2.48630770335182e-18,0.66671627806111,0.247390483673426,0.180832560217405,0.0308900789387429,0.556671893367436
"10",4,0.711774801934317,0.0942995953723274,0.001,17.351662099684,13.3017417232575,8.82195967298683,16.1702495205378,45.7995629122687,7.67758187721906,144.87724251631,0.122038433609221,0.0284731347004849,0.371174009705018,0.267999231881754,0.041238155090942,0.368439812327498,0.170049144151153,0.684524874353962,207.046666404035,52.5117329666786,4.93994723769277e-15,122.230137850365,44.3429327394632,32.5989748205583,5.4647093199921,103.119970596837,25.2676508519595,1.49517364611613,1.83358002394566e-15,32.7575830566987,1.82862073749719,12.0107601649554,0.929269142899487,70.588184916184,1.14522789189244,0.290455781247372,2.73241074552868e-17,0.676086051165552,0.245272064812892,0.180313239812081,0.0302267003040121,0.570382844552403
