"","convergence","mu","x_C","C","AA","NT","ATP","RNA","DNA","p","tau tC","tau MET","tau RNAp","tau DNAp","tau r","v tC","v MET","v RNAp","v DNAp","v r","p tC","p MET","p RNAp","p DNAp","p r","f tC","f MET","f RNAp","f DNAp","f r"
"1",4,0.687180898331697,1,21.5116981113063,20.2396575356834,7.70134421436902,35.8304945324781,52.0728694932443,9.97227704391434,106.671659685403,0.0733333333333333,0.152432297578566,0.315215560582168,0.118205835218313,0.783455278770412,174.543948599828,159.761520567061,35.7834812370768,6.85275829744961,73.3027269291483,12.7998895639874,24.3528156446824,11.2795100977267,0.810036018099257,57.4294083609073,1.00000000242677,0.915308277579103,0.205011297217497,0.0392609332437572,0.41996716411576
"2",4,0.684940515156703,0.769230769230769,21.4511905060553,20.1745304638503,7.69916788361722,35.8319982985924,52.0951604604545,9.97031493827013,106.777638896355,0.0753333333333333,0.152548852696501,0.315254646721664,0.118220492520624,0.783700082663955,173.974891841045,159.282102365103,35.6820860429548,6.82907265009331,73.1363309928857,13.106108518692,24.2983019708831,11.2489434297638,0.807336332153156,57.316948644863,1.00000000569762,0.915546499768266,0.205099056930923,0.0392532084183863,0.42038440510376
"3",4,0.682053025390532,0.591715976331361,21.3734298845438,20.0909094709094,7.69636514729866,35.8339391721394,52.1238212746381,9.96778505768123,106.91375147606,0.0779333333333333,0.152699611117453,0.315305045772741,0.118239392164778,0.784017961429969,173.241469460864,158.663656945139,35.5512099952823,6.79855795503402,72.9208476500982,13.50128518665,24.2278787139956,11.2094758948388,0.803857360200237,57.1712543203754,1.00000000583965,0.915852644089475,0.20521189478204,0.0392432482585875,0.420920281401811
"4",4,0.678340850203861,0.455166135639508,21.2738256139941,19.9839239599418,7.69276526415013,35.8364390837078,52.1605569499835,9.96453035358069,107.08795961435,0.0813133333333333,0.152894328902657,0.31536988615072,0.11826370730652,0.784430560851315,172.298576521389,157.867671567304,35.3826365485587,6.75934799193011,72.6421375713952,14.0101715855426,24.1370716997081,11.1586180600313,0.799385552500536,56.9827127165679,1.00000000330594,0.916244784353206,0.205356523425132,0.0392304344629161,0.421606140213978
"5",4,0.673583760621318,0.350127796645776,21.1467701247638,19.8476591921254,7.68815575865048,35.8396509561688,52.2074563838981,9.96035695284999,107.309951074302,0.0857073333333333,0.153145373726373,0.315453058069402,0.118294896776026,0.784965822760077,171.09027549605,156.846154550417,35.1660948035395,6.70913469343139,72.2822403967183,14.6636912720318,24.020262956168,11.0932521461351,0.79365639601592,56.7390883039517,1.00000000174315,0.91674500125195,0.205541166865741,0.0392140037513779,0.422480122339774
"6",4,0.667512528920721,0.269329074342904,20.9855506417019,19.6750858417712,7.68228058890161,35.8437634107037,52.267032040004,9.9550223375317,107.591265669212,0.0914195333333334,0.15346829792338,0.315559366577735,0.118334762466651,0.785659705447837,169.548182699529,155.540064719893,34.8888987362034,6.64510213598805,71.818517836637,15.5000157399057,23.8704689914542,11.0095187857911,0.78634658282878,56.4249155692325,1.00000000208593,0.917379723968994,0.205775716692929,0.039193001328865,0.423587660115009
"7",4,0.659804202571463,0.207176211033003,20.7823129353351,19.4580711743112,7.6748268613629,35.8490072236985,52.3422439888951,9.94823542027471,107.9453028999,0.0988453933333334,0.15388252407437,0.315694662529027,0.118385498448385,0.786558297134896,167.590267785546,153.878010371657,34.5356325558939,6.56388753846754,71.2227645012036,16.565525938101,23.6791366355326,10.9027148649594,0.777069098000624,56.0208563633064,1.00000000198338,0.918179872316703,0.206071826727934,0.0391662811821839,0.424981507479921
"8",4,0.650081012515565,0.159366316179233,20.528171222001,19.18754973189,7.66542925096224,35.8556585224514,52.4364727814661,9.93964649914997,108.387071652675,0.108499011333333,0.154412040320832,0.315865940187025,0.118449727570134,0.787720390675425,165.120576958313,151.775602625222,34.0879553185203,6.4615754602142,70.4603772835678,17.9154193507665,23.4359804722843,10.7672240557377,0.765371852936236,55.5030759209498,0.999999998663761,0.9191804269236,0.206442806226244,0.0391324665320865,0.426720754538089
"9",4,0.637915805887001,0.122589473984026,20.2134856778649,18.8539064088258,7.65366846982248,35.8640416312372,52.5534408787751,9.92884486808902,108.932611798873,0.121048714733333,0.155086153469208,0.316081416843623,0.118530531316359,0.789220439175411,162.030614525285,149.136112519305,33.5246705903187,6.33376707555402,69.4898348430536,19.6135976357379,23.12894603397,10.5965253794037,0.750744776699476,54.8427979730616,0.999999998950736,0.920419346675678,0.206903310546359,0.0390899404255473,0.428868550389262
"10",4,0.622847675563414,0.0942995953723274,19.8284185997509,18.4476547889328,7.63907386286081,35.8745233732105,52.6970405283344,9.91535997110375,109.597928683221,0.137363329153333,0.155940146992977,0.316350556033311,0.118631458512492,0.791151847654413,158.203309473155,145.853225038202,32.8222292021441,6.17575891037649,68.2628151269089,21.7313332723077,22.744373351857,10.3833304583511,0.73263928695948,54.0062523137456,0.999999999241787,0.921935359085288,0.207468663497379,0.039036850279936,0.431487908201657
