"","convergence","mu","x_C","C","AA","NT","rRNA","p","tau Cin","tau EAA","tau ENT","tau rRNAp","tau Deg","tau Maint","tau r","v Cin","v EAA","v ENT","v rRNAp","v Deg","v Maint","v r","p Cin","p EAA","p ENT","p rRNAp","p Deg","p Maint","p r","f Cin","f EAA","f ENT","f rRNAp","f Deg","f Maint","f r"
"1",4,0.416328416328324,1,0.526809432528599,61.9989174341749,11.1498489175624,37.3346908895282,128.989733496018,0.0313319820738211,0.219502880353422,0.286061010193119,0.342836617493633,0.196425065113094,3.69621570605823,0.996071436216464,101.76235407121,90.0877104188406,31.0991407070307,18.4353408171451,1.97008104414308,9.99188199187978,53.7020914690096,3.18841625354898,19.7745119213805,8.89625160679115,6.32030988809235,0.386973297373877,36.9321511514664,53.4911193773643,1.01845031950848,0.901609031132005,0.311244075263343,0.184503188009298,0.0197168165691321,0.1,0.537457222900073
"2",4,0.415754267943381,0.714285714285714,0.526339482295477,61.96587478901,11.1360610228391,37.3153999806691,129.056324925755,0.0330657748186275,0.219687643500708,0.2864310338437,0.343128703147816,0.19647491389252,3.69413998521231,0.996647996781891,101.621512271871,89.9726591478189,31.0422480719779,18.4048788207187,1.9705980777052,9.97810243064116,53.6557178929703,3.36019404151007,19.7658814676768,8.89146320808924,6.31524220134591,0.387173087633896,36.8605071655756,53.4758637539231,1.01844527031319,0.901701097710996,0.311103722253363,0.184452694774913,0.0197492267833793,0.1,0.537734687190644
"3",4,0.414949530233858,0.510204081632654,0.525671273799775,61.9197279922558,11.116683715275,37.2882197596592,129.149697499806,0.0355044291329522,0.219951085629245,0.286955775921539,0.343543783211063,0.196545236624429,3.69117824090305,0.997458164826001,101.424102893678,89.8114144237894,30.9624884523686,18.3621553763369,1.97131833499263,9.95878872561259,53.5906063073893,3.60100487356183,19.7541181044105,8.88486489831112,6.30820432589614,0.387453228613201,36.7596642497318,53.4543878192812,1.01843814230971,0.901830703495167,0.310906168465423,0.184381413063941,0.0197947600788304,0.1,0.538123739582524
"4",4,0.413821098020105,0.364431486880466,0.524715609117479,61.8553476910983,11.0894106435967,37.249827545316,129.280698807937,0.0389407850226272,0.220329360774084,0.287703714623933,0.344137081143543,0.196644742733921,3.68692232888184,0.998598253806685,101.147283023169,89.5853369395458,30.8506126649798,18.3021937541194,1.97231953055115,9.93170635248254,53.4990807335069,3.93875460382806,19.738280022621,8.87583586213884,6.29846353706622,0.387846266674319,36.6174299148655,53.4240886007429,1.01842804683695,0.902013548932133,0.310627515253392,0.18428045599178,0.0198588184200407,0.1,0.538669578366403
"5",4,0.412237832677414,0.26030820491462,0.523338093651984,61.7656673354752,11.0509465818903,37.1954099456845,129.464638414554,0.0437952686392836,0.220877750463206,0.28877730609962,0.344991883502872,0.196786135850015,3.68074902110233,1.00020586708692,100.758875994623,89.2681837919416,30.6935794332662,18.2179599899794,1.97370680892349,9.89370798425797,53.3702219483807,4.41276204197677,19.7173556239001,8.86360918329331,6.28504833052294,0.388398136228917,36.4162559781298,53.3812091205017,1.0184136842824,0.902272271770886,0.310233326899311,0.184136827354985,0.01994911121355,0.1,0.539435993393973
"6",4,0.410014672211554,0.185934432081871,0.521331970581986,61.6410299240109,10.996551416437,37.1179098377216,129.723177317723,0.0506768912176802,0.221683083290796,0.290333343699303,0.346236811170797,0.196988219857721,3.67168423833067,1.0024790727197,100.213469674342,88.8229395367,30.4729612689903,18.0994815230735,1.97561981162833,9.84035213307732,53.1884060261674,5.0785071012329,19.6905431034476,8.84731673764533,6.26670676639372,0.389173829808311,36.1306658266436,53.3202639525513,1.01839312576513,0.902639848000267,0.309673483803072,0.18393123821488,0.0200767186469628,0.1,0.540513238823844
"7",4,0.40688989102948,0.132810308629908,0.518371700470989,61.4684222988989,10.9193599646136,37.0068047285743,130.087041828953,0.0604779455833081,0.222886174440011,0.292618655254397,0.348076205256855,0.197279406487648,3.65816614536236,1.00570593206412,99.446830747083,88.197285528832,30.1626576580849,17.9325668781026,1.97824379083863,9.76535738470754,52.9311022741301,6.01434001835453,19.6579555675147,8.82615632280753,6.24189982944473,0.39026676094452,35.7232997821014,53.2331235477854,1.01836345388461,0.903164953972378,0.308874078744106,0.183634517116444,0.0202577715582283,0.1,0.54202934095397
"8",4,0.40249273193032,0.0948645061642198,0.513932966889934,61.2306335278568,10.8093022408294,36.8461977751177,130.599933979808,0.0745239056110483,0.224723813268595,0.296035675011053,0.350846002393896,0.197703432575914,3.63763208451967,1.01030987657588,98.3679517992804,87.3171355996079,29.7256659285417,17.6969593858025,1.98178461276038,9.65982556632769,52.5655242174523,7.33076395504172,19.6222396756349,8.79985757830891,6.20890745503595,0.391805620568856,35.138891410937,53.1074682842807,1.01832016658947,0.903920417610633,0.307724665672637,0.183201645457147,0.0205157391212995,0.1,0.544166391582533
"9",4,0.396297981588468,0.0677603615458714,0.507156521708662,60.9058373500065,10.6515747140422,36.6115236765961,131.323909283451,0.0948135161466513,0.227610043992712,0.301266981154581,0.355117902580083,0.198329696185283,3.60579834613019,1.0169227557219,96.8478868672322,86.0775271049232,29.1096073906506,17.3637067340052,1.98644846139147,9.51115155812323,52.0434001833389,9.18248868525538,19.5921097311354,8.76976354117641,6.16616311639558,0.393971719835493,34.2952945580744,52.9241179315788,1.01825616252027,0.905016880226313,0.306057654667366,0.182561560794132,0.0208854674352749,0.1,0.547182955347714
"10",4,0.387565735943111,0.048400258247051,0.49663971543446,60.4685208776528,10.4246456454475,36.2637505640921,132.346442304581,0.124400196822075,0.232293762910695,0.309516050841328,0.361892713672974,0.199272688125223,3.555534305145,1.02650721593591,94.7049402371641,84.3304070810879,28.2409822780051,16.8916395683322,1.99247041448581,9.3015776626347,51.2929463112273,11.7813132055261,19.5894275886566,8.74103730656806,6.11296128176952,0.397044935504564,33.0720784714681,52.6525795150879,1.01815996890079,0.906624769901684,0.303614970516796,0.181599726207604,0.0214207792135065,0.1,0.55144350960242
