"","convergence","mu","x_C","x_W","C","I","AA","NT","ADP","ATP","rRNA","DNA","p","tau tC","tau tI","tau FERM","tau RESP","tau ADPS","tau EAA","tau ENT","tau RNAp","tau DNAp","tau r","v tC","v tI","v FERM","v RESP","v ADPS","v EAA","v ENT","v RNAp","v DNAp","v r","p tC","p tI","p FERM","p RESP","p ADPS","p EAA","p ENT","p RNAp","p DNAp","p r","f tC","f tI","f FERM","f RESP","f ADPS","f EAA","f ENT","f RNAp","f DNAp","f r"
"1",4,0.999999997523011,1,0.001,6.04953107554083,26.7894712827473,16.3479589402573,5.75609664614683,3.1173459326027,20.3132893249834,50.5693071870567,8.74139572003559,116.315603086872,0.0259229445410541,0.07022485867521,0.00622847547838643,0.00958458185501111,0.0414906922580405,0.170506876508365,0.0106027728405889,0.262064987253731,0.120953071040184,0.086951889169419,335.810756191773,1.86646392003867e-16,214.804427489192,776.997442536935,23.4306351995486,176.912278994333,264.96237901682,50.5693070617971,8.74139569838325,581.5780139938,8.70520360904877,1.31072165007094e-17,1.33790410926527,7.44719558912955,0.972153274474881,30.1647601073001,2.80933591601736,13.2524448105799,1.0572986548969,50.5693070161597,1.32208959458099,7.34828316796016e-19,0.84568672449315,3.05904505693523,0.0922465955023071,0.696505037135994,1.04315897509106,0.199091760578963,0.0344149437796677,2.28967722611954
"2",4,0.998075271432961,0.757575757575758,0.001,6.02702766287111,26.6174122772092,16.2984284243602,5.73964943066839,3.10756516001168,20.3040981268723,50.5997938791223,8.72135343559749,116.584670798067,0.0266770665640666,0.0703293256047524,0.00623901941813458,0.00959383042514065,0.0415082901984402,0.170760328456734,0.010622669704062,0.262365287004023,0.121091670924933,0.0869709062894526,334.216471107742,3.17680335503384e-14,208.041431956604,781.941331522387,23.3666021897538,176.778422605803,264.377768146862,50.5024030103568,8.70456719749675,581.801384758517,8.91591504654866,2.23422437538445e-15,1.29797453375377,7.50181253703448,0.969907704643809,30.1867415082304,2.8083977081212,13.2500774602051,1.05405058662325,50.5997937129067,1.31835034494722,1.2531219018192e-16,0.820640265496925,3.08444590035991,0.0921719027042676,0.697320193852613,1.04286458616946,0.199211786925678,0.0343360371480216,2.29497383460762
"3",4,0.995561864341674,0.573921028466483,0.001,5.99783196725611,26.3958794032034,16.2340564384263,5.71820982531357,3.09483912969301,20.2918659177928,50.6384246735341,8.6951303253321,116.933764810123,0.027672507634443,0.0704658365929505,0.0062528398980262,0.00960594794485224,0.0415313818096633,0.171091523946868,0.0106487117942025,0.26276017740925,0.121273928035038,0.0869965461475602,332.151515779136,1.19507432492168e-15,199.323327382102,788.282685606203,23.2829116778838,176.599788365005,263.610682469941,50.4136844753091,8.65654015738145,582.073984494285,9.19146535618998,8.42119120963619e-17,1.24633685406214,7.57220244376151,0.966971494534861,30.2147269200631,2.80711418349542,13.2467086765861,1.0498126280787,50.6384262533513,1.31351268045351,4.72599161917674e-18,0.788235806819771,3.11731018567501,0.0920736419192356,0.698374236946387,1.04246392889417,0.199363876667457,0.0342327965564256,2.3018457639788
"4",4,0.992290251748014,0.434788657929154,0.001,5.96013480337606,26.1127150827162,16.1507878061117,5.69036418990411,3.07835041108348,20.2755644914409,50.6867488456715,8.6609165612808,117.384420137644,0.02898648984734,0.0706436980149445,0.00627092214568686,0.00962179347074216,0.0415616328202155,0.171523041596918,0.0106827125803004,0.263278861243441,0.121513320573896,0.0870312577777105,329.491728440185,1.65167722772562e-14,188.163291111758,796.346879251333,23.1738620979277,176.360917537627,262.606182214932,50.2959667723598,8.59414307496187,582.397079048388,9.55080864121393,1.16680587293609e-15,1.17995734923805,7.66228520322637,0.963143547540379,30.2499609948769,2.8053463664121,13.2418648569648,1.04430286252577,50.6867503156459,1.30729040923954,6.553189693674e-17,0.746556118436836,3.15958352763959,0.0919445468603324,0.69972905587971,1.04191551345397,0.199554129313668,0.0340980966979559,2.31071693184339
"5",4,0.9880491365804,0.329385346916026,0.001,5.91175927446984,25.7540324891285,16.0436988194264,5.65437470750531,3.05710489598589,20.2538218292227,50.7461906694315,8.61644832189726,117.962569121351,0.030720946368364,0.0708746089116188,0.00629452315764071,0.00964246046257185,0.0416011725646093,0.172083264979744,0.0107269708228476,0.263959012437196,0.121827236509475,0.0870784498239925,326.089466235388,1.8602774500922e-14,174.002073218558,806.491415467419,23.0323410237314,176.040949971197,261.294446921858,50.1397298756762,8.51347432484023,582.764072845783,10.0177770035058,1.31846436742388e-15,1.09526007935171,7.77656158704819,0.95817239349518,30.2937014411794,2.80289790830286,13.2348335818512,1.03717305008965,50.746192076527,1.29934509193091,7.41251289810823e-17,0.69333346591188,3.21356796485897,0.0917753020677507,0.70145763052283,1.04116106869776,0.199788152241856,0.0339230248893593,2.32209781734943
"6",4,0.982579541425753,0.249534353724262,0.001,5.85023382258292,25.3049100283087,15.9070785993165,5.60814951813058,3.02990755231282,20.2247710779229,50.8176364194261,8.55888316236743,118.698430494341,0.0330104289761156,0.071172972714424,0.00632522137512449,0.0096693176414833,0.041652702243329,0.172807138912624,0.0107843471105404,0.264849526988986,0.122238243225686,0.0871428497185059,321.775631697693,2.61245252677613e-15,156.233671259353,819.073865214525,22.8495714645002,175.61170831283,259.587358767688,49.9323698893403,8.40978349279559,583.153247015431,10.6219516364014,1.85936012405965e-16,0.988212556963832,7.91988537459673,0.951746396598495,30.3469568730984,2.79948018245913,13.2245645466309,1.02799716006771,50.8176357675245,1.28929327576065,1.04675964996032e-17,0.625998372652804,3.28187197147517,0.0915538528749436,0.703642452593455,1.04011678686124,0.20006943472215,0.0336963904030214,2.33658327744766
"7",4,0.975570842968364,0.189041177063835,0.001,5.77270380906237,24.7502267677308,15.7343863844203,5.54922555110908,2.99539598885007,20.1859847260446,50.9009669187069,8.48485715333553,119.626251289529,0.0360325460183478,0.0715564083525435,0.00636501067391618,0.00970408715203749,0.0417196325663997,0.173737409477492,0.01085838759915,0.2660122367683,0.122774878508446,0.0872309772617793,316.363649969267,6.84924703355901e-15,134.239966592241,834.413278271815,22.6150791252004,175.035801512435,257.376707258236,49.6574992047877,8.2775792455457,583.519414058355,11.3993877760501,4.90107517640795e-16,0.854438820225767,8.09721917316699,0.943492791563417,30.4102667205869,2.79469604640289,13.2095024357857,1.01627878621591,50.9009687395311,1.27671525851635,2.76407804687489e-17,0.541738008357434,3.3673532480162,0.0912652784050972,0.706373436389654,1.03866790440434,0.200397507553964,0.0334049494225808,2.35484746632931
"8",4,0.966660541439004,0.143213012927147,0.001,5.67618262083609,24.0764524048553,15.5186618409791,5.47487060014275,2.95204443393307,20.134280733727,50.9942053567693,8.39036981027838,120.782934496928,0.0400217405140943,0.0720459325905564,0.00641635878984003,0.00974888900335519,0.0418061465998083,0.174925066398602,0.0109533919069466,0.267525634330491,0.123473369690996,0.087351681029609,309.660542560264,5.07167914649268e-16,107.465301443892,852.714050483162,22.3166395864072,174.264228189579,254.532055536387,49.2940861604264,8.11063942367717,583.780484286963,12.3931538818005,3.65393853909142e-17,0.689535931522324,8.31301462976176,0.932972706164423,30.4831816869633,2.78798935717073,13.18743166881,1.00144797999006,50.9942066547455,1.26118315796453,2.06558971616853e-18,0.437683881601549,3.47292745190417,0.0908910439671655,0.709742054351704,1.0366562654398,0.200764588018777,0.03303295200897,2.37761682080568
"9",4,0.955440082197792,0.108494706762991,0.001,5.55767491991591,23.2736229315072,15.2529708701121,5.38209449993434,2.89826303360242,20.0656407242514,51.0925797471118,8.27092164321145,122.206230307801,0.0452874772484795,0.0726662274963058,0.00648230211146164,0.00980631392378558,0.0419174462604025,0.176429991958434,0.0110745067314229,0.269488470956251,0.1243792942875,0.0875167201594184,301.482062282976,2.26709465116869e-15,75.5062121459692,873.980804783256,21.9406340939861,173.234616248927,250.901711237481,48.8158985932778,7.90237005464145,583.803653651837,13.653362036465,1.64741215677482e-16,0.489454078422287,8.57053013506737,0.919695350553816,30.5637819517206,2.778612690025,13.1553218702578,0.982891210594978,51.0925809846938,1.24229376095702,9.34184116732753e-18,0.311132594596596,3.60134494489209,0.0904090699128104,0.713834452763655,1.03387122976226,0.201151888768157,0.0325626836346907,2.40563445487796
"10",4,0.941469089516082,0.0821929596689322,0.001,5.4146005009934,22.3378778620561,14.9312283740356,5.2680055675118,2.83250097771223,19.9750999395955,51.1873386164623,8.12169409806051,123.931653100031,0.0522382497378682,0.0734454886683439,0.00656650848707686,0.00987946323533169,0.0420596885966463,0.178320592775423,0.0112277546772185,0.272022509398614,0.125548850491668,0.0877413347176883,291.675093672243,1.24144353397681e-14,38.2323471804455,897.909528124262,21.4726512696639,171.870078941318,246.317175762563,48.1912970819921,7.64632394782917,583.389103031547,15.2365963855667,9.11784270070827e-16,0.251053032241264,8.87086417175767,0.903133025746444,30.6479743571746,2.76558882224736,13.1091175634176,0.959987182136864,51.187338559743,1.21971836699614,5.19143222314912e-17,0.159878910064786,3.7548517755331,0.0897937043988493,0.718721264069835,1.03004195387975,0.201524955182922,0.0319751736144115,2.43959947047306
