"","convergence","mu","x_C","C","ATP","NT","AA","DNA","RNA","p","tau Cin","tau Met","tau DNAp","tau RNAp","tau r","v Cin","v Met","v DNAp","v RNAp","v r","p Cin","p Met","p DNAp","p RNAp","p r","f Cin","f Met","f DNAp","f RNAp","f r"
"1",-1,1.04722454177852,100,108.924410874432,30.1938068421807,3.15899741773519,5.21951505697905,19.2943453105968,39.0523680076634,108.100003151496,0.103630001692821,0.16294345829242,0.248697234185919,0.229566677710079,0.217587368774984,328.769282074022,214.70096580755,20.2055119268063,40.8965981921915,113.204976266582,34.0703612578785,34.9841178674049,5.02505493150733,9.38849617662545,24.6319729180802,0.92336307841495,0.602997164078387,0.0567480744429318,0.114859905904892,0.317941185739695
"2",4,1.04910516302798,71.4285714285714,115.986308221229,32.4095277383772,3.13057643016325,5.27229927630953,21.5270109658766,41.4378242275952,116.540800107128,0.105331771052913,0.163348887401571,0.246590688211679,0.227622173733857,0.213943454841656,352.818626751495,231.136791956049,22.5840983488609,43.4726353418159,122.2635550958,37.1630108161916,37.755937803589,5.56902835448585,9.89533575444343,26.1574873784185,0.999999997522123,0.655115047386997,0.0640105044930274,0.123215249813655,0.346533730145038
"3",4,1.04144598761023,51.0204081632653,112.954374849808,32.3090153136944,3.09962425962628,5.23052164876434,21.4811242649555,41.315547515684,116.218487131495,0.107338359538359,0.164348334865505,0.248169797348681,0.229079812937244,0.215080852747385,346.393990835391,228.758110365036,22.3714306750947,43.027911186129,121.035277109227,37.1813627302162,37.5960145254731,5.55191341703833,9.85682584559879,26.0323706131685,0.999999997847404,0.660398609458903,0.0645837722905798,0.124216678787463,0.34941505929935
"4",4,1.03155278200052,36.4431486880466,109.43048839138,32.2783467711074,3.0586947179011,5.1778002265515,21.490948937898,41.2951226626814,116.181641078796,0.110071625447284,0.165681713801269,0.250205784199504,0.230959185414927,0.216428603505236,339.291164322479,226.407839586676,22.1690481647198,42.5980986657418,119.847495072218,37.3463299568768,37.5116388807633,5.5468240810103,9.83842216806442,25.9384259920808,0.99999999783017,0.667296596265678,0.065339302781095,0.125550273784388,0.353229047539416
"5",4,1.01878865262118,26.0308204914619,105.300992431367,32.3335950383901,3.00539884410459,5.11103759501724,21.5695068606393,41.4000137761392,116.49684615532,0.113773044259991,0.16746069551919,0.252845854033388,0.233396172953897,0.218063441091765,331.327787281224,224.048331082399,21.974768832254,42.1778642534911,118.685664929195,37.6961710069117,37.5192893529722,5.55622919257755,9.84415210013381,25.8810045027246,0.999999998158084,0.676213524100088,0.0663233499734406,0.12729950760213,0.358212227487724
"6",4,1.00241660870817,18.5934432081871,100.453143296803,32.49064944392,2.93731624064504,5.02667039067363,21.7297381204571,41.653524393807,117.230697260194,0.118749695986906,0.169828359106914,0.2562753033802,0.2365618185048,0.220090179013411,322.298731381187,221.60283214353,21.7822503948252,41.7541846635829,117.513997984058,38.2728763684813,37.6344453563805,5.58225282823731,9.87744585420239,25.8636768528929,1.00000000014463,0.687569669374487,0.0675840401376367,0.129551191500777,0.364612040194686
"7",4,0.981635908909334,13.2810308629908,94.7945169732271,32.7624367829543,2.85234222387077,4.92089048206382,21.9823027754812,42.0748259001537,118.438771500495,0.125384481278548,0.172964443596507,0.26072076641291,0.240665322842686,0.222649190849036,311.989499432231,218.935797603596,21.5786177649296,41.3021599646994,116.263751111993,39.1186415506642,37.8681084158635,5.62599376180368,9.93999766200464,25.886030110159,0.999999998861786,0.701740916770683,0.0691645641267992,0.132383173128749,0.372652769376024
"8",4,0.95564879307773,9.48645061642197,88.2800608374934,33.1550610143167,2.74914400691195,4.79006273310188,22.3325396545872,42.6734285836736,120.150138157985,0.134146596397026,0.177090050980481,0.266449931642689,0.24595378305479,0.225922929844217,300.198371065331,215.833637473152,21.3420645672668,40.7808105224763,114.8213345188,40.2705897223454,38.221989863423,5.68659164506211,10.0301946240436,25.9407723031104,1.0000000005987,0.71897004915926,0.0710932058168954,0.135846208632547,0.382484868855453
"9",4,0.923754783033085,6.77603615458712,80.9419348398978,33.6635604278925,2.62761798970898,4.63134122780758,22.77715259606,43.4430838657444,122.350092064498,0.145605766015761,0.182471876679771,0.273766921820941,0.252707927834715,0.230139114862156,286.765615626812,211.995116170504,21.0405036544849,40.1307565106888,113.021482749118,41.7547271303233,38.6831466945779,5.76019391905058,10.1413603202557,26.0106640002904,1.00000000132591,0.739262676204091,0.073371780073397,0.139942707134469,0.394124946437294
"10",4,0.885457580377788,4.84002582470509,72.9122260040374,34.2687072132548,2.4891861380477,4.44338762870422,23.3017534692814,44.3571320751144,124.966739083743,0.160458785013806,0.189426821933549,0.283003694129221,0.261234179196204,0.23556849399543,271.604489284507,207.043806067014,20.6327142454696,39.2763588397288,110.652746416793,43.5813263548873,39.2196501843005,5.8391343513805,10.2603273633121,26.0663008298622,1.00000000395184,0.762298912770684,0.075966028328029,0.144608651714149,0.407403968710418
"11",4,0.840560073112885,3.45716130336078,64.4244811659441,34.9368487583067,2.33674302754521,4.22694227584357,23.8808054341137,45.3681507419372,127.869507107574,0.179581706261617,0.19833083347088,0.294512962026799,0.271858118793969,0.242518319012327,254.726248453811,200.573601854706,20.0732515616932,38.1346561046391,107.482002243251,45.7441743269561,39.7799296281001,5.91183277494334,10.3672158694621,26.0663545081124,1.00000000069714,0.787408455987619,0.0788032316949344,0.149708388368697,0.421951027703651
"12",4,0.789224354672815,2.46940093097198,55.7885305459568,35.6235716447448,2.17426052352707,3.98506059533268,24.4805211897877,46.4130069499245,130.882874640814,0.20412590121229,0.209634188035455,0.308665877886325,0.284922348818146,0.251323517316784,236.252594868659,192.222927850382,19.3206235380643,36.6302754584791,103.295952276119,48.2252738413071,40.2964974017128,5.96361722568783,10.4367841214856,25.960702050621,0.999999999966887,0.813633086023373,0.0817795188584724,0.15504708203366,0.437226741700444
"13",4,0.731988073870407,1.76385780783713,47.3396872704905,36.280999614741,2.00611585425683,3.72276395929344,25.064494364721,47.4231357594935,133.814977042399,0.235671881327173,0.22389214142038,0.325865461901166,0.300798887908769,0.262345269377082,216.413865283329,181.761778780575,18.3469109525678,34.7131698014865,97.9509673002781,51.0026627766075,40.6950338795604,5.97862461201806,10.4416828720754,25.6969729021372,0.999999999882953,0.839880469402171,0.0847769662373552,0.16040178272301,0.452609481192787
