"","convergence","mu","x_C","C","AA","NT","RNA","p","tau Cin","tau EAA","tau ENT","tau RNAp","tau r","v Cin","v EAA","v ENT","v RNAp","v r","p Cin","p EAA","p ENT","p RNAp","p r","f Cin","f EAA","f ENT","f RNAp","f r"
"1",4,0.98792046158848,1,11.5747447814258,5.01774070425403,0.190671759660885,74.9585196967371,78.2583230584392,0.00569465137536028,0.150704826518134,0.132965257604482,0.00484971981912063,0.657957284075076,167.946478470552,107.512211481658,74.2414239116057,74.0530553787897,77.3129986390336,0.956396644609247,16.2026091799241,9.87153005533024,0.359136570336954,50.8686506082386,1.00000000000304,0.640157581516874,0.442054067390576,0.440932468804336,0.460343076814348
"2",4,0.98289455726646,0.714285714285714,11.3683388609941,4.98568518584869,0.189331432084371,74.3235581357842,77.3436127018763,0.00596065150892972,0.15096017491507,0.133299837463188,0.00485685245006229,0.661212024772074,165.333210791501,105.822045422249,73.2383136024548,73.0522207683396,76.0206159639992,0.985493652380553,15.9749144868131,9.76265529928519,0.354803857421202,50.2657454059762,1.00000000000475,0.640053168484109,0.442973999308357,0.441848436977442,0.459802453484247
"3",4,0.977609583891328,0.510204081632654,11.1259287965036,4.95140579739705,0.187921886005108,73.6854370705439,76.4703590815122,0.00632629745470949,0.151274715837965,0.133689511236029,0.00486446319364624,0.664542481380791,162.694816014289,104.153260944425,72.2193037101666,72.0355894733851,74.7581559216976,1.02925580044563,15.7557549529652,9.65496341481849,0.350414473625892,49.679970439657,1.0000000000023,0.640175658304422,0.443894313780655,0.442765118387202,0.459499311368986
"4",4,0.971986512274594,0.364431486880466,10.836464400275,4.91417015283352,0.186420402241013,73.0432393250367,75.6512847969968,0.00682696446766672,0.151671646021743,0.134155115753716,0.00487269694469771,0.667957014618105,160.019674357685,102.509137694648,71.178241553372,70.9970434367809,73.532028458925,1.09244863096751,15.5477296464167,9.5489252347386,0.345947076636973,49.116234208237,1.00000000078973,0.640603339477301,0.444809314200217,0.443676965209623,0.459518673639049
"5",4,0.965918800793265,0.26030820491462,10.486580897413,4.87299941776575,0.184796391515182,72.3953444944164,74.9023840755266,0.00750883786310887,0.152183824760349,0.134726133404595,0.00488175322509554,0.671468670246191,157.29225104746,100.892760456285,70.1065226459452,69.928024337062,72.3496210027892,1.18108201023879,15.3542461768672,9.44518072252986,0.341371358332011,48.5805038075588,1.00000000008277,0.641435034420062,0.445708686759114,0.444573867289564,0.459969391543311
"6",4,0.959264023388732,0.185934432081871,10.0611395726377,4.8266017636472,0.183009166420023,71.7388921100538,74.2429889934482,0.00843066686184541,0.152857813174153,0.135444317714468,0.0048919054403893,0.675098666445108,154.491995371913,99.3059251693526,68.9920923882375,68.8165382789404,71.2186283302605,1.30247054580236,15.1796865566233,9.34458688121838,0.336643997995507,48.0796010118087,1.00000000016926,0.642790100206156,0.446573896814708,0.445437565389224,0.460985879371085
"7",4,0.951834255778891,0.132810308629908,9.54488259040376,4.77330831703969,0.181005459803598,71.0688925469462,73.6950689812522,0.00966447535976504,0.153759311357041,0.136368615731605,0.00490352574490213,0.678882270828826,151.592129368407,97.7470413467129,67.8180936435765,67.6458064464525,70.1454911383442,1.46505839901529,15.0295177646588,9.24825955173086,0.331702953444846,47.6205303124024,1.00000000000445,0.644802878318291,0.447372128925395,0.44623561083674,0.462725152228616
"8",4,0.943386352146216,0.0948645061642198,8.92581378916109,4.71103796364279,0.178717186141426,70.3768865366944,73.2812287489732,0.0112942516747072,0.154979964236178,0.137581441709675,0.00491711506922289,0.68287797071788,148.558524519683,96.20764582028,66.5611936195601,66.3925942652603,69.1325110702863,1.67785736434846,14.9102575084739,9.15758498009592,0.326460025746512,47.2090688703085,1.00000000008946,0.647607709755758,0.448046948774694,0.446912046857352,0.465355396467411
"9",4,0.933614310829099,0.0677603615458714,8.2004670987943,4.63733211702601,0.176060186969511,69.6492100880664,73.0211409866401,0.0134121319402082,0.156644979202107,0.139195987830355,0.00493333734712527,0.687180151414171,145.34900687192,94.6676181860557,65.1898715862832,65.0254992761613,68.1735822181965,1.94944005754442,14.8292070818677,9.07416857198669,0.320792724094553,46.8475325511467,0.999999999686418,0.651312452652598,0.448505792841677,0.447374912668445,0.469033698021014
"10",4,0.922146680919953,0.048400258247051,7.37976624905321,4.54951560974483,0.172934922862682,68.8653562896464,72.9271637753187,0.0161136439738504,0.158920557792924,0.141363903429973,0.00495305661358647,0.691933143925429,141.913520794166,93.0904293169558,63.6634310980005,63.5039597328675,67.2495420243159,2.2867439491528,14.7939829522334,8.99971112575846,0.314538707743808,46.5321870404302,1.00000000002938,0.655965892458625,0.448607227441066,0.447483505302081,0.473876919196668
"11",4,0.908551031462744,0.0345716130336078,6.49211275028946,4.44500156194841,0.169230885569332,67.9973800985273,73.0015374833524,0.0194969175789696,0.162020800254596,0.144283304604965,0.00497737086559333,0.697341790681295,138.195393389396,91.4213001379407,61.9328447209206,61.7790898252813,66.325622178866,2.69438419470634,14.8121522086648,8.93587549992061,0.307497441799228,46.2516281382614,0.99999999751351,0.661536522082344,0.448154189860842,0.447041599263673,0.47994090386979
"12",4,0.892344310533809,0.0246940093097198,5.58003370400909,4.3216820805924,0.164832164098157,67.0112230086544,73.2380181500509,0.0236722982744557,0.166216357983956,0.148209313321451,0.00500766459697353,0.7036736728057,134.133439193393,89.590975244276,59.944170637511,59.797083593685,65.3535288109697,3.17524678116455,14.8914856133343,8.88428436780938,0.299443738514363,45.9875576492282,0.99999999756327,0.667924236974162,0.446899526709489,0.445802954189228,0.487227711782552
