"","convergence","mu","x_C","x_W","C","I","AA","NT","ATP","RNA","DNA","p","tau tC","tau tC2","tau RESP","tau FERM","tau EAA","tau ENT","tau RNAp","tau DNAp","tau r","v tC","v tC2","v RESP","v FERM","v EAA","v ENT","v RNAp","v DNAp","v r","p tC","p tC2","p RESP","p FERM","p EAA","p ENT","p RNAp","p DNAp","p r","f tC","f tC2","f RESP","f FERM","f EAA","f ENT","f RNAp","f DNAp","f r"
"1",4,0.967773182967669,1,0.001,21.1159896234122,13.0479053793443,12.3028753957115,5.88956024605413,13.499002271727,43.1836143516462,8.21728202600373,136.743772524801,0.0158273381294964,8.70689655172414,0.0704703544937188,0.0184743173059112,0.234052316060248,0.0401054273016628,0.252061170945453,0.18904587820909,0.481120335282029,921.951095467419,2.43442737495415e-12,6.56652388428112e-15,901.51560697806,117.775957671229,55.4441675603932,41.7919439131409,7.95246518164864,132.336955987333,14.5920317268225,2.11963073164111e-11,4.62745265916762e-16,16.6548853795438,27.5657356691649,2.22361203139456,10.534126318833,1.50338076419198,63.6700006348291,3.75059857639591,9.90351862667201e-15,2.67133422296854e-17,3.66746475898091,0.479125564628158,0.22555297883348,0.17001422973089,0.0323515040393848,0.53836130915276
"2",4,0.964966910003452,0.769230769230769,0.001,21.0670961805742,12.9982186281163,12.2942461094253,5.8689287237817,13.4732605282942,43.1371064429713,8.19511958451711,136.966024001922,0.0162589928057554,8.70689655172414,0.0704832010370349,0.018487130568027,0.234116004136887,0.0401338603728726,0.25241307758414,0.189309808188105,0.481546134668085,919.419229221599,1.24504463281402e-12,6.89931516074315e-14,899.090178517486,117.597685444308,55.1972215489623,41.625880310764,7.90801922258024,132.167680956593,14.9488306333872,1.08404748201911e-11,4.86285817492522e-15,16.6215975226835,27.5315002119681,2.21527758261657,10.506916556389,1.49706560217452,63.644835892692,3.75117603250663,5.07970840458387e-15,2.81487974681586e-16,3.66823470896106,0.479791595712452,0.225201396658544,0.169831127728233,0.0322642503327445,0.539236314968196
"3",4,0.961349059285013,0.591715976331361,0.001,21.0042972347018,12.9345700181259,12.2830364057082,5.84243400337347,13.4401339663553,43.0768632921194,8.16656158768158,137.252103846182,0.0168201438848921,8.70689655172414,0.0704997889330672,0.0185036754902354,0.234198303269567,0.0401706215116931,0.252869429359442,0.189652072019581,0.482098162579741,916.153261433226,0,0,895.960800045703,117.366030227724,54.8794367358168,41.4119020028281,7.85091629991082,131.947180917416,15.40982967792,0,0,16.5785678960174,27.4869251408177,2.2045410818894,10.4718040281443,1.48894254353039,63.6114934778629,3.75191775477514,0,0,3.66922367117395,0.480648501900212,0.22474747591801,0.169593949968974,0.0321518172743369,0.540362613567646
"4",4,0.956696200709098,0.455166135639508,0.001,20.9237327293156,12.8534114048471,12.2684590149957,5.80853964227375,13.397638105413,42.9989447153794,8.12987964596536,137.619394168079,0.0175496402877698,8.70689655172414,0.0705212152838196,0.0185250463323072,0.234304425503027,0.0402180610889429,0.253460505925465,0.190095379444099,0.482813122098003,911.950370904531,3.76611222787889e-13,6.55706021350875e-15,891.932715297742,117.065149363793,54.4717598206528,41.136927043704,7.77782496951729,131.659951544489,16.0044009696728,3.27911495703248e-12,4.62411854945819e-16,16.5230948761912,27.4288825681096,2.19074856408924,10.4265863407162,1.47852858883018,63.5671522604664,3.75286928943751,1.54983509755723e-15,2.69836941673284e-17,3.6704923889284,0.48174793050968,0.224162850407947,0.169287183918816,0.032007400180966,0.541808638457003
"5",4,0.950730745553114,0.350127796645776,0.001,20.8209208233947,12.7504910086579,12.2495126037042,5.76537933768333,13.3433254218519,42.8982985042175,8.0829183081899,138.089154169739,0.0184979856115108,8.70689655172414,0.0705487992110142,0.0185525587985505,0.234440946138108,0.0402791547430099,0.254225332704144,0.190668999528108,0.483738196998831,906.557169424163,0,0,886.762079846635,116.674471847658,53.9507336653773,40.7847313198748,7.6846789493903,131.285604496595,16.7694814760201,0,0,16.4517056266796,27.3532735701289,2.17308994980665,10.3685118890443,1.46523004697496,63.5078616110844,3.75408361511641,0,0,3.67211148589045,0.483152897399588,0.223411795866499,0.168890938992982,0.0318225130243697,0.543658087282436
"6",4,0.94311248281921,0.269329074342904,0.001,20.6902251697652,12.6208485935023,12.2249019558631,5.71073280433605,13.2742367395163,42.7685923030745,8.02306770998945,138.687394411261,0.0197308345323741,8.70689655172414,0.0705842599498161,0.0185879276701534,0.234616081488386,0.0403576317437176,0.255213622103774,0.19141021657783,0.484933359968799,899.662652474863,0,2.57930164609165e-15,880.149442844918,116.16770793896,53.2881119752444,40.3355932736351,7.56665530779478,130.797812878931,17.7510949309383,0,1.82058097876721e-16,16.3601541825271,27.2548124321261,2.1505819994149,10.294192859069,1.44833513123479,63.4282228759503,3.75562725685013,0,1.07672531910186e-17,3.67416967744161,0.484940226318392,0.222450365422835,0.168380284657774,0.03158688074799,0.54601336382386
"7",4,0.933431877405069,0.207176211033003,0.001,20.5251840239961,12.4589171985143,12.1929678480458,5.64203974491492,13.1868627992495,42.6018851186519,7.94720743730948,139.444935549802,0.0213335381294964,8.70689655172414,0.0706296846152816,0.0186332346551384,0.234839955854536,0.0404581201872143,0.256488615540645,0.192366461655484,0.486474808657319,890.890203227105,2.04740178860601e-13,1.48926110731604e-14,871.731342169501,115.511183257446,52.4505941171236,39.7659576072983,7.41817675833532,130.162347984881,19.0058401197402,1.78265155732075e-12,1.05186042319537e-15,16.243174654883,27.1266411768837,2.12205244068138,10.1995154123439,1.42700841493591,63.3207033303321,3.75757656224389,8.63548498624698e-16,6.28137183644125e-17,3.6767687511258,0.487200457826329,0.221224930318411,0.167723957160047,0.0312882182571239,0.54899580925119
"8",4,0.921207437858561,0.159366316179233,0.001,20.3182806782108,12.2587406827455,12.1516033386839,5.55645810783483,13.0771588439421,42.3884026951644,7.85172190567847,140.397633394016,0.0234170528057554,8.70689655172414,0.0706876735703252,0.0186910733797285,0.235124879922502,0.0405862936776196,0.258130129163629,0.193597596872721,0.488458437059501,879.794701705087,2.80391401992492e-13,2.42621656089772e-13,861.077350419822,114.662422689748,51.4002269983243,39.0485118417293,7.233064619508,129.335344140307,20.6021989880519,2.44133893114152e-12,1.71503604267655e-14,16.0944599423191,26.9599883665502,2.0861447080503,10.0795974053531,1.40030392836185,63.174940055327,3.7600203013798,1.19832201964944e-15,1.03690366705315e-15,3.68002707036323,0.490038228558648,0.219671585467235,0.166883475177813,0.0309122909672381,0.552746588165416
"9",4,0.905890617007692,0.122589473984026,0.001,20.0614240763343,12.0143604196366,12.0981654361325,5.4509997202901,12.9406183079324,42.1163287450259,7.73256628660524,141.585538524598,0.0261256218848921,8.70689655172414,0.0707613271404983,0.0187645361375436,0.235485592912078,0.0407490191527498,0.260238254609114,0.195178690956835,0.491004006929859,865.864504871458,5.3304979304886e-14,2.06695664146912e-13,847.691049036895,113.568423234331,50.0956557772784,38.1527870329303,7.00485924442571,128.261010853415,22.621248657821,4.64120940499438e-13,1.46260595092222e-14,15.9065293231251,26.7437274814262,2.04134883673788,9.92881470592302,1.3671992576639,62.9766702619008,3.76305407022527,2.3166386681517e-16,8.98301011174283e-16,3.68407208567277,0.493569276597682,0.217716121070556,0.165812317893803,0.0304431743567136,0.557423380018104
"10",4,0.886882597764966,0.0942995953723274,0.001,19.7460366251952,11.7204194083513,12.0294260747217,5.32275293046454,12.7724533407959,41.7717411530742,7.5854416766821,143.051728839652,0.0296467616877698,8.70689655172414,0.0708543853081457,0.0188573532218552,0.235939386696562,0.0409544691938568,0.26293750331556,0.19720312748667,0.494259399763002,848.535470729665,3.16985192554821e-13,6.64993277915425e-14,831.02305447195,112.164759757235,48.4946834726461,37.0466303070042,6.72739621941046,126.87008888808,25.1563288843419,2.75995728000318e-12,4.71176899407463e-15,15.6708952736825,26.4640846260893,1.98607402034632,9.74094847917825,1.32666357430974,62.7067339817012,3.76677909574867,1.40714588625343e-15,2.95200715170013e-16,3.68903879407467,0.497916571442691,0.215275337638665,0.164455673831001,0.0298639436089846,0.563195782833276
