"","convergence","mu","x_C","x_W","C","I","AA","NT","ATP","RNA","DNA","p","tau tC","tau RESP","tau FERM","tau EAA","tau ENT","tau RNAp","tau DNAp","tau r","v tC","v RESP","v FERM","v EAA","v ENT","v RNAp","v DNAp","v r","p tC","p RESP","p FERM","p EAA","p ENT","p RNAp","p DNAp","p r","f tC","f RESP","f FERM","f EAA","f ENT","f RNAp","f DNAp","f r"
"1",4,0.970137069157295,1,0.001,8.67418481261188,10.3062911116125,13.3949195402596,4.71383818380622,66.2364571642085,35.9255377468511,6.73493360851486,108.013838570178,0.0136645962732919,0.0565466942373926,0.0133034509941494,0.186571285961726,0.0428747732780778,0.254217661029527,0.189417080767099,0.519295274473254,801.747375066499,1.54174005386307e-16,793.332226835063,107.304313885396,45.959573809683,34.8526958976299,6.53380875193357,104.788228778901,10.9555541934553,8.71803034193362e-18,10.5540564017797,20.0199038308391,1.97050630704724,8.86017083166887,1.23761498008178,54.4160320253056,3.25364923056711,6.25668570423446e-19,3.21949889665919,0.435462103359919,0.18651302968178,0.141439124987603,0.0265154866476963,0.425251332953455
"2",4,0.967462728588951,0.769230769230769,0.001,8.65633017397239,10.2735425729976,13.3754623416732,4.69815100956312,66.2352853562785,35.8762689640985,6.71594408880279,108.169015648802,0.0140372670807453,0.0565518355835332,0.01330859234029,0.186667939846899,0.042897173919857,0.254634214026538,0.189727453588401,0.519688390903886,799.577531486416,1.59842164640157e-15,791.202854676737,107.124803218747,45.7516646518366,34.7089530635978,6.49742559320399,104.649491028371,11.2238833612379,9.03936781404621e-17,10.5297962513664,19.9967663233481,1.96261711569281,8.83808698303323,1.2327400126787,54.3851256014445,3.25381324192135,6.50464190704128e-18,3.21973320186634,0.435935340258247,0.186182535678994,0.141245153401962,0.0264407247590661,0.425862266333865
"3",4,0.96401349986043,0.591715976331361,0.001,8.6333443428075,10.2315123172146,13.3503529234377,4.67800061633714,66.2337846865773,35.8126014786049,6.69149709414765,108.368906714485,0.0145217391304348,0.0565584857971983,0.013315242553955,0.186792894374883,0.0429261315567159,0.255174220581337,0.190129811413545,0.520197981351451,796.778555950421,2.41296661560819e-15,788.455895455011,106.892100580186,45.4841805700363,34.5238312904967,6.45069353303517,104.469089037879,11.5706103342365,1.36473738057989e-16,10.4984814910793,19.9666848531841,1.9524599188988,8.80959174103408,1.22646914492255,54.3446092311298,3.25402439807935,9.85449743884496e-18,3.22003485342263,0.436544759710529,0.185756296020038,0.140994494010256,0.0263444767486128,0.426649239033406
"4",4,0.959575093974092,0.455166135639508,0.001,8.60383756660773,10.1777670846236,13.3180181006644,4.65220702104295,66.2318699772158,35.7304723518377,6.66011252492544,108.625714915256,0.0151515527950311,0.0565670747211965,0.0133238314779532,0.186954180730577,0.0429635058171632,0.255873705033644,0.190650995907421,0.520858002881613,793.176178870134,3.87505583853582e-15,784.920150628618,106.590716008523,45.141091456141,34.2860713647534,6.39087810198336,104.23453059781,12.0178507499118,2.19200573167264e-16,10.4581438106254,19.927579984859,1.93941954536901,8.77290411114736,1.21842727486605,54.2913894384777,3.25429544941665,1.58988342281611e-17,3.22042207317016,0.437327407576359,0.185207842117347,0.140671150991487,0.0262209154524623,0.427660294941954
"5",4,0.953880650732701,0.350127796645776,0.001,8.56611234655151,10.1093597624821,13.2764918344844,4.61933237945509,66.2294358205702,35.6247663377004,6.61996643191311,108.954534914037,0.0159703105590062,0.0565781420821927,0.0133348988389495,0.187161947674446,0.0430116464195253,0.25677886385078,0.191325427967248,0.521711962759256,788.553169825683,4.40577220671275e-15,780.382121006305,106.200849068198,44.7027249603733,33.9817752964061,6.31465788790191,103.92962266408,12.5934390144049,2.4927040589317e-16,10.4063166393439,19.8767577562838,1.92273779998486,8.72580165224367,1.20815462286959,54.2213274289062,3.25464201029669,1.81842035013754e-17,3.22091715853861,0.43832902857133,0.18450419350027,0.140254985581498,0.0260628599681619,0.428954861866287
"6",4,0.946602113037482,0.269329074342904,0.001,8.51808341690519,10.0227977438447,13.2233469952381,4.57766543420293,66.2263649407198,35.4891124948979,6.56884698009957,109.373782437023,0.0170346956521739,0.0565923740684731,0.0133491308252299,0.187428919098903,0.0430734970837436,0.25794866500416,0.192197044512903,0.522815301340545,782.6422403259,2.92191056829623e-16,774.579004564428,105.697356416329,44.1453810818725,33.5940688774953,6.21808443158213,103.533453565788,13.3320723684873,1.65357855875645e-17,10.3399564664069,19.8107412647241,1.90149594329079,8.6655452190077,1.19509745028178,54.1288737248248,3.25508322901703,1.21525028901944e-18,3.22154746753315,0.439605319639997,0.183604822477167,0.139720915334244,0.0258616022838566,0.430605442665446
"7",4,0.937342991347747,0.207176211033003,0.001,8.45728258087209,9.91405966978439,13.1556317062884,4.52521946972523,66.2225221614662,35.3156699825549,6.5041281780447,109.905486579475,0.0184183962732919,0.0566106224807167,0.0133673792374735,0.187770891583135,0.0431527110187007,0.2594580892668,0.193321713571341,0.524238353019131,775.119859742848,3.16476701554875e-18,767.19248518982,105.048562976983,43.4411774596728,33.1028957428979,6.0965989625176,103.019137555934,14.2764647360422,1.79159430756655e-19,10.2553528976721,19.7250623297151,1.87460457722935,8.58881407865037,1.17860495839116,54.0065830017744,3.25564176537533,1.32925863580904e-20,3.22234537726166,0.44122271507014,0.182460699331988,0.13903807079746,0.0256068038505697,0.432698766060924
"8",4,0.925634692756029,0.159366316179233,0.001,8.38087311163016,9.77868487409813,13.0698271586277,4.45977091150207,66.2177566224023,35.0949525299073,6.42277909784543,110.575356335144,0.0202172070807454,0.0566339310350833,0.0133906877918401,0.188207262558665,0.0432537721898036,0.261401951538305,0.194770081538345,0.526069721135165,765.602912393702,2.42518836793983e-16,757.845285485991,104.215032835253,42.5583714366126,32.4851056023081,5.945147156874,102.352385987669,15.4783526214852,1.3734795077699e-17,10.1480696124608,19.6140260473843,1.84081010288829,8.49167000037129,1.15793679650181,53.8444911540518,3.25634369374036,1.03150689740484e-18,3.22334813030875,0.443258456142744,0.181013789524625,0.138169104448454,0.0252865318812812,0.435336048563557
"9",4,0.910939623030457,0.122589473984026,0.001,8.2856747319687,9.61198116252468,12.9618494921542,4.37895395949192,66.2119174781428,34.815738090647,6.32143322435733,111.412452299227,0.0225556611304348,0.0566635725689674,0.0134203293257241,0.188761507743937,0.0433821028279013,0.263899342515569,0.19663088265866,0.528420015999937,753.650800191237,7.57070886019477e-16,746.103050774345,103.148477858682,41.4624419993566,31.7150353318211,5.75844399840828,101.490017298357,16.9990920597945,4.2898341089817e-17,10.0129486523192,19.4704622020969,1.79872792231198,8.36957697192563,1.13228792614748,53.6293565646318,3.25721821687842,3.27199955308904e-18,3.22459745021713,0.445799435281334,0.179197343600379,0.137069835002547,0.0248875323793596,0.438631701965463
"10",4,0.892665337949866,0.0942995953723274,0.001,8.16829193955811,9.40937004886448,12.8271193639637,4.28042486878276,66.2048676926003,34.4651306606628,6.19654088461939,112.448254975039,0.0255956513950311,0.0567010727675883,0.0134578295243451,0.189461575097709,0.0435441521455363,0.267098803354108,0.199014794656002,0.531425906982313,738.776368224914,1.98632503833055e-16,731.484817140215,101.791118418205,40.1182516836367,30.7658275086868,5.53143726288893,100.378659529166,18.909462379972,1.12626760538463e-17,9.84419796871976,19.2855056264706,1.7469152551252,8.21751571176914,1.1008378510264,53.3438201819556,3.25829653643569,8.76048053374871e-19,3.22613790675239,0.448939168667317,0.176937387456949,0.135689490790011,0.024395830254407,0.442709665256058
"11",4,0.870194536541346,0.0725381502864057,0.001,8.02536013256045,9.16686900693494,12.6607350052703,4.16210689460989,66.1964923623568,34.0288787369724,6.04463414137681,113.714924102053,0.0295476387390062,0.0567482162180545,0.0135049729748112,0.190340156602389,0.04374745795187,0.271184132416259,0.202058765329762,0.535254159610546,720.469584784138,2.80425741099947e-18,713.485960243008,100.075997539322,38.4935946469493,29.6117443615414,5.26000760521739,98.9541056768202,21.2881750136435,1.5913660589048e-19,9.63560861098905,19.0484810437749,1.68399691323374,8.03023520401665,1.06283064233538,52.9655966740596,3.25960955760291,1.26872590487097e-20,3.22801365156921,0.452772309831172,0.174155983358107,0.133971963531387,0.0237977722101449,0.447696551582885
"12",4,0.856986138560594,0.055798577143389,0.001,5.62783435487132,9.05154011553724,12.5956532013251,4.09164131772857,66.7980277644055,33.8996299539673,5.95714756419012,115.978527181183,0.0346852222861739,0.0578959620169113,0.014652718773668,0.190774511410338,0.0437487948927647,0.273680112397708,0.203918515119861,0.535291227018583,359.575483378125,354.752507345885,6.70425324724427e-17,100.247091348105,37.6631857540097,29.0515129728835,5.10519288787095,99.3919901649473,12.4719555696287,20.5387376907014,9.82355374193211e-19,19.1245898722422,1.64771898856027,7.95082133574224,1.04104335309512,53.2036603712136,1.65189545742297,1.62973862925418,3.07994454474249e-19,0.460536723088151,0.173025271007425,0.13346311005499,0.0234533368668903,0.456608374729069
