"","convergence","mu","x_C","C","AA","NT","rRNA","p","tau Cin","tau EAA","tau ENT","tau rRNAp","tau Deg","tau r","v Cin","v EAA","v ENT","v rRNAp","v Deg","v r","p Cin","p EAA","p ENT","p rRNAp","p Deg","p r","f Cin","f EAA","f ENT","f rRNAp","f Deg","f r"
"1",4,0.614088169876562,1,6.22710854015887,65.1334097767826,3.76680056464582,64.8530604288479,100.019620686399,0.168333333333333,0.0725367609777371,0.0849117693576339,0.111050486211055,0.181723205735445,0.929878683588116,151.747127410145,116.487875806386,44.3216281755356,43.6596664171382,1.65118590663604,61.4208658190588,25.5440997807077,8.44965320417211,3.76342786919589,4.84842718343565,0.300058796219088,57.1139538526688,1.02962364129139,0.790385115692485,0.300727908125179,0.296236413045773,0.0112035072732847,0.416748419526663
"2",4,0.613464569603302,0.714285714285714,6.22106406826532,65.1013577482756,3.76326270074803,64.8296264629902,100.084689016322,0.169,0.0725465128335236,0.0849421367760445,0.111101627691226,0.181752746223606,0.930290137905989,151.591777800626,116.383999327312,44.2594477776393,43.6028109791927,1.6519915345719,61.3984106712781,25.6190104483059,8.44325330081563,3.75949206676044,4.84434327170116,0.300253998146591,57.1183359305918,1.02961513802021,0.79048302796696,0.300611273866094,0.296151380343696,0.0112203677307189,0.417019537568006
"3",4,0.612594337891379,0.510204081632654,6.21263658709947,65.0566253314505,3.75832838852354,64.7968860161578,100.175523672228,0.169933333333333,0.0725601409922771,0.084984579275443,0.111173127134652,0.181794054095106,0.930865422124609,151.374990628011,116.239000638805,44.1727109456683,43.523495368619,1.65311511369668,61.3669585969106,25.72365674072,8.4343182751531,3.75399925517337,4.83864308395993,0.300526498404811,57.1243798188166,1.02960326043456,0.790619728865716,0.300448356912911,0.296032604534783,0.0112439492407195,0.417398015300949
"4",4,0.611381481594241,0.364431486880466,6.20090596512235,64.9942727815727,3.75145622543563,64.7511825311553,100.302182533792,0.17124,0.0725791723582873,0.0850438584373135,0.111273038418185,0.181851786991688,0.931669337180107,151.072855973425,116.036836039448,44.0518949601888,43.4130036813847,1.65467958643868,61.3228969646458,25.8697158568893,8.42185752281743,3.7463431188897,4.83069682648752,0.30090643969254,57.1326627690156,1.02958668551948,0.790810371897905,0.30022100416829,0.295866853649901,0.0112769170875927,0.417925760557467
"5",4,0.609694097228192,0.26030820491462,6.18461402999989,64.9075091772953,3.7419061992269,64.6874529098653,100.47851767539,0.173069333333333,0.0726057236064901,0.0851265769941612,0.111412534756107,0.181932426793569,0.932791963526419,150.652521463179,115.755425769601,43.8839453926345,43.259381334256,1.65685406367174,61.261159124924,26.073331454618,8.40450644937926,3.73569005627367,4.8196373264305,0.301435480646587,57.1439169080423,1.0295635832521,0.791075846449418,0.299904121264397,0.295635832863583,0.0113229874292984,0.418660490314126
"6",4,0.607352293797479,0.185934432081871,6.16205799433936,64.787063719104,3.7286709438264,64.5987322819706,100.72347502603,0.1756304,0.0726427153164437,0.0852418552240443,0.111607116525791,0.182044953713112,0.934358060098909,150.069187823689,115.36458742785,43.6511237451067,43.046373333871,1.65986643931333,61.1746335963123,26.3567114851496,8.38039688212027,3.72090277064723,4.80428160468604,0.302170309114743,57.1590119743119,1.0295314416104,0.791444744439639,0.299463234318376,0.295314417551103,0.0113873121653373,0.419681145941791
"7",4,0.604113282500967,0.132810308629908,6.13096346345875,64.6204077991185,3.71040248203591,64.4754890746913,101.062737177884,0.179215893333333,0.0726941563299973,0.0854022264449507,0.111878129864917,0.182201780491502,0.936539836853891,149.262400785955,114.823455716323,43.3296092623003,42.7521298742183,1.66402403474049,61.0533418950641,26.750194497933,8.34699424019289,3.7004451019902,4.78302833806959,0.30318814191037,57.1788868577882,1.02948683294426,0.791955878712057,0.29885129796435,0.294868329559737,0.0114770419372037,0.421094738241185
"8",4,0.599654173526988,0.0948645061642198,6.08834883227595,64.3908431991315,3.68532120987749,64.3048118638034,101.530674892147,0.184235584,0.0727655090438759,0.0856247955120147,0.112254880471717,0.182419959663755,0.939573604535905,148.15177828846,114.077435629926,42.8879553781083,42.3477664364044,1.66972930258671,60.8832929400879,27.2948293936129,8.30090267403154,3.67227240917893,4.75374345956276,0.304591952027256,57.2043350037338,1.02942513110706,0.792661286191535,0.298004786699627,0.294251311185797,0.0116020295273264,0.42304447871728
"9",4,0.593554318391068,0.0677603615458714,6.03040919530008,64.0765402669028,3.65113858448129,64.0694324675432,102.172479450202,0.191263150933333,0.0728641391447716,0.0859326841196241,0.112777244308444,0.182722755546257,0.943781281458122,146.632635103504,113.054940075424,42.2856367472185,41.7959871076029,1.67749943424759,60.6449163983903,28.0454198195538,8.2376508846595,3.63371826539589,4.7136362491467,0.306517319053006,57.2355369123935,1.02934018673709,0.793629556248806,0.29683913949275,0.293401868852951,0.0117758067955399,0.425718664375843
"10",4,0.585281455553716,0.048400258247051,5.95246720407586,63.6497179958057,3.60501116577433,63.7466656143216,103.046137945253,0.20110174464,0.0729998478542148,0.0863567591797448,0.113498944526796,0.183141603547798,0.949597132273751,144.572571979923,111.664540780135,41.4721987652343,41.0502269079258,1.68797432508334,60.3109936057866,29.0737964522545,8.15149448766062,3.58140468142384,4.65915742663506,0.309138324643276,57.2711465726355,1.02922399277646,0.794949020684506,0.295243983127732,0.292239930879989,0.0120168276096498,0.42935890810522
