"","convergence","mu","x_C","x_W","C","I","AA","NT","ADP","ATP","rRNA","DNA","INH","p","tau tC","tau FERM","tau RESP","tau ADPS","tau EAA","tau ENT","tau RNAp","tau DNAp","tau INH","tau r","v tC","v FERM","v RESP","v ADPS","v EAA","v ENT","v RNAp","v DNAp","v INH","v r","p tC","p FERM","p RESP","p ADPS","p EAA","p ENT","p RNAp","p DNAp","p INH","p r","f tC","f FERM","f RESP","f ADPS","f EAA","f ENT","f RNAp","f DNAp","f INH","f r"
"1",4,1.05594545969378,1,0.001,13.4693044085301,7.86187094535519,12.0111994759981,4.88521066267341,2.80659248138717,24.2668823017023,50.510960308559,7.53578386607352,1.14112038178694e-14,130.652195619247,0.0215686274509804,0.00624643874750396,0.0173196330608107,0.049171406658984,0.190059450338746,0.0122606942652304,0.323535944771602,0.149931291479523,0.12409694291757,0.0732246669975243,522.197442835848,1269.93648000107,2.60754904327263e-16,28.5881127753373,198.165176693045,279.531837516013,53.3368192025954,7.95737675861395,1.20496088611195e-14,689.807963815834,11.263082100381,7.93258043554747,4.51617926175499e-18,1.405717718889,37.6631645585606,3.42725439718189,17.2563781918239,1.19305977420813,1.49531962301739e-15,50.5109584426547,1.94697124303355,4.73485621379912,9.72203727096255e-19,0.10658848339799,0.738842952383632,1.04221201505784,0.198862048458894,0.0296684404176123,4.49259992829504e-17,2.5718936145521
"2",4,1.05387817076721,0.740740740740741,0.001,13.4558950852219,7.88633304301637,12.0359961814322,4.88747933116164,2.81033805044496,24.2260144844154,50.4348359588237,7.53772196520079,3.44710366679848e-13,130.725385907804,0.0222549019607843,0.00624657040386086,0.0173199299305874,0.0491675284007409,0.189939892313874,0.0122516517591991,0.323481583997267,0.149906099901172,0.124060448393513,0.0732167197602714,521.189236667145,1267.52090642174,6.04652508892042e-15,28.4930217536559,197.823025627658,278.646596560324,53.1521726632294,7.94384063643762,3.63282730681052e-13,688.843152866768,11.5990153650433,7.91765858032894,1.04725390863641e-16,1.40093145629581,37.574484184922,3.41388106494313,17.1937490059977,1.19083016804481,4.5069018461911e-14,50.434836082228,1.94702403515677,4.73512017563581,2.25882056824306e-17,0.10644233281441,0.739014082615194,1.04094939543824,0.198562346294581,0.029676070729137,1.35712742787342e-15,2.57333436826385
"3",4,1.05109660474799,0.548696844993141,0.001,13.4376775680853,7.91931760639357,12.0694482804939,4.89044168963439,2.81534357114795,24.1711436858074,50.3323900537435,7.54019074518806,1.09863313221195e-13,130.824046646584,0.0231813725490196,0.00624681173588662,0.0173203790450441,0.0491624697055989,0.189779850330319,0.0122395549324726,0.323411586864498,0.149873662205499,0.124011452908978,0.0732061112270438,519.832777622995,1264.2712008887,5.8456446554702e-16,28.3654051298607,197.362569844083,277.457073445041,52.9042042943413,7.92546889141938,1.15476955513163e-13,687.543556248084,12.0504372812703,7.89766417505503,1.0124878119538e-17,1.39451337038381,37.4554389658171,3.39595109183366,17.1098326626365,1.18781904745278,1.43204650306928e-14,50.3323900521345,1.94709575640185,4.73547878501954,2.18955602494807e-18,0.106246012822659,0.73924507795212,1.03924860752109,0.19815901595962,0.0296857903353861,4.32532729217302e-16,2.57527650879102
"4",4,1.04735844464516,0.406442107402327,0.001,13.4129005409373,7.96377837369755,12.1145733846533,4.89425423672853,2.82200212937384,24.0974980092183,50.1947148273337,7.54325224254795,3.56817197301033e-13,130.957027031344,0.0244321078431373,0.00624725206243493,0.0173210720911815,0.0491559681912987,0.189566223357022,0.0122234270960313,0.323323326677057,0.149832761143026,0.123945789289754,0.0731920379936505,518.009976856159,1259.90465551856,1.65742051628418e-14,28.194365795781,196.743624728665,275.861034376893,52.5718584509636,7.90048893632114,3.73715504787855e-13,685.794740734512,12.6560756183707,7.87094195765968,2.87083002479617e-16,1.38592134823125,37.2959459093843,3.37196724234174,16.9977081639609,1.18375207170893,4.63204632107496e-14,50.1947147196861,1.94719331106587,4.73596654005703,6.23022390904272e-17,0.105982284010205,0.739556933616529,1.0369583307689,0.197616987509188,0.0296978434745982,1.4047921153584e-15,2.57789423290047
"5",4,1.04234286303033,0.301068227705427,0.001,13.3791268744801,8.02367575379759,12.1754313784362,4.89904943154329,2.83080414065862,23.9988906612935,50.0099781440232,7.54689754229302,1.86866904653351e-13,131.136145944621,0.0261206004901961,0.00624805668996278,0.0173221666705337,0.0491478053411362,0.189282169067784,0.0122020146316302,0.323215527535503,0.149782805443282,0.123858002879315,0.0731734697015667,515.564536739595,1254.04724832101,4.72929443556489e-15,27.9657408940966,195.912914159634,273.7242020431,52.1275437987251,7.86645479123024,1.94779384401989e-13,683.444129053393,13.466855291088,7.83535829940149,8.19216264468824e-17,1.37445478968371,37.0828213405261,3.33998671836119,16.848431568035,1.17825966752321,2.41249855540928e-14,50.0099782700021,1.94732627113312,4.7366313582021,1.78629029772674e-17,0.105628719692725,0.739977902688831,1.03387702547258,0.196889677732375,0.0297121950483977,7.35696475013193e-16,2.58142019576025
"6",4,1.03562826901419,0.22301350200402,0.001,13.3330043295356,8.10430111821848,12.2574606297772,4.90490212117839,2.84235430499775,23.8672207321608,49.7626357523421,7.55094058387734,2.85782471099558e-13,131.377179976651,0.0284000655637255,0.00624950812309815,0.0173239205292748,0.0491378639481227,0.188906445176377,0.012173753424619,0.323090210433817,0.149724731664452,0.12374105670327,0.0731491925812788,512.291123529976,1246.20771833855,3.97012738847038e-14,27.6611909618371,194.800297275395,270.871782668731,51.5355923257817,7.81996752630988,2.95964405859432e-13,680.289607435925,14.5491014959659,7.78818525882439,6.87781713689582e-16,1.35921183812579,36.7990316775964,3.29752629189613,16.6506453693682,1.17084253950147,3.66229483276017e-14,49.7626355053731,1.9475078534171,4.73753927596858,1.50926961506487e-16,0.105155807232907,0.740545934463413,1.02973660832048,0.195915888788749,0.0297281125349501,1.12512783897464e-15,2.5861649601703
"7",4,1.02666650571246,0.165195186669645,0.001,13.2698768621642,8.21269393541844,12.3679149581405,4.91171545962036,2.85734995328608,23.6920824403899,49.4324460893439,7.55486564058803,2.63240465251472e-13,131.701054387235,0.0314773434129902,0.00625210590385411,0.0173267708466315,0.0491263206388147,0.1884129472218,0.0121367493099909,0.322956196740082,0.149662627757599,0.123586036649249,0.0731178562530556,507.922846230385,1235.74777030268,4.91029350199183e-16,27.2574129842643,193.314320807393,267.079620399889,50.7506366953661,7.75632750834961,2.7026016862185e-13,676.065306531944,15.9880618580972,7.72602593038394,8.50795302987162e-18,1.33905641004956,36.4229209235015,3.241478398601,16.3902326092731,1.16083235664815,3.34003831041321e-14,49.4324459006806,1.94775638815043,4.73878194614217,1.88297407907106e-18,0.104525324384551,0.741311807625944,1.02418318183451,0.194615929485606,0.0297435655141261,1.03637978445461e-15,2.5925404406936
"8",4,1.01475559387597,0.122366804940477,0.001,13.1833320267256,8.35816977715725,12.5164475179893,4.91897919894674,2.87651651341459,23.4603995721378,48.9933951395637,7.55745638566228,3.01465530771888e-13,132.135301876541,0.0356316685094976,0.00625671656870788,0.0173314521850235,0.0491140494686055,0.187770732714098,0.0120888034835223,0.322837210206562,0.149607487656699,0.123381888129688,0.0730780967565156,502.117977726443,1221.850294516,7.4830944352665e-15,26.7255329232562,191.337365614654,262.065845603586,49.7163217808479,7.66897114282445,3.05913833711561e-13,670.425183638549,17.8913013350079,7.64477098217884,1.29692893400837e-16,1.31259914606765,35.9275573370489,3.16806250724485,16.0502786254607,1.14733550558969,3.77442264083239e-14,48.9933964379426,1.94809710232107,4.74048555081522,2.90326083358833e-17,0.103688646006112,0.742343003147218,1.0167525105341,0.192887382439227,0.029753765297883,1.18687216839326e-15,2.60108861961695
"9",4,0.999016278061326,0.090642077733687,0.001,13.0646590736776,8.5529076775374,12.7157355395109,4.92539910025244,2.9004897208955,23.1561241358258,48.4127375380448,7.55631118890556,1.73807952579057e-13,132.715635533592,0.0412400073897825,0.00626479392408655,0.0173391693647376,0.0491032339872121,0.186945243181656,0.0120275614641912,0.322783047681608,0.149582387950013,0.123115471844678,0.0730289366819606,494.44846119068,1203.49163527189,2.06322698972257e-14,26.0309813940228,188.721070051284,255.486841226337,48.3651128660173,7.54887787981359,1.73636973882989e-13,662.925401256563,20.3910581933702,7.5396270843403,3.57746422126974e-16,1.27820537030747,35.2805063342398,3.07288368614182,15.611438532358,1.12917917960555,2.13773979692864e-14,48.4127371532289,1.94856433048349,4.74282166209773,8.13093948797592e-17,0.102585093924099,0.743727960295532,1.00684416030482,0.19060132888994,0.0297492566492345,6.84283277870305e-16,2.61251251050378
"10",4,0.97838310653158,0.0671422798027311,0.001,12.9023152409222,8.81260429036376,12.9821259987595,4.92834891735074,2.92951861279652,22.7606682091612,47.6502709710307,7.54691643665528,9.27372942344965e-14,133.487229519732,0.0488112648781671,0.0062787394843476,0.0173518748353249,0.0490982739363477,0.185901161943607,0.0119508006848497,0.322889509270744,0.149631723808393,0.122772124651208,0.0729703972195111,484.395207322684,1179.42950013955,1.72228997265561e-15,25.1348447902436,185.283469964766,246.943099417089,46.6202201397086,7.38377554802903,9.07326020244799e-14,653.008251499048,23.6439427703422,7.40533057153057,2.98849600356554e-17,1.23407749485897,34.4444123553934,2.95116776163265,15.0531800030046,1.10484706346585,1.11394343256779e-14,47.650271499504,1.94920346910481,4.74601738102067,6.93048473385987e-18,0.101142467802983,0.74557959485035,0.993697581600213,0.187599492011932,0.0297122694356507,3.65107457616128e-16,2.62770136849867
"11",4,0.951628473919524,0.0497350220760971,0.001,12.6817448374727,9.15699327663655,13.336074108228,4.92288855951092,2.96299114572292,22.2534592786731,46.6588300740179,7.52156087019557,8.11221354460353e-14,134.50545691746,0.0590324624874864,0.00630236501950595,0.0173726201953768,0.0491074600871003,0.184607924860685,0.0118570060786933,0.323327053965225,0.149834488422909,0.122337146023325,0.0729048655422929,471.358953490805,1148.22661001121,5.75115202574901e-15,23.9966922350353,180.810738508303,236.003105625893,44.4018712582081,7.15773149239701,7.71981339556034e-14,639.996113501054,27.8254797400868,7.23654322140055,9.99125798292093e-17,1.17841660615442,33.3790952285457,2.79829025799671,14.3563262244596,1.07247503643185,9.44419938645484e-15,46.6588306023844,1.95007186337938,4.75035933524498,2.37932464512934e-17,0.0992773638755747,0.748036992085623,0.976374825476151,0.183696181393771,0.0296124443708487,3.19378486008013e-16,2.64774521491063
