"","convergence","mu","x_C","x_W","C","I","AA","NT","ADP","ATP","rRNA","DNA","p","tau tC","tau FERM","tau RESP","tau ADPS","tau EAA","tau ENT","tau RNAp","tau DNAp","tau r","v tC","v FERM","v RESP","v ADPS","v EAA","v ENT","v RNAp","v DNAp","v r","p tC","p FERM","p RESP","p ADPS","p EAA","p ENT","p RNAp","p DNAp","p r","f tC","f FERM","f RESP","f ADPS","f EAA","f ENT","f RNAp","f DNAp","f r"
"1",4,0.636685920915398,1,0.001,4.45270011082382,4.63627909371636,6.8565826179779,4.51817250039864,1.4050280468199,16.2052961590477,82.0716940918217,5.362352112148,128.49189501747,0.020279911005448,0.00763235833540766,0.0194943079130145,0.0948975800488416,0.271648565527732,0.0195464395811912,0.419799033153392,0.228981290810941,0.134896546629686,320.601476036345,794.416261414312,7.42078424904323e-16,11.2122454846315,121.052934393141,208.853079433043,52.2538921339383,3.41413409279558,409.044902546813,6.50176940223235,6.06326957458891,1.44663053106897e-17,1.06401496340508,32.8838559808193,4.08233409848371,21.9361333963289,0.781772831569973,55.1787447700417,1.98246968263632,4.91234841809843,4.58871243420151e-18,0.0693319850624708,0.748542319254196,1.29146285669098,0.323116905873314,0.0211116224887717,2.52936801215492
"2",4,0.635941957811947,0.757575757575758,0.001,4.3934006320463,4.65084522238105,6.8655277687573,4.52847084695756,1.41830184035108,16.178636080523,82.0337380929999,5.3727853657448,128.55829495316,0.0210474041696753,0.00765063778351565,0.0195495686910015,0.0950946412761118,0.271314962082543,0.019529174771478,0.419158061194649,0.228631669742536,0.134901719671851,320.264567790296,793.676549977251,1.16767605843449e-14,11.1906311528959,120.949666667702,208.550752763756,52.1686960094949,3.41677964439512,408.778068927393,6.74073779950874,6.0721318011463,2.28275633132029e-16,1.06416905513792,32.8154542258437,4.07282409944669,21.8669294743929,0.781184035240364,55.1448644624438,1.98270315344014,4.91351575139518,7.22888273038853e-17,0.0692792831530474,0.748778696201598,1.29110203482692,0.322967472807086,0.0211526982903339,2.53067509750316
"3",4,0.634961145294128,0.573921028466483,0.001,4.31676410949602,4.66991895519563,6.87725429599088,4.54197065628804,1.43589465022722,16.1436629177356,81.9833428569261,5.38641346337318,128.644777814772,0.0220549042730453,0.00767487733419275,0.0196237174449628,0.0953564973381188,0.270881506743773,0.0195068303374749,0.41832422092328,0.228176847776335,0.134909145270536,319.819283970915,792.695766219962,0,11.1623360071177,120.812580438704,208.151830641116,52.0562372754749,3.42016326173115,408.422177286883,7.05358369265241,6.08384276907214,0,1.06440126374991,32.7258938228394,4.06038244475107,21.7763849024605,0.78040207194224,55.0998868473048,1.98300486350596,4.91502432304152,0,0.0692108565667827,0.749085332216687,1.29062290235926,0.322769066365851,0.0212063522180047,2.53237751603883
"4",4,0.633668661073796,0.434788657929154,0.001,4.21861016095659,4.69484991326639,6.89266805901189,4.55956961719304,1.45916999664301,16.0975116238598,81.9164006102152,5.4041077937564,128.757111872616,0.023375388036243,0.0077069720613477,0.019723398764901,0.0957041521416244,0.270321304898756,0.0194780530498567,0.417247592569724,0.227589595947122,0.134919934848881,319.23047832649,791.39319318551,2.76212986940878e-15,11.1251189353628,120.630336901425,207.624685492186,51.9078558946597,3.42441374996808,407.946733420249,7.46213630387715,6.09924522942146,5.44785888547931e-17,1.06472007518363,32.6089500815698,4.04412463847661,21.6584279075029,0.779360941711005,55.0401466948738,1.98339129580347,4.91695648595594,1.71612195977765e-17,0.0691207937815064,0.74948094390733,1.28998019286231,0.322505514213446,0.0212760149360488,2.53458881639009
"5",4,0.631966563186633,0.329385346916026,0.001,4.09408270812516,4.72733329135605,6.91287061537799,4.58244640718508,1.48998999764215,16.0368074586684,81.8272934902225,5.42698134213986,128.902194326828,0.0251026718196395,0.00774948645533171,0.0198579409966744,0.0961663466286713,0.269601754839378,0.0194412783277824,0.41586560823975,0.226835786312591,0.134935851662088,318.451690262235,789.660917209448,1.12899554581149e-14,11.0763499521328,120.387623344604,206.928404335983,51.7121134418799,3.42967074727011,407.309383679705,7.99398827106239,6.11946658221943,2.24195269342328e-16,1.06517210887727,32.4567145146474,4.02295270261975,21.5052895098703,0.777972060750306,54.9606385767811,1.98388156128726,4.91940781357126,7.03338532845114e-17,0.0690031395917736,0.749987497205255,1.28911686896904,0.322154698780403,0.0213660682761412,2.53744477021315
"6",4,0.629727051607863,0.249534353724262,0.001,3.93817108010034,4.76949729203121,6.93929524831049,4.61204200031878,1.53079619251325,15.9571117532279,81.7084376292877,5.45635750971885,129.088290863553,0.027356767773239,0.00780576027438431,0.0200401561208211,0.0967810748688053,0.268684860376697,0.0193947264720408,0.414106611347665,0.225876333462363,0.134959640530644,317.421368811048,787.353489870123,1.80289144219121e-14,11.0126087094613,120.06373362311,206.008879542226,51.4540135197763,3.43601592711367,406.451944013017,8.68362267282749,6.14589259312606,3.61302259704043e-16,1.06581210801123,32.2593075048303,3.99548586953308,21.3074471789115,0.776114679334719,54.8546082569783,1.98449538605521,4.92247693875907,1.1271546594321e-16,0.0688500312824454,0.750629758481876,1.2879525800965,0.32168676232003,0.0214817224792081,2.54110808786521
"7",4,0.626784145699828,0.189041177063835,0.001,3.74632977759772,4.82397601871653,6.97377437228168,4.65009719648418,1.58478998450638,15.8527781931832,81.5495483977712,5.49376994777794,129.324935643964,0.0302904546947957,0.00788010842171961,0.0202876195774747,0.0975984195769929,0.267527968617903,0.0193364844134724,0.41189161054895,0.224668151208518,0.134995560477157,316.058205320036,784.275163027186,0,10.9295912733357,119.630655717595,204.795120958528,51.1139640247039,3.44340790338939,405.294096526436,9.573546749165,6.18017331711605,0,1.06671083490006,32.004546308556,3.96001766436979,21.0534129636764,0.773624087511293,54.7129037186694,1.98525066648413,4.92625334162766,0,0.0686518432192505,0.751433865653965,1.28637587486118,0.321061214164454,0.0216290155424328,2.54576644968433
"8",4,0.622923653864228,0.143213012927147,0.001,3.5155188713223,4.89399075947568,7.01864431217457,4.69866079661829,1.65612934367664,15.7167556269663,81.3366912630117,5.54091587253687,129.622692627937,0.0340977090924181,0.00797800010825566,0.020624201126926,0.0986835326452559,0.266085557230783,0.0192646355769054,0.409139257534548,0.223166867746117,0.135050122707423,314.255315646809,780.163539465642,1.00850191062264e-14,10.8219809840758,119.050623081443,203.194623986918,50.6665489147819,3.45156756107496,403.72520657757,10.7153863336709,6.22414480231401,2.07995462415705e-16,1.06795131372838,31.6776513812976,3.91447038229429,20.7296742048317,0.770275521419204,54.5231386883806,1.98615937037841,4.9307968622519,6.37394316053163e-17,0.068397184923791,0.752424855872111,1.28423255343026,0.320223193948865,0.0218146294194365,2.55162780763655
"9",4,0.617871567646895,0.108494706762991,0.001,3.24554736676988,4.98344722912075,7.07689086045922,4.76006896442733,1.75014741587306,15.5404575292821,81.0510967498188,5.59955489148314,129.992788431365,0.0390251741339779,0.00810619522296662,0.0210818316399889,0.100119672375918,0.264312072787442,0.019177435020116,0.405774004777447,0.221331275333153,0.135133050989252,311.873424231498,774.670231980298,6.91530786601784e-15,10.6833731830262,118.273186832607,201.088198872516,50.0791682083106,3.45980575892552,401.594239854394,12.1709146883941,6.27962813385314,1.45787356170079e-16,1.06961582295425,31.2610311669027,3.85635586718985,20.3208246398096,0.765763221027972,54.2686548912337,1.98722225004106,4.93611126125649,4.40635610138875e-17,0.0680732478155718,0.753623393965618,1.28131130122689,0.319098806101649,0.0220454916987525,2.55891315809774
"10",4,0.611281462522187,0.0821929596689322,0.001,2.9403731241437,5.09707432033514,7.15237962799548,4.83687970175917,1.87358068937986,15.3137210725151,80.6678152514774,5.67132846775375,130.446848142086,0.0453886905951023,0.00827282368927722,0.0217025183680641,0.102011008948527,0.262165699418585,0.0190734959607684,0.401737834399506,0.219129727854276,0.135258424511782,308.733587863486,767.340480699496,1.57561121579671e-14,10.5062789578213,117.232103144,198.324826052579,49.3107400853927,3.46677796021223,398.69870056852,14.0130132958516,6.34807250647216,3.4194731351756e-16,1.07175611678203,30.7342363150584,3.78274776863396,19.8099899345426,0.759674110952509,53.9273580937927,1.98842373098719,4.94211864711224,1.01478519197759e-16,0.0676665423696653,0.755042875439071,1.27732713922021,0.317589823824714,0.0223280648336762,2.56785134137964
"11",4,0.602722367766285,0.062267393688585,0.001,2.608819532775,5.24061857885036,7.25014864831901,4.93178835070802,2.03480542990174,15.0253054156905,80.1542413810633,5.75750407083918,130.996770522692,0.0535978789740995,0.00848740753327709,0.0225405158159502,0.104484752667978,0.259612569090455,0.0189519536977703,0.397003285130697,0.216547246434926,0.135445948499249,304.610571266923,757.595443452635,3.97624581444776e-17,10.2825104032106,115.842480555634,194.718383811307,48.3107541517048,3.47017648600021,394.773418495868,16.3264805329959,6.4300212739363,8.96266316686656e-19,1.07436555628537,30.0741639868592,3.69029379409655,19.1795281053682,0.751457162686572,53.4704601104639,1.98972907216104,4.94864532279654,2.59730050147621e-19,0.067165790730678,0.756687958642175,1.27190867848794,0.315567879453005,0.0226673388615716,2.57867658509236
"12",4,0.591670493608176,0.0471722679458977,0.001,2.26394143110786,5.42112501028209,7.37698494425983,5.04736053660076,2.24404456879156,14.6631334490818,79.4691377830656,5.85849570829671,131.655776676224,0.0641915954423557,0.00876103476967774,0.0236657620285048,0.107694093059473,0.256632686106374,0.0188126058361205,0.391593475820645,0.213596441356715,0.135722375575098,299.229103536368,744.72399048081,2.59742905285763e-17,10.0034783633565,113.999430540558,190.046993082986,47.0195439787226,3.4662990475293,389.484191861946,19.2079935587853,6.52455277441553,6.14701378508533e-19,1.07731552978173,29.2559800742204,3.57527917121013,18.4125466581296,0.74038914123043,52.8617197684507,1.99108684560753,4.95543422591737,1.7283435195384e-19,0.0665636929837536,0.758558455288984,1.2645831020538,0.312870621193172,0.0230649437334516,2.59164914716976
"13",4,0.577511518448523,0.0357365666256801,0.001,1.92110462183098,5.64719309671093,7.54211087537765,5.18560445873481,2.51345389306827,14.2155430344464,78.5622001794896,5.97309680800548,132.439691796724,0.0778871225383101,0.00910695775871804,0.0251694287593607,0.111820743660271,0.253227929187754,0.0186560783097273,0.385605438851246,0.210330239373407,0.136123221441296,292.266389897437,727.892324625463,8.1170994003242e-18,9.66118841772967,111.579124640583,184.060007330875,45.3705755183138,3.44953220743127,382.427237561902,22.7637881237712,6.62888465325917,2.0430275508911e-19,1.08032127351253,28.2549506733171,3.43383791045378,17.495140683673,0.725540934915295,52.0572275438219,1.99243658624782,4.96218295556215,5.53358387363376e-20,0.0658621926280105,0.760656503381787,1.25477271881919,0.309300000706652,0.0235161291653759,2.60708054717961
"14",4,0.55956546464723,0.0270731565346061,0.001,1.59533110967088,5.92898700458245,7.7579780296297,5.34713260247062,2.85686599654008,13.6731638109915,77.3751238277313,6.0972814450503,133.368134709056,0.0956454695221581,0.00954168485367413,0.0271723478602746,0.117078382182592,0.249434525067001,0.0184841786927759,0.37923978621842,0.206858065210047,0.136695327606864,283.366562208426,706.184675036942,4.38701333993447e-15,9.249633809884,108.444288743881,176.496945481442,43.2964471168014,3.41182812488451,373.141011338037,27.1027278893047,6.73819161769678,1.19205452540364e-16,1.08293216224263,27.0497496590587,3.26240107900811,16.4197353485929,0.705764164742833,51.0066327884094,1.99371915732982,4.96859581547347,3.08662831320779e-17,0.0650788575099671,0.762995655827078,1.24180262721939,0.304626471762722,0.0240050450592532,2.62535698246173
"15",4,0.537151517430591,0.0205099670716713,0.001,1.29874437820987,6.27769318695338,8.04121886074001,5.52962986607917,3.2886645270498,13.0311793313034,75.8454085307823,6.22238035002774,134.465078474536,0.118754678218568,0.0100872745347826,0.0298395169206762,0.123716138273776,0.245340508794345,0.0183003353979523,0.372839397281012,0.203366943971461,0.137500232702008,272.175345661576,678.694307870165,3.09314251836759e-15,8.76622889274475,104.457131504878,167.123698489938,40.7404762824528,3.34236104704769,361.140604720101,32.3220955930678,6.84617580868061,9.22978785148927e-17,1.08452398583438,25.6275657906045,3.05841973531211,15.1896546220911,0.679725751787342,49.6569171871577,1.99488681351635,4.97443411668251,2.26709337218612e-17,0.0642513537730443,0.76560995526731,1.22491940455988,0.298603970593631,0.0244975604331801,2.64695036367196
"16",4,0.509709588767901,0.0155378538421752,0.001,1.03920745900116,6.70399959762071,8.41316751178134,5.72589224604019,3.82105729033001,12.2921671043505,73.9142504669137,6.33313037185051,135.757128095433,0.148938217818525,0.0107740626237716,0.0333975792721312,0.132014742702186,0.241101227591655,0.0181100581789399,0.366916891817001,0.200136486445637,0.13861902677858,258.402777233626,644.682708067635,3.84716531690258e-15,8.21306497993748,99.5022154110118,155.791816314442,37.6748022095782,3.22805727744943,345.983549669172,38.4860491205335,6.94585186918335,1.28486008644248e-16,1.08424566012278,23.9901062836843,2.82139885725727,13.8235213265587,0.646052041553998,47.9599029365391,1.99590863317969,4.97954316307716,2.97155880113974e-17,0.0634378913176395,0.768557261208491,1.20333935451323,0.291000986090211,0.0249335841411437,2.67238441132742
"17",4,0.476978636135028,0.0117711013955873,0.001,0.819927891981009,7.21509236951799,8.90029964871802,5.92147526808316,4.4596040618238,11.4680019253472,71.5389396991664,6.40644617211339,137.270212915335,0.188493316002266,0.0116441464462912,0.0381582069470217,0.142288962228001,0.236951777597788,0.0179210431479991,0.362168072023481,0.197546221103717,0.140156502374789,241.91405902324,603.807427338984,3.0484753031106e-15,7.59712778065693,93.5201261378779,142.514457556395,34.1225458882544,3.05573795764711,327.374794691607,45.5991831728584,7.03082210929345,1.16324351488979e-16,1.08098742782319,22.1597601295395,2.55400774308184,12.3580966568818,0.603649486216377,45.8837061896404,1.99677193705587,4.98385968622254,2.51622826744202e-17,0.0627071101857126,0.771920260343779,1.1763221642526,0.281649368894356,0.0252222290240685,2.70216954557746
